Ministerie;Leverancier;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
AZ;Kunst.nl B.V.;;;;;;;;2;;;2
AZ;Lampen24.nl;;;;;;;;1;;;1
AZ;Lema Flagshipstore;;;;;;;;2;;;2
AZ;Loetje Den Haag B.V.;;;;;;1;;;;;1
AZ;Logistiekconcurrent;;;1;;;;;;;;1
AZ;M&L Professional B.V.;;;;1;;;;2;;;2
AZ;M+ Group B.V.;;;;;;;;1;;;1
AZ;Manutan B.V.;;;;;;;;1;1;;1
AZ;Meetingselect B.V.;;1;;;;;;;;;1
AZ;Moduli Print B.V.;;;;;;1;;;;;1
AZ;Mooiman Mode;;;;;;;;;1;;1
AZ;Motivaction International B.V.;;;;;;1;;;;;1
AZ;Novagraaf Nederland;;;;;;1;;;;;1
AZ;NRC Handelsblad Weekeditie voor buitenland;;;;;;1;;;;;1
AZ;Office Depot B.V.;;;;;;;;1;2;;2
AZ;Only for Men;;;;;;;;;1;;1
AZ;Ontwerpwerk B.V.;;;;;;1;;;;;1
AZ;P.C. Verheul;;;;;;2;;;;;2
AZ;Pactechno;;;1;;;;;;1;;2
AZ;Papyrus Groep Nederland B.V.;;;;;;1;;;;;1
AZ;Printed Copy en Printservice;;;;;;1;;;;;1
AZ;Protinus IT B.V.;;;;;;;;;1;;1
AZ;Puur Utrecht;;1;;;;;;;;;1
AZ;Quantes B.V.;;;;;;1;;;;;1
AZ;Ready for take-off;;;;;;1;;;;;1
AZ;Regina Bloemsierkunst;;;;;;;;3;;;3
AZ;Reisswolf Nederland B.V.;;;2;;;;;;;;2
AZ;Relatiegeschenken.nl B.V.;;;;;;;;;1;;1
AZ;Remmers Design;;;;;;;;1;;;1
AZ;René Stijger;;;;;;;;1;;;1
AZ;Renewi Support B.V.;;;;1;;;1;;;;1
AZ;Rentokil pest control;;;;1;;;;;;;1
AZ;Rhenus Data Office Netherlands B.V.;;;;;;;1;;;;1
AZ;RivaSono B.V.;;;;;;;;1;;;1
AZ;Saval B.V.;;;1;;;;;;;;1
AZ;Schippers IT B.V.;;;;;;;;;1;;1
AZ;Schoondergang Van Zwanenburg G.k.t. B.V.;;;;;;;;1;;;1
AZ;Schoondergang Van Zwanenburg Serv.&Ond. B.V.;;;;;;;;1;;;1
AZ;ScreenCheck Europe B.V.;;;1;;;;;;;;1
AZ;Selecta Netherlands B.V.;;2;;;;;;;;;2
AZ;Signpost B.V.;;;;;;;;1;;;1
AZ;Sinnige B.V.;;;;;;;;1;;;1
AZ;Sita Recycling Services;;;;;;;2;;;;2
AZ;Sligro;;1;;;;;;;;;1
AZ;Smid Beheer B.V.;;;1;;;;;;;;1
AZ;Steffie Padmos Illustrator;;;;;;2;;;;;2
AZ;Stichting Accessibility;;;;;;1;;;;;1
AZ;Stichting Videma;;;;;;;;1;;;1
AZ;Things To Make And Do B.V.;;;;;;1;;;;;1
AZ;Tint, Buro voor Grafische Vormgeving;;;;;;1;;;;;1
AZ;TODAY DESIGNERS B.V.;;;;;;2;;;;;2
AZ;Transposafe Systems;;;1;;;;;;1;;1
AZ;Trompenburg B.V.;;;;;;;;1;;;1
AZ;Van Helden;;;;;;;;;1;;1
AZ;VANWAARDE Documentenwacht B.V.;;;;;;;;;1;;1
AZ;Vendrig Packaging B.V.;;;;;;;;1;;;1
AZ;Verenigde Bedrijven Jansen-Wijsmuller & Beuns;;;;;;;;;1;;1
AZ;Verhuurbedrijf Zuid-Holland B.V.;;;;;;;;1;;;1
AZ;Vierhout Metaal B.V.;;;;;;;;1;;;1
AZ;Vorm Vijf Ontwerpteam B.V.;;;;;;1;;;;;1
AZ;VVV Cadeaubonnen B.V.;;;;;1;;;;;1;1
AZ;Wasserij Ambassade;;;;1;;;;;;;1
AZ;Wijnkoperij De Gouden Ton;;1;;;;;;;;;1
AZ;Xerox (Nederland) B.V.;;;;;;2;;1;1;;2
AZ;Ziggo B.V.;;;;;;3;;1;;;3
BZ;A. Bozbey Advocatenkantoor Weteringkade;;;;;;;;;;1;1
BZ;Aalbers Holding B.V.;;;;;;;;1;;;1
BZ;Advocatenkantoor J. Mul;;;;;;;;;;1;1
BZ;Advocatenkantoor Jangali;;;;;;;;;;1;1
BZ;Advokatenkollektief Oost;;;;;;;;;;1;1
BZ;AEDcompany B.V.;;;1;;;;;;;;1
BZ;AED-Partner;;;1;;;;;;;;1
BZ;Ahrend Nederland B.V.;;;;;;;;4;;;4
BZ;Ahrend Support B.V.;;;;;;;;1;;;1
BZ;Alex Kemman;;;;;;;;1;;;1
BZ;Allart;;;;;;;;1;;;1
BZ;Ambius B.V.;;1;;;;;;;;;1
BZ;Anoniem_BZ_1;;;2;;;;;;;;2
BZ;Anouk Kruithof;;;;;;;;1;;;1
BZ;Any Lamp;;;;;;;;;1;;1
BZ;ArtiMedès B.V.;;;;;;;;1;;;1
BZ;Atrium Vastgoedmanagement B.V.;;1;;;;;;;;;1
BZ;B&S Köpcke Global Supply B.V.;;;;;;;;;4;;4
BZ;Band en Lint;;;;;1;;;;;;1
BZ;BAP Medical B.V.;;;;;;;;;1;;1
BZ;BAS Maastricht;;;1;;;;;;;;1
BZ;BHVNederland Opleidingen B.V.;;;1;;;;;;;;1
BZ;Boekbinderij Hudéjo/Van der Nat;;;;;;;;;1;;1
BZ;bol.com B.V.;;;;;;;;1;1;;1
BZ;Bon Bon Partyservice B.V.;;1;;;;;;;;;1
BZ;Bos Vlaggen B.V.;;;;;;;;1;;;1
BZ;Brainstein B.V.;;;;;;;;2;;;2
BZ;Budgetgift.nl B.V.;;;;;;;;;1;;1
BZ;Caminada & Van Leeuwen;;;;;;;;;;1;1
BZ;Canon Business Center Nederland;;;;;;;;1;;;1
BZ;CCV Group B.V.;;;;;;;;;1;;1
BZ;Centralpoint Nijmegen B.V.;;;;;;;;;1;;1
BZ;Christian;;1;;;;;;;;;1
BZ;Chubb Fire & Security Twente;;;1;;;;;;;;1
BZ;Claire Felicie;;;;;;;;1;;;1
BZ;Collet International Lawyers & Ass. B.V.;;;;;;;;;;1;1
BZ;Conrad Electronic Benelux B.V.;;;;;;;;1;1;;1
BZ;Coolblue B.V.;;;;;;;;;1;;1
BZ;Coöperatieve Rabobank U.A.;;;;;;;;;;1;1
BZ;Copex Air B.V.;;;;;6;;;;;;6
BZ;CURA Preventie B.V.;;;;;;;;;1;;1
BZ;De Boer Dental;;;;;;;;;1;;1
BZ;De Haas en de Jong Advocaten;;;;;;;;;;1;1
BZ;De Projectinrichter Holding B.V.;;;;;;;;4;;;4
BZ;Derksen Advocatuur;;;;;;;;;;1;1
BZ;Deurintercom B.V.;;;;;;;;1;;;1
BZ;Digital Revolution B.V.;;;;;;;;;1;;1
BZ;Discountoffice.nl B.V.;;;;;;;;;1;;1
BZ;Dokkumer Vlaggen Centrale B.V.;;;;;;;;2;1;;2
BZ;DPG Media B.V.;;;;;;;;;;1;1
BZ;Driessen Advocatuur;;;;;;;;;;1;1
BZ;DSA Express & Logistics Soest B.V.;;;;;1;;;;;;1
BZ;Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;;;;;;;;1;;1
BZ;Dusseldorp Den Haag B.V.;;;;;;;;;1;;1
BZ;easy2rent B.V.;;1;;;;;;;;;1
BZ;EcoCleaners Africa;;;1;2;;;;;1;;2
BZ;Erstad B.V.;;;1;;;;;;1;;1
BZ;Espressissimo B.V.;;;;;;;;1;1;;1
BZ;Everaert Advocaten;;;;;;;;;;1;1
BZ;FaberExposize B.V.;;;;;;;;1;;;1
BZ;Facility Services Nederland B.V.;;;2;;;;;;;;2
BZ;Facilitylinq B.V.;;;;;;;;2;;;2
BZ;Flatland Galerie;;;;;;;;2;;;2
BZ;Flexa Media;;1;;;;;;;;;1
BZ;Fresh Air Solutions B.V.;;;;;;;;1;;;1
BZ;G & G Opleidingen Eerste Hulp & BHV;;;1;;;;;;;;1
BZ;G4S Cash Solutions B.V.;;;;;;;;;;1;1
BZ;Galerie Caroline O'Breen;;;;;;;;2;;;2
BZ;Galerie Cokkie Snoei;;;;;;;;2;;;2
BZ;galerie dudokdegroot;;;;;;;;1;;;1
BZ;Galerie Fons Welters;;;;;;;;1;;;1
BZ;Galerie Maurits van de Laar;;;;;;;;2;;;2
BZ;Galerie Ramakers;;;;;;;;2;;;2
BZ;Galerie Van Zomeren;;;;;;;;1;;;1
BZ;Galerie Wouter van Leeuwen;;;;;;;;2;;;2
BZ;Gannexion B.V.;;;1;;;;;;;;1
BZ;Gemmy Woud-Binnendijk;;;;;;;;1;;;1
BZ;Geran Handel B.V.;;;1;;;;;;;;1
BZ;Gispen Nederland B.V.;;;;;;;;;1;;1
BZ;Goedman Kunstenaarsbenodigdheden;;;;;;;;1;;;1
BZ;Goedman Lijstenmakers B.V.;;;;;;;;2;;;2
BZ;Granny's Corner;;1;;;;;;;;;1
BZ;Hagg & Van Koesveld advocaten;;;;;;;;;;1;1
BZ;HAGO Electronics B.V.;;;;;;;;1;;;1
BZ;Helder Graveertechniek en Naamplaat-Ind. B.V.;;;;;;;;;1;;1
BZ;Helicon Conservation Support B.V.;;;;;;;;1;;;1
BZ;Heringa/Van Kalsbeek;;;;;;;;2;;;2
BZ;Hero;;;;;;;;2;;;2
BZ;Het Sleutelhuis B.V.;;;1;;;;;;;;1
BZ;Het Stempel No. 539 B.V.;;;;;;;;;1;;1
BZ;Heto B.V.;;;;;;;;1;;;1
BZ;HJDC;;;1;;;;;;1;;1
BZ;Holland Promotion B.V.;;;;;;;;;1;;1
BZ;Hygiënepapier.nl B.V.;;;;;;;;;1;;1
BZ;ING Bank;;;2;1;1;;;3;3;1;4
BZ;Jacko Brinkman Contemporary Art;;;;;;;;2;;;2
BZ;Jalema B.V.;;;;;;;;;1;;1
BZ;Jerney de Jong;;;;;;;;;1;;1
BZ;Juma International B.V.;;;;;;;;1;;;1
BZ;Kamala Laghate;;;;;;;;;1;;1
BZ;Karin Bos;;;;;;;;1;;;1
BZ;Klarna B.V.;;;;;;;;;;1;1
BZ;KLM;;;;;2;;;;;;2
BZ;KloegCom Webwinkels;;;;;;;;;1;;1
BZ;kommago.nl;;;;;;;;;1;;1
BZ;Kompas Reclamewerk;;;;;;;;1;;;1
BZ;Koninklijke van der Most B.V.;;;;;;;;;2;;2
BZ;Krista van der Niet-Fotografie;;;;;;;;1;;;1
BZ;Kunstvallei B.V.;;;;;;;;;;1;1
BZ;L.M. Nieuwstad;;;;;;;;2;;;2
BZ;Le Strasbourg;;1;;;;;;;;;1
BZ;Leisure Management Solutions;;;;;;;;1;;;1
BZ;Livewords;;;;;;;;;1;;1
BZ;Loes van Duijvendijk;;;;;;;;2;;;2
BZ;Lois Janssen;;;;;;;;;1;;1
BZ;Lyreco Nederland B.V.;;;1;;;;;1;2;;2
BZ;Maison de France Den Haag B.V.;;;;;;;;;1;;1
BZ;Margriet Smulders Beeldende Kunst;;;;;;;;1;;;1
BZ;Markus & Markus stroopwafels;;;;;;;;;1;;1
BZ;Marlink B.V.;;;1;;;;;;;;1
BZ;Martin Roemers;;;;;;;;1;;;1
BZ;MaximaVida;;;;;;;;1;;;1
BZ;MCI Carpets B.V.;;;;;;;;1;;;1
BZ;Meetingselect B.V.;;2;;;;;;;;;2
BZ;Metos B.V.;;;;;;;;1;;;1
BZ;Moduli Print B.V.;;;;;;;;;1;;1
BZ;mr. H. Kayed;;;;;;;;;;1;1
BZ;Multicopy IJsselstein-Nieuwegein;;;;;;;;;1;;1
BZ;Multigift Relatiegeschenken B.V.;;;;;;;;;1;;1
BZ;Mundo International Logistics B.V.;;;;;1;;;;;;1
BZ;NAi Boekverkopers/Booksellers;;;;;;;;;1;;1
BZ;Nederlandse Vereniging voor Burgerzaken;;;;;;;;;1;;1
BZ;Nedvan Projectverhuizingen Facility Solutions;;;;;;;;1;;;1
BZ;Network Innovations B.V.;;;1;;;;;;;;1
BZ;Nieuwenhuizen Sprang-Capelle B.V.;;;;;;;;;1;;1
BZ;OBT B.V.;;;;;;;;;1;;1
BZ;Office Deals B.V.;;;;;;;;;1;;1
BZ;Office Depot B.V.;;;;;;;;;1;;1
BZ;Officefood;;;;;;;;;1;;1
BZ;Olssen B.V.;;;;;1;;;1;;;1
BZ;ONGEKEND Young Masters @ Auction;;;;;;;;2;;;2
BZ;Opnivo Horecameubilair;;;;;;;;1;;;1
BZ;Pactechno;;;;;;;;;1;;1
BZ;PATboard B.V.;;;;;;;;;1;;1
BZ;PCextreme B.V.;;;;;;;;;1;;1
BZ;Pedalfactory B.V.;;;;;;;;;1;;1
BZ;Pels Rijcken & Droogleever Fortuijn N.V.;;;;;;;;;;2;2
BZ;People & Print Group;;;;;;;;;1;;1
BZ;Personal Art/Living Stone Editions;;;;;;;;1;;;1
BZ;PhotoLogiX;;;;;;;;1;;;1
BZ;Pica2;;;;;;;;;1;;1
BZ;Piet Klerkx;;;;;;;;1;;;1
BZ;PinsandMore.nl;;;;;;;;;1;;1
BZ;Prakken d'Oliveira Human Rights Law. Coöp. UA;;;;;;;;;;3;3
BZ;PreKan Exploitatie B.V.;;;;;;;;;1;;1
BZ;PreSafe B.V.;;;1;;;;;;;;1
BZ;Procardio B.V.;;;1;;;;;;;;1
BZ;Promar Sales Rotterdam B.V.;;;;;;;;1;;;1
BZ;Pyongyang Design;;;;;;;;;1;;1
BZ;QC Light Factory B.V.;;;;;;;;4;;;4
BZ;QoQ-light, meer dan licht;;;;;;;;;1;;1
BZ;Quinton Brandveiligheid B.V.;;;2;;;;;;1;;2
BZ;Ravelijn Advocaten;;;;;;;;;;1;1
BZ;Richard Harmanni;;;;;;;;1;;;1
BZ;RONMANDOS galerie;;;;;;;;2;;;2
BZ;Safety Webshops Europe B.V.;;;1;;;;;;;;1
BZ;Sander Creman Art Design Projects;;;;;;;;1;;;1
BZ;Schut-Copex B.V.;;;;;6;;;;;;6
BZ;Seceurtronics Nederland B.V.;;;;;;;;;1;;1
BZ;Semaphore Signs B.V.;;;;;;;;;1;;1
BZ;Staat & Co Businessgifts B.V.;;;;;;;;;1;;1
BZ;Staples Nederland B.V.;;;;;;;;;1;;1
BZ;Stichting Dutch National Portrait Gallery;;;;;;;;1;;;1
BZ;Stichting Heden Den Haag;;;;;;;;1;;;1
BZ;Stichting ICA Nederland;;;;;;;;;1;;1
BZ;Stichting NBTC Holland Marketing;;;;;;;;;1;;1
BZ;Stichting Pensioenfonds ABP;;;;;;;;;;1;1
BZ;Stichting Vrienden van het Mauritshuis;;;;;;;;;1;;1
BZ;Stichting We Like Art;;;;;;;;2;;;2
BZ;Stichting World Press Photo;;;;;;;;;1;;1
BZ;Stomerij Panda;;;;;;;;;1;;1
BZ;Suzette Bousema;;;;;;;;1;;;1
BZ;Technisch Bureau Verhagen B.V.;;;;;1;;;;;;1
BZ;Technolab B.V.;;;;;;;;1;;;1
BZ;tegenboschvanvreden;;;;;;;;2;;;2
BZ;Thinking of Holland;;;;;;;;;1;;1
BZ;Topa Verpakking B.V.;;;;;;;;;1;;1
BZ;Topper Verpakkingen;;;;;;;;;1;;1
BZ;Torch Gallery;;;;;;;;2;;;2
BZ;Trast B.V.;;;;;;;;;;1;1
BZ;Turfpoort B.V.;;;;;;;;1;;;1
BZ;Uno Automatiseringdiensten B.V.;;1;;;;;;;;;1
BZ;Upstream Gallery;;;;;;;;1;;;1
BZ;Van Bremen en Sen Advocaten B.V.;;;;;;;;;;1;1
BZ;Van den Eijnden - ontwerp B.V.;;;;;;;;1;;;1
BZ;Van der Woude De Graaf Advocaten;;;;;;;;;;1;1
BZ;Van Dorp installaties Rotterdam;;;;;;;;2;;;2
BZ;Van Pommeren B.V.;;;;;;;;1;1;;1
BZ;VCK Travel B.V.;;;;;;;;;1;;1
BZ;Vlaggen Unie B.V.;;;;;;;;1;;;1
BZ;VP Deco Deurne;;;;;;;;;1;;1
BZ;Vrolijk Watersport B.V.;;;;;;;;1;;;1
BZ;WebinarGeek B.V.;;;;;;;;;1;;1
BZ;Wolvers Porselein;;;;;;;;1;;;1
BZ;Worldmeetings.com B.V.;;;;;;;;;;1;1
BZ;WorldPay;;;;;;;;;;1;1
BZ;Xerox (Nederland) B.V.;;;;;;;;;1;;1
BZ;XTANDIT B.V.;;;;;;;;;1;;1
BZ;ZIC ZERP;;;;;;;;1;;;1
BZK;4walls;;;;;;;;1;;;1
BZK;A. de Kom;;;;;;;;1;;;1
BZK;Aannemingsbedrijf J.C. Nieuwenhuizen B.V.;;;;;;;;;1;;1
BZK;Absoluta Food and Facilities B.V.;;;;;;;;;1;;1
BZK;Afeer;;;;;;;;1;;;1
BZK;Albron Nederland;;1;;;;;;;;;1
BZK;Albron Nederland B.V.;;6;;;;;;;;;6
BZK;Algemene Lawntennis Vereniging Zoetermeer;;;;;;;;;1;;1
BZK;AllBidigit Group Noord B.V.;;;;;;2;;;;;2
BZK;Allekabels B.V.;;;;;;;;;1;;1
BZK;Allerlei V.O.F.;;;;;;;;1;;;1
BZK;Allgifts.nl B.V.;;;;;;1;;;1;;1
BZK;ALLSAFE mini opslag Utrecht;;;;;;1;;;;;1
BZK;Alpheios B.V.;;;;;;;;;1;;1
BZK;ALTER - HAAGLANDEN sleutels - sloten;;;2;;;;;;;;2
BZK;Ambius B.V.;;;;;;;;;1;;1
BZK;Anna Vastgoed Beheer B.V.;;2;;;;;;;;;2
BZK;Anneline Van Der zon Work Environment Insights;;;;;;;;1;;;1
BZK;Anoniem_BZK_1;;;;;;;;;1;;1
BZK;Anoniem_BZK_107;;;;;;;;1;;;1
BZK;Anoniem_BZK_114;;;;;;;;1;;;1
BZK;Anoniem_BZK_120;;;;;;;;;1;;1
BZK;Anoniem_BZK_123;;;;;;;;1;;;1
BZK;Anoniem_BZK_134;;;;;;;;1;;;1
BZK;Anoniem_BZK_150;;;;;;1;;;;;1
BZK;Anoniem_BZK_154;;;;;;;;1;;;1
BZK;Anoniem_BZK_159;;;;;;1;;;;;1
BZK;Anoniem_BZK_175;;;;;;;;2;;;2
BZK;Anoniem_BZK_212;;;;;;;;1;;;1
BZK;Anoniem_BZK_237;;;;;;;;1;;;1
BZK;Anoniem_BZK_247;;;;;;;;1;;;1
BZK;Anoniem_BZK_256;;;;;;;;1;;;1
BZK;Anoniem_BZK_280;;;;;;;;1;;;1
BZK;Anoniem_BZK_287;;;;;;;;1;;;1
BZK;Anoniem_BZK_304;;;;;;;;1;;;1
BZK;Anoniem_BZK_308;;;;;;1;;;;;1
BZK;Anoniem_BZK_312;;;;;;;;1;;;1
BZK;Anoniem_BZK_32;;;;;;;;;1;;1
BZK;Anoniem_BZK_325;;;;;;;;;2;;2
BZK;Anoniem_BZK_340;;;;;;;;1;;;1
BZK;Anoniem_BZK_343;;1;;;;;;;;;1
BZK;Anoniem_BZK_364;;;;;;;;1;;;1
BZK;Anoniem_BZK_395;;;;;;;;1;;;1
BZK;Anoniem_BZK_399;;;;;;;;;1;;1
BZK;Anoniem_BZK_412;;;;;;;;1;;;1
BZK;Anoniem_BZK_433;;;;;;;;2;;;2
BZK;Anoniem_BZK_44;;;;;;1;;;;;1
BZK;Anoniem_BZK_56;;;;;;;;;1;;1
BZK;Anoniem_BZK_57;;;;;;;;;1;;1
BZK;Anoniem_BZK_64;;;;;;;;1;;;1
BZK;Anoniem_BZK_68;;;;;;1;;;;;1
BZK;Antalis B.V.;;;;;1;;;;;;1
BZK;Antropia B.V.;;1;;;;;;;;;1
BZK;ANWB B.V.;;;;;;;;;1;;1
BZK;Architektenburo en Bouwburo Coors B.V.;;;;;;;;2;;;2
BZK;Ardis Opleidingen B.V.;;;;;;;;1;;;1
BZK;Art 4 You Decorations;;;;;;;;2;;;2
BZK;ASB Security B.V.;;;1;;;;;;;;1
BZK;Atelier Bultsma;;;;;;1;;;;;1
BZK;Atelier Van Zijderveld;;;;;;;;3;;;3
BZK;Atir Schoonmaakstrategen;;;;1;;;;;;;1
BZK;Atrium Vastgoedmanagement B.V.;;1;;;;;;;;;1
BZK;ATS Systems B.V.;;;1;;;;;;;;1
BZK;AVB Language Group B.V.;;;;;;1;;;;;1
BZK;AvdR Webinars B.V.;;;;;;1;;;;;1
BZK;AXIS Specialty Europe SE;;;;;;;;;;1;1
BZK;BaaB Communicatie;;;;;;;;1;;;1
BZK;Balance B.V.;;;;;;1;;;;;1
BZK;Banketbakkerij Boheemen;;1;;;;;;;;;1
BZK;Bart Versteeg fotograaf;;;;;;;;1;;;1
BZK;Bas Hordijk;;;;;;;;1;;;1
BZK;Bastiaan de Nennie;;;;;;;;3;;;3
BZK;Bavak Beveiligingsgroep B.V.;;;1;;;;;;;;1
BZK;Bedrijfsfitness Nederland B.V.;;;;;;;;;5;;5
BZK;Ben Tiggelaar & Company B.V.;;;;;;;;1;;;1
BZK;Better Meetings B.V.;;1;;;;;;;;;1
BZK;Bieling Zeefdruk B.V.;;;;;;;;;1;;1
BZK;Biersteker International B.V.;;;;;;;;;1;;1
BZK;BIS Bedrijfs Informatie Systemen B.V.;;;;;;;;;1;;1
BZK;Boels Verhuur;;;;;;;;1;;;1
BZK;Boerhof Projectinrichters;;;;;;;;3;;;3
BZK;bol.com B.V.;;;;1;;;;;1;;1
BZK;Boom uitgevers Den Haag;;;;;;;;;1;;1
BZK;Boon Edam Nederland B.V.;;;;;;;;1;;;1
BZK;Bos & Bos Catering B.V.;;1;;;;;;;;;1
BZK;Bouw & Facility Nederland B.V.;;;;;;;;1;;;1
BZK;Brady B.V.;;;;;;;;;1;;1
BZK;Brink Industrial Holding B.V.;;;;;;;2;;;;2
BZK;Broodjestijd B.V.;;;;;;;;1;;;1
BZK;Bruynzeel Storage Systems B.V.;;;;;;;;1;;;1
BZK;BTTN B.V.;;;1;;;;;;1;;1
BZK;Buyitdirect.com B.V.;;;;;;;;;2;;2
BZK;Buyitdirect.com N.V.;;;;;;;;;2;;2
BZK;Catering Cor Jansen B.V.;;1;;;;;;;;;1
BZK;Centralpoint Amstelveen B.V.;;;;;;;;;1;;1
BZK;Centralpoint Nijmegen B.V.;;;;;;;;;2;;2
BZK;Choco-Paradijs;;;;;;;;;1;;1
BZK;Christiaan Kuitwaard;;;;;;;;1;;;1
BZK;Clean Way B.V.;;;;;;;;;2;;2
BZK;Closing the Loop B.V.;;;;;;;2;;;;2
BZK;Cocoon Riskmanagement B.V.;;;2;;;;;;;;2
BZK;Communicatief Entertainment;;;;;;;;;1;;1
BZK;Compass Group Nederland B.V.;;7;;1;;;;;;;7
BZK;Connected Information Systems B.V.;;;;1;;1;;;;;1
BZK;Conrad Electronic Benelux B.V.;;;;1;;;;;1;;1
BZK;Coolblue B.V.;;;;;;;;;1;;1
BZK;Coöperatie Stomerij.nl U.A.;;;;;;;;;2;;2
BZK;CSU Food Services;;;;7;;;;;;;7
BZK;CWS Nederland B.V.;;;;4;;;;;;;4
BZK;Daleman Lijsten;;;;;;;;1;;;1
BZK;Dalosy Projecten B.V.;;;;;;;;;1;;1
BZK;De Batterijen aan de Overeindseweg B.V.;;1;;;;;;;;;1
BZK;De Beeldunie;;;;;;;;;1;;1
BZK;De Groene Artisanen B.V.;;3;;;;;;;;;3
BZK;De Horeca Academie Zakelijk B.V.;;1;;;;;;;;;1
BZK;De horeca mannen;;1;;;;;;;;;1
BZK;de Keuken van Alex;;1;;;;;;;;;1
BZK;De Koperen Hoogte;;1;;;;;;;;;1
BZK;De Lik B.V.;;2;;;;;;;;;2
BZK;De Raat Security Products B.V.;;;1;;;;;2;1;;2
BZK;De Resolutie Rijswijk B.V.;;;;;;;;1;;;1
