FID,datummutatie,naammuteerder,bron,status,genormeerd,type,objectnaam,rwsdienst,waterlichaam,beheerobjectcode,doorstroomoppervlakte,opmerkingen,stakeholders,afwijking,gdb_geomattr_data,shape
duiker_vlak_legger.1,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Inlaatduiker Wageninger Benedenwaarden,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KZ.R.900,925.ov",-99,,,0,,"POLYGON ((174955.73200000077 441309.9690000005, 174953.87099999934 441307.98800000176, 174953.82019999996 441308.0219999999, 174953.0335999988 441308.54879999906, 174952.1000000015 441309.1739999987, 174951.85300000012 441309.33999999985, 174950.94079999998 441309.9501999989, 174950.37689999864 441310.3291000016, 174950.33300000057 441310.3579999991, 174952.0940000005 441312.5520000011, 174952.14009999856 441312.51889999956, 174952.93989999965 441311.95109999925, 174953.88699999824 441311.27899999917, 174955.04250000045 441310.45859999955, 174955.6838000007 441310.0031999983, 174955.73200000077 441309.9690000005))"
duiker_vlak_legger.2,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Bosschewaarden,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL3.KZ.R.932,450.--",-99,,,0,,"POLYGON ((148741.1640000008 441696.6484000012, 148740.96499999985 441696.5, 148739.6649999991 441697.66800000146, 148739.86989999935 441697.81709999964, 148745.88230000064 441702.19310000166, 148746.05799999833 441702.3209999986, 148747.2589999996 441701.19299999997, 148747.06940000132 441701.05160000175, 148741.1640000008 441696.6484000012))"
duiker_vlak_legger.3,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Vogelzang (oostelijk),ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL4.KZ.R.963,120.--",-99,,,0,,"POLYGON ((125205.65399999917 441884.37099999934, 125205.88500000164 441883.2589999996, 125208.03200000152 441883.7049999982, 125208.07299999893 441883.5089999996, 125205.75499999896 441883.02800000086, 125205.71409999952 441883.2265000008, 125187.9792000018 441879.95259999856, 125187.98900000006 441879.91899999976, 125187.2890000008 441879.71599999815, 125187.26990000159 441879.7104000002, 125186.82200000063 441879.5799999982, 125186.47199999914 441880.7829999998, 125186.7190000005 441880.85500000045, 125187.06560000032 441880.9554999992, 125187.6400000006 441881.1220000014, 125187.65590000153 441881.067400001, 125205.48479999974 441884.33889999986, 125205.4450000003 441884.5320000015, 125207.75899999961 441885.01099999994, 125207.80000000075 441884.81500000134, 125205.65399999917 441884.37099999934))"
duiker_vlak_legger.4,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Amerongen Zuidzijde,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KZ.L.923,315.--",-99,,,0,,"POLYGON ((155457.15900000185 442484.38599999994, 155455.58300000057 442483.65900000185, 155454.3401999995 442485.9571999982, 155452.79949999973 442488.8060999997, 155452.21240000054 442489.89169999957, 155451.7366000004 442490.77149999887, 155451.186999999 442491.7879000008, 155449.01579999924 442495.8027999997, 155448.90100000054 442496.0150000006, 155450.5850000009 442496.9079999998, 155450.69350000098 442496.7012999989, 155452.83740000054 442492.61769999936, 155453.38210000098 442491.5800999999, 155453.84690000117 442490.69480000064, 155454.42550000176 442489.59270000085, 155455.9186999984 442486.748399999, 155457.15900000185 442484.38599999994))"
duiker_vlak_legger.5,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Scheller en Oldener buitenwaard,ON,IJssel,"YS2.KZ.R.976,940.--",-99,,,0,,"POLYGON ((202245.61059999838 499324.04199999943, 202244.807599999 499324.0128000006, 202244.7853000015 499324.40579999983, 202244.72349999845 499325.49430000037, 202244.7232999988 499325.4979999997, 202244.29940000176 499332.95980000123, 202243.2760999985 499350.9763999991, 202243.0637000017 499354.71649999917, 202241.8258999996 499376.50879999995, 202241.48539999872 499382.5033, 202242.97419999912 499382.5720000006, 202243.25759999827 499376.2804000005, 202244.23690000176 499354.53979999945, 202244.4050000012 499350.80779999867, 202245.22340000048 499332.63760000095, 202245.53810000047 499325.64240000024, 202245.60460000113 499324.17440000176, 202245.61059999838 499324.04199999943))"
duiker_vlak_legger.6,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker gemaal Streukelerzijl,ON,Zwarte Water,"ZW2.KZ.R.8,390.--",-99,,,0,,"POLYGON ((204159.50600000098 510730.3929999992, 204159.0799999982 510726.7199999988, 204147.55700000003 510727.81799999997, 204147.88599999994 510732.0940000005, 204159.50600000098 510730.3929999992))"
duiker_vlak_legger.7,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker in Streukel,ON,Zwarte Water,"ZW2.KZ.R.8,390.--",-99,,,0,,"POLYGON ((204158.5780000016 510759.0480000004, 204158.9549999982 510754.4759999998, 204161.0450000018 510754.63899999857, 204161.53500000015 510750.02800000086, 204152.06500000134 510748.9210000001, 204152.78700000048 510758.4519999996, 204158.5780000016 510759.0480000004))"
duiker_vlak_legger.8,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Drielsche uiterwaarden,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KZ.L.888,375.--",-99,,,0,,"POLYGON ((186493.60220000148 442593.36250000075, 186492.7589999996 442591.1761999987, 186492.7030000016 442591.19779999927, 186493.56810000166 442593.4408, 186498.05519999936 442605.07510000095, 186498.07079999894 442605.1154000014, 186498.07400000095 442605.1237999983, 186498.12999999896 442605.1022000015, 186498.12539999932 442605.0903000012, 186498.11030000076 442605.05110000074, 186493.60220000148 442593.36250000075))"
duiker_vlak_legger.9,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Leidijk zuidoever Driel,ON,Pannerdensch Kanaal - Nederrijn - Lek,"RL2.KZ.L.891,705.--",-99,,,0,,"POLYGON ((183630.58399999887 441592.1730000004, 183629.6959999986 441591.8449999988, 183629.62999999896 441592.0289000012, 183626.4721999988 441600.8211000003, 183626.1341000013 441601.76260000095, 183625.74480000138 441602.8465999998, 183624.01940000057 441607.6504999995, 183623.98169999942 441607.75560000166, 183623.84800000116 441608.1279999986, 183624.80700000003 441608.4690000005, 183624.93840000033 441608.0982000008, 183624.9765000008 441607.9908999987, 183626.67799999937 441603.191300001, 183627.065200001 441602.0989000015, 183627.39950000122 441601.1559999995, 183630.49500000104 441592.42390000075, 183630.58399999887 441592.1730000004))"
duiker_vlak_legger.10,2022-07-04T00:00:00,RHDHV,BKN,Vastgesteld,0,Duiker,Duiker Drempel Vreuderijkerwaard & Westenholte,ON,IJssel,"YS3.KZ.-.982,445.--",-99,,,0,,"POLYGON ((198433.9728000015 503057.16149999946, 198432.01559999958 503056.75349999964, 198431.94689999893 503057.1537999995, 198430.70899999887 503064.36569999903, 198430.67610000074 503064.5571999997, 198430.17049999908 503067.502700001, 198430.12570000067 503067.76359999925, 198429.60090000182 503070.82119999826, 198428.5320999995 503077.0485999994, 198428.4583999999 503077.4780000001, 198430.36659999937 503077.8267999999, 198430.44370000064 503077.38500000164, 198431.50780000165 503071.2870000005, 198432.10190000013 503067.88259999827, 198432.63170000166 503064.84690000117, 198433.9054000005 503057.54780000076, 198433.9728000015 503057.16149999946))"
