gebied,straat,nummer,detailinfo,aantal nesten,opmerkingen,latitude,longitude,symbol,name,desc
Oog in Al,Goethelaan,65,,1,,52.088403,5.0861954,"Flag, Blue",Goethelaan 65,
Oog in Al,Goethelaan,74,,2,,52.0886557,5.0866022,"Flag, Green",Goethelaan 74,
Oog in Al,Goethelaan,76,,1,,52.0884041,5.0866185,"Flag, Blue",Goethelaan 76,
Oog in Al,Goethelaan,78,achter,1,,52.0883681,5.0866042,"Flag, Blue",Goethelaan 78,achter
Oog in Al,Goethelaan,79,,1,,52.0879,5.0863301,"Flag, Blue",Goethelaan 79,
Oog in Al,Goethelaan,82,,1,,52.0882603,5.0866195,"Flag, Blue",Goethelaan 82,
Oog in Al,Goethelaan,86,op de hoek met de E. Meijsterlaan,1,,52.0881705,5.0866639,"Flag, Blue",Goethelaan 86,op de hoek met de E. Meijsterlaan
Oog in Al,Händelstraat,18,,1,,52.08402,5.08683,"Flag, Blue",Händelstraat 18,
Oog in Al,Wagnerlaan,7 en 8,tuinzijde,1,,52.0848707,5.0897353,"Flag, Blue",Wagnerlaan 7 en 8,tuinzijde
Oog in Al,E. Meijsterlaan,26,,1,,52.0873787,5.085701,"Flag, Blue",E. Meijsterlaan 26,
Oog in Al,E. Meijsterlaan,85,,1,,52.0876953,5.0862096,"Flag, Blue",E. Meijsterlaan 85,
Oog in Al,Chopinstraat,7,,1,,52.0839276,5.0864443,"Flag, Blue",Chopinstraat 7,
Oog in Al,Von Weberstraat,27,,1,,52.0849131,5.0851976,"Flag, Blue",Von Weberstraat 27,
Oog in Al,Mendelssohnstraat,44,,1,"invliegers, jonge vogels?",52.08617,5.08773,"Flag, Blue",Mendelssohnstraat  44,"invliegers, jonge vogels?"
Wittevrouwen,Bouwstraat,53-55,Zimictheater/oude ULO,2,tenminste 2,52.0967809,5.1323714,"Flag, Green",Bouwstraat 53-55,Zimictheater/oude ULO
Wittevrouwen,Obrechtstraat,65,achterzijde (tuinkant),1,,52.0977193,5.1299435,"Flag, Blue",Obrechtstraat 65,achterzijde (tuinkant)
Wittevrouwen,Obrechtstraat,67,,1,,52.0977642,5.1299141,"Flag, Blue",Obrechtstraat 67,
Wittevrouwen,Kapelstraat,43,"beide dakkapellen, waar daklijst het dak raakt",2,,52.0965762,5.1291766,"Flag, Green",Kapelstraat 43,"beide dakkapellen, waar daklijst het dak raakt"
Wittevrouwen,Vlasstraat,4,rechts onder daklijst bovenaan gevel (bij regenpijp),1,,52.0992943,5.1308831,"Flag, Blue",Vlasstraat 4,rechts onder daklijst bovenaan gevel (bij regenpijp)
Wittevrouwen,Bekkerstraat,113,,1,,52.0987512,5.133265,"Flag, Blue",Bekkerstraat 113,
Wittevrouwen,Hengeveldstraat,14,onder het lood boven dakhoekje van dakkapel,1,,52.1012535,5.1308135,"Flag, Blue",Hengeveldstraat 14,onder het lood boven dakhoekje van dakkapel
Wittevrouwen,Admiraal van Gentstraat,17,,,,52.1000127,5.1389936,Puzzle Cache,Admiraal van Gentstraat 17,
Wittevrouwen,Luit Blomstraat,67,de zwaluwen lossen hier de spreeuwen af,1,,52.1181896,5.0758766,"Flag, Blue",Luit Blomstraat 67,de zwaluwen lossen hier de spreeuwen af
Wittevrouwen,Parkstraat,43,links onder de daklijst,1,,52.091292,5.1301613,"Flag, Blue",Parkstraat 43,links onder de daklijst
"Overvecht, locatie 1",Naxosdreef,65-95,boven raam 5e en boven raam 7e verdieping,1,,52.1153543,5.1141328,"Flag, Blue",Naxosdreef 65-95,boven raam 5e en boven raam 7e verdieping
"Overvecht, locatie 1",Naxosdreef,1 tot 31,"raampjes 3e, 5e en 7e verdieping: poepstrepen",1,,52.1155781,5.1137519,"Flag, Blue",Naxosdreef 1 tot 31,"raampjes 3e, 5e en 7e verdieping: poepstrepen"
"Overvecht, locatie 1",Theemsdreef,422-452,"onder de dakrand, rechts van raampje",1,,52.1151706,5.1124404,"Flag, Blue",Theemsdreef 422-452,"onder de dakrand, rechts van raampje"
"Overvecht, locatie 1",Milosdreef,65-95,boven raam 1e en boven raam 8e verdieping,1,,52.1160078,5.1129901,"Flag, Blue",Milosdreef 65-95,boven raam 1e en boven raam 8e verdieping
"Overvecht, locatie 1",Androsdreef,162-192,nest onder dakrand?,1,,52.1158511,5.1113412,"Flag, Blue",Androsdreef 162-192,nest onder dakrand?
"Overvecht, locatie 1",Androsdreef,2 tot 32,raampje 4e verdieping: poepstreep,1,,52.1164014,5.1121992,"Flag, Blue",Androsdreef 2 tot 32,raampje 4e verdieping: poepstreep
"Overvecht, locatie 1",Tafelbergdreef,180-214,boven raam 6e verdieping?,1,,52.1170865,5.1092166,"Flag, Blue",Tafelbergdreef 180-214,boven raam 6e verdieping?
"Overvecht, locatie 2",Kenyadreef,2,,1,,52.1229522,5.1115603,"Flag, Blue",Kenyadreef 2,
"Overvecht, locatie 2",Sfinxdreef,3,"geen invliegers, gedrag gierzwaluwen wijst er wel op",1,,52.123338,5.1112804,"Flag, Blue",Sfinxdreef 3,"geen invliegers, gedrag gierzwaluwen wijst er wel op"
"Overvecht, locatie 2",Nijldreef,16,"veel poepstrepen, geen invliegers",1,,52.1231848,5.1110916,"Flag, Blue",Nijldreef 16,"veel poepstrepen, geen invliegers"
