FID,MASTNUMMER,LONGITUDE,LATITUDE,LICHTPUNT,X_COORDINAAT,Y_COORDINAAT,LICHTPUNT_SOORT,GEOM
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5ea6,028051-110,6.58600086,53.188155,28051,235130.031,578610.023,Abri,POINT (235130.031 578610.023)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5ea7,028052-111,6.57896584,53.19990752,28052,234638.187,579910.021,Abri,POINT (234638.187 579910.021)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5ea8,028053-112,6.5818671,53.19540747,28053,234840.354,579412.475,Abri,POINT (234840.354 579412.475)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5ea9,028101-040,6.58229396,53.20657547,28101,234848.26,580655.706,Abri,POINT (234848.26 580655.706)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5eaa,028156-015,6.555528,53.21838407,28156,233038.72,581940.419,Abri,POINT (233038.720340266 581940.419087388)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5eab,028690-075,6.56731864,53.20032202,28690,233859.167,579943.332,Abri,POINT (233859.167 579943.332)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5eac,028691-076,6.56869599,53.19890419,28691,233953.789,579787.066,Abri,POINT (233953.789 579787.066)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5ead,028692-077,6.57018114,53.19697423,28692,234056.556,579573.932,Abri,POINT (234056.556 579573.932)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5eae,028693-078,6.5699882,53.19695457,28693,234043.699,579571.533,Abri,POINT (234043.699 579571.533)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5eaf,029318-019,6.5563624,53.21792821,29318,233095.275,581890.596,Abri,POINT (233095.275 581890.596)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5eb0,029433-085,6.60224469,53.24717722,29433,236104.924,585196.13,Abri,POINT (236104.924 585196.13)
Bushaltes gemeente Groningen.fid-214b96d3_1861ee9c111_5eb1,029982-049,6.57226316,53.24244374,29982,234112.426,584636.036,Abri,POINT (234112.426 584636.036)
