FID,id_segment,id_gw_vz,wegnummer,baanpos,hectoltr,type,extra_info,bron_geo,hellend,helhoek,knik,buiging,topvorm,tophoek,hc_tov_sch,lengte,prim_mat,sec_mat,constr_mat,foto,datum_lw,naam_mut,folder,url_foto,gdb_geomattr_data,shape
gwv_segmenten.333,5,80,2,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Ja,Nee,Niet,0,0,164,Hout, ,Metaal,GWV_80_5.jpg,2009-07-23T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_80_5.jpg,,"LINESTRING (189859.3839999996 352797.5179999992, 189864.9200000018 352791.6160000004, 189870.3999999985 352785.84800000116, 189875.87999999896 352780.0799999982, 189883.87000000104 352770.9679999985, 189888.96700000018 352764.8289999999, 189894.5465000011 352759.1655000001, 189900.1259999983 352753.5020000003, 189907.73000000045 352743.8579999991, 189912.4210000001 352737.5560000017, 189917.77549999952 352731.60649999976, 189923.12999999896 352725.6570000015, 189930.56599999964 352716.3280000016, 189939.45800000057 352708.3779999986, 189944.08199999854 352703.006000001, 189953.1710000001 352693.79199999943, 189961.6719999984 352685.131000001, 189968.2589999996 352675.55999999866)"
gwv_segmenten.334,6,80,2,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Ja,Nee,Niet,0,0,120,Hout, ,Metaal,GWV_80_6.jpg,2009-07-23T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_80_6.jpg,,"LINESTRING (189746.2030000016 352907.98699999973, 189752.31599999964 352902.73900000006, 189758.12799999863 352897.18299999833, 189767.0639999993 352889.05000000075, 189772.97450000048 352883.7109999992, 189778.88500000164 352878.3720000014, 189784.79149999842 352873.0705000013, 189790.69799999893 352867.76900000125, 189798.86499999836 352858.6220000014, 189804.8200000003 352853.3229999989, 189810.6889999993 352847.9840000011, 189816.44700000063 352842.4279999994, 189821.9750000015 352836.56799999997, 189827.78500000015 352831.18499999866, 189833.52299999818 352825.631000001)"
gwv_segmenten.335,7,80,2,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Ja,Nee,Niet,0,0,45,Hout, ,Metaal,GWV_80_7.jpg,2009-07-23T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_80_7.jpg,,"LINESTRING (189656.90100000054 352980.1490000002, 189660.3669999987 352977.74599999934, 189669.98099999875 352970.8909999989, 189679.62900000066 352963.59800000116, 189686.43149999902 352958.4924999997, 189693.2340000011 352953.38699999824)"
gwv_segmenten.336,8,80,2,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Nee,Nee,Niet,0,0,31,Hout, ,Metaal,GWV_80_8.jpg,2009-07-23T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_80_8.jpg,,"LINESTRING (189656.90100000054 352980.1490000002, 189648.3449999988 352986.5529999994, 189639.90560000017 352991.9895000011, 189631.38100000098 352997.48099999875)"
gwv_segmenten.337,9,80,2, ,b,Scherm,Geen,Mobile Mapping,Niet,0,Nee,Nee,Niet,0,0,144,Hout, ,Metaal,GWV_80_9.jpg,2009-07-23T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_80_9.jpg,,"LINESTRING (189499.88199999928 353047.76900000125, 189511.45199999958 353050.73999999836, 189519.39200000092 353050.2340000011, 189531.46400000155 353048.09800000116, 189539.78799999878 353044.54250000045, 189548.1959999986 353040.9510000013, 189559.6959999986 353036.8280000016, 189572.00299999863 353030.7710000016, 189579.5 353026.56799999997, 189586.99700000137 353022.36499999836, 189594.41899999976 353018.2034999989, 189601.84099999815 353014.04199999943, 189609.26300000027 353009.881000001, 189616.68499999866 353005.7199999988, 189624.03299999982 353001.6004999988, 189631.38100000098 352997.48099999875)"
gwv_segmenten.338,10,80,2,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Ja,Nee,Niet,0,0,32,Glas/Kunststof Transparant,Hout,Metaal,GWV_80_10.jpg,2009-07-23T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_80_10.jpg,,"LINESTRING (189693.2340000011 352953.38699999824, 189697.7749999985 352949.756000001, 189707.00200000033 352941.81700000167, 189717.55000000075 352932.8020000011)"
gwv_segmenten.339,1,81,59, ,a,Scherm,Geen,Mobile Mapping,Niet,0,Nee,Ja,Niet,0,0,127,Beton, ,Beton,GWV_81_1.jpg,2014-02-07T00:00:00,Geomaat,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_81_1.jpg,,"LINESTRING (153435.9549999982 412678.5520000011, 153429.2190000005 412681.6409999989, 153424.5850000009 412683.26399999857, 153419.63199999928 412684.33300000057, 153414.7190000005 412684.77600000054, 153409.7589999996 412684.6259999983, 153404.80200000107 412683.8969999999, 153399.98200000077 412682.64400000125, 153395.22199999914 412680.87999999896, 153390.78200000152 412678.78500000015, 153386.44099999964 412676.37099999934, 153382.21700000018 412673.6719999984, 153374.1339999996 412667.7520000003, 153366.4210000001 412661.47019999847, 153358.62999999896 412655.125, 153352.84800000116 412650.28649999946, 153347.06599999964 412645.4479999989, 153339.15700000152 412639.2989999987, 153331.2509999983 412633.24599999934, 153327.46400000155 412630.02800000086)"
gwv_segmenten.340,2,81,59,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Nee,Ja,Niet,0,0,212,Beton, ,Beton,GWV_81_2.jpg,2009-07-13T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_81_2.jpg,,"LINESTRING (153294.5009999983 412599.52800000086, 153289.09950000048 412594.3680000007, 153283.69799999893 412589.20800000057, 153276.6788999997 412582.12579999864, 153269.58900000155 412574.97199999914, 153264.26999999955 412569.6889999993, 153258.95100000128 412564.4059999995, 153251.65040000156 412557.63269999996, 153244.27600000054 412550.79100000113, 153236.9549999982 412543.9679999985, 153229.6821999997 412537.19619999826, 153222.3359999992 412530.35599999875, 153215.01700000092 412523.55900000036, 153207.7168999985 412516.7697999999, 153200.34299999848 412509.9120000005, 153193.07070000097 412503.16059999913, 153185.7250000015 412496.34099999815, 153178.42289999872 412489.56219999865, 153171.0469999984 412482.71499999985, 153163.71400000155 412475.88599999994, 153156.36800000072 412469.08199999854, 153148.23259999976 412461.47940000147, 153140.0150000006 412453.80000000075)"
gwv_segmenten.341,3,81,59,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Nee,Nee,Niet,0,0,45,Glas/Kunststof Transparant, ,Metaal,GWV_81_3.jpg,2014-02-07T00:00:00,Geomaat,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_81_3.jpg,,"LINESTRING (153327.46400000155 412630.02800000086, 153327.46799999848 412629.7259999998, 153321.4765000008 412624.2655000016, 153315.4849999994 412618.8049999997, 153309.43299999833 412613.2899999991, 153303.38100000098 412607.7749999985, 153294.5009999983 412599.52800000086)"
gwv_segmenten.342,1,82,27,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Nee,Nee,Niet,0,0,12,Beton, ,Beton,GWV_82_1.jpg,2009-07-24T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_82_1.jpg,,"LINESTRING (123151.09099999815 418794.7120000012, 123154.5709999986 418806.22399999946)"
gwv_segmenten.343,2,82,27,Rechts, ,Scherm,Geen,Mobile Mapping,Niet,0,Nee,Nee,Niet,0,0,12,Beton, ,Beton,GWV_82_2.jpg,2009-07-24T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_82_2.jpg,,"LINESTRING (123056.09099999815 418484.9510000013, 123059.6649999991 418496.38699999824)"
gwv_segmenten.344,3,82,27,Rechts, ,Scherm,Geen,Mobile Mapping,Achterover,10,Nee,Nee,Niet,0,0,313,Beton, ,Metaal,GWV_82_3.jpg,2009-07-24T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_82_3.jpg,,"LINESTRING (123059.6649999991 418496.38699999824, 123060.16800000146 418496.1429999992, 123063.63300000131 418507.686999999, 123066.27270000055 418516.3251999989, 123068.88599999994 418524.8770000003, 123072.42799999937 418536.3500000015, 123075.07979999855 418545.0117999986, 123077.70499999821 418553.5870000012, 123081.19999999925 418565.04399999976, 123083.83419999853 418573.6988000013, 123086.44200000167 418582.2670000009, 123089.98900000006 418593.7349999994, 123093.52400000021 418605.22399999946, 123096.1948999986 418613.8561999984, 123098.83900000155 418622.40199999884, 123102.34800000116 418633.8669999987, 123105.00530000031 418642.5106999986, 123107.63599999994 418651.06799999997, 123111.16800000146 418662.55900000036, 123113.81469999999 418671.2047000006, 123116.43499999866 418679.76399999857, 123119.94299999997 418691.2650000006, 123123.43699999899 418702.7490000017, 123126.08069999889 418711.39719999954, 123128.69799999893 418719.95899999887, 123132.17700000107 418731.4470000006, 123134.8412999995 418740.0907000005, 123137.47899999842 418748.6479999982, 123140.94799999893 418760.1429999992, 123143.59930000082 418768.7837000005, 123146.22399999946 418777.3379999995, 123148.93659999967 418786.0405000001, 123151.62200000137 418794.6559999995, 123151.09099999815 418794.7120000012)"
gwv_segmenten.361,5,88,58,Rechts, ,Combinatie,Geen,Mobile Mapping,Niet,0,Nee,Nee,Niet,0,2,67,Aarde,Houtvezelbeton,Metaal,GWV_88_5.jpg,2012-08-14T00:00:00,DVS,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_88_5.jpg,,"LINESTRING (115636.43899999931 395458.881000001, 115630.39200000092 395454.7820000015, 115628.11899999902 395453.29399999976, 115625.48699999973 395451.5940000005, 115625.48299999908 395451.5610000007, 115619.81799999997 395447.7340000011, 115612.90799999982 395443.1409999989, 115606.25699999928 395438.6810000017, 115603.1799999997 395436.6499999985, 115599.57800000161 395434.26999999955, 115593.19999999925 395430.0489999987, 115586.47599999979 395425.63699999824, 115580.6409999989 395421.76099999994)"
gwv_segmenten.345,1,83,58,Rechts, ,Wal,Geen,DTB,Niet,0,Nee,Nee,Niet,70,0,910,Aarde, , ,GWV_83_1.jpg,2009-07-16T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_83_1.jpg,,"LINESTRING (128247.7899999991 394470.65300000086, 128237.02100000158 394470.2520000003, 128228.45650000125 394470.1629999988, 128219.89200000092 394470.07400000095, 128209.87909999862 394469.6730000004, 128199.7650000006 394469.2679999992, 128190.4386 394469.0824000016, 128181.01799999923 394468.89499999955, 128170.81199999899 394468.752700001, 128160.50299999863 394468.6090000011, 128151.08260000125 394468.58960000053, 128141.56700000167 394468.5700000003, 128133.13300000131 394468.4444999993, 128124.69900000095 394468.3189999983, 128116.21999999881 394468.3095000014, 128107.74100000039 394468.30000000075, 128100.46499999985 394468.37999999896, 128093.18899999931 394468.4600000009, 128085.49749999866 394468.46350000054, 128077.80600000173 394468.4670000002, 128067.63390000165 394468.61030000076, 128057.3590000011 394468.75499999896, 128049.47049999982 394468.81700000167, 128041.58199999854 394468.87900000066, 128029.67500000075 394469.48800000176, 128016.35599999875 394470.0949999988, 128003.81700000167 394470.77699999884, 127994.14440000057 394471.47989999875, 127984.3740000017 394472.19000000134, 127975.00979999825 394472.98750000075, 127965.55099999905 394473.79300000146, 127951.78599999845 394475.1469999999, 127943.87350000069 394475.7679999992, 127935.9609999992 394476.38899999857, 127925.36100000143 394477.86199999973, 127924.14999999851 394478.0300000012, 127915.3498999998 394479.2567999996, 127906.4609999992 394480.49599999934, 127897.03610000014 394481.8839999996, 127887.5159999989 394483.28599999845, 127879.1484999992 394484.561999999, 127870.7809999995 394485.8379999995, 127862.53000000119 394487.2589999996, 127854.27899999917 394488.6799999997, 127847.29699999839 394489.72150000185, 127840.31500000134 394490.76300000027, 127827.74100000039 394493.18299999833, 127816.07800000161 394495.77800000086, 127807.61800000072 394497.46499999985, 127796.27400000021 394499.90199999884, 127787.18290000036 394502.0267999992, 127778 394504.1730000004, 127770.12000000104 394506.1009999998, 127762.23999999836 394508.02899999917, 127754.19350000098 394509.999499999, 127746.14699999988 394511.9699999988, 127736.81309999898 394514.33850000054, 127727.38500000164 394516.73099999875, 127717.94669999927 394519.41640000045, 127708.41299999878 394522.12900000066, 127699.19700000063 394524.85819999874, 127689.88800000027 394527.61499999836, 127677.28519999981 394531.4048999995, 127664.5549999997 394535.2329999991, 127654.19179999828 394538.48310000077, 127643.72399999946 394541.7659999989, 127634.18519999832 394545.0648000017, 127624.55000000075 394548.3969999999, 127617.01900000125 394551.1484999992, 127609.48800000176 394553.8999999985, 127600.89139999822 394556.97890000045, 127592.20800000057 394560.08900000155, 127582.61690000072 394563.79030000046, 127572.9290000014 394567.52899999917, 127563.73389999941 394571.1726000011, 127554.4459999986 394574.8530000001, 127544.55000000075 394579.0064999983, 127534.5540000014 394583.2019999996, 127526.49419999868 394586.7520999983, 127518.35300000012 394590.3379999995, 127508.25800000131 394594.8929999992, 127498.06100000069 394599.493999999, 127486.85509999841 394604.60869999975, 127475.53599999845 394609.7749999985, 127465.47780000046 394614.7718000002, 127455.31799999997 394619.8189999983, 127445.5298999995 394624.83370000124, 127435.64299999923 394629.8990000002, 127426.86180000007 394634.4241000004, 127417.99199999869 394638.99500000104, 127409.69889999926 394643.6215999983, 127401.32200000063 394648.2950000018, 127389.85200000182 394654.6330000013, 127383.03750000149 394658.2430000007, 127376.22300000116 394661.8530000001, 127372.70899999887 394664.16699999943)"
