FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,se_anno_cad_data,gdb_geomattr_data,shape
trend_2013_100.1,400504,4,504,520,617.68,97.68,-12.08,2021,- - - - - -,3,,,"POLYGON ((142502.9539999999 601334.8900000006, 142916.11400000006 600199.7410000004, 142728.17599999905 600131.3370000012, 142315.0150000006 601266.4860000014, 142502.9539999999 601334.8900000006))"
trend_2013_100.2,400520,4,520,550,732.89,182.89,-7.2,>2023,- - - - - -,3,,,"POLYGON ((142691.9539999999 601401.8889999986, 142938.20800000057 600725.3110000007, 142750.26999999955 600656.9070000015, 142504.0150000006 601333.4849999994, 142691.9539999999 601401.8889999986))"
trend_2013_100.3,400540,4,540,570,708.56,138.56,-10.56,>2023,- - - - - -,3,,,"POLYGON ((142879.9539999999 601467.8900000006, 143241.12700000033 600475.574000001, 143053.188000001 600407.1700000018, 142692.0150000006 601399.4860000014, 142879.9539999999 601467.8900000006))"
trend_2013_100.4,400560,4,560,595,684.7,89.7,-13.55,2019,- - - - - -,3,,,"POLYGON ((143068.9530000016 601534.8900000006, 143532.3909999989 600261.6059999987, 143344.45199999958 600193.2019999996, 142881.0150000006 601466.4860000014, 143068.9530000016 601534.8900000006))"
trend_2013_100.5,400580,4,580,625,666.78,41.78,-14.18,2015,- - - - - -,3,,,"POLYGON ((143256.9539999999 601601.8900000006, 143741.9389999993 600269.4050000012, 143554 600201.0009999983, 143069.0150000006 601533.4860000014, 143256.9539999999 601601.8900000006))"
trend_2013_100.6,400600,4,600,690,648.24,-41.76,-14.26,-,1 - - - - -,4,,,"POLYGON ((143451.9530000016 601669.8889999986, 143939.67399999872 600329.8880000003, 143751.73600000143 600261.4840000011, 143264.0150000006 601601.4849999994, 143451.9530000016 601669.8889999986))"
trend_2013_100.7,400620,4,620,690,642.52,-47.48,-15.44,-,1 - - - - -,4,,,"POLYGON ((143639.9539999999 601736.8900000006, 144168.03299999982 600286.0040000007, 143980.0949999988 600217.6000000015, 143452.0150000006 601668.4860000014, 143639.9539999999 601736.8900000006))"
trend_2013_100.8,400640,4,640,720,654.09,-65.91,-14.2,-,1 - - - - -,4,,,"POLYGON ((143828.9539999999 601802.8900000006, 144314.62200000137 600468.5260000005, 144126.68299999833 600400.1220000014, 143641.0150000006 601734.4849999994, 143828.9539999999 601802.8900000006))"
trend_2013_100.9,400660,4,660,730,655.25,-74.75,-13.42,-,1 - - - - -,4,,,"POLYGON ((144017.9539999999 601869.8889999986, 144476.9450000003 600608.8220000006, 144289.00600000098 600540.4180000015, 143830.0150000006 601801.4849999994, 144017.9539999999 601869.8889999986))"
trend_2013_100.10,400680,4,680,735,673.8,-61.2,-10.69,-,1 - - - - -,4,,,"POLYGON ((144205.9539999999 601935.8900000006, 144571.57299999893 600931.3579999991, 144383.63500000164 600862.9539999999, 144018.0150000006 601867.4860000014, 144205.9539999999 601935.8900000006))"
trend_2013_100.11,703150,7,3150,-31,40.61,71.61,1.86,-,- - 3 - 5 -,1,,,"POLYGON ((102728.2659999989 521274.62000000104, 102543.65300000086 521297.2879999988, 102568.02699999884 521495.7969999984, 102752.6400000006 521473.12999999896, 102728.2659999989 521274.62000000104))"
trend_2013_100.12,703175,7,3175,-18,51.87,69.87,1.65,-,- - 3 - 5 -,1,,,"POLYGON ((102700.2659999989 521026.62099999934, 102536.49599999934 521046.7289999984, 102560.87000000104 521245.23800000176, 102724.6400000006 521225.12999999896, 102700.2659999989 521026.62099999934))"
trend_2013_100.13,703200,7,3200,-20,54.87,74.87,-1.17,>2023,- - 3 - 5 -,3,,,"POLYGON ((102694.6400000006 520973.12999999896, 102810.76799999923 520958.87099999934, 102786.39400000125 520760.36199999973, 102670.2659999989 520774.62099999934, 102694.6400000006 520973.12999999896))"
