Nummer;Totaal van;Jaar;Maand;Toezichtsmaatregel;Aantal uitstroom
1;Jaar;2021;*Alle*;*Alle*;2680
2;Jaar, Toezichtsmaatregel;2021;*Alle*;Bevel terugkeer EU lidstaat;460
2;Jaar, Toezichtsmaatregel;2021;*Alle*;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);1250
2;Jaar, Toezichtsmaatregel;2021;*Alle*;Periodieke meldplicht met een overdrachtsdossier aan DT&V;220
2;Jaar, Toezichtsmaatregel;2021;*Alle*;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;750
3;Jaar, Maand;2021;01;*Alle*;260
3;Jaar, Maand;2021;02;*Alle*;230
3;Jaar, Maand;2021;03;*Alle*;310
3;Jaar, Maand;2021;04;*Alle*;290
3;Jaar, Maand;2021;05;*Alle*;290
3;Jaar, Maand;2021;06;*Alle*;220
3;Jaar, Maand;2021;07;*Alle*;200
3;Jaar, Maand;2021;08;*Alle*;170
3;Jaar, Maand;2021;09;*Alle*;180
3;Jaar, Maand;2021;10;*Alle*;210
3;Jaar, Maand;2021;11;*Alle*;180
3;Jaar, Maand;2021;12;*Alle*;170
4;Jaar, Maand, Toezichtsmaatregel;2021;01;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2021;01;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);140
4;Jaar, Maand, Toezichtsmaatregel;2021;01;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2021;01;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2021;02;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2021;02;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);120
4;Jaar, Maand, Toezichtsmaatregel;2021;02;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2021;02;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2021;03;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2021;03;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);170
4;Jaar, Maand, Toezichtsmaatregel;2021;03;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2021;03;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2021;04;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2021;04;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);160
4;Jaar, Maand, Toezichtsmaatregel;2021;04;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2021;04;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2021;05;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2021;05;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);150
4;Jaar, Maand, Toezichtsmaatregel;2021;05;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2021;05;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2021;06;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2021;06;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);100
4;Jaar, Maand, Toezichtsmaatregel;2021;06;Periodieke meldplicht met een overdrachtsdossier aan DT&V;10
4;Jaar, Maand, Toezichtsmaatregel;2021;06;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2021;07;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2021;07;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);70
4;Jaar, Maand, Toezichtsmaatregel;2021;07;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2021;07;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2021;08;Bevel terugkeer EU lidstaat;20
4;Jaar, Maand, Toezichtsmaatregel;2021;08;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);80
4;Jaar, Maand, Toezichtsmaatregel;2021;08;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2021;08;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2021;09;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2021;09;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);60
4;Jaar, Maand, Toezichtsmaatregel;2021;09;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2021;09;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2021;10;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2021;10;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);80
4;Jaar, Maand, Toezichtsmaatregel;2021;10;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2021;10;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2021;11;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2021;11;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);60
4;Jaar, Maand, Toezichtsmaatregel;2021;11;Periodieke meldplicht met een overdrachtsdossier aan DT&V;10
