ZK_VOLGNR;SUBSIDIEJAAR;SUBSIDIEREGELING;NAAM_ACTIVITEIT_OF_PROJECTNAAM;RESULTAAT;VOORLOPIG_BEDRAG;DEFINITIEF_BEDRAG;AANVRAGER;KVK
2043668;2018;Amateurkunst en Cultuur;Diverse activiteiten;Verleend;45.678;;Stichting Theatermijn;56.569.157
2010822;2018;Amateurkunst en Cultuur;Facetten van de kunst, Over Bruggen;Verleend;3.928;;Stichting Facetten van de kunst;34.163.377
2011042;2018;Amateurkunst en Cultuur;ja, Jazz Inverdan;Verleend;6.006;;Stichting t Lab;9.007.805
2073302;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verleend;6.769;;Tengel;41.232.182
2246976;2018;Amateurkunst en Cultuur;Leven onder zeeniveau;Verleend;7.710;;Vereniging de Zaansche Molen;40.617.195
2238920;2018;Amateurkunst en Cultuur;Pop-Up Museum of Humanity;Verleend;7.500;;Museum of Humanity;70.990.352
2023817;2018;Amateurkunst en Cultuur;voorronden regionaal concours klassiek in Zaanstad;Verleend;7.500;;Prinses Christina Concours;41.155.432
2238371;2018;Amateurkunst en Cultuur;Zaans Verleden (1-6-2018);Verleend;9.366;;Stg. De Kunstbrigade op School;57.507.643
2010911;2018;Amateurkunst en Cultuur;Zaanse eigen(zinnig)heid in de metropool;Verleend;13.598;;Stichting Babel;34.187.379
2399768;2018;Amateurkunst en Cultuur;Een halve eeuw in Nederland;Verleend en Vastgesteld conform;;6.744;Stichting Atlas Cultureel Centrum;62.249.541
2238460;2018;Amateurkunst en Cultuur;iktoondeZaanstreek (1-6-2018);Verleend en Vastgesteld conform;;10.000;FluXus, centrum voor de kunsten;34.130.291
2238521;2018;Amateurkunst en Cultuur;Streets of the World - Music Festival;Verleend en Vastgesteld conform;;8.000;Streets of our World Foundation;34.375.597
2325348;2018;Amateurkunst en Cultuur;Struinen in de Tuinen;Verleend en Vastgesteld conform;;5.763;Stichting de Cultuurbrigade;55.285.945
2457184;2018;Amateurkunst en Cultuur;Zaanstreek Fashion Challenge 2018;Verleend en Vastgesteld conform;;7.667;Stichting Binnenstadsmanagement Zaanstad;34.238.843
1718079;2018;Amateurkunst en Cultuur;Gluren bij de Buren;Verleend en Vastgesteld op nul;;0;Stichting de Cultuurbrigade;55.285.945
2008954;2018;Amateurkunst en Cultuur;Collegium Vocale Zaandam 9 Bach cantates en 1 carol concert in de Bullekerk;Verstrekt;;1.524;Collegium Vocale Zaandam;34.191.654
2404522;2018;Amateurkunst en Cultuur;Concert pop-upkoor;Verstrekt;;311;Stichting EMF;65.354.125
1993722;2018;Amateurkunst en Cultuur;concerten;Verstrekt;;864;Gemengde Zangvereniging Daniel de Lange;40.617.676
1907548;2018;Amateurkunst en Cultuur;concertreeks Roots aan de Zaan, 2017;Verstrekt;;2.176;Stichting Roots aan de Zaan;57.438.935
2009864;2018;Amateurkunst en Cultuur;De Culinaire Verleiding;Verstrekt;;4.323;Pepper Events & Catering;52.486.044
2466797;2018;Amateurkunst en Cultuur;De Dag van Westzaan - Pop Up;Verstrekt;;1.819;Westzaanse Gemeenschap;40.647.227
2597104;2018;Amateurkunst en Cultuur;Dutch Dance Competition;Verstrekt;;3.328;Dutch Dance Competition;66.500.265
2439519;2018;Amateurkunst en Cultuur;Erfgoedmarkt 2018;Verstrekt;;2.334;Vereniging Zaans Erfgoed;815.748.188
2008651;2018;Amateurkunst en Cultuur;Festival Muziek op de Gracht;Verstrekt;;3.000;Chr. muziekvereniging Soli Deo Gloria;40.617.123
2237524;2018;Amateurkunst en Cultuur;festival Muziek op de Gracht;Verstrekt;;656;Chr. muziekvereniging Soli Deo Gloria;40.617.123
2784757;2018;Amateurkunst en Cultuur;Groot Zaans Kerstconcert;Verstrekt;;948;Zaans Interkerkelijk Mannenkoor;406.117.831
2176319;2018;Amateurkunst en Cultuur;India Day Holland;Verstrekt;;1.070;Stichting Indian Light;52.619.850
1965441;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;813;Westzaans Dameskoor;40.617.227
1969632;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;2.540;Muziekvereniging Harmonie APOLLO Zaandijk;40.617.238
1981274;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;3.000;Het Zaans Showorkest;40.617.120
1975558;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;1.355;Zaans Symfonie Orkest;40.617.376
2057704;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;3.000;Jeugdharmonie NUEVO;34.143.555
2038838;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;593;Zaanse Big Band;40.617.725
2000864;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;3.143;Stg. Nieuwe Huys Concerten;34.393.989
2002337;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;1.934;Stichting de Muziekkamer;41.231.932
2008298;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;967;Historische Vereniging Koog-Zaandijk;34.319.259
2003934;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;4.209;Zaans Centrum voor Amateurtoneel;40.617.792
2000947;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;1.397;West Side Sound;40.617.878
1995956;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;830;Theatergroep Assendelft;40.618.228
1992606;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;4.234;Zaandamse Operette Vereniging Czaar Peter;40.617.262
2008537;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;1.418;t Zingt Geheid;34.187.470
1958748;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;812;PPG Paletkwartet;35.030.800
2010585;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;2.000;Christelijke Oratoriumvereniging Zaanstreek, COV;40.617.193
2027045;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;466;Popkoor ongeremd;34.315.252
2009938;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;1.270;A Capella Koor Cantabile;40.617.624
2011052;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;3.000;Muziekvereniging Crescendo Assendelft;40.617.216
1996027;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;3.000;Harmonie Soli Deo Gloria Koog Zaandijk;40.617.201
2005470;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;677;Muziekvereniging Onderling Genoegen - Koor Go4Singing!;40.717.250
1990333;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;2.007;Dagorkest Zaanstreek Waterland;34.343.790
2003382;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;1.490;IGK Revival;40.617.903
2010205;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;785;Stichting Recital;41.231.995
2079524;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;305;Woodside Bigband;35.030.178
1996116;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;3.000;Muziek Organisatie Krommenie;40.617.133
2003399;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;2.000;Koor Kaskedieze;34.154.939
1980899;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;2.000;Krommenieer Schilderskring KSK80;40.617.609
2037298;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;2.222;Stg. ter bevordering Oude Jazz;41.231.533
1996153;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;3.000;Het Saens Harmonie-orkest;34.167.803
2383029;2018;Amateurkunst en Cultuur;Jaarlijkse subsidie;Verstrekt;;949;Toneelvereniging Rhetorica;40.617.390
1964928;2018;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;483;Akkordeonorkest Con Piacere;40.618.035
1995265;2018;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;1.863;Popkoor Vocal Invention;40.618.206
1966511;2018;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;2.400;Zaandijks Fanfare Corps;40.617.018
2011140;2018;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;2.500;Muziekvereniging Het Gilde;40.618.104
1985405;2018;Amateurkunst en Cultuur;Jaarsubsidie 2018;Verstrekt;;3.000;T.T.M. Simson;34.166.102
2041467;2018;Amateurkunst en Cultuur;Mens durf te lezen! De literaire salon van de Zaanstreek;Verstrekt;;1.500;Stichting It Happened One Night Theaterproducties;56.014.899
