MAATREGEL;OPMERKING;PLAATSINGSDATUM;BOUWJAAR;LEEFTIJD;OMSCHRIJVING;UITGEVOERD;JAAR_GEREALISEERD;ECO_CODE;IMGEO_KUNSTWERK_TYPE_CODE;IMGEO_KUNSTWERK_TYPE_OMSC;GEBIED_ID;GEBIED_CODE;GEBIED_OMSC;IMGEO_KUNSTWERKDEELTYPE_P_CODE;IMGEO_KUNSTWERKDEELTYPE_P_OMSC;BUURT_ID;BUURT_CODE;BUURT_OMSC;IMGEO_PLUS_STATUS_CODE;IMGEO_PLUS_STATUS_OMSC;STRAAT_CODE;STRAAT_OMSC;BEHEERDER_CODE;BEHEERDER_OMSC;EIGENAAR_CODE;EIGENAAR_OMSC;FAUNAVOORZIENINGTYPE_CODE;FAUNAVOORZIENINGTYPE_OMSC;COUNTER;ID;GUID
;"droge, rechthoekige tunnels in de rijbaan, lichtinval door openingen in het plafond van de tunnels, Code Groenbedijf 21.2;";;;;Ecotunnel onder de rijbanen van de Lozerlaan waarbij stuk middenberm open is, nabij het flat met de ronde markering (nr. 1117 t/m 1375);Ja;;GA A;NBGT;niet BGT;2395828;;Groene Assen Zuidwestzone;NBGT_FVZ;faunavoorziening;30231;96;Zijden, Steden en Zichten;;;;;;;;;ET;Ecotunnel;38;138948;{C49CD9ED-F5AD-4772-9E3C-67AC9340F3AC}
;"droge, rechthoekige tunnels in de rijbaan, lichtinval door openingen in het plafond van de tunnels, Code Groenbedrijf: 21.1;";;;;Ecotunnel onder de rijbanen van de Lozerlaan waarbij stuk middenberm open is, nabij het flat met de vierkante markering (nr. 659 t/m 917);Ja;;GA A;NBGT;niet BGT;2395828;;Groene Assen Zuidwestzone;NBGT_FVZ;faunavoorziening;30231;96;Zijden, Steden en Zichten;;;;;;;;;ET;Ecotunnel;39;138949;{172D6C36-D144-4637-9619-B2012F2E6A7A}
Stobbenwal aanleggen voor afscherming en geleiding. Opening aan kant caravandealer vrijmaken. ;"droge, ronde betonnen tunnel, Code groenbedrijf: 13; ";;;;Ecotunnel nabij de kruising Erasmusweg/Laan van Wateringse Veld;Ja;;GA EP8 / EZ C;NBGT;niet BGT;15163;177;Functioneel gebied IMGeo;NBGT_FVZ;faunavoorziening;30236;101;Erasmus Veld;;;;;;;;;ET;Ecotunnel;40;138961;{5215A824-5787-408A-A29B-8FE563AF4C51}
Ecotunnel met lichtkoker in de middenberm en geleiding aanleggen;meeliften met onderhoud/reconstructie;;;;Ecotunnel onder de Kijkduisestraat nabij de kruising met de Machiel Vrijenhoeklaan (kant  Heliotroplaan) gewenst;Nee;;HB 14;NBGT;niet BGT;117530;;Haagse Beekzone;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;ET;Ecotunnel;41;138963;{9FEEF6AA-523D-4355-92E6-57C8B9FD971B}
tunnel en geleiding aanleggen;"Code Groenbedrijf: 20.4.3; rechthoekige betonnen tunnel, plafond is rooster dat onderdeel is van de weg";;;;Ecotunnel onder de Middelweg achter lichtmast 16;Ja;;YB BN6;NBGT;niet BGT;1199151;;Groen gemeente Delft;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;ET;Ecotunnel;42;193673;{DB078705-ACD7-4E21-8F32-18D1FF1C236C}
;Rechthoekige betonnen tunnel, plafond is rooster, Code Groenbedrijf: 20.4.4;;;;Ecotunnel als verbinding van de sloten tussen Middelweg 6 en Hennegras 6;Ja;;YB BN7;NBGT;niet BGT;1223704;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30250;115;De Bras;;;;;;;;;ET;Ecotunnel;43;193679;{1F57C031-A473-4746-9E05-E3F5E08D800E}
tunnel met geleiding aanleggen;"Code Groenbedrijf: 20.4.2; Rechthoekige betonnen tunnel, plafond is rooster dat onderdeel is van de weg";;;;Ecotunnel onder de Middelweg nabij lichtmast 19;Ja;;YB BN5;NBGT;niet BGT;1199151;;Groen gemeente Delft;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;ET;Ecotunnel;44;193688;{A980A762-91E6-4D8F-A2A8-C21649576672}
;halfronde betonnen tunnel, Code Groenbedrijf: 20.2;;;;Ecotunnel onder de Middelweg tussen de kruisingen met de Oeverwallaan en het Zomereik;Ja;;YB BN2;NBGT;niet BGT;;;;NBGT_FVZ;faunavoorziening;30250;115;De Bras;;;;;;;;;ET;Ecotunnel;45;193822;{1CE010F4-8E99-4557-AE86-416A36B5B51C}
;Halfronde betonnen tunnel, Code Groenbedrijf: 20.1;;;;Ecotunnel onder de Middelweg tussen de kruisingen met het Zomereik en de Gele Lis;Ja;;YB BN1;NBGT;niet BGT;117449;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30250;115;De Bras;;;;;;;;;ET;Ecotunnel;46;193823;{EA901C65-A966-4AAA-AE68-1B014DC9681C}
;rechthoekige betonnen tunnel, plafond is rooster dat onderdeel van de weg is, TUNNEL DOODLOPEND ! Code Groenbedrijf: 20.4.1;;;;Ecotunnel onder de Gele Lis nabij de kruising met de Middelweg;Ja;;YB BN4;NBGT;niet BGT;117449;;Ypenburgzone;NBGT_FVZ;faunavoorziening;30250;115;De Bras;;;;;;;;;ET;Ecotunnel;47;193824;{5C22F3C5-A907-40F0-B588-7590B3A31901}
Ecotunnel met lichtkoker in de middenberm en geleiding aanleggen;uitvoering wenselijk, wacht op herinrichting Deltaplein / Kijkduinsestraat;;;;Ecotunnel onder de Kijkdu8insestraat ter hoogte van de Haagse Beek (kant van de zee) gewenst;Nee;;HB 19;NBGT;niet BGT;117555;;Haagse Beekzone;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;ET;Ecotunnel;48;118644;{62F9ED25-4ED2-4910-AF16-7D1BF1A01278}
Ecotunnel en geleiding op het punt waar de Broeksloot kruist met de Rijswijkseweg aanleggen;uitvoering wenselijk, door tramsporen is uitvoering alleen in combinatie met ander project (herinrichting, vervanging sporen) mogelijk;;;;Ecotunnel onder de Rijswijkseweg nabij de grens met Rijswijk (Haagweg) gewenst;Nee;;LZ 12;NBGT;niet BGT;117663;;Laakzone;NBGT_FVZ;faunavoorziening;;;;;;;;;;;;ET;Ecotunnel;49;118646;{63656373-72F7-4195-B4F8-CFD6A4BBE887}
