;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
2BEMOVED B.V.;;;;;1;;1
2KNOWHOW, art of change B.V.;;;;1;;;1
3-tact;;;;1;;;1
5hart-IT Opleidingen B.V.;;;;2;;;2
7Day;1;;;;;;1
A. Zuurmond Beheer B.V.;;;;1;;;1
A5tien B.V.;;;;1;;1;1
Abel Tasman;;1;;;;;1
ABGL B.V.;;;3;;;;3
Academie voor Organisatiecultuur B.V.;;;;1;;;1
Academie voor Vastgoed B.V.;;;;1;;;1
Academy Payroll Professionals;;;;3;;;3
ADERA - CS 60040;;;;;;1;1
AG Connect B.V.;;;1;;;;1
Agile Experts;;;;1;;;1
Agile Scrum Group B.V.;;;;1;;;1
AGRIVAKNET;;;;1;;;1
Aikido at Work;;;;2;;;2
Alex Boon;;;;1;;;1
All Ears Hoorzorg;1;;;;;;1
Always Better Consultancy B.V.;;;;2;;;2
Amazing Bread Company B.V.;;1;;;;;1
Amerpodia B.V.;;1;;;;;1
Amier Restaurant B.V.;;1;;;;;1
Anne&Max Utrecht;;1;;;;;1
AOG Contractonderwijs B.V.;;;;1;;;1
Ardis Opleidingen B.V.;;;;1;;;1
Ardis Organisatieontwikkeling B.V.;;;;2;;;2
ARQ IVP B.V.;1;;;;;;1
Array Media B.V.;;;;;;1;1
Art of Co-creation;;;;2;;;2
AURORA commu-nautiek;;;;1;;;1
Automotive Publishing B.V.;;;;1;;;1
Avans Hogeschool MB B.V.;;;;1;;;1
Avisi Group B.V.;;;;1;;;1
AVK Training & Coaching;;;;1;;;1
B+B Vakmedianet B.V.;;;;1;;1;1
Bakkerij Schuurmans;;1;;;;;1
Banketbakkerij Boheemen;;1;;;;;1
Bar Restaurant Pavlov B.V.;;1;;;;;1
Basement Productions B.V.;;;;1;;;1
Bastion Holding B.V.;;;;;;1;1
Beach Club WOW;;1;;;;;1
Behavior Change Group B.V.;;;;1;;;1
Beleving aan zee;;1;;;;;1
Beneden Bvba;;;;;1;;1
Berenschot B.V.;;;;2;;;2
Beroepsvereniging Vide;;;;;;1;1
Bestuursacademie Nederland Opleidingen B.V.;;;;2;;;2
Beter Horen B.V.;1;;;;;;1
Biesbosch Museum;;1;;;;;1
BIJ12;;1;;;;;1
Bloom Flowerstudio;;1;;;;;1
Boer Bos Management van Natuurtalent;;1;;;;;1
BoerenNatuur.nl;;;;;;1;1
Boertien Vergouwen Overduin B.V.;;;;1;;;1
BoFit B.V.;;;;1;;;1
Boost Events;;1;;;;;1
Bowlen & Zo B.V.;;1;;;;;1
Bowling Scheveningen B.V.;;1;;;;;1
Bowlingcentrum Groeneveld;;1;;;;;1
Brain Box Mediatraining B.V.;;;;1;;;1
Brasserie Soho B.V.;;1;;;;;1
Brasserie Westbeer;;1;;;;;1
Bridge2learn;;;;1;;;1
Bruker Nederland B.V.;;;;1;;;1
BSN International Holding B.V.;;;;2;;;2
Buitengoed de Boomgaard;;1;;;;;1
Bundesamt für Verbraucherschutz und Lebensmittelsicherheit;;;;1;;;1
Bundesamt für Verbraucherschutz und Lebensmittelsicherheit.;;;;;;1;1
Bureau Beweeglijk;;;;2;;;2
Bureau Tromp B.V.;;;;1;;;1
Bureau Tw!st;;1;;;;;1
Bureau WAT;;;;2;;;2
Bureau Zuidema B.V.;;;;1;;;1
Bureau Zuidema Learning Solutions B.V.;;;;2;;;2
Burgundy Street B.V.;;1;;;;;1
BuroEvent;;1;;;;;1
Burrata Kortenaer B.V.;;1;;;;;1
Burrata Turfmarkt B.V.;;1;;;;;1
Business Matchmaker;;;;;;1;1
C.R.M. van Veen B.V.;;;;1;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;1;;;;;1
Café/Restaurant 'De Zwarte Ruiter';;1;;;;;1
Café-Restaurant Pan;;1;;;;;1
Café-Restaurant Wielens V.O.F.;;1;;;;;1
Camps Optiek;1;;;;;;1
Canast B.V.;;;;1;;;1
CAOP;;;;;;1;1
Career Rebels;;;;;;1;1
Carl Lens Search Partners B.V.;;;2;;;;2
Cedere B.V.;;;;1;;;1
Centrale Wapenhandel Dorhout Mees B.V.;;;;2;;;2
CIBIT Adviseurs/Opleiders;;;;2;;;2
CIRFOOD Netherlands B.V.;;1;;;;;1
