Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
Huisartsenpraktijk M.K. Balk;1;;;;;;1
Ilse Kaldenbach;;;1;;;;1
Impuls B.V.;1;;;;;;1
in60seconds;;;2;;;;2
InnoValor B.V.;2;;;;;;2
Interactive Acts;1;;;;;;1
Interstroom Informatietechnologie B.V.;;;;;1;;1
Investiga B.V.;5;;;;;;5
iQibt B.V.;1;;;;;;1
Its;;;5;;;;5
IT-Staffing Nederland B.V.;;;;;;2;2
IVA Onderwijs B.V.;;;2;;;;2
J. de Haan;;;1;;;;1
J. van der Wal;1;;;;;;1
J.G. Visser;;;2;;;;2
J.H.A. van der Schoot Consultancy;;;1;;;;1
JA Jenster Advies;;;1;;;;1
JMB Paintings Conservation;;;;;;2;2
Jojanneke Clarijs Cultuurhistorie;;;1;;;;1
Jolie Kalmijn Architectuurhistorie;;;1;;;;1
K.J. Burlage, huisarts;1;;;;;;1
Kijk op beroepsonderwijs;1;;;;;;1
Kila Taaltraining;;;1;;;;1
KlompHSM;;;1;;;;1
Kopwerk;;;2;;;;2
KPMG Management Services B.V.;1;2;2;;;;3
KWK Huisvesting B.V.;;;2;;;;2
La Vita Sana voedingsadviesbureau;1;;;;;;1
Landelijke Studentenvakbond;1;;;;;;1
Lasaulec B.V.;1;;;;;;1
Lentis Zorgonderneming B.V.;1;;;;;;1
Lidwien Wösten Restauratie van Schilderijen;;;;;;2;2
Liedewij Beheersmaatschappij B.V.;;;1;;;;1
Lisette van Baars meubelrestauratie;;;2;;;;2
LTP Advies B.V.;1;;;;;;1
M. Schrijver;;;1;;;;1
M. Spaander;;;1;;;;1
M.A. Kooiman;;;1;;;;1
M.K.V. Advies & Training;;;1;;;;1
Maatsch. Chirurgen Medisch Centrum Haaglanden;1;;;;;;1
Maatschap Huisartsen Holten;1;;;;;;1
Margalith Kleijwegt;;;2;;;;2
Marianne van der Weiden Onderwijsadvies;1;;;;;;1
Maro B.V.;2;;;;1;;2
Martijn Soeterbroek;;;1;;;;1
Martini Advocaten;;;;1;;;1
Matthijs de Boer Stedenbouw B.V.;;;2;;;;2
Mei Communicatie;;;1;;;;1
Meurs HRM;1;;;;;;1
Mexon Technology B.V.;;3;;;;;3
Michiel Zonneveld;;;1;;;;1
Mieke Bello Bestuursadvies;;1;1;;;;1
Mijn voedingscoach.nl;1;;;;;;1
Mirjam Offringa;1;;;;;;1
Monique Staal, Papierrestauratie;;;1;;;;1
Move Next B.V.;1;;;;;;1
Mr M.J. Meijer Notarissen N.V.;;;;3;;;3
Musonia;;;2;;;;2
Muzjolie Muziekservice;;;1;;;;1
MWM2 B.V.;3;;;;;;3
Nadia Wilting Restaurator;;;2;;;2;3
Nationale Beeldbank B.V.;1;;;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;2;;;;2
Negometrix B.V.;2;;;;;;2
Nexus E-ducatie;;;1;;;;1
NLO Shieldmark B.V.;1;;;;;;1
Novagraaf Nederland B.V.;1;;;;;;1
Nsob;;;2;;;;2
Octrooibureau Lioc;;;1;;;;1
Oldewarris Advies;1;;1;;;;1
Onderneem 't - Projecten;1;;;;;;1
Onderwijsit;;;1;;;;1
Overduin;;;1;;;;1
Parasoft Netherlands B.V.;;;;;1;;1
PartyVerhuur Ten Boer;1;;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;1;;;;;;1
Peters Techniek;;;1;;;;1
Picturae ICT B.V.;;;1;;;;1
Pinit Consultancy B.V.;3;;;;;;3
PlasBossinade Notarissen N.V.;1;;;2;;;2
Plus Delta B.V.;;;1;;;;1
Postcode.NL B.V.;;;;;1;;1
Prisma-IT B.V.;;;;;1;;1
Pro -Tact;4;;;;;;4
QNH Consulting Midden B.V.;1;;;;;;1
QuoVadis Trustlink B.V.;1;;;;;;1
R. van der Hoek;;;1;;;;1
Raamwerk advies en tekst;;;2;;;;2
RAAP Archeolog. Adviesbureau Oost Nederland;;;4;;;;4
Randstad HR Solutions B.V.;2;;;;;;2
Randstad Payroll Solutions Projecten B.V.;;;1;;;2;2
Regioplan Beleidsonderzoek B.V.;;;2;;;;2
ResearchNed B.V.;;;1;;;;1
Respectief B.V.;;2;;;;;2
Restaura;;;1;;;;1
Restauratieatelier Mandy Slager;;;1;;;;1
Rob Driessen;;;;1;;;1
Roelvink Advocatenkantoor B.V.;;;;1;;;1
Ronald de Jager;;;1;;;;1
RONT Management Consultants B.V.;;1;;;;;1
Rotaform Systeemtechniek;1;;;;;;1
Rris;3;;1;;;;3
S. Luiijf;;;1;;;;1
SBadvies;;;1;;;;1
Schouten bedrijfstrainingen;;;1;;;;1
SDL Tridion B.V.;;;;;1;;1
SecureLink Nederland B.V.;1;;;;;;1
Sense FM B.V.;;;1;;;;1
Sezen Kapan;;;2;;;;2
Sights;;;;;1;;1
Significant B.V.;2;;;;;;2
SJB Media B.V.;1;;;;;;1
Sociaal Economisch OndeRzoek Rotterdam B.V.;;;2;;;;2
Sogeti Nederland B.V.;6;2;;;;;6
Sparkle;1;;;;;;1
Spir-It Sourcing Solutions B.V.;2;;;;;;2
Sprengers Advocaten;1;;;1;;;2
Stg. Expert.centr. Ber.onderw. (Stg. ecbo);;;2;;;;2
Stg. Kenniscentrum Center People & Buildings;1;;;;;;1
Stibbe N.V.;;1;;;;;1
Stichting Administratiekantoor Nedstat;;;;;;1;1
Stichting Bartiméus Sonneheerdt;1;;;;;;1
Stichting Bredero;1;;;;;;1
Stichting De Hoop;1;;;;;;1
Stichting Deltares;;;3;;;;3
Stichting EP-Nuffic;;6;;;;;6
Stichting GGz Breburg Groep;1;;;;;;1
Stichting Hogeschool van Arnhem en Nijmegen;;;1;;;;1
Stichting Oberon;;;2;;;;2
Stichting Reprorecht;1;;;;;;1
Stolk Schildersbedrijf;;;1;;;;1
Strix Aluco - onderzoek & innovatie;;;;;1;;1
Studio Hans Lemmens;;;1;;;;1
Sue McDonnell Translation;;;1;;;;1
SV Land B.V.;6;;;;;;6
Synergy Health Ede B.V.;;;1;;;;1
Tacstone Consulting B.V.;;2;;;;;2
Target imedia B.V.;2;;;;;;2
Taxata;;;2;1;;;2
Taxi Hotax;1;;;;;;1
Technopolis B.V.;;;2;;;;2
The European Innovation Delta;1;;;;;;1
Theaterland;1;;;;;;1
thomas van daalen ontwerp;;1;;;;;1
Time;;;1;;;;1
TNS Nipo B.V.;;;2;;;;2
Toetsbureau Dijkhuis;;;1;;;;1
Tolsma Advies;1;;;;;;1
Totality Informatisering B.V.;2;;4;;;2;4
Tremani;1;;;;;;1
Turner Services B.V.;2;;;;;;2
Uitgeverij Natuurmedia;;;1;;;;1
Vakgroep Restauratie;;;1;;;;1
Van Arkel Gerechtsdeurwaarders;1;;;;;;1
Van Campen Consulting;1;;;;;;1
Vanberkel Professionals B.V.;;;;;;2;2
VDD Iqware B.V.;1;;;;;;1
Veerman Conserv./Restauratie van Schilderijen;;;1;;;;1
Veldkamp Marktonderzoek B.V.;;;2;;;;2
Verdonck, Klooster & Associates B.V.;;;2;;;;2
Verhees-voor-landschap;;;1;;;;1
Vestigia B.V.;;;2;;;;2
Visio Het Loo Erf;1;;;;;;1
Voetverzorging Prinsenhof;;;1;;;;1
Vriens Archeo Flex B.V.;;1;1;;;;2
werk&bouw;;;;1;;;1
Wibbens Arbeidskundig advies;1;;;;;;1
Wiegers Foto-Vaklaboratorium;;;1;;;;1
Wigo's Audio Support;1;;;;;;1
Wijmans Cultuurperspectief;;;1;;;;1
WING Process Consultancy B.V.;;;2;;;;2
Xlane B.V.;;;2;;;;2
Your Source;;;1;;;;1
Yvonne Coppens;1;;;;;;1
Zazou;1;;;;;;1
Ziggo B.V.;1;;;;;;1
Eindtotaal;8;6;7;4;4;5;9
