WIJKCODE,WIJKNAAM,OPPERVLAK
1,Oostduinen,3085060
10,Zorgvliet,875516
11,Duinoord,678067
12,Bomen- en Bloemenbuurt,1424523
13,Vogelwijk,2716606
14,Bohemen en Meer en Bos,1268717
15,Kijkduin en Ockenburgh,4909284
16,Kraayenstein en Vroondaal,3361338
17,Loosduinen,2741825
18,Waldeck,1853482
19,Vruchtenbuurt,1036415
2,Belgisch Park,972968
20,Valkenboskwartier,1069929
21,Regentessekwartier,942399
22,Zeeheldenkwartier,812819
23,Willemspark,345817
24,Haagse Bos,1277112
25,Mariahoeve en Marlot,3091156
26,Bezuidenhout,1926941
27,Stationsbuurt,937312
28,Centrum,2046094
29,Schildersbuurt,1464599
3,Westbroekpark en Duttendel,1791382
30,Transvaalkwartier,819118
31,Rustenburg en Oostbroek,946240
32,Leyenburg,1353530
33,Bouwlust,4283470
34,Morgenstond,1693841
35,Zuiderpark,1082119
36,Moerwijk,1802412
37,Groente- en Fruitmarkt,495612
38,Laakkwartier en Spoorwijk,2806580
39,Binckhorst,1455620
4,Benoordenhout,2744299
40,Wateringse Veld,3277503
41,Hoornwijk,3724021
42,Ypenburg,5056216
43,Forepark,3035450
44,Leidschenveen,3759667
5,Archipelbuurt,871291
6,Van Stolkpark en Scheveningse Bosjes,1114379
7,Scheveningen,2469867
8,Duindorp,847247
9,Geuzen- en Statenkwartier,1351610
