FID,gdb_geomattr_data,shape
water_nacht.1,,"POLYGON ((187025.7520999983 323852.4796999991, 187042.84589999914 323836.8236999996, 187043.76630000025 323830.0806999989, 187057.91950000077 323827.5720999986, 187070.1741000004 323812.92909999937, 187036.9461000003 323813.17009999976, 187023.9125000015 323822.5190999992, 187013.4701000005 323841.8231000006, 187025.7520999983 323852.4796999991))"
water_nacht.2,,"POLYGON ((182054.30970000103 324629.6801000014, 182059.62269999832 324627.15410000086, 181780.09710000083 324171.3770999983, 181766.12469999865 324171.0538999997, 182054.30970000103 324629.6801000014))"
water_nacht.3,,"POLYGON ((184709.34369999915 324673.50989999995, 184701.86230000108 324673.3669000007, 184684.87689999864 324681.24650000036, 184709.34369999915 324673.50989999995))"
water_nacht.4,,"POLYGON ((185827.78929999843 325205.32609999925, 185830.3205000013 325226.7809000015, 185842.5203000009 325235.1405000016, 185850.42309999838 325235.0023000017, 185854.05570000038 325231.127700001, 185846.81549999863 325222.7600999996, 185827.78929999843 325205.32609999925))"
water_nacht.5,,"POLYGON ((186510.9387000017 325357.4371000007, 186497.42309999838 325383.99010000005, 186511.5315000005 325364.68290000036, 186510.9387000017 325357.4371000007))"
water_nacht.6,,"POLYGON ((189431.45289999992 325505.9422999993, 189430.92170000076 325505.83509999886, 189458.90830000117 325516.23970000073, 189492.15309999883 325497.2313000001, 189501.10330000147 325487.2635000013, 189504.22089999914 325483.04769999906, 189513.73790000007 325471.4307000004, 189530.54630000144 325446.08210000023, 189492.4851000011 325415.13109999895, 189477.1561000012 325413.7921000011, 189454.16209999844 325431.32510000095, 189451.3761 325440.90729999915, 189437.2751000002 325480.0844999999, 189435.61850000173 325484.6484999992, 189433.2815000005 325494.3434999995, 189431.45289999992 325505.9422999993))"
water_nacht.7,,"POLYGON ((189504.22089999914 325483.04769999906, 189501.10330000147 325487.2635000013, 189492.15309999883 325497.2313000001, 189458.90830000117 325516.23970000073, 189458.5375000015 325531.2047000006, 189459.4167000018 325536.3707000017, 189478.69189999998 325557.44209999964, 189510.80550000072 325571.1020999998, 189526.52290000021 325569.67069999874, 189542.12810000032 325545.60009999946, 189546.95109999925 325533.62110000104, 189561.31709999964 325496.438099999, 189564.14510000125 325478.4569000006, 189553.5634999983 325468.7862999998, 189534.9001000002 325466.4679000005, 189513.73790000007 325471.4307000004, 189504.22089999914 325483.04769999906))"
water_nacht.8,,"POLYGON ((189758.4470999986 325798.1919, 189762.2498999983 325798.11190000176, 189752.49670000002 325797.81489999965, 189758.4470999986 325798.1919))"
water_nacht.9,,"POLYGON ((182507.48889999837 325886.5040999986, 182554.91209999844 325892.7699000016, 182556.5791000016 325882.7210999988, 182506.2441000007 325881.8931000009, 182507.48889999837 325886.5040999986))"
water_nacht.10,,"POLYGON ((189234.74069999903 326057.06749999896, 189237.47949999943 326036.4189000018, 189215.0615000017 326030.63870000094, 189216.25549999997 326053.95529999956, 189234.74069999903 326057.06749999896))"
water_nacht.11,,"POLYGON ((189173.33590000123 326195.7120999992, 189222.22590000182 326091.79830000177, 189220.2274999991 326085.3792999983, 189172.4353 326197.4915000014, 189172.73149999976 326198.52710000053, 189173.33590000123 326195.7120999992))"
water_nacht.12,,"POLYGON ((183151.6970999986 326307.0080999993, 183149.0500999987 326296.05110000074, 183144.7111000009 326298.40410000086, 183151.6970999986 326307.0080999993))"
water_nacht.13,,"POLYGON ((182391.36850000173 326317.06430000067, 182423.74709999934 326314.6708999984, 182420.88650000095 326288.79890000075, 182396.91310000047 326300.8971000016, 182397.9541000016 326316.5318999998, 182391.36850000173 326317.06430000067))"
water_nacht.14,,"POLYGON ((189957.0388999991 326543.58729999885, 189965.8348999992 326546.4957000017, 189970.5822999999 326534.2054999992, 189974.08830000088 326519.80750000104, 189966.57070000097 326517.8735000007, 189955.25809999928 326518.6290999986, 189950.5938999988 326524.1488999985, 189944.9838999994 326536.23330000043, 189957.0388999991 326543.58729999885))"
water_nacht.15,,"POLYGON ((183507.37189999968 326836.0011, 183467.28550000116 326949.7927000001, 183470.09970000014 326942.73209999874, 183512.69310000166 326828.9151000008, 183507.37189999968 326836.0011))"
water_nacht.16,,"POLYGON ((188751.41310000047 327088.58410000056, 188759.2441000007 327081.6041000001, 188757.7120999992 327071.0480999984, 188715.3211000003 327054.36410000175, 188715.49909999967 327072.683699999, 188730.35489999875 327086.0874999985, 188751.41310000047 327088.58410000056))"
water_nacht.17,,"POLYGON ((183376.6794999987 327064.34050000086, 183355.40989999846 327103.83889999986, 183330.37810000032 327114.6724999994, 183345.30249999836 327172.1015000008, 183350.41110000014 327162.51110000163, 183358.52210000157 327148.8154999986, 183354.24529999867 327109.6878999993, 183388.26150000095 327060.86890000105, 183376.6794999987 327064.34050000086))"
water_nacht.18,,"POLYGON ((183302.47289999947 327318.5603, 183320.3808999993 327313.7463000007, 183313.81170000136 327297.36190000176, 183301.71810000017 327299.34910000116, 183297.13850000128 327307.8830999993, 183302.47289999947 327318.5603))"
water_nacht.19,,"POLYGON ((187219.87829999998 327409.1704999991, 187230.2265000008 327425.31650000066, 187229.29710000008 327413.1810999997, 187219.87829999998 327409.1704999991))"
