FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
rivier.6484,13000,305000,9483,Rivieren,85K-100-35,85K-100-3535,Rivieren,v. 2010-11,Rivier,Droog,HWN,,,13,305,,85K-100-35,883,Nog niet bekend/Nog niet bekend,883,,,POINT (13000 305000)
rivier.6967,113880,413926,10090,Amer,75B-106,75B-106-04,NVO180 Drimmelen 2,Natuurvriendelijke oever Drimmelen 2 NVO180    ,Rivier,Nat,HWS,,,113.88,413.926,,75B-106-04,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (113880 413926)
rivier.6846,97277,435264,9969,Noordrand,75A-100,75A-100-01,Nieuwe Maas 102A,Nieuwe Maas,Rivier,Nat,HVWN,,,97.277,435.264,,75A-100-01,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (97277 435264)
rivier.6847,76770,436838,9970,Noordrand,75A-100,75A-100-02,Nieuwe Waterweg 102B,Nieuwe Waterweg,Rivier,Nat,HVWN,,,76.77,436.838,,75A-100-02,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (76770 436838)
rivier.6852,138383,416813,9975,Zuidrand,75A-104,75A-104-01,Bergsche Maas 150Q,Bergsche Maas,Rivier,Nat,HVWN,,,138.383,416.813,,75A-104-01,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (138383 416813)
rivier.6853,131682,422740,9976,Zuidrand,75A-104,75A-104-02,Afgedamde Maas 120A,Afgedamde Maas Zuid van de Wilhelminasluis,Rivier,Nat,HVWN,,,131.682,422.74,1988,75A-104-02,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (131682 422740)
rivier.6854,88387,412779,9977,Zuidrand,75A-104,75A-104-03,Volkerak 112B,Hollands Diep (benedenstr. Oversteek),Rivier,Nat,HVWN,,,88.387,412.779,,75A-104-03,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (88387 412779)
rivier.6856,78546,415183,9979,Zuidrand,75A-104,75A-104-05,Haringvliet 117,Haringvliet,Rivier,Nat,HVWN,,,78.546,415.183,,75A-104-05,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (78546 415183)
rivier.6857,186105,419030,9980,Benedenmaas,75A-105,75A-105-01,Beneden Maas NM2,Maas Heumen-Grave,Rivier,Nat,HVWN,,,186.105,419.03,2001,75A-105-01,1684,RWS ZN / ZN District Zuid-Oost,1684,,,POINT (186105 419030)
rivier.6860,207192,474126,9983,Ijssel,75A-108,75A-108-01,IJsseldelta YS2,Ijssel,Rivier,Nat,HVWN,,,207.192,474.126,,75A-108-01,1679,RWS ON / ON District Noord,1679,,,POINT (207192 474126)
