FID,cte,dtm,fixtxt,layer,omschr,tctype,vartxt,se_anno_cad_data
dtb_wegen_1993_2000_vlak.1,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.2,B01,N, ,1,gebouw,gebouw/overige bebouwing,h,
dtb_wegen_1993_2000_vlak.3,B01,N, ,1,gebouw,gebouw/overige bebouwing,hzn,
dtb_wegen_1993_2000_vlak.4,B01,N, ,1,gebouw,gebouw/overige bebouwing,hzn,
dtb_wegen_1993_2000_vlak.5,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.6,B01,N, ,1,gebouw,gebouw/overige bebouwing,hzn,
dtb_wegen_1993_2000_vlak.7,F07,N,br,2,brug,brug, ,
dtb_wegen_1993_2000_vlak.8,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.9,B01,N, ,1,gebouw,gebouw/overige bebouwing,lds,
dtb_wegen_1993_2000_vlak.10,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.11,B01,N, ,1,gebouw,gebouw/overige bebouwing,hs,
dtb_wegen_1993_2000_vlak.12,B01,N, ,1,gebouw,gebouw/overige bebouwing,h,
dtb_wegen_1993_2000_vlak.13,B01,N, ,1,gebouw,gebouw/overige bebouwing,hs,
dtb_wegen_1993_2000_vlak.14,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.15,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.16,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.17,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.18,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.19,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.20,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.21,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.22,B01,N, ,1,gebouw,gebouw/overige bebouwing,toiletgebouw,
dtb_wegen_1993_2000_vlak.23,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.24,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.25,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.26,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.27,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.28,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.29,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.30,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.31,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.32,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.33,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.34,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.35,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.36,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.37,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.38,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.39,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.40,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.41,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.42,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.43,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.44,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.45,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.46,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.47,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.48,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.49,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.50,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.51,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.52,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.53,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.54,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.55,F07,N, ,2,brug, , ,
dtb_wegen_1993_2000_vlak.56,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.57,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.58,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.59,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.60,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.61,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.62,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.63,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.64,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.65,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.66,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.67,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.68,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.69,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.70,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.71,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.72,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.73,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.74,F07,N,br,2,brug, , ,
dtb_wegen_1993_2000_vlak.75,R88V,N,vd,1,vonder vlak, , ,
dtb_wegen_1993_2000_vlak.76,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.77,B01,N, ,1,gebouw,gebouw/overige bebouwing,h,
dtb_wegen_1993_2000_vlak.78,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.79,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.80,B01,N, ,1,gebouw,gebouw/overige bebouwing,h,
dtb_wegen_1993_2000_vlak.81,B01,N, ,1,gebouw,gebouw/overige bebouwing,sch,
dtb_wegen_1993_2000_vlak.82,B01,N, ,1,gebouw,gebouw/overige bebouwing,hs,
dtb_wegen_1993_2000_vlak.83,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.84,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.85,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.86,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.87,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.88,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.89,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.90,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.91,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.92,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.93,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.94,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.95,R2107,J,br,1,rooster, , ,
dtb_wegen_1993_2000_vlak.96,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.97,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.98,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.99,R2107,J,rooster,1,rooster, , ,
dtb_wegen_1993_2000_vlak.100,R2107,J,rooster,1,rooster, , ,
