FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
gemaal.60,248980,549610,569,Koesteeg,17E-102,17E-102-04,naam onbekend,Pompkelder in N34,Gemaal,,,N34,,248.98,549.61,,17E-102-00,885,PROVINCIE,885,,,POINT (248980 549610)
gemaal.94,208280,500180,729,Wijthmen,21G-003,21G-003-02,naam onbekend,Gemaal in de onderdoorgang,Gemaal,Droog,HWN,N35,,208.28,500.18,1983,21G-400-00,819,De Gemeente 1/De Gemeente 1,819,,,POINT (208280 500180)
gemaal.200,100065,459630,1296,Gemeneweg,30H-145,30H-145-04,Gemeneweg pompgemaal,Pompgemaal in de RW11 bij de Gemeneweg,Gemaal,Droog,HWN,N11,niet RW,100.065,459.63,1995,30H-145-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (100065 459630)
gemaal.341,109986,446928,1979,Waaiersluis Gouda,38A-350,38A-350-03,Gemaal De Waaier,Gemaal De Waaier in de Hollandsche Ijssel,Gemaal,Nat,HWS,,,109.986,446.928,2005,38A-350-00,887,Waterschap/Waterschap,887,,,POINT (109986 446928)
gemaal.389,158270,436950,2161,Linge-sifon,39D-002,39D-002-01,H.A. van Beuningen,Gemaal tussen de Linge en Amsterdam-Rijnkanaal,Gemaal,Nat,HWS,,,158.27,436.95,,39D-401-00,1680,RWS ON / ON District Zuid,1680,,,POINT (158270 436950)
gemaal.767,235445,584060,3087,Pompgemaal,07D-400,07D-400-01,Pompgemaal,Pompgemaal langs de rijksweg,Gemaal,,,N46,,235.445,584.06,,07D-400-00,885,PROVINCIE,885,,,POINT (235445 584060)
gemaal.837,154971,568722,3159,Dijkvaart,10B-400,10B-400-01,Dijkvaart,Gemaal noordzijde rijksweg 31,Gemaal,Droog,HWN,N31,niet RW,154.971,568.722,1975,10B-400-00,1686,RWS NN / NN District West,1686,,,POINT (154971 568722)
gemaal.1452,201880,516923,3791,Gemaal Zedemuden,21E-400,21E-400-01,Gemaal Zedemuden,Gemaal Zedemuden,Gemaal,Nat,HWS,,,201.88,516.923,1973,21E-400-00,887,Waterschap/Waterschap,887,,,POINT (201880 516923)
gemaal.1569,101630,498460,3927,IJmuiden sluizen,25A-001,25A-001-09,Gemaal IJmuiden,Gemaal tussen Buiten-en Binnenspuikanaal (6 pompen),Gemaal,Nat,HWS,,,101.63,498.46,1975,25A-400-00,1667,RWS WNN / WNN District Noord,1667,,,POINT (101630 498460)
gemaal.2312,99760,465690,4679,Rijwielpadtunnel,30F-120,30F-120-02,naam onbekend,Gemaal,Gemaal,Droog,HWN,A4,,99.76,465.69,,30F-401-00,1217,n.v.t.,1217,,,POINT (99760 465690)
