FYSIEK_VOORKOMEN_CODE;FYSIEK_VOORKOMEN_OMSC;FYSIEK_VOORKOMEN_PLUS_CODE;FYSIEK_VOORKOMEN_PLUS_OMSC;ID;GUID;CODE;IDENTIFICATIE;TIJDSTIPREGISTRATIE;PLAATSINGSDATUM;BOUWJAAR;LEEFTIJD;OPPERVLAKTE;GEBIED_OMSC;BUURT_CODE;BUURT_OMSC;IMGEO_STADSDEEL_CODE;IMGEO_STADSDEEL_OMSC;IMGEO_WIJK_CODE;IMGEO_WIJK_OMSC;BEHEERDER_OMSC;EIGENAAR_OMSC;WERKPAKKET_VLAK_CODE;WERKPAKKET_VLAK_OMSC;BEHEERGEBIEDEN_OMSC;GROEN_VAKKEN_CODE;GROEN_VAKKEN_OMSC;GROEN_OPPERVLAKTE_KLASSE_CODE;GROEN_OPPERVLAKTE_KLASSE_OMSC;X;Y
GRV;groenvoorziening;GRV_PLNBT;planten;224509;{09EDE8D7-82A9-3FE1-E053-293C0B0AF01F};864529;G0518.0512F759-6B42-C180-E050-2A0A313C70A8;20190801111936;20070501000000;2007;14;41.3;;51;Bloemenbuurt-oost;3;Segbroek;12;Bomen- en Bloemenbuurt;DSB/DPZ;Gemeente Den Haag;B60;Vaste planten bodembedekkend;Wingerdstraat;;;A;< 2000 m2;77728.348;454586.465
GRV;groenvoorziening;GRV_PLNBT;planten;224510;{09EDE8D7-82AA-3FE1-E053-293C0B0AF01F};864530;G0518.0512F759-66EC-C180-E050-2A0A313C70A8;20141006171251;20070501000000;2007;14;81.9;;51;Bloemenbuurt-oost;3;Segbroek;12;Bomen- en Bloemenbuurt;DSB/DPZ;Gemeente Den Haag;B60;Vaste planten bodembedekkend;Wingerdstraat;;;A;< 2000 m2;77735.613;454586.26
LFB;loofbos;LFB_GHHBT;griend en hakhout;224511;{09EDE8D7-817C-3FE1-E053-293C0B0AF01F};799533;G0518.08D6E6F2-C7EA-653A-E050-2A0A313C2FF8;20210729111941;20031201000000;2003;18;1110.9;;74;Duttendel;4;Scheveningen;3;Westbroekpark en Duttendel;DSB/DPZ;Gemeente Den Haag;30P;Parkbos oppervlak;Klatteweg;;;A;< 2000 m2;81000.567;457873.018
GRV;groenvoorziening;GRV_GEKBT;gras- en kruidachtigen;224512;{09EDE8D7-81B7-3FE1-E053-293C0B0AF01F};795182;G0518.14280CBD-AAF5-0772-E053-530A0B0AF16A;20150410182338;20060501000000;2006;13;418.2;Zuiderpark;36;Zuiderpark;2;Escamp;35;Zuiderpark;DSB/DPZ;Gemeente Den Haag; 76;Grasveld talud;Zuiderpark;GGG01;Grote groengebieden;A;< 2000 m2;79349.678;452119.827
GAO;grasland overig;GRSO; ;224513;{09EDE8D7-7B56-3FE1-E053-293C0B0AF01F};877736;G0518.14280CBD-59E5-0772-E053-530A0B0AF16A;20190628141500;20000801000000;2000;21;345.7;Gazon en Doorgroei;96;Zijden, Steden en Zichten;2;Escamp;33;Bouwlust;DSB/DPZ;Gemeente Den Haag; 86;Berm vlak;Melis Stokelaan;;;A;< 2000 m2;77960.291;450612.668
GAO;grasland overig;GRSO; ;224514;{09EDE8D7-7B57-3FE1-E053-293C0B0AF01F};877737;G0518.14280CBD-573C-0772-E053-530A0B0AF16A;20190628141500;20000801000000;2000;21;185.8;;98;Dreven en Gaarden;2;Escamp;33;Bouwlust;DSB/DPZ;Gemeente Den Haag; 86;Berm vlak;Melis Stokelaan;;;A;< 2000 m2;77764.8;450449.673
HOU;houtwal;HTWL; ;224515;{09EDE8D7-7E6F-3FE1-E053-293C0B0AF01F};491646;G0518.08D6E6F2-BFD8-653A-E050-2A0A313C2FF8;20141118070156;20050101000000;2005;16;1096.0;Zorgvliet;41;Zorgvliet;4;Scheveningen;10;Zorgvliet;DSB/DPZ;Gemeente Den Haag;35H;Houtsingel oppervlak;Adriaan Goekooplaan;;;A;< 2000 m2;79706.402;456605.38
HOU;houtwal;HTWL; ;224516;{09EDE8D7-7E70-3FE1-E053-293C0B0AF01F};491647;G0518.08D6E6F2-BFE2-653A-E050-2A0A313C2FF8;20141118072924;20050101000000;2005;16;1914.5;;41;Zorgvliet;4;Scheveningen;10;Zorgvliet;DSB/DPZ;Gemeente Den Haag;35H;Houtsingel oppervlak;Adriaan Goekooplaan;;;A;< 2000 m2;79613.233;456547.986
GRV;groenvoorziening;GRV_GEKBT;gras- en kruidachtigen;224517;{09EDE8D7-7B95-3FE1-E053-293C0B0AF01F};1032499;;;20041101000000;2004;17;62.7;;86;Houtwijk;1;Loosduinen;17;Loosduinen;DSB/DPZ;Gemeente Den Haag; 75;Grasveld vlak;Burgemeester Hovylaan;;;A;< 2000 m2;76505.948;452158.826
HOU;houtwal;HTWL; ;224518;{09EDE8D7-7B96-3FE1-E053-293C0B0AF01F};1032500;G0518.FCB8EA56-028C-B4FA-E040-2A0A313C2F1B;20131001060000;19991101000000;1999;22;146.4;;86;Houtwijk;1;Loosduinen;17;Loosduinen;DSB/DPZ;Gemeente Den Haag;35H;Houtsingel oppervlak;Burgemeester Hovylaan;;;A;< 2000 m2;76593.072;452120.967
