OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,AZIMUT,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,PRORAIL_GEBIED,X,Y,LATITUDE,LONGITUDE
1,6c516e11-d08f-4099-a2d0-f815f8f809ae,,60,Bestaand,,2020/11/04 00:00:00+00,,,,Bd-Rtd,Breda - Rotterdam Centraal ,542,a,542,542_a,Dordrecht,29.759835,"29,759835",-23.209428,"-23,209428",ProRail,Randstad Zuid,RZ,BASIS,Dordrecht,140,Dordrecht,5,ASSET Rail,Zuid-Holland Zuid,105074.556,424574.685,51.80756711,4.66328609
2,97cd23bf-2af7-4cbe-8715-daf7ded4b1d3,,60,Bestaand,,,,,,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,44.12627,"44,126270",-108.282322,"-108,282322",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,Midden,153602.018,462912.056,52.15438071,5.36677584
3,d94d17e7-85fa-49bf-aa2a-79e6aba50c33,,60,Bestaand,,,,,,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,940,,940,940__,Amersfoort Bokkeduinen,43.527161,"43,527161",-47.98889,"-47,988890",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,Midden,152890.432,462879.062,52.15408192,5.3563781
4,777269db-e395-4502-8a0d-b0c99d9ccb43,,60,Bestaand,,,,,,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,42.952749,"42,952749",-21.49449,"-21,494490",ProRail,Randstad Noord,RN,BASIS,Eemland,200,Amersfoort,12,ASSET Rail,Midden,152587.988,463399.672,52.15875991,5.35195506
5,bd0df636-45d2-49df-b73b-036011be9928,,60,Bestaand,,,,,,Bd-Rtd,Breda - Rotterdam Centraal ,664,b,664,664_b,Rotterdam Lombardijen,42.561156,"42,561156",-58.957521,"-58,957521",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,95854.286,433006.695,51.88244883,4.52816221
6,a77107e5-5378-4296-b3fc-c3f0046f8997,,60,Bestaand,,,,,,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,43.482331,"43,482331",-38.540248,"-38,540248",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,95436.776,433843.596,51.889926,4.52195417
7,5f5cd015-b959-4a59-a5a4-ff36202a3a5e,,60,Bestaand,,,,,,Brvalw-Brvalo,Betuweroute Valburg West - Betuweroute Valburg Oost ,938,,938,938__,CUP Valburg,1.335878,"1,335878",-26.592435,"-26,592435",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,A15trace,71,VolkerRail,Zee-Zevenaar,182955.006,434789.64,51.90091146,5.79338642
8,3c7a6e76-f536-4854-9c47-f30710116902,,60,Bestaand,,,,,,Brvalw-Brvalo,Betuweroute Valburg West - Betuweroute Valburg Oost ,938,,938,938__,CUP Valburg,3.396214,"3,396214",-36.776947,"-36,776947",ProRail,Randstad Zuid,RZ,BASIS,Zee-Zevenaar,130,A15trace,71,VolkerRail,Zee-Zevenaar,184872.588,434179.041,51.89532366,5.82119494
9,46dd8fee-568e-4d4a-90a7-bfdd34244433,,60,Bestaand,,,,,,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,132,,132,132__,Moordrecht Aansl. - Rotterdam Kleiweg,49.098974,"49,098974",-40.043375,"-40,043375",ProRail,Randstad Zuid,RZ,BASIS,Rotterdam,120,Rotterdam,3,VolkerRail,Zuid-Holland Zuid,94624.467,440048.835,51.94560756,4.50906603
10,aef05757-cb00-442e-a746-3a43a0e9f863,,60,Bestaand,,,,,,Hmta-Law,Hemtunnel Aansl. - Latexweg ,490,b,490,490_b,Amsterdam Houtrakpolder (gebied),5.746921,"5,746921",2.874507,"2,874507",ProRail,Randstad Noord,RN,BASIS,Amsterdam,220,Amsterdam,9,VolkerRail,Midden,113927.744,490330.806,52.39927739,4.78372347
