Handelsnaam;5210 - Wagenpark;Eindtotaal
Athlon Car Lease Nederland B.V.;2;2
Autobedrijf Brinkhuis;1;1
Bastion Hotel Het Loo B.V.;1;1
BMW Den Haag B.V.;4;4
BSA Schaderegeling B.V.;1;1
Haaglanden Lease;2;2
Hollandse Telecommunicatie Maatschappij;1;1
HR Via Care B.V.;2;2
Leaseplan Nederland N.V.;4;4
Mercedes-Benz Dealer Bedrijven B.V.;2;2
Mercure Hotel Amsterdam City;1;1
MP Carworks;1;1
Munckhof Taxi B.V.;2;2
Niham Westland B.V.;1;1
Park-line B.V.;1;1
Reiger Suspension B.V.;1;1
Schiphol Nederland B.V.;1;1
Schut-Copex B.V.;2;2
Stomerij Panda;1;1
Vlaardingse Taxicentrale B.V.;1;1
Eindtotaal;6;6
