FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2002.1300,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258339.9998999983 600000.0001000017, 258319.9998999983 600000.0001000017, 258319.9998999983 600020, 258339.9998999983 600020, 258339.9998999983 600000.0001000017))"
zostera_noltei_2002.1301,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258280 600400, 258260 600400, 258260 600419.9998999983, 258280 600419.9998999983, 258280 600400))"
zostera_noltei_2002.1317,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600339.9998999983, 258399.9998999983 600339.9998999983, 258399.9998999983 600360, 258419.9998999983 600360, 258419.9998999983 600339.9998999983))"
zostera_noltei_2002.1319,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258140 600000.0001000017, 258119.9998999983 600000.0001000017, 258119.9998999983 600020, 258140 600020, 258140 600000.0001000017))"
zostera_noltei_2002.1320,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258140 600020, 258119.9998999983 600020, 258119.9998999983 600040, 258140 600040, 258140 600020))"
zostera_noltei_2002.1321,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258140 600040, 258119.9998999983 600040, 258119.9998999983 600060, 258140 600060, 258140 600040))"
zostera_noltei_2002.1330,2002,0,12,0,0,0,4176,0,0,4176,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 599979.9998999983, 258079.9998999983 599979.9998999983, 258079.9998999983 600000.0001000017, 258099.9998999983 600000.0001000017, 258099.9998999983 599979.9998999983))"
zostera_noltei_2002.1334,2002,0,12,0,0,0,4176,0,0,4176,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258079.9998999983 599979.9998999983, 258060 599979.9998999983, 258060 600000.0001000017, 258079.9998999983 600000.0001000017, 258079.9998999983 599979.9998999983))"
zostera_noltei_2002.1353,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258219.9998999983 600439.9998999983, 258199.9998999983 600439.9998999983, 258199.9998999983 600460, 258219.9998999983 600460, 258219.9998999983 600439.9998999983))"
zostera_noltei_2002.1356,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258199.9998999983 600439.9998999983, 258179.9998999983 600439.9998999983, 258179.9998999983 600460, 258199.9998999983 600460, 258199.9998999983 600439.9998999983))"
zostera_noltei_2002.1362,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258160 599960, 258140 599960, 258140 599979.9998999983, 258160 599979.9998999983, 258160 599960))"
zostera_noltei_2002.1432,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258199.9998999983 600460, 258179.9998999983 600460, 258179.9998999983 600480.0001999997, 258199.9998999983 600480.0001999997, 258199.9998999983 600460))"
zostera_noltei_2002.1433,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258219.9998999983 600460, 258199.9998999983 600460, 258199.9998999983 600480.0001999997, 258219.9998999983 600480.0001999997, 258219.9998999983 600460))"
zostera_noltei_2002.1434,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600140, 258380 600140, 258380 600160, 258399.9998999983 600160, 258399.9998999983 600140))"
zostera_noltei_2002.1450,2002,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258280 600380, 258260 600380, 258260 600400, 258280 600400, 258280 600380))"
zostera_noltei_2002.1451,2002,0,12,0,0,0,4176,0,0,4176,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258299.9998999983 600380, 258280 600380, 258280 600400, 258299.9998999983 600400, 258299.9998999983 600380))"
zostera_noltei_2002.1464,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258160 600000.0001000017, 258140 600000.0001000017, 258140 600020, 258160 600020, 258160 600000.0001000017))"
zostera_noltei_2002.1467,2002,0,2,0,0,0,696,0,0,696,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258160 600040, 258140 600040, 258140 600060, 258160 600060, 258160 600040))"
