type;nabijadres;buurtnaam;wijknaam;geo_point_2d;objectid;identificatiekast;aansluitwaardehoofd;stadsdeelnaam
Easy Power Supply (marktkast);Stadhuisplein, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 EM, Nederland;Binnenstad;Wijk Centrum;51.43582449227012, 5.480486214022266;494;11002;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Stadhuisplein, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 EM, Nederland;Binnenstad;Wijk Centrum;51.43532416036877, 5.4808497554223035;495;11003;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);63B, Stratumseind, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 EP, Nederland;Binnenstad;Wijk Centrum;51.43650820381549, 5.482003147374599;496;11004;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);18 Septemberplein, Vestdijktunnel, Fellenoord, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AL, Nederland;Binnenstad;Wijk Centrum;51.44191284510608, 5.478832501538913;646;11011;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Gekooide Vrijheid, Wilhelminaplein, Bergen, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 HE, Nederland;Bergen;Wijk Centrum;51.438167588129275, 5.471631461960685;649;11015;ABB 4P/80A;Stadsdeel Centrum
Easy Power Supply (marktkast);Bij de Greef, 188, Strijpsestraat, Schouwbroek, Strijp, Eindhoven, Noord-Brabant, Nederland, 5616 GW, Nederland;Schouwbroek;Wijk Oud-Strijp;51.44113231312673, 5.454088448277055;659;61001;ABB 4P/63A;Stadsdeel Strijp
Easy Power Supply (marktkast);42, Beatrixkade, De Hurk, Strijp, Eindhoven, Noord-Brabant, Nederland, 5652 BG, Nederland;Hurk;Wijk Halve Maan;51.43441205687295, 5.44405436281477;661;62001;ABB 4P/63A;Stadsdeel Strijp
Easy Power Supply (marktkast);42, Beatrixkade, De Hurk, Strijp, Eindhoven, Noord-Brabant, Nederland, 5652 BG, Nederland;Hurk;Wijk Halve Maan;51.43441782284007, 5.444027333824923;662;62002;;Stadsdeel Strijp
Easy Power Supply (marktkast);Beatrixkade, De Hurk, Strijp, Eindhoven, Noord-Brabant, Nederland, 5652 BG, Nederland;Hurk;Wijk Halve Maan;51.434306659249096, 5.444886454638825;663;62003;ABB 4P/63A;Stadsdeel Strijp
Easy Power Supply (marktkast);6, Meerbos, Meerhoven, Strijp, Eindhoven, Noord-Brabant, Nederland, 5658 LA, Nederland;Meerrijk;Wijk Meerhoven;51.4430928650325, 5.4113817537903515;664;63001;ABB 4P/63A;Stadsdeel Strijp
Easy Power Supply (marktkast);Apotheek de Gender, 175, Kastelenplein, Genderbeemd, Gestel, Eindhoven, Noord-Brabant, Nederland, 5653 LX, Nederland;Hanevoet;Wijk Gestelse Ontginning;51.41944972511438, 5.442084006027509;665;73001;ABB 4P/63A;Stadsdeel Gestel
Easy Power Supply (marktkast);WoensXL P1, Winkelcentrum Woensel, Winkelcentrum WoensXL, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5625 AE, Nederland;Winkelcentrum;Wijk Ontginning;51.46854058729695, 5.473417306447395;670;51005;ABB 4P/63A;Stadsdeel Woensel-Noord
Easy Power Supply (marktkast);WoensXL P1, Winkelcentrum Woensel, Winkelcentrum WoensXL, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5625 AE, Nederland;Winkelcentrum;Wijk Ontginning;51.46852640393894, 5.472904933862384;671;51006;ABB 4P/63A;Stadsdeel Woensel-Noord
Easy Power Supply (marktkast);WoensXL P1, Winkelcentrum Woensel, Winkelcentrum WoensXL, Woensel-Noord, Eindhoven, Noord-Brabant, Nederland, 5625 AE, Nederland;Winkelcentrum;Wijk Ontginning;51.468943733831495, 5.472800802189602;673;51001;ABB 4P/63A;Stadsdeel Woensel-Noord
Easy Power Supply (marktkast);16, Sint Gerardusplein, Gerardusplein, Stratum, Eindhoven, Noord-Brabant, Nederland, 5644 NG, Nederland;Gerardusplein;Wijk Kortonjo;51.42078700627921, 5.488610764918206;681;22010;Legrand DX3-IS 4P 100A;Stadsdeel Stratum
Putkast Markt type basis;Primark, 2, Vestdijk, Fellenoord, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 CC, Nederland;Binnenstad;Wijk Centrum;51.44122487015509, 5.478236953576064;683;11037;;Stadsdeel Centrum
Putkast Markt type basis;Perry, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AE, Nederland;Binnenstad;Wijk Centrum;51.4413920043933, 5.47645075454363;686;11040;;Stadsdeel Centrum
Putkast Markt type basis;Perry, 18 Septemberplein, Binnenstad, Centrum, Eindhoven, Noord-Brabant, Nederland, 5611 AE, Nederland;Binnenstad;Wijk Centrum;51.44134390133786, 5.476116252295512;687;11041;;Stadsdeel Centrum
