;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal;
2DOBOARD B.V.;;;;;;1;;;1;;1;
Aber B.V.;;;;;;1;;;;;1;
AG Connect B.V.;;;;;;;;;1;;1;
Albron Nederland B.V.;;3;;;;;;;;;3;
Any Lamp;;;;;;;;;1;;1;
Appel B.V.;;1;;;;;;;;;1;
Arteria;;;;;;;;2;;;2;
Asito B.V.;;;;1;;;;;;;1;
Assa Abloy Hospitality Benelux;;;;;;;;1;;;1;
Atelier Mariaheim;;;;;;;;1;;;1;
ATS Systems B.V.;;;;;;;;;1;;1;
B.V. Algemeen Nederlands Persbureau ANP;;;;;;;;;1;;1;
Bambook V.O.F.;;;;;;;;;1;;1;
BBK/Door Vriendschap Sterker B.V.;;;;;;2;;;;;2;
Berenschot B.V.;;;;;;2;;;;;2;
Bessems Facilitaire Diensten;;1;;;;;;;;;1;
Biardo Survival Suits B.V.;;;;;;;;;1;;1;
Bionext;;1;;;;;;;;;1;
Boekhandel Douwes;;;;;;;;;1;;1;
bol.com B.V.;;;;;;;;;1;;1;
Bos Incasso B.V.;;;;;;;;;1;;1;
Brand Interieurs & Control Rooms B.V.;;;;;;;;1;;;1;
Brandpreventie Groep B.V.;;;1;;;;;;;;1;
Bravo Brandveiligheid;;;1;;;;;;;;1;
Breijer Betonconservering B.V.;;1;;;;;;;;;1;
Breur IJzerhandel;;;;;;;;;1;;1;
Brink Industrial Holding B.V.;;;;;;;;2;;;2;
Broekhuizen Communicatie;;;;;;1;;;1;;1;
Business Art Service B.V.;;;;;;;;2;;;2;
Canon Nederland N.V.;;;;;;1;;;;;1;
Capgemini Nederland B.V.;;;;;4;;;;;;4;
Capriole Coffee Service;;1;;;;;;;;;1;
Card Vision B.V.;;;1;;;;;;;;1;
Centralpoint Amstelveen B.V.;;;;;;;;;1;;1;
Chinees Indisch Wokrestaurant 'Golden City';;1;;;;;;;;;1;
Compass Group Nederland B.V.;;7;;;;;;;;;7;
Conrad Electronic Benelux B.V.;;;;;;;;;1;;1;
Coolblue B.V.;;;;;;;;;1;;1;
Copper8 B.V.;;;;;;2;;;;;2;
Corvers Procurement Services B.V.;;;;;;2;;;;;2;
Cosalint B.V.;;;;;;;;;1;;1;
CURA Preventie B.V.;;;1;;;;;;;;1;
DataChecker B.V.;;;;;;;;;1;;1;
De Markeringshop;;;;;;;;;1;;1;
Deadan.com. B.V.;;;;;;;;1;;;1;
Delftechniek;;;1;;;;;;1;;1;
Deloitte Risk Advisory B.V.;;;;;;;3;;;;3;
Demo-Design;;;;;;;;;1;;1;
DHL Express (Netherlands) B.V.;;;;;1;;;;;;1;
Digital Revolution B.V.;;;;;;1;;;1;;1;
Discountoffice.nl B.V.;;;;;;;;1;1;;1;
Dnn Verhuur;;;;;;;;1;;;1;
Dolmans Calamiteiten Diensten;;;;1;;;;;;;1;
Dong-I.T. B.V.;;;1;;;;;;;;1;
DotEcon Ltd;;;;;;;;;3;;3;
Drive & Care B.V.;;;;;1;;;;;;1;
Durmazon Graphic Supply;;;;;;;;;1;;1;
Ecoreview;;;;;;1;;;;;1;
EcoSmart Nederland B.V.;;;;;;;2;;;;2;
Eden Springs Nederland B.V.;;1;;;;;;;;;1;
EMMA Communicatie B.V.;;;;;;1;;;;;1;
Eureka Parking B.V.;;;;;;1;;;;;1;
Europac Alarmcentrale;;;1;;;;;;;;1;
EV Consult B.V.;;;;;;2;;;;;2;
First Class Amersfoort;;1;;;;;;;;;1;
First Light B.V.;;;;;;;;;1;;1;
Formzet B.V.;;;;;;2;;;;;2;
Fox Reclame;;;;;;;;;1;;1;
G4S Training & Safety B.V.;;;2;;;;;;;;2;
Gartner Nederland B.V.;;;;;;1;;;;;1;
Gear4Music Limited;;;;;;;;;1;;1;
Geo-Informatie Nederland;;;;;;;;;1;;1;
Gerechtsdeurw.kant. R.A.M. Vismans B.V.;;;;;;;;;;1;1;
GH+O;;;;;;1;;;;;1;
Gispen Groningen;;;;;;;;4;4;;5;
GlasAssist B.V.;;;;;;;;;1;;1;
Glashandel Berserik B.V.;;;;;;;;1;;;1;
Goodstore;;;;;;;;;1;;1;
Greenstory;;;;;;;;;1;;1;
Groenendijk Bedrijfskleding B.V.;;;;;;;;;1;;1;
Grottendieck Maatwerk;;;;;;;;1;1;;1;
Hepson Holding B.V.;;;;1;;;;;;;1;
Hettema Verhuurt Praktisch Alles!;;;;;;;;1;;;1;
HEYDAY Facility Management;;;5;1;;;;;;;5;
Hijdra.com B.V.;;;;;;;;;1;;1;
Hokra B.V.;;;;;;;;;1;;1;
Horeca Adviescentrum HTC;;1;;;;;;;;;1;
Horecastyle;;;;;;;;;1;;1;
ID Ware International B.V.;;;;;;1;;;;;1;
Ideeaanzee B.V.;;;;;;2;;;;;2;
IFM Ecom;;;;;;;;;1;;1;
Image;;;;;;;;1;;;1;
in60seconds B.V.;;;;;;;;;1;;1;
Industrieel Klimmen B.V.;;;;;;;;;1;;1;
Infinite Orange;;;;;;;1;;;;1;
Interoffice Kantoorinrichting B.V.;;;;;;1;;;1;;1;
Interpactum B.V.;;;;;;2;;;;;2;
Intersafe Netherlands B.V.;;;;;;;;;1;;1;
Inven Technology Benelux B.V.;;;;;;;;;1;;1;
IPMA Certificering B.V.;;;;;;1;;;;;1;
Iron Mountain Nederland B.V.;;;;;;1;;;;;1;
Jalema B.V.;;;;;;;;;1;;1;
Jong Europe B.V.;;;;;1;;;;1;;1;
Jos ten Berg's Handelmaatschappij B.V.;;1;;;;;;;;;1;
Jungheinrich Nederland B.V.;;;;;1;;;;;;1;
Kabri B.V.;;;;;;;;;1;;1;
Kantoorinrichter B.V.;;;;;;;;1;;;1;
Kantoormeubelland B.V.;;;;;;;;;1;;1;
Kennedy Van der Laan;1;;;;;;;;;;1;
Kentie Nederland B.V.;;;;;;;;;1;;1;
Klarna B.V.;;;;;;;;;1;;1;
kommago.nl;;;;;;;;;1;;1;
Koninklijke Fabrieken Posthumus B.V.;;;;;;1;;;1;;1;
Koninklijke PostNL B.V.;;;;;1;;;;;;1;
Koninklijke van der Most B.V.;;;;;1;2;;;2;;3;
Kop Beveiliging B.V.;;;1;;;;;;;;1;
KPN B.V.;;;1;;;;;;;;1;
Krabbendam Kadoverpakking B.V.;;;;;;;;;1;;1;
Kroon B.V.;;;;;;;;;1;;1;
Kruis IJzerhandel B.V.;;;;;;;;;1;;1;
Kruizinga B.V.;;;;;;;;1;;;1;
Kunst.nl B.V.;;;;;;;;1;;;1;
L. van Duijn B.V.;;;;;;;;;1;;1;
Lasaulec B.V.;;;;;;;;;1;;1;
Le Strasbourg;;1;;;;;;;;;1;
Leon Blauw International B.V.;;;;;;;;;1;;1;
Leylines B.V.;;1;;;;;;;;;1;
Livewords;;;;;;1;;;;;1;
Locatie Marketing en Management Company B.V.;;;;;;;4;;;;4;
Lyreco Nederland B.V.;;;;;;;;;1;;1;
Maas International B.V.;;5;;;;;;1;;;5;
Maasdam Groep B.V.;;;;;;;;1;;;1;
MaMa Kelly B.V.;;1;;;;;;;;;1;
Manutan B.V.;;1;1;;;;;;2;;2;
MB Safety B.V.;;;1;;;;;;;;1;
Milieu Service Nederland B.V.;;;;1;;;;;;;1;
Moduli Print B.V.;;;;;;2;;;1;;2;
Motex;;;;;;;;;1;;1;
Multi-Post Mail Systems B.V.;;;;;;;;;2;;2;
Munckhof Reizen B.V.;;;1;;;;;;;;1;
Nachtveiligheidsdienst Haarlem B.V.;;;1;;;;;;;;1;
Ned. Software Metrieken Gebruikers Associatie;;;;;;;;;1;;1;
Nederlandse Aardolie Maatschappij B.V.;;2;1;;;;;;3;;3;
Nederlandse Vereniging Bedrijfshulpverlening;;;1;;;;;;;;1;
Networks Media;;;;;;;;;1;;1;
Nijenhuis Advocatuur;1;;;;;;;;;;1;
Nilfisk B.V.;;1;;;;;;;1;;1;
Nolten;;;;;;;;;1;;1;
Noorderlicht Reclame Team B.V.;;;;;;1;;1;1;;1;
Oasis Data & Document Management Neth. B.V.;;;;;;3;;;;;3;
OBT B.V.;;;;;1;1;;;1;;1;
Office Depot B.V.;;;;;;;;;2;;2;
