CODE;OBJECTID;STD_KOPPEL;STD_ID_S;STD_ID_I;WK_KOPPEL;WK_ID_S;WK_ID_I;BRT_KOPPEL;BRT_ID_S;SHAPE_LENG;SHAPE_AREA;BRT_NAAM;WK_NAAM;STD_NAAM;AANTBEV;LFT019;LFT2064;LFT65_;GESLM;GESLV;ETNICBS8;ETNICBS9;AANTGEB;AANTSTRF;NATLOOP;VESTTOT;VERTRTOT;SALDVEVE;BEVSALDO;AANTHH;EPHH;MPHHZK;MPHHMK;EENOUD;SRWON1;SRWON2;SRWON3;SRWON4;SRWON5;SRWON6;SRWON7;SRWON8;SRWON9;SRWON10;SRWON11;SRWON12;SRWON13;EIGEND1;EIGEND3;EIGEND2;EIGEND4;AANTOZB;BVOWON;TTPRS;ANIETWON;AKANTOOR;AWINKELS;ABEDRIJF;AHORECA;AHOTELS;AUITGAAN;ACULTUUR;AATRACTI;ASPORTS;ARECREAT;AMEDISCH;ABIJZOND;ASCHOLEN;AKERKEN;ABIJWON;AOVERIG;VESTTOTAAL;WPTOTAAL;POTBEROEP;NWWTOT;WPS1;WPS2;WPS3;WPS4;WPS5;WPS6;WPS7;WPS8;WPS9;PARTAUTO;PARTMOTOR
69;62;07 Haagse Hout;07;7;25 Mariahoeve en Marlot;25;25;69 Burgen en Horsten;69;4062.121000059999915;935366.531198999960907;Burgen en Horsten;Mariahoeve en Marlot;Haagse Hout;6304;1065;3638;1601;2924;3380;3234;3070;0;0;0;0;0;0;0;3678;2195;688;505;290;420;3178;0;0;0;3178;0;114;289;7;10;0;8;1466;801;1335;4;3606;344325;124564;495;26;35;3;8;0;0;0;0;3;9;11;0;6;3;0;391;417;2610;3824;450;336;84;410;382;314;489;376;35;0;2074;127
70;63;04 Scheveningen;04;4;01 Oostduinen;01;1;70 Oostduinen;70;7599.042711989999589;3085057.275799999944866;Oostduinen;Oostduinen;Scheveningen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;2;0;0;2;287;0;9;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;5;9;909;0;0;78;0;27;320;484;0;0;0;0;0;0
71;64;04 Scheveningen;04;4;02 Belgisch Park;02;2;71 Belgisch Park;71;4611.297825300000113;972969.461950000026263;Belgisch Park;Belgisch Park;Scheveningen;8172;1792;4737;1643;4038;4134;5264;2908;0;0;0;0;0;0;0;4260;2112;1090;825;233;818;3142;409;774;97;1548;314;194;539;42;43;0;38;2517;960;486;35;3998;549064;311703;816;25;158;10;42;107;4;0;0;0;5;15;2;3;1;0;444;960;4269;5302;240;3;292;1290;861;921;414;277;141;0;2867;196
72;65;04 Scheveningen;04;4;07 Scheveningen;07;7;72 Rijslag;72;2386.9605015799998;257375.480450000002747;Rijslag;Scheveningen;Scheveningen;1664;292;937;435;795;869;1141;523;0;0;0;0;0;0;0;901;489;198;154;60;290;582;91;130;3;289;69;73;177;9;31;0;15;459;311;105;12;887;113229;295692;101;8;6;4;4;3;1;0;0;2;1;6;0;2;2;0;62;181;554;1002;60;0;29;36;204;3;97;126;43;0;569;61
73;66;04 Scheveningen;04;4;03 Westbroekpark/Duttendel;03;3;73 Westbroekpark;73;3177.91722467999989;460933.714700000011362;Westbroekpark;Westbroekpark/Duttendel;Scheveningen;845;148;314;383;376;469;543;302;0;0;0;0;0;0;0;427;207;144;62;14;125;338;15;28;11;284;0;29;33;16;47;0;4;331;75;54;7;467;93365;571888;45;27;0;1;3;1;0;0;0;1;1;0;0;0;0;0;11;110;395;362;10;0;15;23;139;70;129;2;14;0;410;0
74;67;04 Scheveningen;04;4;03 Westbroekpark/Duttendel;03;3;74 Duttendel;74;6453.828611410000121;1330446.772750000003725;Duttendel;Westbroekpark/Duttendel;Scheveningen;1054;223;479;352;488;566;687;367;0;0;0;0;0;0;0;471;191;130;122;28;247;249;12;23;0;214;0;46;34;61;106;0;3;365;130;2;2;499;115979;605603;174;12;7;3;0;0;0;0;0;3;4;2;0;1;0;0;142;128;3873;548;20;2;14;31;159;3319;174;54;48;0;512;30
75;68;07 Haagse Hout;07;7;04 Benoordenhout;04;4;75 Uilennest;75;2806.667955039999924;301728.965049999998882;Uilennest;Benoordenhout;Haagse Hout;2094;369;1132;593;962;1132;1216;878;0;0;0;0;0;0;0;1158;627;296;191;44;183;1052;29;30;16;977;0;41;132;0;10;0;1;954;278;0;4;1236;160765;269640;140;11;6;1;0;0;0;0;0;0;0;2;0;0;0;0;120;219;426;1195;40;1;20;115;227;0;35;9;10;0;920;47
76;69;07 Haagse Hout;07;7;04 Benoordenhout;04;4;76 Duinzigt;76;3544.159993719999875;697440.071450000046752;Duinzigt;Benoordenhout;Haagse Hout;2525;339;885;1301;1047;1478;1606;919;0;0;0;0;0;0;0;1456;850;376;169;61;122;1494;120;226;16;1059;73;33;31;43;15;0;7;1058;509;38;18;1623;243630;331027;394;8;13;0;4;0;0;0;0;7;0;0;0;3;2;0;357;198;787;986;30;1;10;230;175;1;258;63;21;0;1258;33
77;70;07 Haagse Hout;07;7;04 Benoordenhout;04;4;77 Waalsdorp;77;3639.485858300000018;646065.124549999949522;Waalsdorp;Benoordenhout;Haagse Hout;3776;1082;1964;730;1813;1963;2370;1406;0;0;0;0;0;0;0;1652;595;438;525;94;934;774;73;126;20;555;0;129;738;9;58;0;9;1343;356;0;18;1717;310696;486506;177;17;8;4;2;1;0;0;0;0;1;10;0;5;2;0;127;415;2471;2178;50;3;7;79;552;8;1478;249;40;0;1491;42
78;71;07 Haagse Hout;07;7;04 Benoordenhout;04;4;78 Arendsdorp;78;3553.177404460000162;553233.210899999947287;Arendsdorp;Benoordenhout;Haagse Hout;1321;337;658;326;630;691;743;578;0;0;0;0;0;0;0;559;244;140;161;14;295;224;25;48;0;151;0;79;208;2;6;0;5;391;78;47;8;524;131013;509828;100;74;0;2;0;0;0;0;0;4;1;3;0;0;0;0;16;179;2585;741;20;854;7;36;1143;24;243;71;14;0;460;0
