EU Type goedkeuringssleutel,EEG variantcode,EEG Uitvoeringscode,Uitvoering wijzigingsnummer,Volgnummer handelsbenaming,Handelsbenaming fabrikant,Registratiedatum handelsbenaming,Registratiedatum handelsbenaming_DT
e1*01/116*0023*21,SEA8CAUYX01,NAGFA59B009S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX01,NAGFA59B024Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX01,NAGFA59B024R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX01,NAGFA59B024S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX01,NSGFM62N027P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX01,NSGFM62N027Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX01,NSGFM62N027R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX01,NSGFM62N027S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX11,NSGQM62N013Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX11,NSGQM62N013R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAUYX11,NSGQM62N013S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NAGFA59B010P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NAGFA59B010Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NAGFA59B010R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NAGFA59B010S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NAGFA59B022P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NAGFA59B022Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NAGFA59B022R,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NAGFA59B022S,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NSGFM62N013P,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
e1*01/116*0023*21,SEA8CAWCX01,NSGFM62N013Q,0,1,SHARAN,20030404,04/04/2003 12:00:00 AM
