FID,strooknaam,vliegdatum,shape_leng,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wadden_2015.39,L0039_1_r,2015-10-30T00:00:00,23506.0632558,,,"LINESTRING (124185.6425999999 575725.1264999993, 134955.04459999874 554831.2281000018)"
vlieglijnen_wadden_2015.40,L0040_1_r,2015-10-30T00:00:00,22009.1828218,,,"LINESTRING (124979.16600000113 575727.6422999986, 135055.2628000006 556160.4144000001)"
vlieglijnen_wadden_2015.41,L0041_1_r,2015-10-30T00:00:00,20949.3406169,,,"LINESTRING (125810.60209999979 575633.067400001, 135403.2745999992 557009.0102999993)"
vlieglijnen_wadden_2015.42,L0042_1_r,2015-10-30T00:00:00,19547.051163,,,"LINESTRING (126512.33080000058 575782.7074999996, 135469.5603 558408.7256000005)"
vlieglijnen_wadden_2015.43,L0043_1_r,2015-10-30T00:00:00,18539.2121745,,,"LINESTRING (127377.71150000021 575708.7038000003, 135814.60280000046 559200.4860000014)"
vlieglijnen_wadden_2015.44,L0044_1_r,2015-10-30T00:00:00,17997.8526071,,,"LINESTRING (128096.95129999891 575773.4615000002, 136336.60759999976 559772.5003000014)"
vlieglijnen_wadden_2015.45,L0045_1_r,2015-10-30T00:00:00,17453.3765612,,,"LINESTRING (128924.98730000108 575691.2058000006, 136922.81280000135 560178.1422999986)"
vlieglijnen_wadden_2015.46,L0046_1_r,2015-10-30T00:00:00,17450.531894,,,"LINESTRING (129662.78590000048 575789.7298000008, 137657.82059999928 560278.4279999994)"
vlieglijnen_wadden_2015.47,L0047_1_r,2015-10-30T00:00:00,17460.0983506,,,"LINESTRING (130481.36510000005 575740.6695000008, 138476.31859999895 560218.5643000007)"
vlieglijnen_wadden_2015.48,L0048_1_r,2015-10-30T00:00:00,16959.6799692,,,"LINESTRING (131234.07030000165 575812.2388000004, 138998.43730000034 560734.2630999982)"
vlieglijnen_wadden_2015.49,L0049_1_r,2015-10-30T00:00:00,16983.6938555,,,"LINESTRING (132051.49179999903 575757.8293000013, 139838.4316000007 560664.4723000005)"
vlieglijnen_wadden_2015.50,L0050_1_r,2015-10-30T00:00:00,16454.5557057,,,"LINESTRING (132795.79300000146 575831.6543000005, 140328.9074999988 561202.7586000003)"
vlieglijnen_wadden_2015.51,L0051_1_r,2015-10-30T00:00:00,16525.9360372,,,"LINESTRING (133613.32310000062 575785.7851000018, 141179.1163999997 561093.4288000017)"
vlieglijnen_wadden_2015.52,L0052_1_r,2015-10-30T00:00:00,16010.1606829,,,"LINESTRING (134345.40210000053 575865.1035999991, 141680.52479999885 561634.1085000001)"
vlieglijnen_wadden_2015.53,L0053_1_r,2015-10-30T00:00:00,15964.2749738,,,"LINESTRING (135175.44260000065 575810.2624999993, 142484.10009999946 561617.2501000017)"
vlieglijnen_wadden_2015.54,L0054_1_r,2015-10-30T00:00:00,15522.7297311,,,"LINESTRING (135927.58190000057 575866.0159999989, 143039.38599999994 562068.2850000001)"
vlieglijnen_wadden_2015.55,L0055_1_r,2015-05-22T00:00:00,15578.1471106,,,"LINESTRING (136700.45279999822 575900.2595000006, 143837.64660000056 562053.2694999985)"
vlieglijnen_wadden_2015.56,L0056_1_r,2015-05-22T00:00:00,15345.2894252,,,"LINESTRING (137431.71400000155 576019.9750000015, 144451.75930000097 562374.5775000006)"
vlieglijnen_wadden_2015.57,L0057_1_r,2015-05-22T00:00:00,15091.4951276,,,"LINESTRING (138228.13580000028 575993.0265000015, 145137.22309999913 562575.9576000012)"
vlieglijnen_wadden_2015.58,L0058_1_r,2015-05-22T00:00:00,14696.7520939,,,"LINESTRING (139034.9268000014 575956.2184999995, 145763.2954000011 562890.0953000002)"
vlieglijnen_wadden_2015.59,L0059_1_r,2015-10-03T00:00:00,14584.1873734,,,"LINESTRING (139788.2723999992 576013.2305000015, 146466.35049999878 563047.822900001)"
vlieglijnen_wadden_2015.60,L0060_1_r,2015-10-03T00:00:00,14092.8040786,,,"LINESTRING (140648.25580000132 575868.2769000009, 147114.53940000013 563346.5238000005)"
vlieglijnen_wadden_2015.61,L0061_1_r,2015-10-03T00:00:00,14082.3126535,,,"LINESTRING (141383.72580000013 575969.5467999987, 147830.79580000043 563449.6898999996)"
vlieglijnen_wadden_2015.62,L0062_1_r,2015-10-03T00:00:00,13538.8501279,,,"LINESTRING (142222.17799999937 575885.1631000005, 148429.67390000075 563853.2283000015)"
vlieglijnen_wadden_2015.63,L0063_1_r,2015-10-03T00:00:00,13559.1267294,,,"LINESTRING (142980.79630000144 575987.0846000016, 149151.3322999999 563913.3775000013)"
vlieglijnen_wadden_2015.64,L0064_1_r,2015-10-03T00:00:00,12986.1701981,,,"LINESTRING (143781.49300000072 575916.9147999994, 149740.01330000162 564378.4290999994)"
vlieglijnen_wadden_2015.65,L0065_1_r,2015-10-03T00:00:00,13043.5559018,,,"LINESTRING (144528.51529999822 575978.2551000006, 150508.92130000144 564386.4868000001)"
vlieglijnen_wadden_2015.66,L0066_1_r,2015-10-03T00:00:00,12938.133761,,,"LINESTRING (145268.01590000093 576091.3005000018, 151200.08630000055 564593.2204000019)"
vlieglijnen_wadden_2015.67,L0067_1_r,2015-10-03T00:00:00,12579.9521932,,,"LINESTRING (146158.65790000185 575877.6359999999, 151917.9274000004 564693.4503000006)"
vlieglijnen_wadden_2015.68,L0068_1_r,2015-10-03T00:00:00,12155.2757101,,,"LINESTRING (146964.52980000153 575865.3663000017, 152529.376600001 565058.7382999994)"
vlieglijnen_wadden_2015.69,L0069_1_r,2015-10-03T00:00:00,12025.5191312,,,"LINESTRING (147677.2126000002 576007.2248999998, 153174.4534999989 565311.737399999)"
vlieglijnen_wadden_2015.70,L0070_1_r,2015-10-03T00:00:00,11092.2809196,,,"LINESTRING (148493.46559999883 575946.6748000011, 153571.65940000117 566085.1006000005)"
vlieglijnen_wadden_2015.71,L0071_1_r,2015-10-03T00:00:00,10458.9944454,,,"LINESTRING (149308.44640000165 575869.5045000017, 154110.97129999846 566578.3088000007)"
vlieglijnen_wadden_2015.72,L0072_1_r,2015-10-03T00:00:00,9954.70591179,,,"LINESTRING (150092.96990000084 575891.5868000016, 154661.3938000016 567047.0588000007)"
vlieglijnen_wadden_2015.73,L0073_1_r,2015-10-03T00:00:00,9291.99253107,,,"LINESTRING (150881.4844999984 575902.6922999993, 155106.94449999928 567627.0282999985)"
vlieglijnen_wadden_2015.74,L0074_1_r,2015-10-03T00:00:00,8015.18165997,,,"LINESTRING (151699.03929999843 575829.5408000015, 155376.69189999998 568707.8830000013)"
vlieglijnen_wadden_2015.75,L0075_1_r,2015-05-22T00:00:00,7563.95977245,,,"LINESTRING (152534.7718999982 575752.4690999985, 155987.33359999955 569022.4389999993)"
vlieglijnen_wadden_2015.76,L0076_1_r,2015-05-22T00:00:00,7156.66445103,,,"LINESTRING (153177.9023000002 576001.7839000002, 156456.75829999894 569640.4200999998)"
vlieglijnen_wadden_2015.77,L0077_1_r,2015-05-22T00:00:00,6192.08954568,,,"LINESTRING (153988.36059999838 575960.5604000017, 156825.29250000045 570456.5808999985)"
vlieglijnen_wadden_2015.78,L0078_1_r,2015-05-22T00:00:00,4653.75149534,,,"LINESTRING (154796.6013999991 575963.8676000014, 156908.08830000088 571816.696800001)"
vlieglijnen_wadden_2015.79,L0079_1_r,2015-05-22T00:00:00,3561.0581574,,,"LINESTRING (155626.65929999948 575856.5089000016, 157247.2382999994 572685.5692999996)"
vlieglijnen_wadden_2015.80,L0080_1_r,2015-05-22T00:00:00,2054.78359792,,,"LINESTRING (156355.5762999989 575959.1053999998, 157287.86679999903 574127.9937999994)"
vlieglijnen_wadden_2015.81,L0080_2_r,2015-10-03T00:00:00,2360.6061679,,,"LINESTRING (156441.82880000025 576081.554299999, 157554.61080000177 573999.6854000017)"
