FID,omschr,aant_dgk,beginwdl,beginkm,eindwdl,eindkm,kantcode,wegnummer,fk_veld4,izi_side,ibn,vnrwol,gdb_geomattr_data,shape
doelgroepstroken_kenmerk.1,Busstrook,1 -> 1,R,94.56500244,R,95.02200317,T,004,KLK0008065716,L,I,4,,"LINESTRING (87499.12579999864 416263.5403999984, 87503.99769999832 416282.92990000173, 87513.28020000085 416321.84230000153, 87521.3359999992 416358.2479999997, 87525.29179999977 416377.8533000015, 87532.53779999912 416417.20219999924, 87535.89669999853 416436.9316000007, 87540.81949999928 416468.4015999995, 87543.61630000174 416488.2054999992, 87548.68569999933 416527.88390000165, 87552.50230000168 416561.3011999987, 87554.45320000127 416581.21169999987, 87557.7798999995 416621.07499999925, 87564.70839999989 416714.47019999847)"
doelgroepstroken_kenmerk.2,Busstrook,1 -> 1,R,95.08000183,R,95.11699677,T,004,KLK0008065717,L,I,4,,"LINESTRING (87473.04259999841 416172.85130000114, 87476.34849999845 416183.49720000103, 87483.5075000003 416207.52600000054)"
doelgroepstroken_kenmerk.3,Busstrook,1 -> 1,R,117.64499664,R,117.70600128,H,007,KLK0008071971,R,I,4,,"LINESTRING (169786.14660000056 561628.1556000002, 169845.6812000014 561614.8654000014)"
doelgroepstroken_kenmerk.4,Busstrook,1 -> 1,R,117.81600189,R,117.85700226,H,007,KLK0008071975,R,I,4,,"LINESTRING (169954.01469999924 561590.6816000007, 169993.56120000035 561581.8533999994)"
doelgroepstroken_kenmerk.5,Busstrook,1 -> 1,R,117.68699646,R,117.98500061,T,007,KLK0008071976,L,I,4,,"LINESTRING (170123.75 561573.5577000007, 169835.78350000083 561637.9890000001)"
doelgroepstroken_kenmerk.6,Busstrook,1 -> 1,R,26.11000061,R,26.18499947,T,010,KLK0008081749,L,I,1,,"LINESTRING (118089.60920000076 488439.27600000054, 118090.08439999819 488454.1638999991, 118090.84789999947 488469.15040000156, 118092.24639999866 488489.1015000008, 118093.59659999982 488504.44099999964, 118094.5837999992 488513.70430000126)"
doelgroepstroken_kenmerk.7,Busstrook,1 -> 1,R,22.83499908,R,23.02300072,H,016,KLK0008099980,R,I,6,,"LINESTRING (98132.47659999877 433958.5716999993, 98138.83579999954 433943.2628999986, 98146.11690000072 433924.6314999983, 98157.39710000157 433893.0362999998, 98163.66629999876 433874.0346000008, 98169.61809999868 433854.93879999965, 98175.14869999886 433835.7179000005, 98179.09209999815 433821.32400000095, 98187.65159999952 433788.41910000145)"
doelgroepstroken_kenmerk.8,Busstrook,1 -> 1,R,36.9070015,R,37.15499878,T,027,KLK0008106927,L,I,2,,"LINESTRING (124982.80090000108 429024.6325000003, 124956.18149999902 428934.32730000094, 124912.60660000145 428784.6895999983)"
doelgroepstroken_kenmerk.9,Busstrook,1 -> 1,R,18.09000015,R,18.16900063,T,028,KLK0008112259,L,I,2,,"LINESTRING (155629.0989000015 460729.12849999964, 155627.9530000016 460728.0931000002, 155617.28799999878 460719.6160000004, 155605.35830000043 460710.52219999954, 155585.00919999927 460695.9545000009, 155564.40419999883 460682.14339999855)"
doelgroepstroken_kenmerk.10,Busstrook,1 -> 1,R,18.16900063,R,18.26499939,T,028,KLK0008112260,L,I,3,,"LINESTRING (155691.63450000063 460784.8493999988, 155683.61450000107 460780.33399999887, 155657.3093000017 460755.2642999999, 155639.0826999992 460738.1497000009, 155629.0989000015 460729.12849999964)"
doelgroepstroken_kenmerk.11,Busstrook,1 -> 1,R,62.4090004,R,62.47000122,T,031,KLK0008116688,L,I,4,,"LINESTRING (193847.4829000011 574417.2751999982, 193790.0971999988 574451.6024999991)"
doelgroepstroken_kenmerk.12,Busstrook,1 -> 1,R,62.47000122,R,62.61399841,T,031,KLK0008116689,L,I,3,,"LINESTRING (193974.49340000004 574341.2994000018, 193847.4829000011 574417.2751999982)"
doelgroepstroken_kenmerk.13,Busstrook,1 -> 1,R,62.67399979,R,62.71699905,H,031,KLK0008116734,R,I,4,,"LINESTRING (194013.78400000185 574302.9670000002, 194049.81679999828 574281.3883999996)"
doelgroepstroken_kenmerk.14,Busstrook,1 -> 1,R,7.65399981,R,7.71299982,T,031,KLK0008115737,L,I,4,,"LINESTRING (155523.39319999889 569243.2901999988, 155512.20190000162 569226.7140999995, 155500.72960000113 569210.3299999982, 155492.4851000011 569199.0170000009)"
doelgroepstroken_kenmerk.15,Busstrook,1 -> 1,R,62.71699905,R,62.86000061,H,031,KLK0008116742,R,I,3,,"LINESTRING (194049.81679999828 574281.3883999996, 194171.64200000092 574208.4321000017)"
doelgroepstroken_kenmerk.16,Busstrook,1 -> 1,R,62.86000061,R,62.93299866,H,031,KLK0008116743,R,I,4,,"LINESTRING (194171.64200000092 574208.4321000017, 194233.14649999887 574171.5995000005)"
doelgroepstroken_kenmerk.17,Busstrook,1 -> 1,R,66.1309967,R,66.33200073,H,031,KLK0008117502,R,I,2,,"LINESTRING (197181.60449999943 573305.7749000005, 197231.26790000126 573289.3570999987, 197245.71139999852 573285.2751999982, 197250.28390000015 573284.1779000014, 197255.1900999993 573283.1442999989, 197264.3761 573281.5199999996, 197269.3434999995 573280.886500001, 197282.87950000167 573279.6702999994, 197292.87469999865 573279.3099999987, 197311.36019999906 573279.9144000001, 197318.40569999814 573280.5870999992, 197328.32979999855 573281.8706, 197341.89400000125 573284.3568000011, 197366.29740000144 573289.8350000009, 197375.67610000074 573292.1446999982)"
doelgroepstroken_kenmerk.18,Busstrook,1 -> 1,R,25.3220005,R,25.32299995,H,044,KLK0008125577,R,I,5,,"LINESTRING (85890.80299999937 459356.4004999995, 85889.76799999923 459355.4510000013)"
doelgroepstroken_kenmerk.19,Busstrook,1 -> 1,R,25.29199982,R,25.3220005,H,044,KLK0008125576,R,I,4,,"LINESTRING (85912.17320000008 459376.0044, 85890.80299999937 459356.4004999995)"
