Ministerie;Handelsnaam;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
AZ;Aannemersbedrijf G.B. van Hoek B.V.;;1;;;;1
AZ;Dunea N.V.;;;1;;;1
AZ;E.ON Benelux Levering B.V.;;;4;;;4
AZ;Electro-Engros van der Wiel B.V.;;1;;;;1
AZ;Eneco Services B.V.;;;3;;;3
AZ;Eneco Zakelijk;;;4;;;4
AZ;Engelsman Hoveniers B.V.;;3;;;;3
AZ;Facility Service;;;;1;;1
AZ;Firesol B.V.;;2;;;;2
AZ;Hartman Den Haag B.V.;;2;;;;2
AZ;Heijmans Utiliteit;;2;;;;2
AZ;Het NZC B.V.;;1;;;;1
AZ;Hirschmann Multimedia B.V.;;1;;;;1
AZ;Manutan B.V.;;1;;;;1
AZ;Mastermate VBT Groep;;1;;;;1
AZ;Oliecentrale Nederland;;1;;;;1
AZ;Stedin;;;3;;;3
AZ;Stedin Meetbedrijf;;;1;;;1
AZ;Strukton Worksphere;;2;;;;2
AZ;Top Movers Nederland B.V.;;;;2;;2
AZ;Unica Installatietechniek;;1;;;;1
AZ;UTS Abbink Den Haag;;;;1;;1
AZ;Van der Plas Meubel en Projekt B.V.;;;;1;;1
AZ;Van der Velde 't Veentje Verhuizingen;;;;1;;1
AZ;Van Ginkel B.V.;;1;;;;1
AZ;Vollebregt Installatie B.V.;;1;;;;1
AZ;Zegwaard Rioolbeheer B.V.;;1;;;;1
BZ;Aalbers Holding B.V.;;;;;6;6
BZ;Aon B.V.;;;;;1;1
BZ;Atelier Kempe-Thill B.V.;;;;;1;1
BZ;Bea print B.V.;;;;;1;1
BZ;Bouwburo De Wilde B.V.;;;;;2;2
BZ;Brink Groep B.V.;;;;;1;1
BZ;CBRE Valuation Advisory;;;;;1;1
BZ;Chubb Fire & Security Amsterdam;;;;;7;7
BZ;Copijn;;;;;1;1
