IMGEO_LOKAALID;IMGEO_OBJECTBEGIN;IMGEO_TYPE_PLUS;IMGEO_BRONHOUDER;IMGEO_KLASSE;ID;X;Y;LONG;LAT
G0518.1F124569-6364-4CE7-ACD9-6292B5C82A1A;2016-11-07;weerstation;'s-Gravenhage (G);Sensor;63711902;81724.701;457496.881;4.317736341033438;52.100860173677006
G0518.5554F77B-763A-4848-BB06-33868ABD0854;2016-11-07;radar detector;'s-Gravenhage (G);Sensor;63711682;82966.266;456784.807;4.3360047621337054;52.094623912684156
G0518.6FAB35D8-4075-473F-852D-A1A7900C8DF7;2016-11-07;flitser;'s-Gravenhage (G);Sensor;63711870;87391.484;453586.543;4.401206813654887;52.06643930222043
G0518.0FB11D7B-C810-4DE9-9359-B9A90F8FB415;2016-11-09;flitser;'s-Gravenhage (G);Sensor;63713427;81921.376;457510.571;4.32060343650381;52.10100921096357
G0518.7D6DB0ED-02CF-4931-A7B7-988B1AFE1149;2016-11-03;radar detector;'s-Gravenhage (G);Sensor;63710275;82030.863;456146.059;4.322493258893405;52.088761101575486
G0518.06471F69-4E8B-47D4-B75F-4DD3EDADCF39;2016-12-14;flitser;'s-Gravenhage (G);Sensor;63748172;77816.655;455092.847;4.2612521555730885;52.078724659064555
G0518.1D12B564-F92A-4AE5-AC5C-3D09BF09029C;2016-10-11;flitser;'s-Gravenhage (G);Sensor;64233679;77709.199;453356.978;4.260077989376544;52.06311000119723
G0518.EE1B3AD1-3C75-414B-9203-7041988A0F71;2017-11-17;waterstandmeter;'s-Gravenhage (G);Sensor;64654784;78346.606;453360.852;4.269370677105931;52.063233399053665
G0518.327BD9C5-727D-4330-8AAD-89BA6C821DDD;2016-11-07;flitser;'s-Gravenhage (G);Sensor;63711440;87203.394;454136.58;4.3983548962655785;52.071359502783494
G0518.A7832488-766B-48C1-927B-B25A2510BE57;2016-10-06;radar detector;'s-Gravenhage (G);Sensor;63691209;75305.291;453607.27;4.224970318278947;52.06501857874367
G0518.76D5F7FC-D5D3-40F9-8888-E2597179C74C;2016-11-02;flitser;'s-Gravenhage (G);Sensor;63708908;87473.969;453517.512;4.402423245173664;52.065828978030716
G0518.613A73D0-6D1F-45FD-BC1C-95DD483ADC24;2016-10-27;flitser;'s-Gravenhage (G);Sensor;63705826;82282.501;454977.157;4.326413571083697;52.07828952483571
G0518.48D52939-861D-449C-BF8F-B79ADA231163;2016-10-07;waterstandmeter;'s-Gravenhage (G);Sensor;63692142;74074.996;451480.348;4.207535680013108;52.045726473696966
G0518.9A0486E5-8F7D-4742-9E46-0D1BEECFDDCC;2016-10-10;radar detector;'s-Gravenhage (G);Sensor;63693001;79395.019;453086.724;4.284717605034211;52.06091398791728
G0518.9AE36D29-BC63-4235-A7C3-195A9A0EE3BD;2016-11-07;flitser;'s-Gravenhage (G);Sensor;63711592;81173.396;456626.506;4.309879830339997;52.09296506257244
G0518.461AFAAC-D31F-4175-860E-C960B76A41B5;2016-11-03;radar detector;'s-Gravenhage (G);Sensor;63710276;82027.877;456161.319;4.322446430924589;52.088897846260615
G0518.C1293CD5-E094-49EE-9F05-A72BD7F803B7;2016-10-21;radar detector;'s-Gravenhage (G);Sensor;63702262;81436.352;453246.857;4.314445118342249;52.06262791794118
G0518.CE6D1ABE-FAA8-4E33-9D81-10FAEE63017F;2016-10-21;flitser;'s-Gravenhage (G);Sensor;63702299;80991.795;456488.278;4.307260255580728;52.091698590547054
G0518.A1771907-439C-4EB9-B28B-F391AC5C72F5;2016-11-07;flitser;'s-Gravenhage (G);Sensor;63711537;81738.567;457808.883;4.317871599357981;52.10366589240368
G0518.D6FCC98D-51E1-4894-B3E6-711E5E535658;2016-10-11;flitser;'s-Gravenhage (G);Sensor;63693674;78870.086;453975.391;4.276866141926987;52.068828285358116
G0518.33AC6F2D-20F2-4102-BCAF-D9D18503FADA;2018-02-22;flitser;'s-Gravenhage (G);Sensor;65430017;87726.802;453021.948;4.406207580900788;52.06140608568087
G0518.35295D52-85E5-4865-B15E-CE82473F346D;2018-02-22;flitser;'s-Gravenhage (G);Sensor;65430026;87702.53;453135.745;4.405831267510475;52.06242583536064
G0518.FFFF9B83-B736-467D-9B1B-2DED6E9A5E03;2018-06-29;GMS sensor;'s-Gravenhage (G);Sensor;65547700;80564.038;457756.854;4.300742345294214;52.10304155848305
G0518.00001516-6C75-412F-8795-65A38596734E;2018-06-29;GMS sensor;'s-Gravenhage (G);Sensor;65547698;81244.319;458122.948;4.310590724446439;52.10642264414881
G0518.83A279DE-9E67-4162-9FFC-BA1B8EAA4FA0;2022-01-06;flitser;'s-Gravenhage (G);Sensor;66658023;80203.742;454493.792;4.296200188564;52.073668754264475
G0518.4DC28233-D5D0-4EE2-8716-9175F95C8E01;2022-09-28;radar detector;'s-Gravenhage (G);Sensor;66749545;83119.371;453793.295;4.33886904697535;52.067759598374124
G0518.84C81C8C-14AF-4A9C-8428-282F28B8CB4F;2022-09-28;radar detector;'s-Gravenhage (G);Sensor;66748640;82967.627;453957.596;4.3366216435710605;52.06921643546359
G0518.3C67150F-FBB6-4F08-A97F-649D9A397534;2022-09-28;radar detector;'s-Gravenhage (G);Sensor;66747787;82743.199;453889.552;4.3333633329557;52.06857570489504
