FID,loc_nr,oid,loc_type,loc_des,roadnumber,roadname,first_name,secnd_name,junct_ref,exit_nr,hstart_pos,hend_pos,hstart_neg,hend_neg,hecto_char,hecto_dir,pos_in,pos_out,neg_in,neg_out,dir,area_ref,lin_ref,inter_ref,pos_off,neg_off,urban_code,pres_pos,pres_neg,far_away,city_distr,top_sign,type_code,mw_ref,rw_nr,aw_ref,gdb_geomattr_data,shape
parkeerplaats__rest__66.140,7019,1366,P3.4,Parkeerplaats (rest),A1, ,Bastion, ,0, ,-1,-1,214,207, ,1,0,0,1,1, ,2450,3000,0,7020,7018,0,0,1,0, , ,0,0,1,421,,POINT (140634.39180000126 478656.4932000004)
parkeerplaats__rest__66.141,7020,1367,P3.4,Parkeerplaats (rest),A1, ,Ronduit, ,0, ,208,215,-1,-1, ,1,1,1,0,0, ,2450,3000,0,7021,7019,0,1,0,0, , ,0,0,1,421,,POINT (140726.66569999978 478490.09640000015)
parkeerplaats__rest__66.165,7048,1391,P3.4,Parkeerplaats (rest),A1, ,Uilengoor, ,0, ,-1,-1,534,527, ,1,0,0,1,1, ,2305,3001,0,7049,7047,0,0,1,0, , ,0,0,1,610,,POINT (165850.41299999878 464123.4290000014)
parkeerplaats__rest__66.168,7052,1394,P3.4,Parkeerplaats (rest),A1, ,Aanschoten, ,0, ,-1,-1,601,595, ,1,0,0,1,1, ,2305,3001,0,22476,7050,0,0,1,0, , ,0,0,1,610,,POINT (172499.1398999989 465239.5949999988)
parkeerplaats__rest__66.171,7056,1397,P3.4,Parkeerplaats (rest),A1, ,De Strubben, ,0, ,-1,-1,688,680, ,1,0,0,1,1, ,2303,3001,0,7057,7054,0,0,1,0, , ,0,0,1,610,,POINT (180654.1827000007 467756.5855999999)
parkeerplaats__rest__66.176,7064,1402,P3.4,Parkeerplaats (rest),A1, ,Bruggelen, ,0, ,812,819,-1,-1, ,1,1,1,0,0, ,2303,3001,0,7065,7063,0,1,0,0, , ,0,0,1,610,,POINT (193014.29630000144 465622.9199000001)
parkeerplaats__rest__66.192,7084,1418,P3.4,Parkeerplaats (rest),A1, ,De Hop, ,0, ,-1,-1,1170,1164, ,1,0,0,1,1, ,2261,3002,0,7085,7082,0,0,1,0, , ,0,0,1,630,,POINT (221188.39919999987 473558.3557999991)
parkeerplaats__rest__66.193,7085,1419,P3.4,Parkeerplaats (rest),A1, ,Boermark, ,0, ,1176,1182,-1,-1, ,1,1,1,0,0, ,2261,3002,0,7086,7084,0,1,0,0, , ,0,0,1,630,,POINT (222484.6035999991 473571.0804999992)
parkeerplaats__rest__66.233,7152,1459,P3.4,Parkeerplaats (rest),A1, ,De Poppe, ,0, ,-1,-1,1784,1780, ,1,0,0,1,1, ,2276,3003,0,7127,7125,0,0,1,0, , ,0,0,1,630,,POINT (267875.68400000036 481899.3964000009)
parkeerplaats__rest__66.325,7312,1551,P3.4,Parkeerplaats (rest),A12, ,'t Ginkelse Zand, ,0, ,-1,-1,1173,1165, ,1,0,0,1,1, ,2321,3021,0,7313,7311,0,0,1,0, , ,0,0,12,645,,POINT (180670.98959999904 448187.57400000095)
parkeerplaats__rest__66.341,7329,1567,P3.4,Parkeerplaats (rest),A12, ,Aalburgen, ,0, ,-1,-1,1395,1390, ,1,0,0,1,1, ,2319,3022,0,7330,7328,0,0,1,0, , ,0,0,12,645,,POINT (199875.1264999993 441073.77219999954)
parkeerplaats__rest__66.434,7478,1660,P3.4,Parkeerplaats (rest),A15, ,Veenbult, ,0, ,1020,1025,-1,-1, ,1,1,1,0,0, ,1960,3057,0,7479,7476,0,1,0,0, , ,0,0,15,427,,POINT (131265.16160000116 427970.13280000165)
parkeerplaats__rest__66.444,7489,1670,P3.4,Parkeerplaats (rest),A15, ,De Mark, ,0, ,1199,1204,-1,-1, ,1,1,1,0,0, ,1960,3057,0,7520,7488,0,1,0,0, , ,0,0,15,645,,POINT (148796.67449999973 430063.85979999974)
parkeerplaats__rest__66.454,7505,1680,P3.4,Parkeerplaats (rest),A15, ,Leigraaf, ,0, ,1496,1501,-1,-1, ,1,1,1,0,0, ,2324,3057,0,7506,7503,0,1,0,0, , ,0,0,15,645,,POINT (176539.72659999877 436524.2833000012)
parkeerplaats__rest__66.544,7719,1770,P3.4,Parkeerplaats (rest),A17, ,Bazius, ,0, ,-1,-1,47,53, ,-1,0,0,1,1, ,2728,3080,0,7720,7717,0,0,1,0, , ,0,0,17,577,,POINT (100465.8900000006 409085.3112999983)
parkeerplaats__rest__66.587,7856,1813,P3.4,Parkeerplaats (rest),A2, ,Kruisberg, ,0, ,2502,2499,-1,-1, ,-1,1,1,0,0, ,2676,3102,0,7858,7855,0,1,0,0, , ,0,0,2,550,,POINT (180563.9461000003 323006.9814000018)
parkeerplaats__rest__66.611,7892,1837,P3.4,Parkeerplaats (rest),A2, ,Roevenpeel, ,0, ,-1,-1,2027,2032, ,-1,0,0,1,1, ,2695,3102,0,7894,7891,0,0,1,0, , ,0,0,2,550,,POINT (181423.91649999842 362931.991799999)
parkeerplaats__rest__66.923,8487,2149,P3.4,Parkeerplaats (rest),A28, ,Oldenaller, ,0, ,-1,-1,375,370, ,1,0,0,1,1, ,2351,3191,0,8488,8486,0,0,1,0, , ,0,0,28,610,,POINT (162198.17330000177 473358.25659999996)
parkeerplaats__rest__66.926,8490,2152,P3.4,Parkeerplaats (rest),A28, ,Dasselaar, ,0, ,438,444,-1,-1, ,1,1,1,0,0, ,2326,3191,0,8491,8489,0,1,0,0, , ,0,0,28,610,,POINT (166214.60489999875 478500.6334999986)
