FID,length,filenaam,br_links,br_rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2008.1,27978.205,run001,489.29998779,-595.20001221,2008-07-25T00:00:00,,,"LINESTRING (78139.81199999899 377932.5, 52405.69099999964 388911.3440000005)"
vlieglijnen_wschelde_2008.2,27905.125,run002,562.90002441,-512.59997559,2008-07-25T00:00:00,,,"LINESTRING (77811.9609999992 377419.875, 52130.82800000161 388336.625)"
vlieglijnen_wschelde_2008.3,27728.766,run003,541.70001221,-469.3999939,2008-07-25T00:00:00,,,"LINESTRING (77483.8440000005 376783.563000001, 51979.39799999818 387665.0940000005)"
vlieglijnen_wschelde_2008.4,27715.381,run004,544.59997559,-508.79998779,2008-07-24T00:00:00,,,"LINESTRING (77311.38300000131 376157.75, 51816.41000000015 387027.375)"
vlieglijnen_wschelde_2008.5,27912.066,run005,524.59997559,-607,2008-07-24T00:00:00,,,"LINESTRING (77062.99199999869 375561.625, 51372.57800000161 386474.2809999995)"
vlieglijnen_wschelde_2008.6,28840.43,run006,508.3999939,-457.6000061,2008-07-24T00:00:00,,,"LINESTRING (77780.6559999995 374537.313000001, 51250.4299999997 385847.375)"
vlieglijnen_wschelde_2008.7,29060.137,run007,482.5,-527.20001221,2008-07-24T00:00:00,,,"LINESTRING (77615.3590000011 374001.5309999995, 50849.21900000051 385318.125)"
vlieglijnen_wschelde_2008.8,26430.885,run008,543,-473,2008-07-24T00:00:00,,,"LINESTRING (75004.1559999995 374297.313000001, 50699.42199999839 384683.438000001)"
vlieglijnen_wschelde_2008.9,11185.575,run009,489.8999939,-506.8999939,2008-07-23T00:00:00,,,"LINESTRING (60759.58999999985 379648.938000001, 50473.23800000176 384043.0309999995)"
vlieglijnen_wschelde_2008.10,30047.592,run010,499.8999939,-504.79998779,2008-07-23T00:00:00,,,"LINESTRING (77833.38300000131 371718.8440000005, 50207.629000000656 383537.2809999995)"
vlieglijnen_wschelde_2008.11,46044.379,run011,530.40002441,-483.5,2008-07-23T00:00:00,,,"LINESTRING (77050.63300000131 371367.625, 34669.76999999955 389366.1559999995)"
vlieglijnen_wschelde_2008.12,44490.34,run012,483.79998779,-553.29998779,2008-07-23T00:00:00,,,"LINESTRING (75246.8440000005 371404.8440000005, 34332.85200000182 388881.563000001)"
vlieglijnen_wschelde_2008.13,44533.629,run013,617.29998779,-793.79998779,2008-07-22T00:00:00,,,"LINESTRING (75060.2190000005 370817.125, 34070.9299999997 388227.5309999995)"
vlieglijnen_wschelde_2008.14,44816.512,run014,522.79998779,-519.20001221,2008-07-22T00:00:00,,,"LINESTRING (74759.0940000005 370262.9690000005, 33513.01999999955 387792.4059999995)"
vlieglijnen_wschelde_2008.15,44801.633,run015,550.20001221,-535.5,2008-07-22T00:00:00,,,"LINESTRING (74528.36699999869 369606.3440000005, 33314.5700000003 387173.625)"
vlieglijnen_wschelde_2008.16,45908.965,run016,615.59997559,-594.79998779,2008-07-22T00:00:00,,,"LINESTRING (74601.95300000161 368929.125, 32371.311000000685 386934.8440000005)"
vlieglijnen_wschelde_2008.17,30919.68,run017,507.5,-537.70001221,2008-07-25T00:00:00,,,"LINESTRING (60440.58999999985 374212.8440000005, 32006.579999998212 386359.188000001)"
vlieglijnen_wschelde_2008.18,32394.492,run018,551.79998779,-530.59997559,2008-07-24T00:00:00,,,"LINESTRING (58067.949000000954 374514.4059999995, 28277.789000000805 387240.3440000005)"
vlieglijnen_wschelde_2008.19,34386.09,run019,555.70001221,-448,2008-07-23T00:00:00,,,"LINESTRING (57523.550999999046 374073.75, 25899.699000000954 387576.9059999995)"
vlieglijnen_wschelde_2008.20,34156.938,run020,594.79998779,-521.59997559,2008-07-23T00:00:00,,,"LINESTRING (56959.5700000003 373635.4059999995, 25569.48999999836 387102.375)"
vlieglijnen_wschelde_2008.21,29985.48,run021,544.70001221,-495.70001221,2008-07-23T00:00:00,,,"LINESTRING (55605.23000000045 373420.4059999995, 28145.820000000298 385466.563000001)"
vlieglijnen_wschelde_2008.22,17091.834,run022,521.09997559,-563,2008-07-23T00:00:00,,,"LINESTRING (54771.39799999818 373137.3440000005, 38929.17199999839 379552.5309999995)"
vlieglijnen_wschelde_2008.23,23608.949,run023,549.59997559,-650.29998779,2008-07-23T00:00:00,,,"LINESTRING (53768.9299999997 372871.938000001, 31916.550999999046 381808.1559999995)"
vlieglijnen_wschelde_2008.24,24139.631,run024,501.6000061,-535.5,2008-07-23T00:00:00,,,"LINESTRING (53250.19099999964 372420.813000001, 30995.618999999017 381772.5940000005)"
vlieglijnen_wschelde_2008.25,23573.23,run025,552.40002441,-485.70001221,2008-07-23T00:00:00,,,"LINESTRING (52269.8200000003 372127.5309999995, 30552.550999999046 381295.813000001)"
vlieglijnen_wschelde_2008.26,24084.078,run026,493.29998779,-522.5,2008-07-22T00:00:00,,,"LINESTRING (51308.449000000954 371693.561999999, 29187.221000000834 381216.9059999995)"
vlieglijnen_wschelde_2008.27,26642.301,run027,452.70001221,-497.6000061,2008-07-22T00:00:00,,,"LINESTRING (50405.73800000176 371484.7809999995, 25881.08999999985 381894.0940000005)"
vlieglijnen_wschelde_2008.28,28350.613,run028,485.8999939,-556.79998779,2008-07-22T00:00:00,,,"LINESTRING (50193.91000000015 370846.4059999995, 24070.170000001788 381860.375)"
vlieglijnen_wschelde_2008.29,28554.395,run029,512.59997559,-506.29998779,2008-07-22T00:00:00,,,"LINESTRING (49900.55900000036 370279.7809999995, 23661.118999999017 381542.3440000005)"
vlieglijnen_wschelde_2008.30,19056.492,run030,500.6000061,-463.6000061,2008-07-22T00:00:00,,,"LINESTRING (49705.3200000003 369660.313000001, 32165.519999999553 377110.5)"
vlieglijnen_wschelde_2008.31,19651.09,run901,494.20001221,-554.29998779,2008-07-24T00:00:00,,,"LINESTRING (77762.3909999989 372511.063000001, 59653.14799999818 380141.313000001)"
