FID,soort_kuns,globalid,codebpn,disk_beh_o,districtna,objectnaam,objecttype,materiaal,status,beheersreg,contract,opmerking,info1,info2,info3,info4,info5,stichtings,muteerder,mutatie,geobron,hoofdwater,watersyste,watersys_1,subcat,zijde,km,element,beheerder,eigenaar,onderhoude,risicoaand,monument,se_anno_cad_data,gdb_geomattr_data,shape
kunstwerk_vlak.1,30,{8B2D4CA1-2C6D-4AC1-B66E-7DE7879C3D27},"109A.KA.-.971,569",44B-002-01,WNZ Z,Loopbrug remmingswerk Schutsluis Spieringsluis,Vaste steiger, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-04-10T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KA,-,971.569,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((111825.20800000057 421288.5069999993, 111825.0540000014 421287.84699999914, 111823.79199999943 421288.20600000024, 111823.92199999839 421288.72100000083, 111825.02199999988 421293.0689999983, 111825.37900000066 421294.4829999991, 111826.94999999925 421300.69299999997, 111828.0540000014 421300.58100000024, 111826.58999999985 421294.3660000004, 111826.25600000098 421292.94999999925, 111825.20800000057 421288.5069999993))"
kunstwerk_vlak.2,39,{B246F35A-65BF-4296-B887-87A527F002DD},"109A.KS.-.962,4",44B-001-01,WNZ Z,Schutsluis Biesboschsluis,Schutsluis, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-12-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KS,-,962.4,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((119786.74399999902 424124.3370000012, 119786.28700000048 424123.6469999999, 119786.04500000179 424123.6490000002, 119786.04500000179 424123.11300000176, 119786.06799999997 424122.04399999976, 119786.67500000075 424122.0540000014, 119786.68699999899 424121.9149999991, 119786.73699999973 424117.5300000012, 119786.41699999943 424116.8350000009, 119786.18200000003 424116.9780000001, 119786.19200000167 424115.33399999887, 119786.19200000167 424115.2580000013, 119786.36699999869 424097.6079999991, 119786.38699999824 424095.59800000116, 119786.70800000057 424063.36100000143, 119786.72100000083 424062.0489999987, 119787.4290000014 424062.11100000143, 119787.50200000033 424057.2740000002, 119787.42399999872 424057.0760000013, 119787.32499999925 424057.10500000045, 119783.06500000134 424058.4690000005, 119778.93400000036 424057.0159999989, 119778.82999999821 424056.9820000008, 119778.6799999997 424057.48600000143, 119778.64799999818 424062.01099999994, 119779.19200000167 424062.0469999984, 119779.18299999833 424062.8660000004, 119778.81500000134 424095.58999999985, 119778.79300000146 424097.5379999988, 119778.59299999848 424115.2870000005, 119778.59600000083 424115.3770000003, 119778.625 424116.9990000017, 119778.2890000008 424116.88800000027, 119777.91200000048 424117.688000001, 119777.91800000146 424121.8209999986, 119777.91000000015 424121.9230000004, 119778.59299999848 424121.9310000017, 119778.5850000009 424123.04100000113, 119778.59600000083 424123.5399999991, 119778.28599999845 424123.40399999917, 119777.85700000077 424124.186999999, 119777.95600000024 424124.23000000045, 119782.63399999961 424125.9510000013, 119786.64299999923 424124.3830000013, 119786.74399999902 424124.3370000012))"
kunstwerk_vlak.3,39,{22DF63C4-1490-4927-A1D2-C9226A205BFB},"109A.KS.L.962,4",44B-001-01,WNZ Z,Oostzijde schutsluis Biesboschsluis,Schutsluis, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-12-20T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KS,L,962.4,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((119803.76900000125 424136.0249999985, 119803.82400000095 424135.19999999925, 119787.25 424135.09899999946, 119787.28599999845 424128.6790000014, 119789.26300000027 424128.5639999993, 119789.26399999857 424127.743999999, 119790.26000000164 424127.7320000008, 119790.27899999917 424126.0940000005, 119789.24399999902 424126.08900000155, 119789.29100000113 424125.1420000009, 119789.30299999937 424124.2349999994, 119789.3599999994 424120.0560000017, 119789.42300000042 424118.22300000116, 119787.4690000005 424118.2320000008, 119787.63399999961 424115.30799999833, 119787.70199999958 424106.436999999, 119787.76900000125 424104.5870000012, 119788.01999999955 424097.7030000016, 119788.4290000014 424097.7270000018, 119788.47500000149 424095.72199999914, 119787.79300000146 424095.6790000014, 119787.85099999979 424087.99599999934, 119788.1240000017 424063.2280000001, 119790.29199999943 424063.1550000012, 119790.29199999943 424061.8289999999, 119790.30000000075 424059.4510000013, 119790.32299999893 424056.21400000155, 119790.32400000095 424056.10599999875, 119790.33900000155 424053.9750000015, 119790.34099999815 424053.71599999815, 119788.3040000014 424053.6779999994, 119788.30700000003 424052.2809999995, 119788.3359999992 424046.43299999833, 119788.34899999946 424044.9609999992, 119796.21700000018 424044.9149999991, 119796.21400000155 424044.4389999993, 119790.73999999836 424044.4699999988, 119790.38300000131 424044.47199999914, 119789.57600000128 424044.4770000018, 119789.59499999881 424043.4530000016, 119788.32800000161 424043.4290000014, 119788.3200000003 424042.813000001, 119788.22899999842 424035.00400000066, 119788.21799999848 424034.07400000095, 119789.26000000164 424034.0460000001, 119791.7650000006 424033.7170000002, 119791.72700000182 424033.44900000095, 119791.71799999848 424033.3500000015, 119789.79899999872 424033.40399999917, 119788.59899999946 424033.4360000007, 119788.4990000017 424033.4389999993, 119787.84299999848 424033.45699999854, 119786.93899999931 424033.4820000008, 119786.93890000135 424033.4926000014, 119786.92700000107 424035.04100000113, 119786.86600000039 424043.1779999994, 119786.85399999842 424044.7809999995, 119786.85399999842 424044.811999999, 119786.84299999848 424046.41000000015, 119787.51799999923 424046.4210000001, 119787.48299999908 424054.01099999994, 119786.78500000015 424054.0069999993, 119786.7899999991 424054.2569999993, 119786.83900000155 424056.1620000005, 119786.85099999979 424056.7129999995, 119786.86100000143 424057.0879999995, 119787.32499999925 424057.10500000045, 119787.42399999872 424057.0760000013, 119787.50200000033 424057.2740000002, 119787.4290000014 424062.11100000143, 119786.72100000083 424062.0489999987, 119786.70800000057 424063.36100000143, 119786.38699999824 424095.59800000116, 119786.36699999869 424097.6079999991, 119786.19200000167 424115.2580000013, 119786.19200000167 424115.33399999887, 119786.18200000003 424116.9780000001, 119786.41699999943 424116.8350000009, 119786.73699999973 424117.5300000012, 119786.68699999899 424121.9149999991, 119786.67500000075 424122.0540000014, 119786.06799999997 424122.04399999976, 119786.04500000179 424123.11300000176, 119786.04500000179 424123.6490000002, 119786.28700000048 424123.6469999999, 119786.74399999902 424124.3370000012, 119786.64299999923 424124.3830000013, 119786.62299999967 424128.62000000104, 119785.77899999917 424128.7100000009, 119785.78000000119 424130.55999999866, 119785.78599999845 424134.3280000016, 119785.78799999878 424135.8680000007, 119787.57999999821 424135.8839999996, 119795.50800000131 424135.95600000024, 119796.00699999928 424135.9539999999, 119796.26999999955 424135.95699999854, 119797.90399999917 424135.9699999988, 119800.93299999833 424135.9970000014, 119803.4459999986 424136.0219999999, 119803.76900000125 424136.0249999985))"
kunstwerk_vlak.4,39,{35C2CBC3-AE95-4C68-8A27-F29722B240EA},"109A.KS.R.962,4",44B-001-01,WNZ Z,Westzijde schutsluis Biesboschsluis,Schutsluis, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-12-05T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109A,KS,R,962.4,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((119778.5150000006 424135.0480000004, 119778.58700000122 424134.33100000024, 119778.58799999952 424134.2280000001, 119778.58700000122 424134.1259999983, 119778.60799999908 424128.4780000001, 119777.90300000086 424128.4820000008, 119777.95600000024 424124.23000000045, 119777.85700000077 424124.186999999, 119778.28599999845 424123.40399999917, 119778.59600000083 424123.5399999991, 119778.5850000009 424123.04100000113, 119778.59299999848 424121.9310000017, 119777.91000000015 424121.9230000004, 119777.91800000146 424121.8209999986, 119777.91200000048 424117.688000001, 119778.2890000008 424116.88800000027, 119778.625 424116.9990000017, 119778.59600000083 424115.3770000003, 119778.59299999848 424115.2870000005, 119778.79300000146 424097.5379999988, 119778.81500000134 424095.58999999985, 119779.18299999833 424062.8660000004, 119779.19200000167 424062.0469999984, 119778.64799999818 424062.01099999994, 119778.6799999997 424057.48600000143, 119778.82999999821 424056.9820000008, 119778.93400000036 424057.0159999989, 119779.53500000015 424057.00400000066, 119779.52800000086 424054.09600000083, 119779.52800000086 424053.9670000002, 119778.57999999821 424053.96499999985, 119778.58199999854 424052.26999999955, 119778.58799999952 424046.2719999999, 119779.53799999878 424046.2879999988, 119779.54100000113 424044.65300000086, 119779.54300000146 424043.0210000016, 119779.54300000146 424042.9679999985, 119779.55180000141 424033.5687999986, 119779.55200000107 424033.3280000016, 119779.10599999875 424033.3139999993, 119778.9849999994 424033.30900000036, 119778.84600000083 424033.3060000017, 119774.60099999979 424033.38699999824, 119774.60300000012 424033.48699999973, 119774.6099999994 424033.8379999995, 119777.14299999923 424033.95800000057, 119778.30200000107 424033.97100000083, 119778.58999999985 424044.58199999854, 119777.98099999875 424044.5689000003, 119770.28700000048 424044.40399999917, 119770.2809999995 424044.71400000155, 119777.72399999946 424044.875, 119777.72399999946 424046.2589999996, 119777.7650000006 424050.756000001, 119777.77800000086 424052.26999999955, 119777.77400000021 424053.64400000125, 119775.86600000039 424053.63500000164, 119775.8209999986 424053.63500000164, 119775.82699999958 424054.01199999824, 119775.92599999905 424057.5639999993, 119776.06599999964 424057.59099999815, 119775.97899999842 424060.6730000004, 119775.9439000003 424061.9389999993, 119777.61199999973 424061.9849999994, 119777.60330000147 424067.3110000007, 119777.60300000012 424067.36199999973, 119777.59499999881 424074.4140000008, 119777.58199999854 424079.3990000002, 119777.5709999986 424083.9770000018, 119777.54399999976 424095.63500000164, 119777.36199999973 424095.64400000125, 119776.84499999881 424095.6710000001, 119776.8350000009 424097.59600000083, 119777.3440000005 424097.59800000116, 119777.28599999845 424107.36499999836, 119777.23900000006 424115.28500000015, 119777.30700000003 424118.1629999988, 119777.14600000158 424118.1629999988, 119775.29500000179 424118.16099999845, 119774.76000000164 424118.1559999995, 119774.75499999896 424114.4539999999, 119771.6099999994 424114.3029999994, 119771.6790000014 424119.5029999986, 119775.30099999905 424119.78500000015, 119775.40399999917 424121.52899999917, 119775.25800000131 424124.311999999, 119775.24300000072 424125.0789999999, 119775.22100000083 424126.8579999991, 119775.21799999848 424127.1099999994, 119775.19900000095 424128.40100000054, 119775.17700000107 424129.34099999815, 119775.1400000006 424130.5080000013, 119775.07600000128 424131.5229999982, 119774.32699999958 424131.4699999988, 119774.22800000012 424134.4930000007, 119764.0850000009 424134.4759000018, 119760.59299999848 424134.4699999988, 119760.58900000155 424135.5229999982, 119763.29199999943 424135.5760000013, 119764.27699999884 424135.5940000005, 119765.43299999833 424135.6160000004, 119765.64600000158 424135.62000000104, 119766.72700000182 424135.6400000006, 119768.67599999905 424135.67500000075, 119777.01700000092 424135.8280000016, 119778.43299999833 424135.8539999984, 119778.5150000006 424135.0480000004))"
kunstwerk_vlak.5,30,{C30136F5-C108-4ADA-89E0-B7B5BCB43D53},"109C.KA.-.968,222",44B-353-01,WNZ Z,Loopsteiger binnenzijde Helsluis,Loopbrug, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2013-05-15T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KA,-,968.222,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((113302.2509999983 424778.3999999985, 113298.03700000048 424797.6979999989, 113289.61699999869 424813.6429999992, 113290.78200000152 424814.1810000017, 113299.43699999899 424798.09600000083, 113303.56100000069 424778.6730000004, 113302.2509999983 424778.3999999985))"
kunstwerk_vlak.6,39,{E1C058AC-5E44-43B8-9B53-255AB429CC52},"109C.KS.-.968,21",44B-353-01,WNZ Z,Schutsluis Helsluis,Schutsluis, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,joostena,2013-12-02T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KS,-,968.21,--,RWS,RWS,RWS,Niet bekend,nee,,,"MULTIPOLYGON (((113280.7575000003 424817.7349999994, 113277.99700000137 424817.12409999967, 113277.97819999978 424817.1565999985, 113280.75200000033 424817.76000000164, 113280.7575000003 424817.7349999994)), ((113279.64149999991 424856.25189999864, 113279.62999999896 424856.2490000017, 113279.60599999875 424856.34099999815, 113279.38500000164 424857.21599999815, 113279.2109999992 424857.90399999917, 113279.1259999983 424858.2430000007, 113278.89799999818 424859.1460000016, 113279.08469999954 424859.19260000065, 113278.91800000146 424859.14499999955, 113279.22740000114 424857.9074999988, 113279.61840000004 424856.3440999985, 113279.64149999991 424856.25189999864)), ((113290.73710000142 424820.0256000012, 113288.56590000167 424819.56060000136, 113288.56300000101 424819.57400000095, 113290.74170000106 424820.04830000177, 113290.73710000142 424820.0256000012)), ((113289.17799999937 424816.8040000014, 113289.09409999847 424816.7846000008, 113289.09329999983 424816.7941999994, 113289.04399999976 424817.3669999987, 113288.69379999861 424818.97399999946, 113289.17799999937 424816.8040000014)), ((113279.36300000176 424859.2719999999, 113279.35660000145 424859.2701999992, 113279.23690000176 424859.7377000004, 113279.26799999923 424859.7170000002, 113279.36300000176 424859.2719999999)), ((113281.36279999837 424815.1543999985, 113281.33900000155 424815.1490000002, 113281.33300000057 424815.1757999994, 113281.2650000006 424815.4809000008, 113281.35500000045 424815.1805999987, 113281.36279999837 424815.1543999985)), ((113283.40210000053 424855.7060999982, 113283.40260000154 424855.7008999996, 113283.03020000085 424855.93299999833, 113283.40210000053 424855.7060999982)), ((113281.72569999844 424815.23690000176, 113281.66019999981 424815.22199999914, 113281.72199999914 424815.25250000134, 113281.72569999844 424815.23690000176)), ((113288.77100000158 424816.7100000009, 113288.76269999892 424816.7089000009, 113288.76150000095 424816.7142999992, 113288.78420000151 424816.7131000012, 113288.77100000158 424816.7100000009)))"
kunstwerk_vlak.26,30,{6C39407D-D965-48B7-A9AB-63ED8487FA4B},"109C.KA.-.7,06",44B-003-01,WNZ Z,Wachtsteiger Ottersluis Kikvorskil,Vaste steiger, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,haakj,2012-10-09T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,109C,KA,-,7.06,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((111913.70699999854 422934.9279999994, 111914.65430000052 422933.6726000011, 111914.83680000156 422933.43079999834, 111915.05099999905 422933.1469999999, 111915.72159999982 422932.24500000104, 111920.10399999842 422926.3509999998, 111919.30299999937 422925.78400000185, 111914.89759999886 422931.6955999993, 111914.24599999934 422932.5700000003, 111914.03579999879 422932.8504999988, 111913.84490000084 422933.1052000001, 111912.94000000134 422934.313000001, 111900.3040000014 422924.59600000083, 111899.88300000131 422925.1420000009, 111919.03400000185 422939.868999999, 111919.44099999964 422939.3379999995, 111913.70699999854 422934.9279999994))"
kunstwerk_vlak.7,39,{BCBE62E4-84AC-44E5-A4D4-64F1A71DB585},"109C.KS.-.968,211",44B-353-01,WNZ Z,Westelijk landhoofd buitenzijde Helsluis,Schutsluis, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,joostena,2013-05-15T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KS,-,968.211,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((113266.47300000116 424860.1629999988, 113267.95600000024 424859.0929999985, 113270.90100000054 424859.94900000095, 113271.19299999997 424858.9470000006, 113271.49799999967 424857.8960000016, 113271.64400000125 424857.3979999982, 113271.65879999846 424857.4017000012, 113272.11529999971 424857.5337000005, 113272.29600000009 424856.63699999824, 113272.32400000095 424856.5, 113272.50400000066 424855.59800000116, 113272.64299999923 424854.9129999988, 113272.68899999931 424854.6889999993, 113272.05200000107 424854.50499999896, 113270.61899999902 424854.0879999995, 113269.37999999896 424852.16899999976, 113268.57250000164 424850.8101999983, 113267.87409999967 424851.2039999999, 113267.87900000066 424851.2100000009, 113268.70100000128 424852.59099999815, 113268.88800000027 424852.87999999896, 113269.69399999827 424854.12900000066, 113269.75200000033 424854.21599999815, 113269.82800000161 424854.3359999992, 113269.96200000122 424854.54399999976, 113270.1099999994 424854.7719999999, 113270.35399999842 424854.4439999983, 113270.49399999902 424854.2569999993, 113270.5549999997 424854.1730000004, 113271.26700000092 424854.37999999896, 113272.57200000063 424854.7589999996, 113272.54500000179 424854.8929999992, 113272.22599999979 424856.48099999875, 113272.03799999878 424857.4079999998, 113271.57499999925 424857.2740000002, 113271.09499999881 424858.92500000075, 113270.83399999887 424859.8229999989, 113267.93699999899 424858.98099999875, 113267.8040000014 424858.2129999995, 113265.90500000119 424859.5870000012, 113266.1240000017 424859.8909999989, 113266.31500000134 424860.15399999917, 113266.3740000017 424860.2340000011, 113266.40700000152 424860.2109999992, 113266.47300000116 424860.1629999988))"
kunstwerk_vlak.8,39,{5B26B0D4-780E-4088-ABD4-453FD408ECC3},"109C.KS.-.968,212",44B-353-01,WNZ Z,Oostelijk landhoofd buitenzijde Helsluis,Schutsluis, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,joostena,2013-05-15T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KS,-,968.212,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((113283.37099999934 424864.0379999988, 113282.69000000134 424861.86100000143, 113282.13899999857 424862.44299999997, 113278.86800000072 424861.618999999, 113279.1099999994 424860.6579999998, 113279.48000000045 424859.1889999993, 113279.01900000125 424859.0729999989, 113279.30900000036 424857.92500000075, 113279.70199999958 424856.36499999836, 113281.65500000119 424856.86400000006, 113281.70800000057 424856.8770000003, 113282.25299999863 424857.36199999973, 113283.58900000155 424856.52699999884, 113283.82699999958 424856.3779999986, 113284.10399999842 424856.2049999982, 113285.54289999977 424855.10240000114, 113285.07420000061 424854.45439999923, 113285.05799999833 424854.4679999985, 113283.64799999818 424855.5480000004, 113283.62049999833 424855.565200001, 113283.57299999893 424855.6020000018, 113283.40210000053 424855.7060999982, 113283.03020000085 424855.93299999833, 113282.6240000017 424856.1860000007, 113281.69099999964 424856.76999999955, 113279.64149999991 424856.25189999864, 113279.61840000004 424856.3440999985, 113279.22740000114 424857.9074999988, 113278.91800000146 424859.14499999955, 113279.08469999954 424859.19260000065, 113279.3590000011 424859.26099999994, 113279.35660000145 424859.2701999992, 113279.36300000176 424859.2719999999, 113279.26799999923 424859.7170000002, 113279.23690000176 424859.7377000004, 113279.23299999908 424859.7529999986, 113279.01700000092 424860.63899999857, 113278.76700000092 424861.65300000086, 113278.75899999961 424861.6959999986, 113282.05999999866 424862.52699999884, 113282.60599999875 424864.2740000002, 113282.70300000161 424864.24599999934, 113282.93299999833 424864.17500000075, 113283.37099999934 424864.0379999988))"
kunstwerk_vlak.9,39,{AE292CF2-93E5-499C-8325-B0BD41A09CEE},"109C.KS.-.968,213",44B-353-01,WNZ Z,Westelijk landhoofd binnenzijde Helsluis,Schutsluis, , ,Wel in beheer,IVOV, , ,vobo, , , ,-999,joostena,2013-05-15T00:00:00,DTB2000 landsdekkend,Rijn-Maasmonding,Middendeel,109C,KS,-,968.213,--,RWS,RWS,RWS,Niet bekend,nee,,,"POLYGON ((113276.87750000134 424817.5287999995, 113277.6259999983 424817.0799999982, 113277.65040000156 424817.0852999985, 113277.69799999893 424817.05799999833, 113277.99700000137 424817.12409999967, 113280.7575000003 424817.7349999994, 113281.20800000057 424815.6710000001, 113281.2650000006 424815.4809000008, 113281.33300000057 424815.1757999994, 113281.33900000155 424815.1490000002, 113281.36279999837 424815.1543999985, 113281.66019999981 424815.22199999914, 113281.72569999844 424815.23690000176, 113282.00800000131 424813.98699999973, 113282.33700000122 424812.44900000095, 113280.31899999827 424812.01000000164, 113279.11199999973 424810.11300000176, 113278.28000000119 424808.61199999973, 113278.18800000101 424808.6700000018, 113277.60700000077 424809.00499999896, 113278.42799999937 424810.52699999884, 113278.97899999842 424811.39400000125, 113279.82400000095 424812.72199999914, 113280.25699999928 424812.1000000015, 113282.22599999979 424812.52800000086, 113281.65500000119 424815.14499999955, 113281.38369999826 424815.0844999999, 113281.24100000039 424815.0520000011, 113280.67700000107 424817.6420000009, 113277.6090000011 424816.97399999946, 113277.48699999973 424816.23099999875, 113275.66290000081 424817.3247999996, 113276.07899999991 424817.98699999973, 113276.87750000134 424817.5287999995))"
