OBJECTID;GlobalID;CreationDate;EditDate;Stadsdeel;object;Huidige_inrichting;Globale_opp;Status;Extern_beheer;Opmerking;X;Y;LONG;LAT
1;a791f0f7-f58b-4dd4-8fbc-548b44ef4a76;20210423124744.671000;20210423125811.948000;Centrum;Alexanderstraat, Plein 1813;Monument, met rondom voetpad, heesters en eenjarigen;700;;;;479219.7237891794;6815722.063328076;4.304904023313553;52.08617522456337
2;986600fb-cc55-46f3-8c88-af5308e9d5d7;20210423132109.413000;20210423132157.022000;Centrum;Dynamostraat, Fruitweg, Viaductweg;Verharde dubbele trambaan, met eromheen gras met bollen;170;;;;479377.35491770983;6810783.96551318;4.306320047833672;52.058908954565666
3;77996e1d-54d0-400c-8a46-4d5902fdb312;20210423132244.764000;20210423132456.519000;Centrum;Prins Hendrikplein;Gebruiksplein met groen en verharding;2000;;;;478074.1118880047;6815046.703638884;4.294612816508609;52.08244713196448
4;de7a1fb0-0a0a-4f28-8dcc-8629e7e3b86e;20210423132544.277000;20210423132617.263000;Centrum;Ruijsdaelstraat, Vaillantlaan, Vaillantplein;Fontijn met vijverbak verhard;350;;;;478751.1783261796;6812881.579149656;4.300695007806377;52.07049320171607
5;a293ad6a-3a0c-4165-bc91-408f53f72afe;20210423132651.344000;20210423132727.211000;Escamp;Aagje Dekenlaan, Melis Stokelaan, Mr P D Fortuynwg;Groene rotonde, gras met struiken;200;;;;477692.0561502182;6809588.908661461;4.291180751422217;52.05230780927111
6;d80edbf4-52ed-4078-b67b-1e6f437db32b;20210423132818.857000;20210423133853.804000;Escamp;Apeldoornselaan, Dierenselaan;Groene rotonde, gras, 4 tramlijnen er doorheen;200;;;;476643.68759657134;6812125.146034717;4.281763096470904;52.06631608283593
7;3335db53-490a-4e7c-bec6-6c5f36b8e8bf;20210423132955.801000;20210423133437.369000;Escamp;Beresteinlaan, Hengelolaan;Groene rotonde, met vaste planten;125;;;;473765.93891686766;6807497.227923646;4.255911840242579;52.040751627566735
8;67acfc62-8bd6-4f36-a2e6-fe856b34f508;20210423133858.212000;20210423133932.929000;Escamp;De la Reyweg, Dierenselaan, Steijnlaan;Groene rotonde, gras, blokhaag, bomen, 2 tramlijnen er doorheen;250;;;;477202.9412790085;6812298.7965324875;4.286786957777239;52.06727503729806
9;36d3e22d-599d-4616-b99d-5458c361049a;20210423134147.765000;20210423134221.189000;Escamp;Leyweg, Noordweg, Zevenwoudenlaan;Groene rotonde, met vaste planten;120;;;;477289.6327371106;6806936.250017277;4.287565720395396;52.037651811467406
10;a5c1a538-4e2c-4f45-b877-b498258fb9cd;20210423134254.424000;20210423134328.976000;Escamp;Schaarsbergenstraat, Soestdijksekade, Soestdijkseplein, Zuiderparklaan;Groene rotonde met fijne sierheesters, bomen en energiehuisje;500;;;;476787.50155142543;6811292.526678324;4.283054999208055;52.06171780217534
