Nummer;Totaal van;Jaar;Maand;Procedure categorie;Verblijfscluster;Nationaliteit;Aantal aanvragen
1;Jaar, Procedure categorie;2019;*Alle*;EU-document;*Alle*;*Alle*;7770
2;Jaar, Maand, Procedure categorie;2019;01;EU-document;*Alle*;*Alle*;750
2;Jaar, Maand, Procedure categorie;2019;02;EU-document;*Alle*;*Alle*;640
2;Jaar, Maand, Procedure categorie;2019;03;EU-document;*Alle*;*Alle*;730
2;Jaar, Maand, Procedure categorie;2019;04;EU-document;*Alle*;*Alle*;610
2;Jaar, Maand, Procedure categorie;2019;05;EU-document;*Alle*;*Alle*;630
2;Jaar, Maand, Procedure categorie;2019;06;EU-document;*Alle*;*Alle*;520
2;Jaar, Maand, Procedure categorie;2019;07;EU-document;*Alle*;*Alle*;660
2;Jaar, Maand, Procedure categorie;2019;08;EU-document;*Alle*;*Alle*;640
2;Jaar, Maand, Procedure categorie;2019;09;EU-document;*Alle*;*Alle*;660
2;Jaar, Maand, Procedure categorie;2019;10;EU-document;*Alle*;*Alle*;750
2;Jaar, Maand, Procedure categorie;2019;11;EU-document;*Alle*;*Alle*;650
2;Jaar, Maand, Procedure categorie;2019;12;EU-document;*Alle*;*Alle*;520
3;Jaar, Procedure categorie, Verblijfscluster;2019;*Alle*;EU-document;Derdelanders;*Alle*;7750
3;Jaar, Procedure categorie, Verblijfscluster;2019;*Alle*;EU-document;EU-burgers;*Alle*;20
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;01;EU-document;Derdelanders;*Alle*;750
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;02;EU-document;Derdelanders;*Alle*;640
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;03;EU-document;Derdelanders;*Alle*;730
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;04;EU-document;Derdelanders;*Alle*;600
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;05;EU-document;Derdelanders;*Alle*;630
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;06;EU-document;Derdelanders;*Alle*;520
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;07;EU-document;Derdelanders;*Alle*;660
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;08;EU-document;Derdelanders;*Alle*;640
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;09;EU-document;Derdelanders;*Alle*;650
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;10;EU-document;Derdelanders;*Alle*;750
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;11;EU-document;Derdelanders;*Alle*;650
4;Jaar, Maand, Procedure categorie, Verblijfscluster;2019;12;EU-document;Derdelanders;*Alle*;520
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Afghaanse;80
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Albanese;130
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Algerijnse;40
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Amerikaans burger;340
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Angolese;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Argentijnse;80
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Armeense;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Australische;130
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Azerbeidzjaanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Belarussische;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Bengalese;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Boliviaanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Braziliaanse;570
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Brits burger;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Burger van Bosnië-Herzegovina;50
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Burger van Congo;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Burger van de Republiek Noord-Macedonië;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Burger van Servië en Montenegro;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Burger van Trinidad en Tobago;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Burkinese;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Burundese;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Cambodjaanse;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Canadese;100
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Chileense;40
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Chinese;170
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Colombiaanse;170
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Costa Ricaanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Cubaanse;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Dominicaanse;100
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Ecuadoraanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Egyptische;180
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Eritrese;10
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Ethiopische;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Filipijnse;150
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Gambiaanse;20
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Georgische;30
5;Jaar, Procedure categorie, Verblijfscluster, Nationaliteit;2019;*Alle*;EU-document;Derdelanders;Ghanese;220
