FID,BOOMSOORT,BUURT,EIGENAAR,EPR_INSPECTIEDATUM,EPR_REG_OPMERKINGEN,EPR_UITVOERINGSDATUM,EPR_UITV_OPMERKINGEN,EPR_URGENTIE,EPR_HOOGTE_NEST,EPR_NEST_GROOT,EPR_NEST_KLEIN,EPR_NEST_MIDDEL,FUNCTIE,ID,KROONDIAMETER,NEDERLANDSE_NAAM,PLANTJAAR,PLANTWIJZE,STAMDIAMETER,STANDPLAATS,STRAAT,WIJK,LONGITUDE,BOOMHOOGTE,BOOMKLASSE,LATITUDE

Bomen_eikenprocessierups_2017.472031,Quercus robur,Stoutenburgerlaan,Gemeente Amersfoort,2018-06-29,,2020-07-06,,Normaal (binnen 14 dagen),> 8 meter,,,2,Agrarische bestemming,672,6,zomereik,1950,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.45724514531207,12-15 m,Geen vrije uitgroei,52.1632666765462

Bomen_eikenprocessierups_2017.472032,Quercus robur,Stoutenburgerlaan,Gemeente Amersfoort,2019-06-24,,2020-07-01,,Normaal (binnen 14 dagen),0 - 8 meter,4,,2,Agrarische bestemming,422,12,zomereik,1950,Bomenrij,51-100 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.44913095485881,15-18 m,Geen vrije uitgroei,52.1621352269498

Bomen_eikenprocessierups_2017.472033,Quercus robur,Stoutenburgerlaan,Gemeente Amersfoort,2018-06-29,,2020-07-01,,Normaal (binnen 14 dagen),0 - 8 meter,,,2,Agrarische bestemming,423,12,zomereik,1950,Bomenrij,51-100 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.44895535737549,15-18 m,Geen vrije uitgroei,52.1620984521003

Bomen_eikenprocessierups_2017.472034,Quercus robur,Stoutenburgerlaan,Gemeente Amersfoort,2019-06-24,,2020-07-01,,Normaal (binnen 14 dagen),0 - 8 meter,,,5,Agrarische bestemming,424,12,zomereik,1950,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.44925943439826,15-18 m,Geen vrije uitgroei,52.1621549087078

Bomen_eikenprocessierups_2017.472035,Quercus robur,Bloeidaal,Gemeente Amersfoort,2018-06-29,,2020-07-01,,Normaal (binnen 14 dagen),0 - 8 meter,,,2,Agrarische bestemming,270,9,zomereik,1980*,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.4459499221457,12-15 m,Geen vrije uitgroei,52.1626539241483

Bomen_eikenprocessierups_2017.472036,Quercus robur,Bloeidaal,Gemeente Amersfoort,2018-06-29,,2020-07-01,,Normaal (binnen 14 dagen),0 - 8 meter,,,2,Agrarische bestemming,273,9,zomereik,1980*,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.44568247769616,12-15 m,Geen vrije uitgroei,52.1626612460188

Bomen_eikenprocessierups_2017.472037,Quercus robur,Bloeidaal,Gemeente Amersfoort,2018-06-29,,2020-07-01,,Normaal (binnen 14 dagen),0 - 8 meter,,,2,Agrarische bestemming,276,9,zomereik,1980*,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.44542233608409,12-15 m,Geen vrije uitgroei,52.162664968557

Bomen_eikenprocessierups_2017.472038,Quercus robur,Bloeidaal,Gemeente Amersfoort,2018-01-01,,2020-07-01,,,,,,3,Agrarische bestemming,277,9,zomereik,1980*,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.44533172680991,12-15 m,Geen vrije uitgroei,52.1626677091437

Bomen_eikenprocessierups_2017.472039,Quercus robur,Bloeidaal,Gemeente Amersfoort,2018-06-29,,2020-07-01,,Normaal (binnen 14 dagen),0 - 8 meter,,,4,Agrarische bestemming,278,9,zomereik,1980*,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.44524696230888,12-15 m,Geen vrije uitgroei,52.1626695480086

Bomen_eikenprocessierups_2017.472040,Quercus robur,Stoutenburgerlaan,Gemeente Amersfoort,2018-01-01,,2020-07-10,,,,,,2,Agrarische bestemming,846,12,zomereik,1930,Bomenrij,51-100 cm,Ruw gras,Stoutenburgerlaan,Stoutenburg Noord,5.45923285588359,18-24 m,Geen vrije uitgroei,52.1603443030361

Bomen_eikenprocessierups_2017.472041,Quercus robur,Bloeidaal,Gemeente Amersfoort,2020-06-10,,2020-06-11,,Snel (0 - 2 dagen),0 - 8 meter,10,10,10,Agrarische bestemming,79,15,zomereik,1950,Bomenrij,51-100 cm,Ruw gras,Hogeweg,Stoutenburg Noord,5.43485709344088,18-24 m,Geen vrije uitgroei,52.168127093698

Bomen_eikenprocessierups_2017.472042,Quercus robur,Bloeidaal,Gemeente Amersfoort,2020-06-10,,2020-06-11,,Snel (0 - 2 dagen),0 - 8 meter,2,3,8,Agrarische bestemming,80,15,zomereik,1950,Bomenrij,31-50 cm,Ruw gras,Hogeweg,Stoutenburg Noord,5.43482940124897,18-24 m,Geen vrije uitgroei,52.1682026028195

Bomen_eikenprocessierups_2017.472043,Quercus robur,Stoutenburgerlaan,Gemeente Amersfoort,2018-06-29,,2020-07-08,,Normaal (binnen 14 dagen),> 8 meter,,,4,Agrarische bestemming,540,18,zomereik,1950,Bomenrij,51-100 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.45464949816271,18-24 m,Geen vrije uitgroei,52.1629689798856

Bomen_eikenprocessierups_2017.472044,Quercus robur,Stoutenburgerlaan,Gemeente Amersfoort,2019-06-24,,2020-07-06,,Normaal (binnen 14 dagen),> 8 meter,,,3,Agrarische bestemming,468,12,zomereik,1950,Bomenrij,51-100 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.45328997795474,18-24 m,Geen vrije uitgroei,52.1628751663787

Bomen_eikenprocessierups_2017.472045,Quercus robur,Bloeidaal,Gemeente Amersfoort,2018-01-01,,2020-06-29,,,,4,,3,Agrarische bestemming,160,6,zomereik,1983,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.4401101047879,12-15 m,Geen vrije uitgroei,52.1629298905146

Bomen_eikenprocessierups_2017.472046,Quercus robur,Stoutenburgerlaan,Gemeente Amersfoort,2018-06-29,,2020-07-08,,Normaal (binnen 14 dagen),> 8 meter,,,3,Agrarische bestemming,494,12,zomereik,1950,Bomenrij,31-50 cm,Ruw gras,Koedijkerweg,Stoutenburg Noord,5.45211435431266,15-18 m,Geen vrije uitgroei,52.1629657180351

