OBJECTID,OBJECT_TYPE,OBJECT_NAAM,BEHEERDER,TOELICHTING,Shape__Length
1,WISSEL_KR_BEEN,35,ProRail,,47.0048725795076
2,WISSEL_KR_BEEN,35,ProRail,,47.0199348468285
3,WISSEL_KR_BEEN,35,ProRail,,4.50040398186652
4,WISSEL_KR_BEEN,909,ProRail,,32.8926351027095
5,WISSEL_KR_BEEN,909,ProRail,,3.89971037386112
6,WISSEL_KR_BEEN,909,ProRail,,36.4939347780834
7,WISSEL_KR_BEEN,71,ProRail,,61.0193903038416
8,WISSEL_KR_BEEN,71,ProRail,,3.8999717947698
9,WISSEL_KR_BEEN,71,ProRail,,61.0311111136719
10,WISSEL_KR_BEEN,907,ProRail,,4.50028721305652
11,WISSEL_KR_BEEN,907,ProRail,,34.0651720089595
12,WISSEL_KR_BEEN,907,ProRail,,34.088134606672
13,WISSEL_KR_BEEN,69,ProRail,,27.2426849390533
14,WISSEL_KR_BEEN,69,ProRail,,3.90003589727069
15,WISSEL_KR_BEEN,69,ProRail,,28.4295678512996
16,WISSEL_KR_BEEN,53B,ProRail,,50.0382787885076
17,WISSEL_KR_BEEN,53B,ProRail,,1.80245277330642
18,WISSEL_KR_BEEN,53B,ProRail,,61.1446339100988
19,WISSEL_KR_BEEN,65,ProRail,,27.2411201573236
20,WISSEL_KR_BEEN,65,ProRail,,28.4286003393332
21,WISSEL_KR_BEEN,65,ProRail,,3.90003589727069
22,WISSEL_KR_BEEN,911,ProRail,,1.32555271490801
23,WISSEL_KR_BEEN,911,ProRail,,36.4923197339382
24,WISSEL_KR_BEEN,911,ProRail,,36.4692188290344
25,WISSEL_KR_BEEN,33,ProRail,,34.0882105609259
26,WISSEL_KR_BEEN,33,ProRail,,34.0648591953644
27,WISSEL_KR_BEEN,33,ProRail,,4.5006627289767
28,WISSEL_KR_BEEN,63,ProRail,,27.2419930086165
29,WISSEL_KR_BEEN,63,ProRail,,28.429664065892
30,WISSEL_KR_BEEN,63,ProRail,,3.8999717947698
31,WISSEL_KR_BEEN,915,ProRail,,34.0643444381365
32,WISSEL_KR_BEEN,915,ProRail,,34.0881641127047
33,WISSEL_KR_BEEN,915,ProRail,,4.50034420905779
34,WISSEL_KR_BEEN,61B,ProRail,,34.3737926820043
35,WISSEL_KR_BEEN,61B,ProRail,,31.779500099846
36,WISSEL_KR_BEEN,61B,ProRail,,3.89939238856517
37,WISSEL_KR_BEEN,59A,ProRail,,30.5986292270623
38,WISSEL_KR_BEEN,59A,ProRail,,3.89998615382158
39,WISSEL_KR_BEEN,59A,ProRail,,36.470262146028
40,WISSEL_KR_BEEN,53A,ProRail,,50.0385538781104
41,WISSEL_KR_BEEN,53A,ProRail,,61.1453718608367
42,WISSEL_KR_BEEN,53A,ProRail,,3.89944508872737
43,WISSEL_KR_BEEN,55,ProRail,,58.854847903699
44,WISSEL_KR_BEEN,55,ProRail,,61.1441688879651
45,WISSEL_KR_BEEN,55,ProRail,,3.90049663504534
46,WISSEL_KR_BEEN,57B,ProRail,,4.50014010892994
47,WISSEL_KR_BEEN,57B,ProRail,,30.9978877007214
48,WISSEL_KR_BEEN,57B,ProRail,,34.0655362646767
49,WISSEL_KR_BEEN,51,ProRail,,1.3243390804473
50,WISSEL_KR_BEEN,51,ProRail,,60.9166982258903
51,WISSEL_KR_BEEN,51,ProRail,,61.1451320139224
52,WISSEL_KR_BEEN,67,ProRail,,27.2421717025058
53,WISSEL_KR_BEEN,67,ProRail,,28.4295998253505
54,WISSEL_KR_BEEN,67,ProRail,,3.90000371794695
55,WISSEL_KR_BEEN,37A,ProRail,,34.0654345928538
56,WISSEL_KR_BEEN,37A,ProRail,,31.3648235127186
57,WISSEL_KR_BEEN,37A,ProRail,,4.4996748771439
58,WISSEL_KR_BEEN,3217B,ProRail,,53.7953021495379
59,WISSEL_KR_BEEN,3217B,ProRail,,61.1447279248179
60,WISSEL_KR_BEEN,3217B,ProRail,,3.90020819957089
61,WISSEL_KR_BEEN,4437,ProRail,,43.3117145833473
62,WISSEL_KR_BEEN,4437,ProRail,,3.89960254384982
63,WISSEL_KR_BEEN,4437,ProRail,,49.8051265232807
64,WISSEL_KR_BEEN,4415,ProRail,,34.1105774943785
65,WISSEL_KR_BEEN,4415,ProRail,,34.4645718797919
66,WISSEL_KR_BEEN,4415,ProRail,,4.48692600785883
67,WISSEL_KR_BEEN,4235,ProRail,,3.90067276248598
68,WISSEL_KR_BEEN,4235,ProRail,,30.225658664968
69,WISSEL_KR_BEEN,4235,ProRail,,29.6724049075905
70,WISSEL_KR_BEEN,4365,ProRail,,29.6832134390499
71,WISSEL_KR_BEEN,4365,ProRail,,36.4696002720074
72,WISSEL_KR_BEEN,4365,ProRail,,3.90028934824072
73,WISSEL_KR_BEEN,4059,ProRail,,3.89947098976259
74,WISSEL_KR_BEEN,4059,ProRail,,36.4748884004044
75,WISSEL_KR_BEEN,4059,ProRail,,36.4701882227114
76,WISSEL_KR_BEEN,4105,ProRail,,36.4698876472083
77,WISSEL_KR_BEEN,4105,ProRail,,3.90053547605967
78,WISSEL_KR_BEEN,4105,ProRail,,36.474867401934
79,WISSEL_KR_BEEN,4047,ProRail,,36.4700799333296
80,WISSEL_KR_BEEN,4047,ProRail,,36.5083921796151
81,WISSEL_KR_BEEN,4047,ProRail,,3.89955125623449
82,WISSEL_KR_BEEN,4483,ProRail,,58.1318620035519
83,WISSEL_KR_BEEN,4483,ProRail,,4.4995089732103
84,WISSEL_KR_BEEN,4483,ProRail,,58.1407405796624
85,WISSEL_KR_BEEN,4109,ProRail,,3.90053547605967
86,WISSEL_KR_BEEN,4109,ProRail,,36.4906594138318
87,WISSEL_KR_BEEN,4109,ProRail,,36.4698877478831
88,WISSEL_KR_BEEN,4343,ProRail,,28.8460265721295
89,WISSEL_KR_BEEN,4343,ProRail,,3.89978063485627
90,WISSEL_KR_BEEN,4343,ProRail,,27.6004169262899
91,WISSEL_KR_BEEN,4231,ProRail,,36.470301479423
92,WISSEL_KR_BEEN,4231,ProRail,,30.1800837639659
93,WISSEL_KR_BEEN,4231,ProRail,,3.89986897215791
94,WISSEL_KR_BEEN,4361,ProRail,,49.8192690808508
95,WISSEL_KR_BEEN,4361,ProRail,,43.1882395682231
96,WISSEL_KR_BEEN,4361,ProRail,,3.9000641020373
97,WISSEL_KR_BEEN,4095,ProRail,,36.4703213586061
98,WISSEL_KR_BEEN,4095,ProRail,,3.89921081758861
99,WISSEL_KR_BEEN,4095,ProRail,,29.7750988307266
100,WISSEL_KR_BEEN,4091,ProRail,,30.7258753821596
101,WISSEL_KR_BEEN,4091,ProRail,,3.90053547605967
102,WISSEL_KR_BEEN,4091,ProRail,,35.1839043156856
103,WISSEL_KR_BEEN,4087,ProRail,,30.6585342930806
104,WISSEL_KR_BEEN,4087,ProRail,,36.4695941847452
105,WISSEL_KR_BEEN,4087,ProRail,,3.90053547605967
106,WISSEL_KR_BEEN,4237,ProRail,,3.90108613081024
107,WISSEL_KR_BEEN,4237,ProRail,,28.4482979807229
108,WISSEL_KR_BEEN,4237,ProRail,,36.4848489266278
109,WISSEL_KR_BEEN,919,ProRail,,1.3251973437945
110,WISSEL_KR_BEEN,919,ProRail,,34.0645805786597
111,WISSEL_KR_BEEN,919,ProRail,,30.5315285321173
112,WISSEL_KR_BEEN,4069,ProRail,,3.90002423069396
113,WISSEL_KR_BEEN,4069,ProRail,,30.6380536261689
114,WISSEL_KR_BEEN,4069,ProRail,,19.6071711371121
115,WISSEL_KR_BEEN,4053,ProRail,,3.90076941128286
116,WISSEL_KR_BEEN,4053,ProRail,,36.4753623388405
117,WISSEL_KR_BEEN,4053,ProRail,,36.4693655689265
