Leverancier;3000 - Uitbesteden overig;Eindtotaal
Afdeling Buitengewone Zaken;2;2
Babbage Company B.V.;2;2
Between B.V.;2;2
Blauw Research B.V.;2;2
Burger Coaching & Advies;1;1
Capgemini Nederland B.V.;8;8
Centric;7;7
COMPAREX Nederland B.V.;3;3
Crossmedia B.V.;2;2
DDAI;1;1
De Issuemakers B.V.;2;2
de Redactietoko;1;1
De Staat van het Web B.V.;2;2
Deloitte Consulting B.V.;2;2
DVJ Insights;2;2
Elja Daae Marketingadvies;1;1
Employee Performance Group B.V.;1;1
Ergo B.V.;3;3
Esther van Rijswijk;1;1
Eurekam Research B.V.;1;1
every media;1;1
Ferro Explore B.V.;2;2
Firm Ground;2;2
FreedomLab B.V.;1;1
HeadFirst B.V.;4;4
Hollandse Hoogte B.V.;1;1
InsideStory;2;2
Keizer Spoarpot B.V.;1;1
Livewords;2;2
Luminis Amsterdam B.V.;2;2
Mare Holland B.V.;4;4
Marion.tc;1;1
Marketresponse Nederland B.V.;2;2
Maters en Hermsen Communicatie Journalistiek;1;1
Measuremail B.V.;4;4
Meetingselect B.V.;1;1
MetrixLab B.V.;2;2
MWM2 B.V.;2;2
Ned. Org. voor toegepast-n.w.s. onderzoek TNO;1;1
NL Grid;1;1
Novagraaf IP NL B.V.;1;1
Onlyhuman B.V.;2;2
Ontwerpwerk B.V.;1;1
Ordina Beheer & Outsourcing;2;2
Pels Rijcken & Droogleever Fortuijn N.V.;1;1
Protinus IT B.V.;5;5
QuoVadis Trustlink B.V.;2;2
Respondenten.nl B.V.;1;1
Roos Koen;1;1
Routs, Laeven en Partners B.V.;1;1
Ruigrok NetPanel;2;2
St. Nationaal Comite 4 en 5 Mei;2;2
Starsound Productions;1;1
Stg Kenniscenter CfPB;2;2
Sticht. Internet Domeinregistratie Nederland;2;2
Stichting ABC;1;1
Stichting Accessibility;2;2
Stichting Internat. Perscentrum 'Nieuwspoort';2;2
The Courseware Company B.V.;1;1
Things To Make And Do B.V.;2;2
TNS Nipo B.V.;2;2
TrueTalk B.V.;2;2
Uptrends B.V.;1;1
USG Capacity;3;3
VoorMeerWaarde B.V.;1;1
Webhelp Nederland B.V.;7;7
Weolcan B.V.;3;3
Xerox (Nederland) B.V.;2;2
Eindtotaal;9;9
