Rijlabels;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Add-Mission B.V.;;;1;;;1
AGVR B.V.;4;;;;;4
Albyco Nederland B.V.;1;;;;;1
Allekabels B.V.;1;;;;;1
Amarant Groep;1;;;;;1
anoniem 1;;1;;;;1
anoniem 1003;;5;;;;5
anoniem 1042;;2;;;;2
anoniem 1048;;1;;;;1
anoniem 1059;;;;;1;1
anoniem 106;;1;;;;1
anoniem 1065;;2;;;;2
anoniem 1083;;1;;;;1
anoniem 1120;;1;;;;1
anoniem 1121;1;;;;;1
anoniem 1122;;1;;;;1
anoniem 1124;;2;;;;2
anoniem 1148;;1;;;;1
anoniem 1149;;1;;;;1
anoniem 1153;;1;;;;1
anoniem 1158;;1;;;;1
anoniem 1181;1;;;;;1
anoniem 1217;;1;;;;1
anoniem 1269;;;1;;;1
anoniem 1280;1;;;;;1
anoniem 131;;1;;;;1
anoniem 1392;;1;;;;1
anoniem 1450;;2;;;;2
anoniem 1461;;1;;;;1
anoniem 1480;;2;;;;2
anoniem 1562;;1;;;;1
anoniem 159;;1;;;;1
anoniem 1597;;1;;;;1
anoniem 1605;;1;;;;1
anoniem 161;;1;;;;1
anoniem 1612;;;9;;;9
anoniem 1613;;1;;;;1
anoniem 1614;;1;;;;1
anoniem 1632;;1;;;;1
anoniem 1638;;1;;;;1
anoniem 1643;;1;;;;1
anoniem 1665;;1;;;;1
anoniem 1666;;1;;;;1
anoniem 176;;2;;;;2
anoniem 1799;;1;;;;1
anoniem 1812;;1;;;;1
anoniem 1832;;2;;;;2
anoniem 1833;;1;;;;1
anoniem 1859;;1;;;;1
anoniem 1867;;2;;;;2
anoniem 1935;1;;;;;1
anoniem 1955;;;;;1;1
anoniem 2000;;1;;;;1
anoniem 2020;;;;;1;1
anoniem 2045;;1;;;;1
anoniem 2057;;1;;;;1
anoniem 2066;;3;;;;3
anoniem 2078;;1;;;;1
anoniem 2092;;1;;;;1
anoniem 2095;;;1;;;1
anoniem 2179;;1;;;;1
anoniem 2188;;;1;;;1
anoniem 2191;;1;;;;1
anoniem 2192;;2;;;;2
anoniem 2205;;1;;;;1
anoniem 2214;;1;;;;1
anoniem 2299;;1;;;;1
anoniem 2301;;1;;;;1
anoniem 2316;;1;;;;1
anoniem 2325;;1;;;;1
anoniem 2338;;;;;1;1
anoniem 2369;;4;;;;4
anoniem 2388;;1;;;;1
anoniem 2389;3;;;;;3
anoniem 2405;;1;;;;1
anoniem 2406;;3;;;;3
anoniem 2422;;;;;1;1
anoniem 2423;1;;;;;1
anoniem 2445;;2;;;;2
anoniem 2474;;1;;;;1
anoniem 2476;;4;;;;4
anoniem 2477;;1;;;;1
anoniem 2481;1;;;;;1
anoniem 2484;;2;;;;2
anoniem 2528;;2;;;;2
anoniem 2530;;1;;;;1
anoniem 2541;;2;;;;2
anoniem 2582;;1;;;;1
anoniem 2617;;;;;1;1
anoniem 2643;;2;;;;2
anoniem 2650;;1;;;;1
anoniem 2732;;2;;;;2
anoniem 2761;;1;;;;1
anoniem 2768;;;1;;;1
anoniem 2779;;1;;;;1
anoniem 306;1;;;;;1
anoniem 314;;1;;;;1
anoniem 32;;2;;;;2
anoniem 346;;1;;;;1
anoniem 422;;1;;;;1
anoniem 443;;2;;;;2
anoniem 549;;1;;;;1
anoniem 649;;1;;;;1
anoniem 663;;1;;;;1
anoniem 671;;2;;;;2
anoniem 672;;1;;;2;2
anoniem 673;;1;;;;1
anoniem 675;;1;;;1;1
anoniem 677;;3;;;;3
anoniem 678;;1;;;;1
anoniem 679;1;;;;;1
anoniem 680;;2;;;2;2
anoniem 681;;1;;;;1
anoniem 682;;2;;;2;2
anoniem 684;;1;;;;1
anoniem 685;;1;;;;1
anoniem 687;;1;;;;1
anoniem 691;;3;;;2;4
anoniem 693;;1;;;1;1
anoniem 694;;1;;;2;2
anoniem 695;;1;;;2;2
anoniem 697;;3;;;2;4
anoniem 699;;;1;;;1
anoniem 700;;;7;;;7
anoniem 701;;2;;;;2
anoniem 702;1;;;;;1
anoniem 703;;1;;;;1
anoniem 704;;2;;;;2
anoniem 705;;2;;;;2
anoniem 707;;1;;;;1
anoniem 708;;1;;;;1
anoniem 709;;1;;;;1
anoniem 710;;1;;;2;2
