OBJECTID,HELLING,LENGTE,STATIONSNAAM,DIENSTREGELPUNTSPOORNAAM,Z_BEGIN,Z_EIND,Shape__Length
1,2,2.54911703,Gouda,10,0.3037,0.2986,2.54911702934119
2,1,19.99997834,Maastricht,4,47.199,47.1832,19.9999783382722
3,1.25,4.99999822,Arnhem Centraal,11,27.9317,27.9252,4.99999821844638
4,1,26.8827441,Stedum,1,1.07424607,1.0601,26.8827709895902
5,1.25,68.78818584,Maarheeze,1,30.34055985,30.2691,68.7882085166787
6,0,14.98529155,Voorhout,1,1.1731,1.173,14.9852712706332
7,0,4.99998011,Voorhout,1,1.1981,1.1974,4.99998010972056
8,0,5.00004534,Best,3,9.6639,9.6632,5.00004533702418
9,6,45.52408028,Nieuwerkerk a/d IJss,1,2.1146,1.86434959,45.5240756786306
10,1,7.48643838,Hardinxveld Blauwe Z,1,0.04064865,0.0397,7.48643873087435
11,0,11.88702682,'s-Hertogenbosch,6,6.905,6.905,11.8870224864209
12,0,77.68817769,Amsterdam Centraal,13,5.87,5.87,77.6881776887383
13,1,30.00005704,'s-Hertogenbosch,7,6.8705,6.8452,30.0000570364906
14,0,23.36053954,Coevorden,2,11.135,11.135,23.3605395387877
15,1,171.21279456,Kruiningen-Yerseke,1,1.36858538,1.2813,171.212808417969
16,0,2.57499595,Amersfoort Centraal,1,5.493,5.493,2.57499595032594
17,1.25,4.99996132,Rotterdam Centraal,3,3.4234,3.4188,4.9999613224847
18,1,14.30832706,Kampen Zuid,2,7.4503,7.4469,14.3083270540673
19,1,15.00003067,Kampen Zuid,2,7.4505,7.4437,15.0000306753763
20,1,29.99998904,Kampen Zuid,2,7.4655,7.4471,29.9999890397018
21,1,16.43497147,Kampen Zuid,2,7.3687,7.364,16.4349714768946
22,1,74.44323376,Kampen Zuid,2,7.54263109,7.479,74.4432105596118
23,1,96.68587705,Kampen Zuid,2,7.3696,7.33228698,96.6858361229467
24,1,14.99998298,Kampen Zuid,2,7.3745,7.3648,14.9999829784523
25,1,35.14871779,Utrecht Lunetten,2,3.6085,3.57903519,35.1486587953333
26,1,25.00000131,Venray,2,21.8405,21.8242,25.0000013066568
27,1.25,5.00005075,Almere Buiten,1,0.98,0.974,5.00005074989535
28,1.25,4.99996267,,,1.0269,1.0219,4.99996266630091
29,1,6.1710422,Didam,1,13.4524,13.4508,6.17104219313123
30,0,66.01310423,'s-Hertogenbosch,4,6.905,6.905,66.0131042349405
31,2,32.88871946,Wormerveer,2,0.00019866,-0.0537,32.8887458810439
32,1,62.62826751,Sittard,20,49.4729,49.4237,62.6282675139975
33,0,284.44706322,Rijswijk,4,-5.5988,-5.6,284.447093942034
34,1.25,4.29409191,Den Helder Zuid,1,2.00582716,2.0007,4.29409949932742
35,11,36.28382484,Chevremont,1,139.4086869,139.0188,36.2838513313765
36,1.25,6.50299712,Santpoort Noord,3,4.4332,4.4257,6.50299711521498
37,1.25,4.99999567,Santpoort Noord,3,4.5373,4.5323,4.9999956630658
38,2,3.24917375,Nieuw Vennep,2,0.9474,0.9417,3.2491737474482
39,2,5.00003195,Nieuw Vennep,2,0.9531,0.9457,5.00003195199589
40,1,92.02666385,Boskoop,2,-1.12525895,-1.2004,92.0266472478249
41,1,31.40941455,Boskoop,2,-1.18481779,-1.1997,31.409402874746
42,1,61.99997922,Amsterdam RAI,1,8.112,8.0986,61.9999792172799
43,2,5.0000414,Nieuwerkerk a/d IJss,2,2.1942,2.1868,5.00004139793005
44,2,5.00001123,Nieuwerkerk a/d IJss,2,2.1882,2.1778,5.00001123638368
45,1,55.48414208,Sittard,2,49.4146,49.386,55.4841420772196
46,1.25,0.5392499,Gouda Goverwelle,4,-0.5353,-0.5358,0.539249895688446
47,1,123.8925645,Deventer Colmschate,2,8.4117,8.3178,123.892564498667
48,1,13.62020673,Amsterdam Centraal,14,5.9149,5.91041394,13.6201944557095
49,0,73.44960689,Daarlerveen,1b,9.7564,9.7564,73.4496210481033
50,1,30.23773404,Arnemuiden,2,2.59427132,2.5864,30.237780922874
51,1,4.89730795,Eindhoven Strijp-S,1,24.0603,24.05707187,4.89726651117317
52,1.25,10.35072712,Naarden-Bussum,2,1.1533,1.1426,10.3507271153196
53,5,5.00005419,Vlissingen,3,3.729,3.7109,5.00005419464034
54,0,21.58166419,Den Haag Centraal,5,0.456,0.456,21.5816641916877
55,7,10.00009644,Rotterdam Zuid,3,3.5942,3.5311,10.0000964343029
56,2,3.02833855,Beverwijk,5,2.4286,2.42657172,3.02828122441418
57,1,66.42563485,Leiden Centraal,9,5.6634,5.6386,66.4256348551704
58,1.25,4.99996419,Utrecht Centraal,11,3.7083,3.703,4.99996419033716
59,1,52.2763299,Rotterdam Lombardije,2,0.8921,0.8483,52.2763298970421
60,1,16.01749851,Beverwijk,5,2.4286,2.4249,16.0174985087483
61,1,115.09371108,Heiloo,1,2.7856,2.7511,115.09371108248
62,1,84.10966689,Schiphol Airport,1,-10.9331,-10.9516,84.1096668845644
63,0,22.00000831,Arnhem Centraal,7,27.9502,27.9502,22.0000083073169
64,0,1.73938942,Heiloo,2,2.813,2.8129,1.73938942394139
65,3,25.00000615,Duivendrecht,5,10.23,10.1675,25.0000061539185
66,3,14.99997116,Duivendrecht,5,10.2555,10.2209,14.9999711560602
67,0,3.41496288,Roermond,3,27.59,27.59,3.41496288212738
68,7,27.01130435,Hoofddorp,1,0.4355,0.2485,27.0113043532872
69,2,1.0577946,Schagen,2,1.0964,1.09440189,1.05775891857301
70,1,10.07493332,Groningen,7,2.4209,2.413,10.0749333193302
71,2,12.06494967,Harderwijk,1,3.84251033,3.8248,12.0649581346322
72,8,2.31850113,Eygelshoven,2,129.76114458,129.743,2.31852094884337
73,4,1.31609718,Amsterdam Centraal,5,5.8235,5.8189,1.31609718197068
74,0,14.20954054,Amsterdam Centraal,10,5.7998,5.7998,14.2095364977903
75,2,6.68827022,Wijhe,2,3.4726,3.4636,6.68827022403679
76,1.25,5.49817068,Stedum,1,1.08434797,1.0789,5.49821303102527
77,2,19.99999334,Holten,1,20.9607,20.9294,19.9999933432125
78,1,159.85064726,Utrecht Centraal,18,3.8035,3.7195,159.85064725798
79,1,10.00005826,Utrecht Centraal,18,3.721,3.7181,10.000058257397
80,2,13.70805068,Eindhoven Centraal,1,19.9982,19.9715,13.7080506771517
81,0,15.13956331,Usquert,1,1.76005205,1.7593,15.1395200670024
82,5,5.0000121,Rotterdam Zuid,2,3.699,3.679,5.00001209771635
83,0,2.03189901,Buitenpost,2,3.062,3.062,2.03187737808563
84,9,7.95951964,Eygelshoven,2,129.743,129.6787,7.95951964002964
85,0,2.46225161,Delft,2,-8.5211,-8.5211,2.46225161782564
86,3,8.51731144,Den Haag Ypenburg,1,0.7488,0.7304,8.51731144297223
87,3,5.00001893,Groningen,2b,2.492,2.4818,5.00001892494416
88,6,11.32954534,Houthem-St.Gerlach,1,73.5333,73.4755,11.3295453433066
89,1,7.32073513,Dordrecht,5,0.1927,0.19,7.32073513165291
90,1,0.59964431,Dordrecht,5,0.1905,0.1904,0.599644311237921
91,0,1.31603748,Almelo,4,11.723,11.723,1.31603748139776
92,0,71.41286758,Amsterdam Centraal,15,5.9201,5.9197,71.4128675758342
93,1,1.6899308,Weesp,6,1.3629,1.3615,1.68993080612109
94,1,1.28665692,Weesp,6,1.46738904,1.4661,1.28663787470509
95,2,15.70054217,Grijpskerk,1,1.4605,1.4386,15.7005421727621
96,1,19.99996308,Utrecht Centraal,21,3.7171,3.7105,19.9999630865585
97,1,21.49155024,Utrecht Centraal,21,3.7222,3.7109,21.4915502367398
98,2,3.02731425,Amsterdam Bijlmer Ar,2,5.7233,5.71764525,3.02735901361176
99,1,49.54119154,Ermelo,2,12.1265,12.11419805,49.541154964454
100,3,21.8195004,De Westereen,2,1.51901773,1.471,21.8195414075304
101,2,19.99991825,Holten,2,20.8675,20.8365,19.9999182528248
102,1,24.99992288,Schiphol Airport,2,-10.9204,-10.935,24.9999228779411
103,1,24.99998538,Schiphol Airport,2,-10.9396,-10.95,24.9999853761016
104,2,10.65349471,Amsterdam Bijlmer Ar,2,5.7405,5.7233,10.6534947076728
