FID,datummutatie,naammuteerder,status,rwsdienst,genormeerd,kilometer,waterlichaam,opmerkingen,bron,gdb_geomattr_data,shape
kilometrering_legger.1,2014-10-13T00:00:00,Fugro,Definitief,MN,0,0,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (125559.2899999991 487676.62000000104)
kilometrering_legger.2,2014-10-13T00:00:00,Fugro,Definitief,MN,0,1,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (125697.6640000008 486686.23999999836)
kilometrering_legger.3,2014-10-13T00:00:00,Fugro,Definitief,MN,0,2,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (126051.03500000015 485763.09699999914)
kilometrering_legger.4,2014-10-13T00:00:00,Fugro,Definitief,MN,0,3,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (126905.36400000006 485269.40199999884)
kilometrering_legger.5,2014-10-13T00:00:00,Fugro,Definitief,MN,0,4,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (127656.79300000146 484609.5920000002)
kilometrering_legger.6,2014-10-13T00:00:00,Fugro,Definitief,MN,0,5,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (128408.0859999992 483949.6229999997)
kilometrering_legger.7,2014-10-13T00:00:00,Fugro,Definitief,MN,0,6,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (129159.37900000066 483289.65399999917)
kilometrering_legger.8,2014-10-13T00:00:00,Fugro,Definitief,MN,0,7,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (129727.99500000104 482482.1959999986)
kilometrering_legger.9,2014-10-13T00:00:00,Fugro,Definitief,MN,0,8,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (129836.96599999815 481491.4930000007)
kilometrering_legger.10,2014-10-13T00:00:00,Fugro,Definitief,MN,0,9,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (129939.32600000128 480496.74500000104)
kilometrering_legger.11,2014-10-13T00:00:00,Fugro,Definitief,MN,0,10,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (130041.68699999899 479501.9979999997)
kilometrering_legger.12,2014-10-13T00:00:00,Fugro,Definitief,MN,0,11,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (130060.68100000173 478502.6070000008)
kilometrering_legger.13,2014-10-13T00:00:00,Fugro,Definitief,MN,0,12,Amsterdam-Rijnkanaal,,DUT: aangeleverd,,POINT (130065.72300000116 477502.618999999)
