Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
anoniem 1084;;;;;;3;;;3
anoniem 1085;;;;;;1;;;1
anoniem 1086;;;;;;2;;;2
anoniem 1087;;;;;;1;;;1
anoniem 1088;;;;1;;;1;;1
anoniem 1089;;;;;1;;;;1
anoniem 1090;;;;1;;;;;1
anoniem 1091;;;;;;;1;;1
anoniem 1092;;;1;;;3;;;3
anoniem 1093;;;;;1;;;;1
anoniem 1094;;;;;1;1;1;;1
anoniem 1096;;1;;;;;;;1
anoniem 1097;;;;;;1;;;1
anoniem 1099;;;;;;2;;;2
anoniem 110;;;;;;;1;;1
anoniem 1101;;;;;;1;;;1
anoniem 1102;;;1;;;;;;1
anoniem 1103;;;;;1;;;;1
anoniem 1104;;;;;;;1;;1
anoniem 1105;;;;;;;;1;1
anoniem 1106;;;;;;1;;;1
anoniem 1107;;;;1;;1;;;1
anoniem 1108;;;;;;;1;;1
anoniem 1109;;;;1;;;;;1
anoniem 1110;;;;;;;;1;1
anoniem 1111;;;;;;2;;;2
anoniem 1112;;;;;;1;;;1
anoniem 1114;;;1;;;;1;;1
anoniem 1115;;;;;;1;;;1
anoniem 1116;;;;;;2;;;2
anoniem 1117;;;;1;;;1;;1
anoniem 1118;;;;1;;;;;1
anoniem 1119;;;;;;;1;;1
anoniem 1120;;2;;1;;;1;;2
anoniem 1121;;;;1;;;1;;1
anoniem 1122;1;1;;;;;;;1
anoniem 1123;;;;;;1;;;1
anoniem 1124;1;;;;;;;;1
anoniem 1125;;;;;;3;;;3
anoniem 1127;;;;1;;;1;;1
anoniem 1128;;;;1;;;1;;1
anoniem 1129;;;;;;2;;;2
anoniem 1130;;;;;;8;;;8
anoniem 1131;;;;1;;1;1;;1
anoniem 1132;;;;;;2;;;2
anoniem 1133;;;;;;;1;;1
anoniem 1135;;;;;;;1;;1
anoniem 1136;;;;1;;;1;;1
anoniem 1137;;;;1;;1;;;1
anoniem 1138;;;;;;;1;;1
anoniem 1140;;;1;;;;;;1
anoniem 1141;;;;;;1;;;1
anoniem 1142;;;;;;2;;;2
anoniem 1143;;;;;;2;;;2
anoniem 1144;;;;;;1;;;1
anoniem 1145;;;;;;1;;;1
anoniem 1146;;;;;;1;;;1
anoniem 1147;;;;;;2;;;2
anoniem 1148;1;1;;;;;;;2
anoniem 1149;;2;;1;;;1;;2
anoniem 1150;;;;;;2;;;2
anoniem 1151;;;;;1;;;;1
anoniem 1152;;;;;;1;;;1
anoniem 1153;;;;;;;1;;1
anoniem 1154;;;;1;;;;;1
anoniem 1155;;;;;;1;;;1
anoniem 1156;;;;;;1;;;1
anoniem 1158;;1;;;;;;;1
anoniem 1159;;;5;;;;;;5
anoniem 1160;;;;1;;;;;1
anoniem 1161;;;;1;;;;;1
anoniem 1162;;;;;;1;;;1
anoniem 1163;;;;;;2;;;2
anoniem 1164;;;;;;2;;;2
anoniem 1165;;;;;;2;;;2
anoniem 1166;;;;;;2;;;2
anoniem 1167;;;;;;;;4;4
anoniem 1168;;;;;;4;;;4
anoniem 1169;;;;;;;1;;1
anoniem 1170;;;;;;1;;;1
anoniem 1171;;;;;;1;;;1
anoniem 1172;;;;1;;;;;1
anoniem 1173;;;;;;1;;;1
anoniem 1174;;;;;;;1;;1
anoniem 1175;;;;;;1;;;1
anoniem 1176;;;;;;2;;;2
anoniem 1177;;;;;1;;;;1
anoniem 1178;;;;;;1;;;1
anoniem 1179;;;;;;;1;;1
anoniem 1180;;;;1;;;;;1
anoniem 1181;;;;2;4;2;;;4
anoniem 1182;;;;;;1;;;1
anoniem 1183;;;;;;2;;;2
anoniem 1184;;;;;;;1;;1
anoniem 1185;;;;;;5;;;5
anoniem 1186;;;;;1;;;;1
anoniem 1187;;;;;;1;;;1
anoniem 1188;;;;;;1;;;1
anoniem 1189;;2;;;;;;;2
anoniem 1190;;;;;;1;;;1
anoniem 1191;;;;;;5;;;5
anoniem 1193;;;;1;;;1;;1
anoniem 1195;;;;;;2;;;2
anoniem 1197;;;;;;7;;;7
anoniem 1198;;;;;;;1;;1
anoniem 1199;;1;;;;;;;1
anoniem 1200;;;;;;1;;;1
anoniem 1202;;;;;;3;;;3
anoniem 1203;;;;;;2;;;2
anoniem 1204;;;;;;1;;;1
anoniem 1205;;;;;;;1;;1
anoniem 1206;;;;;;3;;;3
anoniem 1207;;;;;;;1;;1
anoniem 1208;;;;;;5;1;;5
anoniem 1209;;;;1;;1;1;;1
anoniem 121;;;;1;;;;;1
anoniem 1210;;;;;;1;;;1
anoniem 1211;;;;;;1;;;1
anoniem 1212;;;;1;;;1;;1
anoniem 1213;;;;;;;1;;1
anoniem 1214;;;;;;;1;;1
anoniem 1216;;;;;;1;;;1
anoniem 1217;1;1;;;;;;;1
anoniem 1218;;;;2;;;3;;3
anoniem 122;;;;;;;1;;1
anoniem 1220;;;;1;;2;;1;2
anoniem 1221;;;2;;;;;;2
anoniem 1222;;;;1;;;;;1
anoniem 1223;;;;;;1;;;1
anoniem 1224;;;;;;1;;;1
anoniem 1225;1;;;1;1;;;;1
anoniem 1226;;;;;;1;;;1
anoniem 1227;;;;1;;1;;;1
anoniem 1228;;;;;;1;;;1
anoniem 1229;2;;;;;;;;2
anoniem 1231;;;;;;2;;;2
anoniem 1232;;;;;;;1;;1
anoniem 1233;;;;;;1;;;1
anoniem 1234;1;;;2;2;1;3;;4
anoniem 1235;;3;;;;;;;3
anoniem 1252;;;;;;1;;;1
anoniem 1254;;;;;;2;;;2
anoniem 1256;;;;;;1;;;1
anoniem 1257;;;;;;1;;;1
anoniem 1260;;;1;;;;;;1
anoniem 1266;;;;;;;1;;1
anoniem 1267;;;;;;1;;;1
anoniem 1271;;;;;;2;;;2
anoniem 1274;;;;;;3;;;3
anoniem 1275;;;;;;1;;;1
anoniem 1278;;;;;;1;;;1
anoniem 1279;;;;1;;;;;1
anoniem 1281;;;;1;;;;;1
anoniem 1285;;;;;;1;;;1
anoniem 13;;2;;;;;;;2
anoniem 1302;;;;;;1;;;1
anoniem 1305;2;;;;;;;;2
anoniem 1306;;;;;;;1;;1
anoniem 1311;;2;;;;;;;2
anoniem 1313;;;;;;2;;;2
anoniem 1316;;;;;;1;;;1
anoniem 1321;;;;;;1;;;1
anoniem 1324;;;;;;;1;;1
anoniem 1325;;;;;;1;;;1
anoniem 1326;;;;;;;;1;1
anoniem 1327;;;;1;;;;;1
anoniem 1331;;;;;;1;;;1
anoniem 1337;;;;1;;;;;1
anoniem 1340;;;1;;;;;;1
anoniem 1342;;;;;;;1;;1
anoniem 1343;;;;1;;;;;1
anoniem 1344;;;;;;1;;;1
anoniem 1346;;;;1;;;;;1
anoniem 1347;;;;;;;1;;1
anoniem 1348;;;;;;;1;;1
anoniem 1350;;;;1;;;;;1
anoniem 1351;;;;;;;1;;1
anoniem 1355;;;;;;1;;;1
anoniem 136;;;;;;1;;;1
anoniem 1362;;;1;;;;;;1
anoniem 137;;;;1;;;1;;1
anoniem 1376;;;;;;;1;;1
anoniem 1386;;;;;;1;;;1
