Leverancier;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Aanhangwagen Centrum Eindhoven B.V.;;1;1
Aebi Schmidt Nederland B.V.;;2;2
AGS Holland Distribution B.V.;;1;1
Allers Bedrijfswagens Maastricht B.V.;;1;1
Amasus Shipping B.V.;;6;6
Anoniem_DEF_250;;1;1
Anoniem_DEF_325;;1;1
Anoniem_DEF_393;;1;1
Anoniem_DEF_420;;1;1
Anoniem_DEF_53;;1;1
Anoniem_DEF_574;;1;1
Anoniem_DEF_59;;2;2
Anoniem_DEF_602;;4;4
Anoniem_DEF_62;;2;2
Anoniem_DEF_688;;1;1
Anoniem_DEF_818;;1;1
Anoniem_DEF_903;;1;1
Anoniem_DEF_925;;1;1
Anoniem_DEF_932;;2;2
Anoniem_DEF_97;;2;2
Anoniem_DEF_982;;1;1
ARAMEX;;5;5
Athlon Car Lease Nederland B.V.;;1;1
Auto Vreman B.V.;;1;1
Autobedrijf van den Udenhout B.V.;;1;1
Autobedrijf van Loon B.V.;;1;1
Automotions MB Roosendaal;;1;1
Autoplex Zevenaar B.V.;;1;1
Autoschade Rijnders Amersfoort B.V.;;1;1
Autoservice Pennings;;2;2
Autoverhuur Bultman B.V.;;1;1
Axxicom Airport Caddy B.V.;;1;1
B.V. Rederij G. Doeksen en Zonen;;2;2
Baan Twente B.V.;;1;1
Badé Import Export Groothandel B.V.;;1;1
Bakker Bedrijfswagens Amersfoort;;1;1
Bakker Bedrijfswagens Apeldoorn;;1;1
Bandorama B.V.;;1;1
BAS Rent B.V.;;4;4
BAS Truck Center;;1;1
BCD Travel Nederland B.V.;;1;1
BCS Meerssen;;1;1
BDUmedia;;1;1
Bedrijfswagen Service Friesland B.V.;;2;2
Be-Ge Savas Seating B.V.;;1;1
Berdex Carross.- en Handelsonderneming B.V.;;1;1
Betam Truck & Carwash;;1;1
Bluekens Truck en Bus B.V.;;2;2
Bourguignon Leeuwarden B.V.;;1;1
Brezan Automaterialen Goes;;2;2
Britline;;2;2
Broeder de Vries Dutch Medical Services B.V.;;1;1
Broekhuis Motoren B.V.;;1;1
Broekman Eemshaven Services B.V.;;3;3
Broshuis B.V.;;1;1
Brouwer Motors B.V.;;1;1
Budget Rent a Car;;3;3
Burger Ferry Agencies B.V.;;4;4
Burtec B.V.;;1;1
Buss Terminal Eemshaven B.V.;;2;2
Cannock Chase Public;;1;1
Carrosserie Akkermans B.V.;;3;3
CARU Containers B.V.;;2;2
Ce-Ho Trucks en -Onderdelen;;2;2
CELECTRIC B.V.;;1;1
CHS Special Products B.V.;;1;1
Conrad Electronic Benelux B.V.;;1;1
Cornelis Bedrijfsauto's B.V.;;1;1
De Boer Container Trading B.V.;;1;1
De Meeuw Oirschot B.V.;;2;2
De Molen Banden B.V.;;1;1
De Radiateur;;1;1
De Tijd' Bedrijfskleding;;1;1
De Vier Gewesten B.V.;;7;7
De Vlas Transport B.V.;;2;2
DFDS Seaways IJmuiden B.V.;;2;2
DHL Express (Netherlands) B.V.;;1;1
Dijssel B.V.;;1;1
DSV Air & Sea Nederland B.V.;;1;1
Dusseldorp Den Haag B.V.;;1;1
EE Devices B.V.;;2;2
Ematra Truck Repair & Improvement;;1;1
EMC Bouw B.V.;;1;1
E-Milers Group B.V.;;1;1
Engbers Motors B.V.;;1;1
Esve B.V.;;1;1
Eurocross Assistance Netherlands B.V.;;1;1
Euromaster Bandenservice;;2;2
Evidensia Dierenklinieken B.V.;;1;1
Federal Express Nederland;;1;1
FedEx Express Netherlands B.V.;;1;1
Fliteline B.V.;;7;7
Frama Nederland;;1;1
Fromm Nederland B.V.;;1;1
Garage De Muynck;;1;1
Gaston Hydrauliek & Laadtechniek;;1;1
Geling's Langste Autowasstraat B.V.;;1;1
Gelissen Paardentransport B.V.;;1;1
Gentenaar Cleaning Moerdijk B.V.;;1;1
Gomes Noord-Holland B.V.;;2;2
Gowa Sportswear B.V.;;1;1
Gulf Bunkering B.V.;;3;3
Hager Handel & Techniek;;1;1
Handelsonderneming Solidair B.V.;;1;1
Harbers Trucks Apeldoorn B.V.;;5;5
Harbers Trucks Barneveld B.V.;;2;2
Harbers Trucks Veenendaal B.V.;;1;1
Heliflight Holland B.V.;;2;2
Hertz Automobielen Nederland B.V.;;4;4
Hobrand B.V.;;1;1
Holland Inbouw;;1;1
Int. Air Trans. Association (Netherl.) B.V.;;1;1
Intimus International Netherlands B.V.;;1;1
I-Tee Media Solutions;;1;1
Iveco Nederland B.V.;;1;1
IVECO Schouten B.V.;;1;1
JCB;;1;1
Jonker CarrosserieÃƒÂ«n B.V.;;1;1
Jungheinrich Nederland B.V.;;1;1
Koninklijke PostNL B.V.;;1;1
L&S Specials B.V.;;1;1
Leaseplan Nederland N.V.;;7;7
Lemmens Motorsport;;1;1
LION;;1;1
Louwman Amsterdam West;;2;2
Louwman MB Breda BW;;2;2
Louwman MB Veghel;;1;1
Manutan B.V.;;1;1
Marelko Benelux B.V.;;1;1
MD Techniek B.V.;;1;1
Megens Oirschot B.V.;;1;1
Mercedes-Benz Dealer Bedrijven B.V.;;3;3
Mettler-Toledo B.V.;;1;1
Mobile Information Services B.V.;;4;4
Motor Centrum West B.V.;;2;2
Motor en scootercentrum Bos;;1;1
Motorplaza Groningen B.V.;;1;1
MS de Vries;;1;1
Multi-Post Mail Systems B.V.;;1;1
Munckhof Reizen B.V.;;7;7
Nationaal Parachutisten Centrum Teuge B.V.;;1;1
Nautilus Port Services B.V.;;1;1
Nijwa Groep B.V.;;1;1
OBV-Logistiek B.V.;;1;1
Off Road Verhuur B.V.;;2;2
OrionPartners B.V.;;1;1
PAK Aanhangwagens B.V.;;1;1
Park-line B.V.;;1;1
Pasman Motoren & Aggregaten B.V.;;1;1
Peinemann Heftrucks B.V.;;7;7
PEMAR Technische Groothandel B.V.;;1;1
Pijnappel Aanhangwagens B.V.;;1;1
Polymax Industrietechniek B.V.;;1;1
Pon Dealer B.V.;;2;2
Pon's Automobielhandel B.V.;;3;3
PostNL Pakketten Benelux B.V.;;1;1
Profile Dassen Eindhoven B.V.;;1;1
Profile Tyrecenter ABI Amersfoort B.V.;;1;1
Profile Tyrecenter-Friese Bandenservice;;1;1
ProMedia MBM B.V.;;1;1
Protempo B.V.;;1;1
Q-Park Operations Netherlands B.V.;;1;1
Rederij Wadden Transport;;2;2
Reli Groep B.V.;;1;1
Restaurant Wilhelminapark B.V.;;1;1
Rior, Industrie- en Handelsonderneming B.V.;;1;1
Robetex;;1;1
Rolldock Shipping B.V.;;6;6
Rubbermagazijn B.V.;;1;1
Rüttchen Automotive, vest. bedr.auto's Breda;;2;2
Scania Nederland B.V.;;2;2
Schuiteman Woninginrichting;;1;1
SGS Nederland B.V.;;1;1
Signpost B.V.;;1;1
Sixt B.V.;;5;5
Smeets M.B. Eindhoven B.V.;;2;2
Smeets M.B. Zuid-Limburg B.V.;;1;1
SMT Netherlands B.V.;;1;1
Spijkstaal International B.V.;;1;1
Spliethoff's Bevrachtingskantoor B.V.;;7;7
Start People;;2;2
Steder Group B.V.;;3;3
Steenks Service B.V.;;1;1
Stena Line B.V.;;2;2
Stern Auto;;1;1
Stern Auto B.V.;;3;3
SternRent;;2;2
SternRent B.V.;;5;5
Stevens Auto-Elektron. en Diesel/Hydr. V.O.F.;;1;1
Sun Jet Services Verwaltungs GmbH;;3;3
T.C.V. Truck Cleaning Veghel;;1;1
Taxibedrijf Van der Wijst;;4;4
Technische Centrale;;1;1
Terberg Specials B.V.;;1;1
Thermo King Transportkoeling B.V.;;1;1
TIP Trailer Services Netherlands B.V.;;5;5
Titan Containers B.V.;;1;1
TNT Express Nederland B.V.;;5;5
Tobias Fiscaal;;1;1
Toplight Chartering;;5;5
Topmoto B.V.;;1;1
Touringcarbedrijf Betuwe Express B.V.;;6;6
Trim-Line of Holland B.V.;;1;1
Truckerswereld;;1;1
Truckland Noord-Holland B.V.;;1;1
TTS Swifterbant;;1;1
Uitgeverij Paris B.V.;;1;1
Unique Nederland B.V.;;2;2
Vakmedianet Logistiek & Mobiliteit B.V.;;1;1
Van Breemen Onroerend Goed B.V.;;2;2
Van der Valk Utrecht;1;;1
Van der Veer Media;;1;1
Van der Werf Jelsum B.V.;;1;1
Van Hal Telecom B.V.;;1;1
Van Hooft Bedrijfswagen Veghel B.V.;;2;2
Van Poelgeest Amersfoort B.V.;;1;1
Van Poelgeest Hilversum B.V.;;2;2
Van Stralen Centrum voor Psychologie;;1;1
Van Tilburg-Bastianen B.V.;;1;1
Van Tilburg-Bastianen DAF B.V.;;3;3
Van Vlastuin Taxi B.V.;;1;1
Van Vliet TechSupport B.V.;;3;3
Vanderkooij Telecommunicatie B.V.;;2;2
VDK Taxivervoer B.V.;;1;1
VDL Bus Venlo B.V.;;4;4
Veiligheidscentrum Zeeland B.V.;;1;1
Verbrugge Zeeland Terminals B.V.;;2;2
Vervaet-van Weele B.V.;;1;1
Veth Automotive B.V.;;3;3
VHD B.V.;;5;5
Volvo Truck Center Almere;;1;1
Vroeg B.V.;;1;1
Wagenborg Nedlift;;6;6
Walrus Maritiem B.V.;;2;2
Weegtechniek Holland B.V.;;1;1
Wensink;;1;1
Wensink Automotive B.V.;;2;2
Wiba Zevenaar B.V.;;1;1
Eindtotaal;1;9;9
