FID,OVW_STARTDATUM,AANSCHAFPRIJS,AANTAL,AANVULLENDE_INFORMATIE,AFGEWERKT,AFGIFTEDATUM,ALGEMEEN_AANSCHAFPRIJS,ALGEMEEN_FABRIKANT,ALGEMEEN_GARANTIE,ALGEMEEN_LEEFTIJDSCATEGORIE,ALGEMEEN_LEVENSDUUR,GEOMETRIE,LONGITUDE,LATITUDE,OVW_MAX_SIZE

Speelvoorzieningen.223124,2023-02-03,1475,,,,,,,,6 jaar en ouder,,POINT (52.169148442448034 5.380486648185291),5.38048659081208,52.169144812636,0

Speelvoorzieningen.223125,2023-02-03,1475,,,,,,,,6 jaar en ouder,,POINT (52.169419007339684 5.38035169098031),5.38035163074163,52.16941537554,0

Speelvoorzieningen.223126,2023-02-03,17.50,1,,,,,,,6 - 12 jaar,,POINT (52.169077795820144 5.380861714399999),5.38086165609253,52.1690741682075,0

Speelvoorzieningen.223127,2023-02-03,1905,,,,,,,,8 jaar en ouder,,POINT (52.155821288526965 5.385009869061061),5.38500996681876,52.155817741224,0

Speelvoorzieningen.223128,2023-02-03,4495,,Toestel staat in Playmapping,,,,,,2 - 6 jaar,,POINT (52.17652417682824 5.38944731148957),5.38944710953126,52.1765205546692,0

Speelvoorzieningen.223129,2023-02-03,174,,,,,,,,4 - 12 jaar,,POINT (52.17647001029493 5.389093383057538),5.3890931837359,52.1764663866067,0

Speelvoorzieningen.223130,2023-02-03,17.50,3,,,,,,,6 - 12 jaar,,POINT (52.1764486419863 5.3890475498016635),5.38904735101597,52.176445018176,0

Speelvoorzieningen.223131,2023-02-03,3430,,,,,,,,1 - 8 jaar,,POINT (52.155388483743195 5.385271095177621),5.38527119760828,52.155384939535,0

Speelvoorzieningen.223132,2023-02-03,595,,Rubberstoottegels aanwezig.,,,,,,3 - 8 jaar,,POINT (52.17264093599873 5.394846227740251),5.39484605070584,52.1726373619923,0

Speelvoorzieningen.223133,2023-02-03,250,,,,,,,,4 - 12 jaar,,POINT (52.17260697200047 5.39481191376931),5.39481173738332,52.1726033979861,0

Speelvoorzieningen.223134,2023-02-03,3925,,,,,,,,2 - 6 jaar,,POINT (52.1726015065808 5.394882648172526),5.39488247149811,52.1725979329655,0

Speelvoorzieningen.223135,2023-02-03,1005,,,,,,,,2 - 8 jaar,,POINT (52.155776864030514 5.38495509662742),5.3849551952067,52.1557733166346,0

Speelvoorzieningen.223136,2023-02-03,1120,,.,,,,,,2 - 6 jaar,,POINT (52.17513771206581 5.400489564764651),5.40048932317891,52.1751341551888,0

Speelvoorzieningen.223137,2023-02-03,,,,,,,,,8 jaar en ouder,,POINT (52.155175797128535 5.387924105002132),5.38792419922141,52.1551722672469,0

Speelvoorzieningen.223138,2023-02-03,,,,,,,,,8 jaar en ouder,,POINT (52.155185280475685 5.387948774540121),5.38794886852881,52.1551817506811,0

Speelvoorzieningen.223139,2023-02-03,10295,,,,,,,,4 - 12 jaar,,POINT (52.155720037918265 5.384918127616742),5.38491822710772,52.15571649057,0

Speelvoorzieningen.223140,2023-02-03,895,,"veer uit 1997.

bovenstuk is nagemaakt.",,,,,,1 - 4 jaar,,POINT (52.1555813606011 5.38514768884619),5.38514778922208,52.1555778149796,0

Speelvoorzieningen.223141,2023-02-03,17.50,1,,,,,,,6 - 12 jaar,,POINT (52.15574330420455 5.385008115977922),5.38500821478155,52.1557397572139,0

Speelvoorzieningen.223142,2023-02-03,595,,,,,,,,3 - 8 jaar,,POINT (52.15575035978963 5.384957076509655),5.38495717543352,52.1557468125128,0

Speelvoorzieningen.223143,2023-02-03,2420,,,,,,,,3 - 8 jaar,,POINT (52.15578355571035 5.384931608820913),5.38493170740971,52.1557800081685,0

Speelvoorzieningen.223144,2023-02-03,8550,,,,,,,,3 - 9 jaar,,POINT (52.15575175009683 5.38503832427882),5.38503842284319,52.1557482032236,0

Speelvoorzieningen.223145,2023-02-03,17.50,1,,,,,,,6 - 12 jaar,,POINT (52.143243956631274 5.38195557714098),5.38195585299728,52.143240441389,0

Speelvoorzieningen.223146,2023-02-03,940,,,,,,,,3 - 8 jaar,,POINT (52.15569308619956 5.385047520292232),5.3850476195994,52.155689539614,0

Speelvoorzieningen.223147,2023-02-03,895,,,,,,,,1 - 4 jaar,,POINT (52.15580198529965 5.3850160769127715),5.38501617490147,52.1557984381074,0

Speelvoorzieningen.223148,2023-02-03,250,,,,,,,,4 - 12 jaar,,POINT (52.155772740720266 5.3849519361577425),5.38495203480519,52.1557691933254,0

