FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkinge,symbol,shape_leng,shape_le_1,se_anno_cad_data,gdb_geomattr_data,shape
trend_2016_50.1,301180,3,1180,-30,104.59,134.59,9.38,-,- - - - - -,1,1338.00030592,1338.00030592,,,"POLYGON ((179291.22450000048 609388.4721000008, 179250.34849999845 609855.6875, 179449.5874999985 609873.1187999994, 179490.46350000054 609405.9032999985, 179291.22450000048 609388.4721000008))"
trend_2016_50.2,200100,2,100,725,2413.38,1688.38,11.63,-,- - - - - -,1,1562.99986479,1562.99986479,,,"POLYGON ((205419.0331000015 608732.1349, 205398.73910000175 608150.9893000014, 205198.86089999974 608157.9690999985, 205219.1548999995 608739.1149000004, 205419.0331000015 608732.1349))"
trend_2016_50.3,200101,2,101,705,2351.08,1646.08,-15.71,>2026,- - - - - -,3,1970.99980301,1970.99980301,,,"POLYGON ((205065.02479999885 608772.4558999985, 205214.90509999916 609543.5238999985, 205411.23050000146 609505.3623000011, 205261.35009999946 608734.2941000015, 205065.02479999885 608772.4558999985))"
trend_2016_50.4,200102,2,102,700,2192.29,1492.29,-16.78,>2026,- - - - - -,3,2077.99952549,2077.99952549,,,"POLYGON ((204918.01529999822 608829.5148999989, 205204.97030000016 609617.9169000015, 205392.90879999846 609549.5128999986, 205105.95380000025 608761.1108999997, 204918.01529999822 608829.5148999989))"
trend_2016_50.5,200103,2,103,689,2062,1373,-9.39,>2026,- - - - - -,3,1339.00018114,1339.00018114,,,"POLYGON ((204781.72580000013 608908.8561000004, 205009.3438999988 609319.4901, 205184.26790000126 609222.5282999985, 204956.64979999885 608811.8942999989, 204781.72580000013 608908.8561000004))"
trend_2016_50.6,200104,2,104,694,1956.18,1262.18,-4.23,>2026,- - - - - -,3,822.99974147,822.99974147,,,"POLYGON ((204672.32409999892 608996.556499999, 204799.6079000011 609165.4679000005, 204959.3348999992 609045.1048999988, 204832.05110000074 608876.193500001, 204672.32409999892 608996.556499999))"
trend_2016_50.7,200105,2,105,699,1928.87,1229.87,3.27,-,- - - - - -,1,727.00018531,727.00018531,,,"POLYGON ((204704.122299999 608968.3784999996, 204586.51029999927 608854.8018999994, 204447.5784999989 608998.6699000001, 204565.19079999998 609112.2465000004, 204704.122299999 608968.3784999996))"
trend_2016_50.8,200106,2,106,709,2002.08,1293.08,12.13,-,- - - - - -,1,1613.00010383,1613.00010383,,,"POLYGON ((204603.76330000162 609066.2857999988, 204113.09450000152 608709.7939000018, 203995.5375000015 608871.5975000001, 204486.2063000016 609228.0890999995, 204603.76330000162 609066.2857999988))"
trend_2016_50.9,200120,2,120,770,2122.76,1352.76,20.85,-,- - - - - -,1,2484.99991723,2484.99991723,,,"POLYGON ((204488.76289999858 609224.2859000005, 203645.36279999837 608611.5197999999, 203527.80579999834 608773.3231000006, 204371.20589999855 609386.0892999992, 204488.76289999858 609224.2859000005))"
trend_2016_50.10,200140,2,140,810,2206.57,1396.57,21.2,-,- - - - - -,1,2519.9999829,2519.9999829,,,"POLYGON ((204370.7628000006 609386.2857999988, 203513.20479999855 608763.2333000004, 203395.64779999852 608925.0368000008, 204253.20580000058 609548.0890999995, 204370.7628000006 609386.2857999988))"
trend_2016_50.11,200160,2,160,806,2169.93,1363.93,15.93,-,- - - - - -,1,1993.00030749,1993.00030749,,,"POLYGON ((204253.76309999824 609546.2857999988, 203609.38109999895 609078.1147999987, 203491.82389999926 609239.9182999991, 204136.2060999982 609708.0890999995, 204253.76309999824 609546.2857999988))"
