OBJECTID,REF_WISSEL_KRUISING_PUIC,NAAM,LENGTE,X_BEGIN,Y_BEGIN,Z_BEGIN,X_EIND,Y_EIND,Z_EIND,REF_WISSEL_KRUISING_NAAM,M_GANG_VAN_T,M_GANG_TOT_T,GELDIG_VANAF,PUBLICATIEDATUM,LATITUDE_BEGIN,LATITUDE_EIND,IS_BERIJDBAAR,BI_DIRECTIONEEL,LONGITUDE_BEGIN,LONGITUDE_EIND,M_GANG_TOT,M_GANG_VAN,SPOORSTAAF_LINKS_RECHTS
1,6f594ce6-e606-418f-acd7-36a3e384b174,Links,65.04473552,235350.771,497540.715,9.66,235356.113,497475.89,9.66,403,"-3,900","61,145",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.45971613,52.45913283,Ja,Ja,6.56945058,6.56951359,61.145,-3.9,Links
2,d51d6f1f-41a3-49bc-a55c-6299282fb6bd,Rechts,35.30415241,152718.358,463237.177,5.442,152742.692,463211.641,5.46499999,37A,"-4,500","30,804",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.15729997,52.15707055,Ja,Ja,5.35386133,5.3542171,30.804,-4.5,Links
3,8361030e-80ed-4671-9c8a-c9adc838ce3f,Rechts,25.88787685,119702.205,489350.484,2.221,119724.083,489336.68199999,2.221,978,"-0,920","24,968",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.39086885,52.39074622,Ja,Ja,4.86866787,4.8689907,24.968,-0.92,Links
9,c3a1cfd9-efab-4afa-b863-64c71db51723,Rechts,33.09996556,91233.11599999,395735.946,4.22799999,91250.69999999,395763.989,4.259,911,"-3,900","29,200",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.54696729,51.54722133,Ja,Ja,4.46788733,4.4681357,29.2,-3.9,Links
12,4c74e200-0026-498a-b22a-da777e0a65fe,Links,34.78596205,192963.71799999,350560.853,28.12,192940.776,350534.75,28.14,451B,"-3,900","30,886",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.14324801,51.14301492,Ja,Ja,5.92969091,5.92936032,30.886,-3.9,Links
13,2c59e531-4c10-49bf-873c-fd8819a423ce,Rechts,63.25955813,113570.178,400929.27399999,4.21999999,113633.351,400932.58199999,4.19899999,1135A,"-2,115","61,144",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.59573531,51.5957697,Ja,Ja,4.78928071,4.79019198,61.144,-2.115,Links
14,5e9f2f98-cb20-4854-b56c-f424bc12376a,Links,40.39348483,210502.363,462401.08299999,10.29899999,210525.94899999,462433.83399999,10.156,231,"-3,900","36,493",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.14700071,52.14729268,Ja,Ja,6.19809974,6.19844965,36.493,-3.9,Links
15,97d2c1d5-6975-4400-abc0-f835d7b769db,Links,38.56490604,99266.38099999,428359.308,-0.205,99298.15399999,428337.451,-0.205,2367B,"-4,499","34,066",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.84103185,51.84083859,Ja,Ja,4.57846584,4.57893037,34.066,-4.499,Links
18,79e8ffd3-7c0b-4121-8d27-264ee3238eac,Rechts,38.56532479,117093.719,491386.28899999,1.032,117068.09299999,491415.109,1.048,959,"-4,500","34,065",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.40899106,52.4092483,Ja,Ja,4.83012018,4.82974033,34.065,-4.5,Links
19,7fc590ac-2ddd-4b0a-9f24-5380d58c35d6,Rechts,38.58829855,75659.49499999,433943.79599999,5.208,75640.39999999,433977.28899999,5.208,92,"-4,500","34,088",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.8883596,51.88865787,Ja,Ja,4.23468379,4.23439875,34.088,-4.5,Links
