OBJECTID,Match_addr,X,Y,Hoofdcategorie,Categorie,Naam,Internet,Adres,Postcode,Plaats,GlobalID
1,"Hoek 27, 8281 AW Genemuiden",6.03894600000001,52.624215,Cultuur,Musea,Historisch Centrum Genemuiden,http://www.oudgenemuiden.nl,Hoek 27,8281 AW,Genemuiden,f8e4ced2-8ecf-4088-8d8c-0666dc5cd9b8
2,"Kalkovenwegje 3, 8061 CZ Hasselt",6.093954,52.592283,Cultuur,Musea,Kalkovens Hasselt,http://www.kalkovenshasselt.nl/,Kalkovenwegje 3,8061 CZ,Hasselt,036928a8-3c14-4323-b6ab-211481aa35eb
3,"Stenendijk 7, 8061 HP Hasselt",6.09701850000002,52.587081,Cultuur,Musea,Korenmolen De Zwaluw Hasselt,http://www.molendezwaluwhasselt.nl,Stenendijk 7,8061 HP,Hasselt,c3ede3b5-0be7-4e2b-8d86-41d5daff8a28
4,"Markt 1, 8061 GG Hasselt",6.089562,52.590771,Cultuur,Musea,Oude Stadhuis Hasselt,http://www.tiphasselt.nl,Markt 1,8061 GG,Hasselt,1bc99a8d-70ca-4a01-883d-d35cf59f1f45
5,"Handelskade 25, 8064 DV Zwartsluis",6.073128,52.640388,Cultuur,Musea,Schoonewelle Museum voor Natuur en Ambacht,http://www.schoonewelle.nl,Handelskade 25,8064 DV,Zwartsluis,3f6355be-90ab-464e-ad0c-6b9f5b5b8666
6,"Klaas Benninkstraat 2a, 8281 ZX Genemuiden",6.042483,52.625556,Cultuur,Musea,Tapijtmuseum,http://www.tapijtmuseum.nl,Klaas Benninkstraat 2-A,8281 ZX,Genemuiden,4c47dad4-c5ba-47af-8810-62e68a6ca995
7,"Suurhoffstraat 5, 8015 AH Zwolle",6.12007650000001,52.47387,Gezondheidsvoorzieningen,Algemeen maatschappelijk werk,Brenda ten Have - Straatman,http://www.kinderwensbegeleiding.nl,Suurhoffstraat 5,8015 AH,Zwolle,55937ce3-6319-46c4-90a2-826fdcdab105
8,"Telvorenstraat 2, 8061 CB Hasselt",6.09585300000001,52.592058,Gezondheidsvoorzieningen,Algemeen maatschappelijk werk,De Kern maatschappelijke dienstverlening,http://www.stdekern.nl,Telvorenstraat 2,8061 CB,Hasselt,645cb227-ed26-4131-8b4d-8266a63ff038
9,"Bolwerk 13, 8261 EE Kampen",5.90996699999999,52.560936,Gezondheidsvoorzieningen,Ambulante begeleiding,Ambulante begeleiding gemeente Zwartewaterland,https://www.persoonsgebonden-vraaggerichte-zorg.nl/ambulante-begeleiding/,Bolwerk 13,8261 EE,Kampen,182822b1-21f6-4d6f-ad0e-4e0f22976f93
10,"Prinses Julianastraat 23, 8281 CK Genemuiden",6.04228950000001,52.623387,Gezondheidsvoorzieningen,Apotheken,Apotheek De Muiden,http://www.apotheek-demuiden.nl,Prinses Julianastraat 23,8281 CK,Genemuiden,23ee486b-ada4-436b-b540-672ecc900af0
11,"Burgemeester Royerplein 1, 8061 GE Hasselt",6.08905799999999,52.590825,Gezondheidsvoorzieningen,Apotheken,Apotheek Hasselt,http://www.apotheek-hasselt.nl,Burgemeester Royerplein 1,8061 GE,Hasselt,f95f4a22-915b-45a3-83b8-0dc346d15693
12,"Bolwerk 13, 8261 EE Kampen",5.90996699999999,52.560936,Gezondheidsvoorzieningen,Begeleid wonen,PGVZ,http://www.pgvz.nl,Bolwerk 13,8261 EE,Kampen,bacc3ecd-4e3d-4d4b-bd42-a113cec11868
13,"Koningin Julianastraat 39, 8302 CD Emmeloord",5.75325000000001,52.712019,Gezondheidsvoorzieningen,Begeleid wonen,PGVZ,,Koningin Julianastraat 39,8302 CD,Emmeloord,05b0a264-2b8a-4352-a120-d0d91571a254
14,"Lage Vlakte 12, 8281 Genemuiden",6.04225192205924,52.6192438475204,Gezondheidsvoorzieningen,Begeleid wonen,PGVZ,,Lage vlakte 12,,Genemuiden,fb4003fe-c9ff-451f-a7d8-17ad9aeb4c58
15,"Lage Vlakte 14, 8281 Genemuiden",6.04225192205924,52.6192438475204,Gezondheidsvoorzieningen,Begeleid wonen,PGVZ,,Lage vlakte 14,,Genemuiden,8843e21c-c1fd-43c2-8b8e-230920e111f0
16,"Willemsvaart 16, 8019 AB Zwolle",6.08085,52.506891,Gezondheidsvoorzieningen,Begeleid wonen,PGVZ,,Willemsvaart 16,8019 AB,Zwolle,eed6e7b2-b6a3-4557-84ab-0995e8f2e66a
17,"Purperreigerlaan 222, 8064 DC Zwartsluis",6.07518899999999,52.643601,Gezondheidsvoorzieningen,Begeleid wonen,Stichting Philadelphia Zorg,https://www.philadelphia.nl,Locatie De Klampe: Purperreigerlaan 222,8064 DC,Zwartsluis,592bdeca-474d-48eb-9422-e0a5845c0d72
18,"Rosmolenstraat 31a, 8061 GV Hasselt",6.0906645,52.59141,Gezondheidsvoorzieningen,Cesar,Praktijk Oefentherapie Cesar,http://www.cesarhasselt.nl,Rosmolenstraat 31-A,8061 GV,Hasselt,45c738bd-d6bb-4851-9e00-f3ce58e8561b
19,"Lage Vlakte 14, 8281 Genemuiden",6.04225192205924,52.6192438475204,Gezondheidsvoorzieningen,Dagbesteding,geWOON! (onderdeel van PGVZ),https://www.persoonsgebonden-vraaggerichte-zorg.nl/gewoon-werk-en-dagbesteding/,Lage vlakte 14,,Genemuiden,f6991f7c-a845-457f-86af-85391961428e
20,"Langestraat 109, 8281 AH Genemuiden",6.04096200000001,52.621263,Gezondheidsvoorzieningen,Dierenartsen,Dierenarts Veterinair Centrum Genemuiden,http://www.veterinair-centrum.nl,Langestraat 109,8281 AH,Genemuiden,abc42fe7-d151-4681-9fca-c80e1b24b27e
21,"Belvédèrelaan 101, 8043 LW Zwolle",6.05554649999999,52.534755,Gezondheidsvoorzieningen,Dierenartsen,Dierenartsenpraktijk Zwolle/Zwartewaterland,,Belvederelaan 101,8043 LW,Zwolle,0532a886-9622-4e91-8ef9-4fc6f869450b
22,"Burg Malcorpslaan 1, 8061 AG Hasselt",6.09642450000001,52.593615,Gezondheidsvoorzieningen,Dierenartsen,Dierenartsenpraktijk Zwolle/Zwartewaterland,,Burg Malcorpslaan 1,8061 AG,Hasselt,02ece89d-e23e-4660-b2c3-9433d0219121
23,"Pottenbakkersstraat 3, 8064 DS Zwartsluis",6.07221900000002,52.640163,Gezondheidsvoorzieningen,Dierenartsen,Dierenartsenpraktijk Zwolle/Zwartewaterland,,Pottenbakkersstraat 3,8064 DS,Zwartsluis,3f2eccb5-15c1-4e81-a0cc-82bc53c36325
24,"De Zwanebloem 41, 8064 HK Zwartsluis",6.07217400000002,52.646562,Gezondheidsvoorzieningen,Diëtisten / voedingsdeskundigen,Diëtistenpraktijk van Asselt,http://www.dietistvanasselt.nl,De Zwanebloem 41,8064 HK,Zwartsluis,42035916-6abb-4570-94f4-da36079ec448
25,"Keppelstraat 3, 8061 GZ Hasselt",6.089643,52.59294,Gezondheidsvoorzieningen,Diëtisten / voedingsdeskundigen,Slimme Eter Gewichtsconsulent,http://www.slimmeeter.nl,Keppelstraat 3,8061 GZ,Hasselt,cc9ec5af-915c-408e-b06c-5e24f447a875
26,"De Marke 68, 8061 BC Hasselt",6.09782849999999,52.593993,Gezondheidsvoorzieningen,EHBO- / Reanimatieverenigingen,"LOTUS®, Landelijke Opleiding tot Uitbeelding Slachtoffers",http://www.lotuskringdeblauwvinger.nl,De Marke 68,8061 BC,Hasselt,21abb0c9-c17b-4d53-af70-19d81fe17d4d
27,"Industrieweg 42, 8061 RB Hasselt",6.08823900000002,52.585227,Gezondheidsvoorzieningen,Fysiotherapeuten,Fysio & Manueel Therapie van den Bosch,http://www.fysiovdbosch.nl,Industrieweg 42,8061 RB,Hasselt,58735956-e03a-4351-88cc-df383ef12270
28,"Kerkstraat 22, 8064 DP Zwartsluis",6.07224150000002,52.640397,Gezondheidsvoorzieningen,Fysiotherapeuten,FysioMobilis,http://www.fysiomobilis.nl,Kerkstraat 22,8064 DP,Zwartsluis,2d7d7aba-6aa5-4e1d-88eb-fe2f2db859e0
29,"Buzenland 2, 8281 XD Genemuiden",6.042429,52.619067,Gezondheidsvoorzieningen,Fysiotherapeuten,"Fysiotherapie De Meente - F. Bol, N. van Ek, S. Terpstra, E. Nijboer en E. Everts",http://www.fysiotherapiedemeente.nl,Buzenland 2,8281 XD,Genemuiden,27e4bde0-c149-4943-8bf7-d7620a9ba3aa
30,"De Zwanebloem 41, 8064 HK Zwartsluis",6.07217400000002,52.646562,Gezondheidsvoorzieningen,Fysiotherapeuten,Fysiotherapie Zwartsluis,http://www.fysiotherapiezwartsluis.nl/,De Zwanebloem 41,8064 HK,Zwartsluis,7acd345b-e4de-4d37-9bba-122a750164da
