FID,OVW_STARTDATUM,LONGITUDE,LATITUDE,CODE,BREEDTE,EIGENAAR,FUNCTIE,GEBRUIK,HOOFDCATEGORIE,HOOGTE,GEOMETRIE,NAAM,OBJECTTYPE,OVW_MAX_SIZE

Artistieke_kunstwerken.8502,2021-02-19,5.4012822034424,52.1491517418508,B063,,,,,Bruggen,,POINT (52.14915517812738 5.401282079110917),Park Randenbroek - Heiligenber,Houten brug,0

Artistieke_kunstwerken.8503,2021-02-19,5.40784856573854,52.1622308908177,B070,,,,,Bruggen,,POINT (52.16223434504305 5.40784865760362),Albatrosstraat-Fuutstraat,Staal,0

Artistieke_kunstwerken.8504,2021-02-19,5.41006861161915,52.162562292529,B071,,,,,Bruggen,,POINT (52.16256573591721 5.410068718494374),Albatrosstraat-Wiekslag,Duikerbrug,0

Artistieke_kunstwerken.8505,2021-02-19,5.41127291095358,52.1627479501997,B072,,,,,Bruggen,,POINT (52.162751387693945 5.411273026093051),albatrosstraat-ijsvogelpad,Houten brug,0

Artistieke_kunstwerken.8506,2021-02-19,5.41233744483473,52.1629046367411,B073,,,,,Bruggen,,POINT (52.1629080689676 5.412337567189837),albatrosstraat-trekvogelweg,Duikerbrug,0

Artistieke_kunstwerken.8507,2021-02-19,5.41125166553181,52.1656032528356,B077,,,,,Bruggen,,POINT (52.16560670356069 5.411251822865069),Trekvogelweg-v. Randwijcklaan,Duikerbrug,0

Artistieke_kunstwerken.8508,2021-02-19,5.40900544907239,52.1652538909175,B078,,,,,Bruggen,,POINT (52.16525735254104 5.409005590602603),Wiekslag-v. Randwijcklaan,Duikerbrug,0

Artistieke_kunstwerken.8509,2021-02-19,5.4041958108025,52.1634657243703,B084,,,,,Bruggen,,POINT (52.1634692042238 5.4041959038024165),v. Randwijcklaan-Valleikanaal,Stalen brug,0

Artistieke_kunstwerken.8510,2021-02-19,5.40496824993708,52.1605573425344,B081.1,,,,,Bruggen,,POINT (52.16056080517168 5.404968304477518),Lage Weg-Ringweg Kruiskamp,Voorgespannen prefab elementen,0

Artistieke_kunstwerken.8511,2021-02-19,5.40501858291794,52.1604424048876,B081.2,,,,,Bruggen,,POINT (52.16044586674582 5.4050186360217065),Lage Weg-Ringweg Kruiskamp,Prefab betonliggers,0

Artistieke_kunstwerken.8512,2021-02-19,5.40366119662216,52.1636207076135,B082.1,,,,,Bruggen,,POINT (52.163624191083834 5.403661289374944),v. Randwijcklaan-Ringweg KRuis,Voorgespannen prefab elementen,0

Artistieke_kunstwerken.8513,2021-02-19,5.41235729541363,52.1664745109543,B102,,,,,Bruggen,,POINT (52.166477959565995 5.412357470960344),Brug in de parkstrook,Prefab betonliggers,0

