FID,entiteit,omschrijvi,vak_bagger,vak_naam,opname_vak,km2,actief,ngd_mv,ngd_lat,aanldp_lat,aanldpt_mv,bestandsna,se_anno_cad_data,gdb_geomattr_data,shape
monitoringsbebieden_noordzee.1,ribbel,Noord Hinder Ribbel,-,-,NH,0.0090325,nee,0,0,0,0,nhrib2009,,,"POLYGON ((495971.6001000004 5759190.7202, 495946.07990000024 5759142.0001, 495778.65020000003 5759229.010199999, 495803.7001 5759263.880100001, 495971.6001000004 5759190.7202))"
monitoringsbebieden_noordzee.2,ribbel,Eurogeul aanloop Ribbel,-,-,AG,0.01420583,nee,0,0,0,0,agrib2009,,,"POLYGON ((506735.99010000005 5759560.460200001, 506676.22009999957 5759478.1402, 506559.1599000003 5759569.289999999, 506620.18989999965 5759641.609999999, 506735.99010000005 5759560.460200001))"
monitoringsbebieden_noordzee.3,ankergebied,Kortverblijf Zeeankergebied,-,-,KV,39.70376442,ja,0,0,0,0,kv,,,"POLYGON ((497041.3901000004 5751123.0101, 488528.13599999994 5749830.221000001, 493633.5033 5755698.592700001, 499907.5667000003 5756580.775900001, 500075.5164999999 5755388.1602, 497041.3901000004 5751123.0101))"
monitoringsbebieden_noordzee.4,ribbel,Kortverblijf Zeeankergebied Ribbel,-,-,KV,0.71904083,nee,0,0,0,0,kvrib2009,,,"POLYGON ((500038.36980000045 5755022.210100001, 498425.5999999996 5752799.050100001, 498195.25 5752958.1899999995, 499843.49990000017 5755167.1302000005, 500038.36980000045 5755022.210100001))"
monitoringsbebieden_noordzee.5,ankergebied,Ankergebied 3A,-,-,Ank-3A,16.22635954,ja,0,0,0,0,ank3a,,,"POLYGON ((509473.0800999999 5759939.8101, 509559.2400000002 5763001.35, 514363.9400000004 5763396.3299, 515895.3200000003 5760843.870100001, 509473.0800999999 5759939.8101))"
monitoringsbebieden_noordzee.6,ankergebied,Ankergebied 3C, -,-,Ank-3C,18.76064011,ja,0,0,0,0,ank3c,,,"POLYGON ((508648.3300000001 5751879.9300999995, 509012.9801000003 5755279.029999999, 515514.0100999996 5756194.77, 514042.2801000001 5752974.720000001, 508648.3300000001 5751879.9300999995))"
monitoringsbebieden_noordzee.7,ankergebied,Ankergebied 3B,-,-,Ank-3B,22.80122681,ja,0,0,0,0,ank3b,,,"POLYGON ((530908.8700000001 5761194.57, 531228.8300000001 5764638.970000001, 538140.1201 5765172.350099999, 538331.8499999996 5762239.91, 530908.8700000001 5761194.57))"
monitoringsbebieden_noordzee.8,ankergebied,Ankergebied 4B-Noord,-,-,Ank-4Bn,45.0248618,ja,0,0,0,0,an_4bn,,,"POLYGON ((544246.5900999997 5751964.6702, 529256.2000000002 5747405.67, 530862.6497999998 5751104.2301, 543245.6501000002 5755033.229900001, 544246.5900999997 5751964.6702))"
monitoringsbebieden_noordzee.9,ankergebied,Ankergebied 4A,-,-,Ank-4A,32.91637723,ja,0,0,0,0,an_4a,,,"POLYGON ((556264.3701999998 5752678.550100001, 548511.8299000002 5751892.950200001, 548081.6299999999 5756097.0001, 555827.6898999996 5756881.970000001, 556264.3701999998 5752678.550100001))"
monitoringsbebieden_noordzee.10,zandwingebied,Zandwingebied S5-ss1,-,-,Zw-S5-ss1,15.12961741,ja,0,0,0,0,s5_ss1,,,"POLYGON ((540186.1100000003 5736600.8401, 535576.9199000001 5732066.800100001, 533798.3799999999 5733444.550000001, 538157.0602000002 5738078.780200001, 540186.1100000003 5736600.8401))"
monitoringsbebieden_noordzee.11,zandwingebied,Zandwingebied S5-H,-,-,Zw-S5-H,1.44763875,ja,0,0,0,0,s5h,,,"POLYGON ((535402.5100999996 5732219.270099999, 534940.6100000003 5732584.540100001, 536551.7801000001 5734369.800100001, 536976.2999999998 5733874.520099999, 535402.5100999996 5732219.270099999))"
monitoringsbebieden_noordzee.12,zandwingebied,Zandwingebied S7-U,-,-,Zw-S7-U,1.020142,ja,0,0,0,0,zws7u,,,"POLYGON ((518225.3700000001 5723584.4498, 518979.8799999999 5723082.600099999, 518197.18010000046 5722314.0701, 517369.6001000004 5722891.640000001, 518225.3700000001 5723584.4498))"
monitoringsbebieden_noordzee.13,zandwingebied,Zandwingebied S7-ss4,-,-,Zw-S7-ss4,9.29760024,ja,0,0,0,0,s7_ss4,,,"POLYGON ((511892.76680000033 5717704.3467999995, 512579.6819000002 5721107.731000001, 512919.3792000003 5721628.597100001, 516201.14439999964 5716837.6931, 511892.76680000033 5717704.3467999995))"
monitoringsbebieden_noordzee.14,zandwingebied,Zandwingebied S7-O,-,-,Zw-S7-O,0.9598784,ja,0,0,0,0,s7o,,,"POLYGON ((512890.51939999964 5719292.5447, 514457.1076999996 5718966.8573, 514334.9283999996 5718379.511399999, 512768.3702999996 5718705.2392, 512890.51939999964 5719292.5447))"
monitoringsbebieden_noordzee.15,mosselvanggebied,Mosselvanggebied Steile Hoek,-,-,Msl-Sthk,0.44950948,nee,0,0,0,0,mossel,,,"POLYGON ((553225.8601000002 5741956.4801, 552523.0201000003 5741335.5803, 552205 5741701.460100001, 552907.8399999999 5742312.360099999, 553225.8601000002 5741956.4801))"
