FID,omschr,type_conv,doseerinst,hectobord,toeritnr,toeritnaam,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
convergenties_kenmerk.1,,I,N,0.0#,,BS.'UTRECHTSE BRUG',R,30.80500031,002,KPK0001219239,I,,POINT (122655.88329999894 482691.2633999996)
convergenties_kenmerk.2,Niet indeelbaar,I,N,113.9r,,'WAALWIJK-CENTRUM'VBW. r,R,114.04699707,059,KPK0001203544,I,,POINT (131208.02259999886 411395.7908000015)
convergenties_kenmerk.3,Niet indeelbaar,I,N,0.0#,,'DRUNEN',R,122.76999664,059,KPK0001203549,I,,POINT (139719.76999999955 412146.76000000164)
convergenties_kenmerk.4,Pseudo Haarlemmermeer-aansluiting,I,N,12.4b,5a,'NUTH-CENTRUM'VBW. b,R,12.46000004,076,KPK0001223393,I,,POINT (190643.78350000083 325423.1185999997)
convergenties_kenmerk.5,Halfklaverblad-aansluiting,I,N,9.8b,4,'HULSBERG'VBW. b,R,9.97099972,079,KPK0001223445,I,,POINT (188018.17240000144 321410.36199999973)
convergenties_kenmerk.6,Pseudo Haarlemmermeer-aansluiting,I,N,0.0#,5,'KLIMMEN'VBW. b,R,13.56400013,079,KPK0001223448,I,,POINT (191552.97019999847 321230.48600000143)
convergenties_kenmerk.7,Haarlemmermeer-aansluiting,I,N,7.5b,,'ZWANENBURG'VBW. b,R,7.68900013,200,KPK0001223488,I,,POINT (110221.62180000171 488970.631000001)
convergenties_kenmerk.8,Haarlemmermeer-aansluiting,I,N,9.5b,,'KP.ROTTEPOLDERPLEIN'ALKMAAR VBW. b,R,9.69799995,200,KPK0001223490,I,,POINT (108238.44570000097 488730.0449000001)
convergenties_kenmerk.9,Pseudo Haarlemmermeer-aansluiting,C,N,11.3d,,'HAARLEM-CENTRUM'VBW. d,R,11.10599995,200,KPK0001223493,I,,POINT (106836.47789999843 488587.4043999985)
convergenties_kenmerk.10,,I,N,0.0#,,BUSBAAN,R,11.64599991,200,KPK0001223497,I,,POINT (106330.09670000151 488537.3779999986)
convergenties_kenmerk.11,Halfklaverblad-aansluiting,I,N,109.3b,36,'ZEEWOLDE'VBW. b,R,109.42099762,027,KPK0001149830,I,,POINT (151225.35649999976 480651.62099999934)
convergenties_kenmerk.12,Haarlemmermeer-aansluiting,I,N,114.2b,37,'ALMERE-HOUT'VBW. b,R,114.39199829,027,KPK0001149834,I,,POINT (151341.42709999904 485027.09010000154)
convergenties_kenmerk.13,Haarlemmermeer-aansluiting,I,N,5.2b,2,'GELEEN'VBW. b,R,5.296,076,KPK0001150476,I,,POINT (185189.75499999896 329390.27710000053)
convergenties_kenmerk.14,Pseudo Klaverbladknooppunt,I,N,17.6r,,'KP.KUNDERBERG'MAASTRICHT VBW. r (RW079),R,19.48800087,076,KPK0001150498,I,,POINT (195267.87629999965 320376.99650000036)
convergenties_kenmerk.15,,I,N,26.8n,,DOUANE EMPL.,R,26.73200035,076,KPK0001150507,I,,POINT (199728.5234999992 314835.4189000018)
convergenties_kenmerk.16,Klaverbladknooppunt,I,N,241.3e,,'KP.KERENSHEIDE'EINDHOVEN VBW. e(RW2),R,2.06399989,076,KPK0001150516,I,,POINT (182500.83909999952 330891.21400000155)
convergenties_kenmerk.17,Klaverbladknooppunt,I,N,241.0k,,'KP.KERENSHEIDE'MAASTRICHT VBW. k(RW2),R,2.73799992,076,KPK0001150517,I,,POINT (183195.89609999955 330941.60909999907)
convergenties_kenmerk.18,Pseudo Klaverbladknooppunt,I,N,17.7v,,KP.KUNDERBERG'EINDHOVEN VBW. v(RW79),R,19.05200005,076,KPK0001150522,I,,POINT (195054.52800000086 320756.90469999984)
