Nederlandse naam,Wetenschappelijke naam,Plantjaar,Leeftijd,Eigenaar,Buurt,Wijk,Boomnummer,X,Y,Lat,Long,Exportdatum
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Fruitbuurt,Noordwest,4082555,135807.586,457622.966,5.107057569005107,52.106511191251265,20201123
Gewone esdoorn,Acer pseudoplatanus,1963,57,Gemeentelijk,Landgoederen,,4082022,139579.151,453221.361,5.1623083962794265,52.06706759759002,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082508,135444.461,457433.331,5.101768087044911,52.104794059326665,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082509,135393.982,457469.302,5.101029228700657,52.10511557794523,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082510,135389.634,457463.35000000003,5.100966107438593,52.10506192788162,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082511,135433.176,457432.399,5.101603425145837,52.1047852838175,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082512,135527.452,457364.956,5.102983326248604,52.10418243629746,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082513,135402.997,457453.824,5.101161702060991,52.104976782270526,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082514,135492.014,457399.456,5.102464107341488,52.10449127161285,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082515,135382.298,457466.149,5.100858869759206,52.10508682511244,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082516,135400.129,457464.791,5.101119210084032,52.10507525115745,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082517,135485.4,457404.077,5.102367305775937,52.10453257164072,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082518,135374.97,457471.184,5.100751619994387,52.10513181949854,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082519,135472.935,457413.053,5.102184854018658,52.10461280758721,20201123
Soortnaam nader te bepalen,Soortnaam nader te bepalen,2019,1,Gemeentelijk,Bomenbuurt,Noordwest,4082520,135479.429,457408.286,5.1022799127807446,52.1045701912431,20201123
