gemcode;gm_naam;wijk;buurt;bu_naam;jaar;lbrmtr;lbm9802;lbm9806;lbm9808;lbm9810;lbm9812;lbm0206;lbm0208;lbm0210;lbm0212;lbm0608;lbm0610;lbm0612;lbm0810;lbm0812;lbm1012;bev;lftsam;publ;veilig;vrz;won
3;Appingedam;0;0;Appingedam-Centrum;1998;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-1,89148;-9,70163;7,19892;23,35096;-7,6898;-1,20929
3;Appingedam;0;0;Appingedam-Centrum;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6,9059;28,37228;8,00991;23,43546;17,44049;8,02651
3;Appingedam;0;0;Appingedam-Centrum;2006;5; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;,13569;2,46418;10,70035;17,9004;19,54267;6,15065
3;Appingedam;0;0;Appingedam-Centrum;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;,46857;8,60492;18,82843;23,33344;20,40008;10,13936
3;Appingedam;0;0;Appingedam-Centrum;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;9,03023;17,24917;18,55839;26,75904;15,70851;8,68197
3;Appingedam;0;0;Appingedam-Centrum;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;9,84101;14,80986;14,24585;25,91994;15,46606;6,85991
3;Appingedam;0;1;Appingedam-West;1998;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2,69669;-18,12662;10,92036;28,91225;-8,36075;12,32006
3;Appingedam;0;1;Appingedam-West;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;12,09379;10,88493;8,72906;30,89808;-30,85549;21,89049
3;Appingedam;0;1;Appingedam-West;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;8,22632;6,4201;7,92338;21,66075;-30,94108;22,43137
3;Appingedam;0;1;Appingedam-West;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;17,29625;6,3652;7,08515;20,7391;-31,55884;24,01735
3;Appingedam;0;1;Appingedam-West;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;15,49834;5,38876;19,38908;20,99523;-31,0905;24,71523
3;Appingedam;0;1;Appingedam-West;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;20,21378;-2,84056;13,97448;23,23932;-31,15082;24,99881
3;Appingedam;0;2;Appingedam-Oost;1998;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-31,61256;-19,34156;-11,90615;21,05275;-7,30478;-37,68423
3;Appingedam;0;2;Appingedam-Oost;2002;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-14,80036;5,9959;-13,93291;21,86368;-16,55172;-36,46832
3;Appingedam;0;2;Appingedam-Oost;2006;5; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-26,70727;9,96039;-8,67358;16,27049;-20,35566;-34,79251
3;Appingedam;0;2;Appingedam-Oost;2008;5; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;-15,69175;6,13096;-17,87987;16,52011;-20,40568;-29,47655
3;Appingedam;0;2;Appingedam-Oost;2010;5; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;-16,52049;6,87302;-11,79269;17,59399;-20,69094;-28,15798
3;Appingedam;0;2;Appingedam-Oost;2012;5; ; ; ; ;4; ; ; ;3; ; ;3; ;3;3;-11,13635;,55945;-18,11037;28,89142;-20,76267;-27,22529
3;Appingedam;0;7;Verspreide huizen Damsterdiep en Eemskanaal;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-13,01798;21,34822;12,57574;43,13405;-4,08356;30,82671
3;Appingedam;0;7;Verspreide huizen Damsterdiep en Eemskanaal;2002;6;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ;21,06645;36,23596;17,07804;39,50258;-33,31619;36,41932
3;Appingedam;0;7;Verspreide huizen Damsterdiep en Eemskanaal;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;29,51418;11,64143;13,36228;33,78941;-33,31619;36,36747
3;Appingedam;0;7;Verspreide huizen Damsterdiep en Eemskanaal;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;29,08498;6,26132;16,72509;26,45936;-33,31619;40,09644
3;Appingedam;0;7;Verspreide huizen Damsterdiep en Eemskanaal;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;29,40016;5,75045;-6,58336;9,57199;-33,31619;42,43753
3;Appingedam;0;7;Verspreide huizen Damsterdiep en Eemskanaal;2012;6; ; ; ; ;4; ; ; ;3; ; ;3; ;3;3;34,3091;2,53343;12,0978;27,72623;-33,31619;42,3234
3;Appingedam;0;8;Verspreide huizen ten zuiden van Eemskanaal;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13,42231;9,4146;-31,66657;28,78465;17,79008;23,25544
3;Appingedam;0;8;Verspreide huizen ten zuiden van Eemskanaal;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;22,10369;23,18915;-31,51803;24,51542;-32,78492;19,00614
3;Appingedam;0;8;Verspreide huizen ten zuiden van Eemskanaal;2010;6; ; ; ;3; ; ; ;3; ; ; ; ; ; ; ;11,5757;21,0081;-13,79088;30,68966;-33,04647;7,80074
3;Appingedam;0;8;Verspreide huizen ten zuiden van Eemskanaal;2012;6; ; ; ; ;3; ; ; ;3; ; ; ; ; ;3;18,19195;27,58956;-4,79371;40,56078;-33,31619;11,65378
3;Appingedam;0;9;Verspreide huizen ten noorden van het Damsterdiep;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-2,07747;,98537;-42,82062;28,05152;-7,34852;35,72964
3;Appingedam;0;9;Verspreide huizen ten noorden van het Damsterdiep;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;13,51007;11,76507;-42,80839;40,31657;-31,28919;38,52433
3;Appingedam;0;9;Verspreide huizen ten noorden van het Damsterdiep;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;-2,39395;44,84912;-42,0009;30,80098;-30,96435;42,02637
3;Appingedam;0;9;Verspreide huizen ten noorden van het Damsterdiep;2008;6; ; ;4; ; ; ;3; ; ;3; ; ; ; ; ;16,76615;44,856;-39,13823;38,05325;-32,36001;43,28636
3;Appingedam;0;9;Verspreide huizen ten noorden van het Damsterdiep;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;16,80384;36,80739;-35,66127;-5,95274;-31,87577;44,16732
3;Appingedam;0;9;Verspreide huizen ten noorden van het Damsterdiep;2012;6; ; ; ; ;4; ; ; ;3; ; ;3; ;3;3;13,58103;30,13399;-38,39656;38,09105;-32,26516;42,34042
5;Bedum;0;0;Bedum;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9,6447;-1,34297;2,97527;37,09788;17,2354;18,60016
5;Bedum;0;0;Bedum;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;19,16942;5,71557;1,32635;36,85081;-27,88545;25,51513
5;Bedum;0;0;Bedum;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;14,62634;1,80733;2,04849;35,26937;-27,32269;26,76165
5;Bedum;0;0;Bedum;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;22,40893;4,23169;7,93685;29,59054;-26,07719;25,6447
5;Bedum;0;0;Bedum;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;22,34234;7,0493;14,47808;23,59947;-26,87446;25,66375
5;Bedum;0;0;Bedum;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;24,78714;5,74383;1,41392;26,13682;-26,298;23,68135
5;Bedum;0;1;Verspreide huizen Bedum;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;16,55978;24,19315;-40,88939;38,12837;5,35394;48,64286
5;Bedum;0;1;Verspreide huizen Bedum;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;23,80804;24,22704;-40,91907;37,06488;-39,93552;47,53589
5;Bedum;0;1;Verspreide huizen Bedum;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;26,36631;31,8248;-40,32013;33,31396;-40,11579;47,97135
5;Bedum;0;1;Verspreide huizen Bedum;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;22,14773;29,57246;-45,25181;33,21775;-40,14063;47,8468
5;Bedum;0;1;Verspreide huizen Bedum;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;24,82514;26,54485;-34,24913;18,90923;-40,01258;47,83826
5;Bedum;0;1;Verspreide huizen Bedum;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;31,04042;13,72831;-37,48751;32,26717;-38,4668;46,91047
5;Bedum;0;2;Zuidwolde;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1,76669;14,67977;11,48286;38,24744;-17,34344;31,17747
5;Bedum;0;2;Zuidwolde;2002;6;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;15,94837;26,32424;11,01681;35,60802;-18,64387;30,73048
5;Bedum;0;2;Zuidwolde;2006;6; ;3; ; ; ;3; ; ; ; ; ; ; ; ; ;20,95717;-2,43118;13,75233;34,76789;-32,83611;30,09515
5;Bedum;0;2;Zuidwolde;2008;6; ; ;3; ; ; ;3; ; ;3; ; ; ; ; ;28,47302;-7,21374;-,52155;26,01714;-32,85601;32,89596
5;Bedum;0;2;Zuidwolde;2010;6; ; ; ;3; ; ; ;3; ; ;3; ;3; ; ;28,94101;2,0829;11,69419;28,57344;-32,7069;33,28935
5;Bedum;0;2;Zuidwolde;2012;6; ; ; ; ;3; ; ; ;3; ; ;3; ;3;3;32,05891;1,47835;7,2296;26,79501;-32,80241;32,06772
5;Bedum;0;3;Verspreide huizen Zuidwolde;1998;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-4,88268;31,65166;-36,06899;36,90836;-6,56359;48,67509
5;Bedum;0;3;Verspreide huizen Zuidwolde;2002;7;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;26,63117;31,806;-35,71204;41,04001;-29,856;48,19451
