FID,nummer,bwid_code,donarcode,eu_naam,x_coörd,y_coörd,etrs_89_n,etrs_89_e,rws_dienst,provincie,zwp_naam,eu_2014,eu_2015,eu_2016,eu_2017,eu_2018,eu_actueel,blauwalg,krw_code,krw_systee,type_water,gdb_geomattr_data,shape
zwemlocaties_rws_2020.1,37,NLBW91_CPPLGOU1,GOUDHMTP,HET GROENE EILAND STRAND MAASBOULEVARD,166522,427353,51.8347,5.5544,Zuid-Nederland,GELDERLAND,Campingpark Het Groene Eiland - Strand Maasboulevard,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,BW,,POINT (166522 427353)
zwemlocaties_rws_2020.2,38,NLBW91_CPPLGOU2,GOUDHHZLD,DE GOUDEN HAM HANZELAND,165993,426411,51.8262,5.5467,Zuid-Nederland,GELDERLAND,De Gouden Ham Hanzeland,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,BW,,POINT (165993 426411)
zwemlocaties_rws_2020.3,39,NLBW91_CPPLGOU3,GOUDHHSST,DE GOUDEN HAM DE MAASLANDEN,167070,426870,51.8303,5.5623,Zuid-Nederland,GELDERLAND,De Gouden Ham De Maaslanden,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,BW,,POINT (167070 426870)
zwemlocaties_rws_2020.4,40,NLBW91_CSCHGRE1,GREFFLNZDE,CAMPING DE SCHANS,162466,427476,51.8358,5.4955,Zuid-Nederland,GELDERLAND,De Greffeling,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL91BM,Bedijkte Maas,BW,,POINT (162466 427476)
zwemlocaties_rws_2020.5,41,NLBW92_ELBVELWSOT,ELBVELWSOT,RECREATIEOORD VELUWE STRANDBAD,184545,496250,52.4532153,5.82184199,Midden-Nederland,GELDERLAND,RECREATIEOORD VELUWE STRANDBAD,Aanvaardbaar,Goed,Goed,Goed,Goed,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (184545 496250)
zwemlocaties_rws_2020.6,42,NLBW92_HARDWVLWSD,HARDWVLWSD,DOLFINARIUM,170504,485299,52.3554,5.6148,Midden-Nederland,GELDERLAND,DOLFINARIUM,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (170503.7386999987 485298.73970000073)
zwemlocaties_rws_2020.7,43,NLBW92_HOOPHZN,HOOPHZN,DROOMPARK BAD HOOPHUIZEN,176736,488592,52.3848,5.7065,Midden-Nederland,GELDERLAND,Hoophuizen,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (176735.67610000074 488592.0282000005)
zwemlocaties_rws_2020.8,44,NLBW92_HORSTBSD,HORSTBSD,STRAND HORST,166654,480140,52.3091,5.5581,Midden-Nederland,GELDERLAND,Strand Horst,Uitstekend,Uitstekend,Uitstekend,Goed,Uitstekend,Uitstekend,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (166654.0821999982 480139.92240000144)
zwemlocaties_rws_2020.9,45,NLBW92_NULDBSD,NULDBSD,STRAND NULDE NOORD,165597,477085,52.2817,5.5425,Midden-Nederland,GELDERLAND,Strand Nulde Noord,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (165597.3883999996 477084.7188999988)
zwemlocaties_rws_2020.10,46,NLBW92_OUDPL,OUDPL,DE OUDE POL,178088,489452,52.3924,5.7264,Midden-Nederland,GELDERLAND,DE OUDE POL,Goed,Goed,Aanvaardbaar,Slecht,Slecht,Wijziging,nee,NL92_RANDMEREN_OOST,Randmeren-Oost,BW,,POINT (178088.44460000098 489452.40370000154)
zwemlocaties_rws_2020.11,47,NLBW93_CBVRBIJLA,BIJLND,WATERSPORTCENTRUM DE BIJLAND,202689,430955,51.8651,6.0796,Oost-Nederland,GELDERLAND,Watersportcentrum De Bijland,Aanvaardbaar,Aanvaardbaar,Goed,Goed,Goed,Goed,ja,NL93_8,"Bovenrijn, Waal",BW,,POINT (202688.61499999836 430955.1339999996)
zwemlocaties_rws_2020.12,48,NLBW93_CIJSGIESS,RHEDLGSKP,RHEDERLAAG GIESE KOP,201100,445100,51.9924,6.0584,Oost-Nederland,GELDERLAND,Rhederlaag Giese Kop,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,ja,NL93_IJSSEL,IJssel,BW,,POINT (201100 445100)
zwemlocaties_rws_2020.13,49,NLBW93_CIJSSCHER,SCHERPHF,RECREATIEPARK DE SCHERPENHOF,203610,479150,52.2982,6.0998,Oost-Nederland,GELDERLAND,IJSSEL DE SCHERPENHOF,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,BW,,POINT (203610 479150)
zwemlocaties_rws_2020.14,50,NLBW93_CIJSSTRAN,DOESBFTWD,CAMPING IJSSELSTRAND,208005,449455,52.0309,6.1596,Oost-Nederland,GELDERLAND,IJSSELSTRAND,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,BW,,POINT (208005 449455)
zwemlocaties_rws_2020.15,51,NLBW93_CNDRMAURI,EILDMAURK,STRAND EILAND VAN MAURIK,157354,442980,51.9752,5.4215,Oost-Nederland,GELDERLAND,EILAND VAN MAURIK,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_7,Nederrijn/Lek,BW,,POINT (157354 442980)
zwemlocaties_rws_2020.16,52,NLBW93_CNDRZWANE,ZWANWTR,ZWANENBAD,193615,438878,51.937,5.9487,Oost-Nederland,GELDERLAND,ZWANENBAD,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_7,Nederrijn/Lek,BW,,POINT (193615 438878)
zwemlocaties_rws_2020.17,53,NLBW93_CWALBEMME,BEMMSWD,BEMMELSE WAARD,190280,432695,51.8817,5.8996,Oost-Nederland,GELDERLAND,BEMMELSE WAARD,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_8,"Bovenrijn, Waal",BW,,POINT (190280 432695)
zwemlocaties_rws_2020.18,54,NLBW93_CWALBISOS,BISBOT,DE BISONBAAI,192654,431134,51.86748256,5.93390692,Oost-Nederland,GELDERLAND,DE BISONBAAI,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL93_8,"Bovenrijn, Waal",BW,,POINT (192654.08449999988 431133.8913999982)
zwemlocaties_rws_2020.19,55,NLBW91_DENWDNBSD,DENWDNBSD,DE NESWAARDEN,136230,421925,51.7857,5.1152,Zuid-Nederland,GELDERLAND,De Neswaarden,Goed,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,ja,NL94_5,Beneden Maas,BW,,POINT (136230 421925)
zwemlocaties_rws_2020.20,56,NLBW91_DERSCPBSD,DERSCPBSD,DE RIETSCHOOF,136972,420929,51.7767,5.126,Zuid-Nederland,GELDERLAND,De Rietschoof,Slecht,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,ja,NL94_5,Beneden Maas,BW,,POINT (136972 420929)
zwemlocaties_rws_2020.21,57,NLBW91_WELLBSD,WELLBSD,STRANDBAD WELL,141102,417666,51.7475,5.186,Zuid-Nederland,GELDERLAND,Well badstrand-einde Dode arm,Goed,Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL94_5,Beneden Maas,BW,,POINT (141102 417666)
zwemlocaties_rws_2020.22,58,NLBW93_RHEDLNOVR,RHEDLNOVR,RHEDERLAAG NOORDOEVER,200290,446195,52.0023,6.0468,Oost-Nederland,GELDERLAND,RHEDERLAAG NOORDOEVER,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,nee,NL93_IJSSEL,IJssel,BW,,POINT (200290 446195)
zwemlocaties_rws_2020.23,59,NLBW93_RHEDLBSSD,RHEDLBSSD,RHEDERLAAG BAHRSCHE STRAND,199966,444530,51.9873,6.0418,Oost-Nederland,GELDERLAND,RHEDERLAAG BAHRSESTRAND,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Goed,Goed,nee,NL93_IJSSEL,IJssel,BW,,POINT (199966 444530)
zwemlocaties_rws_2020.24,60,NLBW91_GOUDGNELD ,GOUDGNELD,DE GOUDEN HAM CAMPING HET GROENE EILAND,166126,427343,51.8346,5.5486,Zuid-Nederland,GELDERLAND,De Gouden Ham Campingpark Het Groene Eiland,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91BM,Bedijkte Maas,BW,,POINT (166126 427343)
zwemlocaties_rws_2020.25,62,NLBW81_DELFZBSD,DELFZBSD,"ZEESTRAND EEMSHOTEL, DELFZIJL",257864,595370,53.3348,6.9314,Noord-Nederland,GRONINGEN,"Zeestrand Eemshotel, Delfzijl",Slecht,Aanvaardbaar,Goed,Goed,Gesloten,Aanvaardbaar,nee,NL81_2,Eems-Dollard,KO,,POINT (257864 595370)
zwemlocaties_rws_2020.26,63,NLBW81_TERMTZBSD,TERMTZBSD,ZEESTRAND TERMUNTEN,264616,591963,53.3029,7.0315,Noord-Nederland,GRONINGEN,Zeestrand Termunten,Slecht,Slecht,Wijziging,Goed,Aanvaardbaar,Slecht,nee,NL81_2,Eems-Dollard,KO,,POINT (264616 591963)
zwemlocaties_rws_2020.27,64,NLBW91_CBRAND50,DAGSDKSZZ,"DE KIS ZUID, PLAS EILAND",187932,349851,51.1372,5.8577,Zuid-Nederland,LIMBURG,"De Kis Zuid, Plas Eiland",Goed,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,BW,,POINT (187932 349851)
zwemlocaties_rws_2020.28,65,NLBW91_CBRAND80,DAGSDKSNZ,"DE KIS NOORD, PLAS BRANDT",188053,350023,51.1387,5.8595,Zuid-Nederland,LIMBURG,BRANDT DAGSTRAND DE KIS NOORDZ. D2,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,BW,,POINT (188053 350023)
zwemlocaties_rws_2020.29,66,NLBW91_CDILKE35,DIKLPS,DILKENSPLAS,185144,346909,51.1109,5.8176,Zuid-Nederland,LIMBURG,Dagstrand Dilkensplas 2 D2,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,Uitstekend,ja,NL91GM,Grensmaas,BW,,POINT (185144 346909)
zwemlocaties_rws_2020.30,67,NLBW91_CDOUVE30,CAMPBTNSN,RECREATIESTRAND VELMANS/NIESSEN/VAN ASS,196171,357838,51.2084,5.9764,Zuid-Nederland,LIMBURG,Recreatiestrand Camping Barten/Niessen,Goed,Goed,Uitstekend,Goed,Uitstekend,Uitstekend,ja,NL91ZM,Zandmaas,BW,,POINT (196171 357838)
