Leverancier;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Athlon Car Lease Nederland B.V.;;;2;2
bijHanz, B.V.;;1;;1
Cargo Security Systems B.V.;;;1;1
Dudok Den Haag B.V.;;1;;1
Fletcher Hotel Restaurant Doorwerth-Arnhem;;1;;1
GH Catering B.V.;;1;;1
Het Kookplein;;1;;1
Hotel Restaurant Huiskamercafé Oortjeshekken;;1;;1
Ipse de Bruggen;;1;;1
Leaseplan Nederland N.V.;;;8;8
MDI Consultants;;1;;1
Meetingselect B.V.;;6;;6
NS Reizigers B.V.;1;;;1
Party Service Party-Point;;1;;1
Shuttel B.V.;4;;;4
SpiZe B.V.;;1;;1
St. Helenaheuvel;;1;;1
Tilkema Horeca B.V.;;1;;1
Vermaat Leisure B.V.;;1;;1
Worldmeetings.com B.V.;;1;;1
Eindtotaal;4;6;8;8
