TYPE,latitude,longitude
bovengronds,52.500841,5.4717108
bovengronds,52.5100699,5.47335
bovengronds,52.5061025,5.4782209
bovengronds,52.5061006,5.4781716
bovengronds,52.4936648,5.5005695
bovengronds,52.5113222,5.4753597
ondergronds,52.5205608,5.4841172
ondergronds,52.5205438,5.4841191
ondergronds,52.5194644,5.48239
ondergronds,52.5092783,5.4778557
ondergronds,52.5092669,5.4778782
ondergronds,52.5019596,5.4893948
ondergronds,52.5015891,5.4885723
ondergronds,52.5001334,5.4193918
ondergronds,52.5014777,5.4718207
ondergronds,52.5014762,5.4717919
ondergronds,52.5008453,5.4717491
ondergronds,52.5031037,5.461732
ondergronds,52.5031048,5.4617607
ondergronds,52.510531,5.448021
ondergronds,52.5099293,5.4480097
ondergronds,52.5179864,5.4609105
ondergronds,52.5179883,5.4608811
ondergronds,52.5173513,5.4599385
ondergronds,52.5173341,5.4599365
ondergronds,52.5230028,5.4624798
ondergronds,52.5137672,5.5026564
ondergronds,52.5137467,5.502658
ondergronds,52.4939142,5.4914063
