FID,fid_bps_ba,id,et_id,fid_bps__1,id_1,et_id_1,etp_type,oid_,fid_2,cnt_fid_2,min_zcoor,max_zcoor,ave_zcoor,near_fid,near_dist,ahn_med,near_regio,verf_ahn,verfh_klas,dist_klas,risc_klas,risc_kla_1,risico,risc_naam,se_anno_cad_data,gdb_geomattr_data,shape
blue_spots_overstromingsrisico.1,0,0,0,43,0,45,Original,35,43,105,1.737,1.985,1.8705,10977,10499.170377,1.19,2964,0.55,4,10,14,14,1,very small,,,"LINESTRING (26375.49199999869 374707.2520000003, 26463.745000001043 374766.43499999866, 26568.971000000834 374832.46499999985, 26691.170000001788 374905.3420000002, 26801.5709999986 374968.5859999992)"
blue_spots_overstromingsrisico.2,0,0,0,457,0,490,Original,445,457,132,1.24,1.81,1.4751,10977,10159.1195715,1.34,2639,-0.1,6,10,16,16,3,moderate,,,"LINESTRING (26801.5709999986 374968.5859999992, 26830.34200000018 374985.06700000167, 26986.48699999973 375071.63899999857, 27159.605000000447 375165.05700000003, 27240.70600000024 375207.6160000004)"
blue_spots_overstromingsrisico.3,0,0,0,458,0,853,Original,446,458,121,1.368,2.187,1.8211,10977,10004.9767847,1.34,2501,0.03,5,10,15,15,2,small,,,"LINESTRING (27240.70600000024 375207.6160000004, 27451.10599999875 375318.0240000002)"
blue_spots_overstromingsrisico.4,1,0,1,2,0,43,Original,0,0,0,0,0,0,10977,8280.89143743,0.89,857,-0.89,6,10,16,16,3,moderate,,,"LINESTRING (26785.164999999106 377297.813000001, 26803.787999998778 377201.9270000011, 26811.97599999979 377152.47399999946, 26826.79300000146 377051.8049999997, 26840.133999999613 376950.0709999986, 26857.947999998927 376803.3110000007)"
blue_spots_overstromingsrisico.5,1,0,1,41,0,42,Original,0,0,0,0,0,0,10977,8725.20682131,1.1,1249,-1.1,6,10,16,16,3,moderate,,,"LINESTRING (26857.947999998927 376803.3110000007, 26882.870000001043 376597.98999999836, 26896.778999999166 376499.3999999985, 26904.68100000173 376450.2270000018, 26923.35399999842 376351.58100000024, 26932.903999999166 376309.2410000004)"
blue_spots_overstromingsrisico.6,1,0,1,42,0,44,Original,34,42,160,1.862,3.522,2.8921,10977,9174.19750283,1.1,1653,0.76,3,10,13,13,1,very small,,,"LINESTRING (26932.903999999166 376309.2410000004, 26934.57800000161 376301.8200000003, 26947.39600000158 376251.53400000185, 26962.079999998212 376200.5170000009, 26978.916999999434 376148.53500000015, 26998.201999999583 376095.3229999989, 27020.23699999973 376040.58999999985, 27045.326999999583 375984.006000001, 27073.76900000125 375925.2120000012, 27105.85300000012 375863.8060000017, 27115.93499999866 375845.7529999986)"
blue_spots_overstromingsrisico.7,1,0,1,458,0,853,Original,446,458,121,1.368,2.187,1.8211,10977,9917.976501,1.34,2407,0.03,5,10,15,15,2,small,,,"LINESTRING (27381.813000001013 375422.4990000017, 27451.10599999875 375318.0240000002)"
blue_spots_overstromingsrisico.8,1,0,1,539,0,586,Original,524,539,145,1.852,2.344,2.1936,10977,9570.40552987,1.34,2036,0.51,4,10,14,14,1,very small,,,"LINESTRING (27115.93499999866 375845.7529999986, 27141.85099999979 375799.34800000116, 27182.00800000131 375731.35599999875, 27226.541999999434 375659.30000000075, 27275.625 375582.6000000015, 27381.813000001013 375422.4990000017)"
blue_spots_overstromingsrisico.9,2,0,2,29,0,30,Original,24,29,85,4.059,4.502,4.2221,10973,946.22697792,-1.51,946,5.57,1,40,41,41,1,very small,,,"LINESTRING (30638.16000000015 385556.4930000007, 30634.1259999983 385536.90900000185, 30626.563000001013 385488.6779999994, 30622.18200000003 385445.1099999994, 30620.77199999988 385405.8990000002, 30622.120000001043 385370.73900000006, 30626.015000000596 385339.3229999989, 30632.245000001043 385311.34600000083, 30640.598000001162 385286.5009999983, 30650.86400000006 385264.48099999875, 30662.82899999991 385244.98000000045, 30676.28200000152 385227.69200000167, 30691.01099999994 385212.30999999866, 30706.804999999702 385198.52899999917, 30723.451999999583 385186.04199999943)"
blue_spots_overstromingsrisico.10,2,0,2,439,0,472,Original,427,439,186,3.984,4.718,4.4538,10973,873.42350751,-1.51,543,5.49,1,40,41,41,1,very small,,,"LINESTRING (30793.95699999854 386030.83999999985, 30758.19000000134 385941.38699999824, 30727.085999999195 385858.7410000004, 30700.436000000685 385782.59699999914, 30678.026000000536 385712.6479999982, 30659.64600000158 385648.5879999995, 30645.083000000566 385590.1099999994, 30638.16000000015 385556.4930000007)"
