FID,entiteit_separatiezone,naam_separatiezone,se_anno_cad_data,gdb_geomattr_data,shape
separatiezones.1,AreaToBeAvoided,Te vermijden gebied bij Maas Noord,,,"POLYGON ((558559.8372999998 5784467.1623, 555029.1827999996 5784426.6862, 554967.3898 5789987.981000001, 558493.8471999997 5790028.7389, 558559.8372999998 5784467.1623))"
separatiezones.2,AreaToBeAvoided,Te vermijden gebied bij IJmuiden Noord Aanloop,,,"POLYGON ((524973.9097999996 5800253.1, 522397.06989999954 5800240.719900001, 522383.3298000004 5803262.4504, 524958.5998999998 5803274.83, 524973.9097999996 5800253.1))"
separatiezones.3,AreaToBeAvoided,Te vermijden gebied bij De Ruyter,,,"POLYGON ((570318.4245999996 5822322.4638, 570268.5771000003 5825782.974199999, 573222.1005999995 5824682.8235, 573274.3707999997 5821191.3719999995, 570318.4245999996 5822322.4638))"
separatiezones.4,Seperatiezone,Maas West Binnen VSS,,,"POLYGON ((540570.1880999999 5757959.4121, 540569.5897000004 5757959.2852, 528385.8787000002 5755367.2699, 528803.5643999996 5759433.793500001, 528803.5652000001 5759433.801000001, 528902.3790999996 5759447.7171, 529892.6014999999 5759587.171700001, 530882.8234000001 5759726.6259, 531873.0456999997 5759866.0801, 532863.2688999996 5760005.5342999995, 532864.0261000004 5760005.6414, 533853.4907999998 5760144.9889, 534074.8529000003 5760176.1635, 534074.9687999999 5760176.1337, 538359.0618000003 5759066.0462, 538359.8295 5759065.8552, 538382.6209000004 5759060.191500001, 538385.1933000004 5759059.551899999, 538387.7504000003 5759058.9702, 538410.6887999997 5759053.7534, 538411.4491999997 5759053.580499999, 538413.5544999996 5759053.1459, 538434.9982000003 5759048.716600001, 538435.0060999999 5759048.7151999995, 538437.8191 5759048.134, 538439.3256999999 5759047.8544, 538462.2386999996 5759043.5963, 538464.2922 5759043.214400001, 538467.1469 5759042.742900001, 538490.5125000002 5759038.881200001, 538490.5256000003 5759038.879000001, 538490.8584000003 5759038.824100001, 538490.9440000001 5759038.811899999, 538514.7063999996 5759035.3697999995, 538514.7104000002 5759035.3694, 538517.5071 5759034.964199999, 538519.6177000003 5759034.701300001, 538542.852 5759031.8079, 538544.2269000001 5759031.636700001, 538546.9590999996 5759031.3518, 538568.6456000004 5759029.089299999, 538571.0082 5759028.842599999, 538571.9353 5759028.7645, 538595.3518000003 5759026.793, 538597.8394999998 5759026.5836, 538600.4857000001 5759026.413799999, 538624.0412999997 5759024.902799999, 538624.0453000003 5759024.9023, 538624.7107999995 5759024.8598, 538626.6584999999 5759024.773700001, 538648.7427000003 5759023.7992, 538648.7457999997 5759023.798800001, 538651.6109999996 5759023.6723, 538653.2483999999 5759023.6328, 538676.5493999999 5759023.069599999, 538678.5296999998 5759023.0218, 538681.4643000001 5759023.009500001, 538704.4707000004 5759022.9125, 538705.4557999996 5759022.9081, 538705.7204999998 5759022.9125, 538729.5580000002 5759023.2873, 538732.3788999999 5759023.331700001, 538734.6360999998 5759023.4120000005, 538734.6387999998 5759023.4124, 538758.0389999999 5759024.247400001, 538759.2883000001 5759024.2917, 538761.9419999998 5759024.4397, 538761.9480999997 5759024.440099999, 538783.6635999996 5759025.649, 538786.1732000001 5759025.7886, 538787.2132000001 5759025.867699999, 538787.2144999998 5759025.867699999, 538810.5971999997 5759027.637599999, 538813.023 5759027.821599999, 538815.7445999999 5759028.0823, 538815.7511999998 5759028.082800001, 538839.3147999998 5759030.340399999, 538839.8266000003 5759030.3892, 538841.4280000003 5759030.5748, 538863.7580000004 5759033.164799999, 538866.5736999996 5759033.491, 538868.2585000005 5759033.7206, 538868.2624000004 5759033.7214, 538891.4167999998 5759036.876, 538893.2534999996 5759037.1262, 538896.1064999998 5759037.5726, 538896.1147999996 5759037.573899999, 538918.6124999998 5759041.097200001, 538919.8561000004 5759041.292099999, 538920.2156999996 5759041.355699999, 538920.2165000001 5759041.355699999, 538943.6524 5759045.5067, 538946.3695999999 5759045.988299999, 538948.6509999996 5759046.439099999, 538948.6550000003 5759046.4399999995, 538971.6157999998 5759050.980799999, 538972.7847999996 5759051.2117, 538975.3532999996 5759051.7732, 538996.5730999997 5759056.4114, 538999.0902000004 5759056.9615, 539000.2139999997 5759057.230599999, 539022.9474999998 5759062.676999999, 539025.2753999997 5759063.2345, 539027.9751000004 5759063.9386, 539027.9790000003 5759063.9395, 539050.9859999996 5759069.9386, 539051.3310000002 5759070.0286, 539052.5092000002 5759070.361300001, 539074.4256999996 5759076.545700001, 539077.2452999996 5759077.3411, 539079.0438000001 5759077.887599999, 539101.3680999996 5759084.670299999, 539103.0089999996 5759085.169, 539105.7105 5759086.0491, 539105.7161999997 5759086.050899999, 539127.1251999997 5759093.025, 539128.6112000002 5759093.509199999, 539129.0729999999 5759093.6698, 539129.0761000002 5759093.670700001, 539151.4819999998 5759101.4673999995, 539154.0422 5759102.358100001, 539156.3442000002 5759103.211100001, 539178.3463000003 5759111.362500001, 539179.2914000005 5759111.7128, 539181.557 5759112.6039, 539201.8465999998 5759120.5846, 539204.3492 5759121.5688000005, 539205.5186999999 5759122.056, 539205.5196000002 5759122.056500001, 539227.0853000004 5759131.0397, 539229.2050999999 5759131.923, 539231.8013000004 5759133.0656, 539231.8092 5759133.0691, 539253.6360999998 5759142.6767, 539253.8498999998 5759142.7706, 539254.6370000001 5759143.136299999, 539275.6350999996 5759152.883400001, 539278.2734000003 5759154.1077, 539280.0377000002 5759154.969799999, 539300.9852999998 5759165.2064, 539302.4655999998 5759165.9298, 539305.0274999999 5759167.2455, 539305.0323000001 5759167.2480999995, 539324.7333000004 5759177.367000001, 539326.4176000003 5759178.231799999, 539326.9825999998 5759178.536499999, 539326.9839000003 5759178.536900001, 539347.8121999996 5759189.7656, 539350.119 5759191.009199999, 539352.3055999996 5759192.244899999, 539372.7980000004 5759203.825200001, 539373.5614 5759204.2567, 539375.4819999998 5759205.393200001, 539375.4907 5759205.398499999, 539394.3761 5759216.5736, 539396.7346999999 5759217.9695999995, 539397.9182000002 5759218.7018, 539397.9190999996 5759218.702199999, 539417.7824999997 5759230.9980999995, 539419.6297000004 5759232.1416, 539422.0476000002 5759233.7052, 539442.1449999996 5759246.706900001, 539442.2379999999 5759246.767100001, 539442.6036999999 5759247.0142, 539442.6058999998 5759247.016000001, 539462.1624999996 5759260.228399999, 539464.5495999996 5759261.8412, 539466.2374999998 5759263.0308, 539485.3265000004 5759276.489499999, 539486.5560999997 5759277.3565, 539488.8313999996 5759279.0295, 539488.8378999997 5759279.034700001, 539506.5332000004 5759292.046499999, 539508.2492000004 5759293.308599999, 539508.8607000001 5759293.777000001, 539508.8619999997 5759293.777899999, 539527.5669 5759308.115800001, 539529.6195999999 5759309.6896, 539531.6358000003 5759311.299699999, 539531.6376 5759311.301000001, 539550.0883 5759326.037599999, 539550.659 5759326.4936999995, 539552.2121000001 5759327.785599999, 539569.1875 5759341.9076000005, 539571.3591 5759343.714, 539572.5100999996 5759344.710899999, 539590.1891000001 5759360.024700001, 539591.7115000002 5759361.3434, 539593.8198999995 5759363.245100001, 539593.8207999999 5759363.2455, 539611.4775 5759379.167300001, 539611.7083999999 5759379.3758000005, 539611.7644999996 5759379.4285, 539629.2895 5759395.8771, 539631.3416999998 5759397.803300001, 539632.8777000001 5759399.303300001, 539632.8811999997 5759399.3072999995, 539649.6327 5759415.6702, 539650.6036999999 5759416.6184, 539652.5005000001 5759418.5473, 539667.9534999998 5759434.256200001, 539669.4859999996 5759435.8146, 539670.0653999997 5759436.4274, 539670.0675999997 5759436.4296, 539686.2783000004 5759453.580499999, 539687.9824000001 5759455.382999999, 539689.7452999996 5759457.324100001, 539689.7467 5759457.3259, 539705.6701999996 5759474.8605, 539706.0845999997 5759475.3166000005, 539707.2869999995 5759476.695, 539721.9036999997 5759493.4504, 539723.7856000001 5759495.607100001, 539724.8324999996 5759496.856899999, 539739.8057000004 5759514.7282, 539741.0783000002 5759516.2466, 539742.9189999998 5759518.535499999, 539757.4386 5759536.5846, 539757.9557999996 5759537.2272, 539758.0904999999 5759537.401900001, 539772.6708000004 5759556.285499999, 539774.4113999996 5759558.540100001, 539775.7664999999 5759560.3694, 539789.6864999998 5759579.1612, 539790.4389000004 5759580.176999999, 539791.9797999999 5759582.346000001, 539791.9828000003 5759582.350400001, 539804.6109999996 5759600.1291000005, 539806.0318999998 5759602.1291000005, 539806.6123000002 5759602.982000001, 539819.8146000002 5759622.377, 539821.1837999998 5759624.388, 539822.6802000003 5759626.683800001, 539822.6810999997 5759626.6851, 539835.5876000002 5759646.483100001, 539835.8887 5759646.944499999, 539836.7999999998 5759648.4059, 539848.6160000004 5759667.3465, 539850.1405999996 5759669.7903, 539851.0378999999 5759671.2947, 539862.9948000005 5759691.3407000005, 539863.9342 5759692.9153, 539865.3586999997 5759695.4153, 539865.3613999998 5759695.4197, 539876.7340000002 5759715.380999999, 539877.2638999997 5759716.310799999, 539877.4108999996 5759716.581599999, 539877.4113999996 5759716.582, 539888.8098999998 5759737.5503, 539890.1242000004 5759739.967800001, 539891.1996999998 5759742.044199999, 539901.9744999995 5759762.8422, 539902.5099999998 5759763.8763999995, 539903.6688999999 5759766.2267, 539913.2773000002 5759785.7161, 539914.4168999996 5759788.0273, 539914.9033000004 5759789.0659, 539924.8695 5759810.340600001, 539925.8392000003 5759812.4109000005, 539926.9379000003 5759814.883199999, 539936.6381000001 5759836.7128, 539936.7732999995 5759837.0174, 539937.2158000004 5759838.0692, 539937.2165999999 5759838.071, 539946.0954 5759859.1776, 539947.2143999999 5759861.8368999995, 539947.9075999996 5759863.581, 539947.9079999998 5759863.5823, 539956.5274 5759885.272299999, 539957.1585999997 5759886.860099999, 539958.1648000004 5759889.5471, 539966.0610999996 5759910.634299999, 539966.6010999996 5759912.076400001, 539966.7613000004 5759912.5316, 539974.6475999998 5759934.941500001, 539975.5395999998 5759937.476199999, 539976.2993999999 5759939.781300001, 539976.2999 5759939.783, 539983.6492999997 5759962.078400001, 539983.9693 5759963.049000001, 539984.6953999996 5759965.4098000005, 539991.0869000005 5759986.1844999995, 539991.8871999998 5759988.785, 539992.2432000004 5759990.029999999, 539998.6662999997 5760012.4921, 539999.2900999999 5760014.673800001, 540000.0187999997 5760017.427999999, 540000.0206000004 5760017.4350000005, 540006.1311999997 5760040.5381000005, 540006.1754999999 5760040.7049, 540006.3256999999 5760041.323000001, 540006.3291999996 5760041.3375, 540011.8620999996 5760064.079700001, 540012.5403000005 5760066.8685, 540012.9652000004 5760068.7807, 540012.9656999996 5760068.782, 540018.0226999996 5760091.536599999, 540018.3817999996 5760093.1537999995, 540018.9585999995 5760096.015900001, 540023.3185999999 5760117.6642, 540023.6983000003 5760119.550000001, 540023.8146000002 5760120.194499999, 540028.0160999997 5760143.4406, 540028.4870999996 5760146.0473, 540028.8875000002 5760148.5469, 540028.8882999998 5760148.5517, 540032.6078000003 5760171.7698, 540032.7465000004 5760172.634500001, 540033.0617000004 5760174.8891, 540036.0866999999 5760196.527799999, 540036.4742999999 5760199.3017, 540036.6429000003 5760200.7108, 540039.4199000001 5760223.9443, 540039.6700999998 5760226.037699999, 540039.9462000001 5760228.816, 540039.9462000001 5760228.818700001, 540042.3277000003 5760252.790899999, 540042.3316000002 5760252.832599999, 540042.3448000001 5760252.9986000005, 540042.3453000002 5760253.0043, 540044.2311000004 5760276.8036, 540044.4584999997 5760279.674900001, 540044.5810000002 5760281.743799999, 540045.9611 5760305.062899999, 540046.0493999999 5760306.554099999, 540046.1595999999 5760309.3561, 540046.1595999999 5760309.3596, 540047.0225999998 5760331.374, 540047.1042 5760333.460000001, 540047.1187000005 5760334.220799999, 540047.1187000005 5760334.2234000005, 540047.5730999997 5760357.8445, 540047.6217999998 5760360.3813000005, 540047.6200000001 5760362.930500001, 540047.6200000001 5760362.9322999995, 540047.6029000003 5760386.5744, 540047.6025 5760387.3079, 540047.5603 5760389.339500001, 540047.1037999997 5760411.438200001, 540047.0462999996 5760414.228800001, 540046.9847999997 5760415.733200001, 540046.9847999997 5760415.7358, 540046.0366000002 5760439.0737, 540045.9532000003 5760441.132999999, 540045.7780999998 5760444.017899999, 540044.3509999998 5760467.556, 540044.3233000003 5760468.0099, 540044.3141000001 5760468.1236000005, 540042.3838999998 5760492.051999999, 540042.1583000002 5760494.849199999, 540041.9431999996 5760496.9826, 540041.9426999995 5760496.987400001, 540039.5946000004 5760520.285, 540039.4581000004 5760521.6401, 540039.131 5760524.3411, 540036.4906000001 5760546.168500001, 540036.2241000002 5760548.3718, 540036.1030000001 5760549.2291, 540036.1025 5760549.2313, 540032.8075000001 5760572.556500001, 540032.4577000001 5760575.0331999995, 540032.0332000004 5760577.658299999, 540032.0327000003 5760577.6622, 540028.2566 5760601.018999999, 540028.1601 5760601.614700001, 540027.8373999996 5760603.3851, 540023.8536999999 5760625.249, 540023.3334999997 5760628.105, 540022.9994000001 5760629.7511, 540018.3634000001 5760652.5996, 540017.9792 5760654.493799999, 540017.3524000002 5760657.2958, 540012.3154999996 5760679.805400001, 540012.0996000003 5760680.770199999, 540012.0350000001 5760681.0353999995, 540006.3682000004 5760704.1854, 540005.6974999998 5760706.924699999, 540005.1118999999 5760709.1261, 539999.0948000001 5760731.7436999995, 539998.7747999998 5760732.9461, 539998.0455999998 5760735.482000001, 539998.0443000002 5760735.4869, 539992.0109999999 5760756.4714, 539991.3344999999 5760758.823899999, 539991.0294000003 5760759.810699999, 539984.0843000002 5760782.270300001, 539983.3797000004 5760784.548599999, 539982.5387000004 5760787.0876, 539975.0602000002 5760809.665200001, 539974.9130999995 5760810.1095, 539974.4088000003 5760811.5362, 539974.4073999999 5760811.5405, 539966.8996000001 5760832.777899999, 539965.9386 5760835.496099999, 539965.3267000001 5760837.1238, 539957.0963000003 5760859.0065, 539956.4598000003 5760860.699200001, 539955.4030999998 5760863.3463, 539955.4013999999 5760863.3507, 539946.9786999999 5760884.457699999, 539946.4795000004 5760885.707900001, 539946.3236999996 5760886.077099999, 539946.3233000003 5760886.078, 539937.0822999999 5760907.9572, 539936.0033 5760910.512499999, 539935.0423999997 5760912.666099999, 539935.0411 5760912.669600001, 539925.4809999997 5760934.101, 539925.0335999997 5760935.1032, 539923.9655999998 5760937.375, 539914.6913000001 5760957.0988, 539913.5762999998 5760959.4706, 539913.0511999996 5760960.531099999, 539902.6816999996 5760981.4889, 539901.6347000003 5760983.6043, 539899.9385000002 5760986.885299999, 539899.9371999996 5760986.8879, 539895.3437000001 5760995.7729, 539895.3612000002 5760995.7754999995, 540326.4919999996 5761056.493899999, 540570.1880999999 5757959.4121))"
separatiezones.5,Seperatiezone,Maas West Binnen VSS,,,"POLYGON ((540232.182 5762255.062100001, 539628.2999999998 5762170.0199, 538637.2769999998 5762030.459899999, 537647.0533999996 5761891.0123, 536656.8293000003 5761751.5647, 535666.6061000004 5761612.1171, 534676.3827999998 5761472.669399999, 533686.1588000003 5761333.2217999995, 532696.6945000002 5761193.8813000005, 532695.9354999997 5761193.774700001, 531705.7115000002 5761054.327, 530715.4881999996 5760914.8794, 529725.2654999997 5760775.4318, 528937.8394999998 5760664.543400001, 528937.8206000002 5760664.5407, 529417.0416000001 5765057.6196, 539941.6675000004 5765944.390699999, 539941.8833999997 5765944.4091, 540232.182 5762255.062100001), (538331.8507000003 5762239.907199999, 538140.1201999998 5765172.346100001, 531228.8301999997 5764638.9713, 530908.8711000001 5761194.567, 538331.8507000003 5762239.907199999))"
separatiezones.64,Seperatiezone,VSS North Friesland,,,"POLYGON ((609579.7130000005 5986355.158, 610659.1370000001 5990109.652000001, 626639.7340000002 5992652.685900001, 625410.1109999996 5988889.867000001, 609579.7130000005 5986355.158))"
separatiezones.6,Seperatiezone,Maas West Buiten VSS,,,"POLYGON ((519835.7128999997 5753636.271500001, 508591.92760000005 5751354.177100001, 508648.3295 5751879.931600001, 514042.28249999974 5752974.715, 515514.0133999996 5756194.773800001, 509012.97809999995 5755279.032299999, 509162.12540000025 5756669.3596, 509162.12930000015 5756669.360099999, 514659.5192 5757442.2721, 514681.18460000027 5757445.1395, 514702.8008000003 5757448.3572, 516030.3518000003 5757635.006100001, 517019.70940000005 5757774.3321, 518009.93259999994 5757913.780200001, 519000.15579999983 5758053.2282, 519990.37990000006 5758192.6763, 520559.35730000027 5758272.8028, 519835.7128999997 5753636.271500001))"
separatiezones.7,Seperatiezone,Maas West Buiten VSS,,,"POLYGON ((521509.79530000035 5764362.449200001, 520752.74540000036 5759511.878799999, 519823.0407999996 5759380.9531, 518832.8167000003 5759241.505000001, 517842.5939999996 5759102.057, 516852.3702999996 5758962.6085, 515862.9671 5758823.275900001, 515862.9307000004 5758823.2706, 515826.81709999964 5758991.8222, 515826.8053000001 5758991.8937, 515822.3716000002 5759018.351500001, 515817.3984000003 5759044.7872, 515811.8992999997 5759071.118100001, 515805.87689999957 5759097.3344, 515799.3331000004 5759123.4256, 515792.27080000006 5759149.381200001, 515784.69269999955 5759175.191, 515776.6023000004 5759200.845000001, 515768.00179999974 5759226.3321, 515758.8956000004 5759251.643300001, 515749.2862999998 5759276.7674, 515739.1787999999 5759301.695699999, 515728.57660000026 5759326.417300001, 515717.4840000002 5759350.922900001, 515705.90500000026 5759375.202400001, 515693.8448999999 5759399.2467, 515681.3081 5759423.046, 515668.2993999999 5759446.5901999995, 515654.8245000001 5759469.871099999, 515640.8881999999 5759492.878900001, 515626.49619999994 5759515.604, 515611.6542999996 5759538.038000001, 515596.3682000004 5759560.1723, 515580.64439999964 5759581.9969999995, 515564.4885999998 5759603.5044, 515547.9079 5759624.6855999995, 515530.9084000001 5759645.532299999, 515513.4967 5759666.035700001, 515495.67980000004 5759686.1888, 515477.46520000044 5759705.9824, 515458.85950000025 5759725.409499999, 515439.8706 5759744.4616, 515420.50629999954 5759763.131899999, 515400.77329999954 5759781.412799999, 515380.6798999999 5759799.296800001, 515360.2344000004 5759816.7765, 515339.4447999997 5759833.845799999, 515318.3189000003 5759850.4976, 515296.8658999996 5759866.725, 515275.09339999966 5759882.521600001, 515253.01049999986 5759897.881100001, 515230.6261 5759912.7981, 515207.94930000044 5759927.2655, 515184.9879999999 5759941.2786, 515161.7527999999 5759954.831700001, 515138.2516000001 5759967.9186, 515114.4944000002 5759980.5348000005, 515090.4910000004 5759992.6757, 515066.25009999983 5760004.3354, 515041.78139999975 5760015.5097, 515017.0954 5760026.194399999, 514992.20129999984 5760036.385299999, 514967.10919999983 5760046.078, 514941.82880000025 5760055.2689, 514916.3701999998 5760063.9541, 514890.7438000003 5760072.1306, 514864.9594999999 5760079.7947, 514839.0275999997 5760086.943499999, 514812.9583999999 5760093.5743, 514786.7622999996 5760099.6844999995, 514760.4494000003 5760105.271400001, 514734.0307 5760110.332800001, 514707.51630000025 5760114.867000001, 514680.9167999998 5760118.8718, 514654.2430999996 5760122.3463, 514627.5053000003 5760125.2884, 514600.71389999986 5760127.6971, 514573.87990000006 5760129.5715, 514547.01439999975 5760130.910800001, 514520.12689999957 5760131.7146000005, 514493.2287999997 5760131.982799999, 514466.60950000025 5760131.7203, 514440.00040000025 5760130.9328000005, 514413.4117999999 5760129.621099999, 514386.8543999996 5760127.7853, 514360.33829999994 5760125.426200001, 514333.8739 5760122.544299999, 514307.4715 5760119.141799999, 514281.1414999999 5760115.2191, 514254.89360000007 5760110.777899999, 509458.8914999999 5759435.6504, 509458.8799999999 5759435.653899999, 509458.8909999998 5759435.759299999, 509473.07930000033 5759939.8124, 515895.32299999986 5760843.868799999, 514363.94099999964 5763396.325099999, 509559.2368999999 5763001.3544, 509569.91860000044 5763380.9318, 521509.79530000035 5764362.449200001))"
separatiezones.8,Seperatiezone,Noord Hinder Noord VSS,,,"POLYGON ((503516.61670000013 5774547.0659, 499802.9801000003 5777772.818299999, 502986.92009999976 5782372.343699999, 507521.91060000006 5778440.3607, 503516.61670000013 5774547.0659))"
separatiezones.9,Seperatiezone,Maas West Binnen VSS,,,"POLYGON ((539623.6047 5769989.3445999995, 532263.1695999997 5769782.158500001, 534459.2472000001 5773427.6225000005, 539580.0294000003 5770543.234300001, 539580.0367999999 5770543.1412, 539623.6047 5769989.3445999995))"
