Rijlabels;9301 - Laboratoriumonderzoek;9304 - Aankoop onderzoeksmateriaal;9305 - Research & development;9520 - BZK Specifiek;Eindtotaal
2Xplain V.O.F.;;;;3;3
A. de Jong Installatietechniek B.V.;;;;3;3
A.G. van de Scheur Onroerend Goed B.V.;;;;1;1
Aannemersbedrijf G.B. van Hoek B.V.;;;;2;2
Aannemersbedrijf Gebroeders Horstink B.V.;;;;6;6
Aannemersbedrijf Roseboom B.V.;;;;1;1
Aannemingsbedrijf Hoefakker B.V.;;;;2;2
Aannemingsbedrijf Nico de Bont B.V.;;;;3;3
ABC Bouwmanagement;;;;2;2
Abma Schreurs Advocaten B.V.;;;;1;1
Accanto B.V.;;;;2;2
AchtenvanGent Notarissen;;;;1;1
Actis B.V.;;;;1;1
Actus Notarissen N.V.;;;;1;1
Ad Hoc Data B.V.;;;;2;2
Adv.- en Inst.bur. 'Warmtebouw Utrecht' B.V.;;;;2;2
Advies & Technisch Beheer Purmerend;;;;1;1
Adviesbureau 'Het betere cont(r)act';;;;3;3
Agrec Zelle B.V.;;;;1;1
Alewijnse Utrecht;;;;2;2
Almeer Notaris B.V.;;;;1;1
Alsta B.V.;;;;1;1
Anoniem 116;;;;2;2
Anoniem 137;;;;1;1
Anoniem 145;;;;1;1
Anoniem 147;;;;3;3
Anoniem 152;;;;1;1
Anoniem 153;;;;4;4
Anoniem 183;;;;1;1
Anoniem 202;;;;2;2
Anoniem 212;;;;1;1
Anoniem 221;;;;2;2
Anoniem 222;;;;2;2
Anoniem 234;;;;1;1
Anoniem 266;;;;2;2
Anoniem 295;;;;2;2
Anoniem 3;;;;1;1
Anoniem 302;;;;1;1
Anoniem 400;;;;1;1
Anoniem 406;;;;1;1
Anoniem 411;;;;1;1
Anoniem 464;;;;1;1
Anoniem 466;;;;1;1
Anoniem 485;;;;1;1
Anoniem 521;;;;2;2
Anoniem 553;;;;1;1
Anoniem 557;;;;1;1
Anoniem 577;;;;1;1
Anoniem 592;;;;1;1
ANP Photo;;;;1;1
Ansul;;;;1;1
Antargaz Nederland B.V.;;;;1;1
ARCADIS Nederland B.V.;;;;2;2
Architektenburo Veldman Rietbroek Smit B.V.;;;;2;2
Artikraak;;;;2;2
ASB Security B.V.;;;;1;1
AVDD;;;;1;1
B & C Milieuconsultancy B.V.;;;;2;2
B & L B.V.;;;;2;2
B&G Hekwerk B.V.;;;;1;1
B.C.T. Aannemers B.V.;;;;6;6
B.V. 'Esbi';;;;1;1
B.V. Exploitatie Reservegronden Flevoland;;;;1;1
Bakker & Neve Netwerk Notarissen;;;;4;4
Balance Liftadvies B.V.;;;;1;1
BCM Consultancy B.V.;;;;4;4
Beaumont Communicatie & Management B.V.;;;;1;1
Bedrijfsmilieudienst Flevoland B.V.;;;;1;1
Beelen Nederland B.V.;;;;1;1
Ben Kuipers Landschapsarchitect;;;;3;3
Benegas;;;;1;1
Benschop Installatietechniek B.V.;;;;2;2
Bergsma Drain B.V.;;;;2;2
Berkie;;;;2;2
Blomsma Signs & Safety;;;;1;1
BMC Implementatie;;;;2;2
BMK Incasso B.V.;;;;1;1
BMS Netwerk Notarissen;;;;1;1
Boag B.V.;;;;2;2
Boek & Offermans Makelaars Sittard B.V.;;;;1;1
Boot Organiserend Ingenieursburo B.V.;;;;5;5
Bork Asbestsaneringen B.V.;;;;2;2
Bosland Adviesbureau;;;;1;1
Bosman Watermanagement B.V.;;;;1;1
Bouw/Rest.bedr. Van de Burgt en Strooij B.V.;;;;3;3
Bouwbedrijf Kreeft B.V.;;;;1;1
Bouwbedrijf Van der Kolk Emmeloord B.V.;;;;2;2
Bouwburo Vitruvius B.V.;;;;1;1
BouwRisk;;;;1;1
Breedveld & Schroder;;;;2;2
Breijer Contractonderhoud B.V.;;;;2;2
Breman Service Rotterdam B.V.;;;;1;1
Breure B.V.;;;;1;1
Broekema.Nielsen Notarissen N.V.;;;;1;1
BTS;;;;1;1
BügelHajema Adviseurs B.V.;;;;1;1
Bunsing B.V.;;;;2;2
Bureau De Wit B.V.;;;;1;1
bureau ZWIRT;;;;2;2
Burgy Bouwbedrijf B.V.;;;;6;6
Buro voor Bouwkunde Theo de Haan B.V.;;;;2;2
C. Mulckhuyse Bouw- en Aannemingsbedrijf B.V.;;;;5;5
Camelot Vastgoedbeheer B.V.;;;;1;1
Caminada Notarissen;;;;1;1
Cannock Chase;;;;1;1
Carex Beheer B.V.;;;;1;1
Centraal Bureau voor Genealogie;;;;2;2
CGI Nederland B.V.;;;;5;5
Cintegro;;;;2;2
Compagnon B.V.;;;;4;4
COMPAREX Nederland B.V.;;;;4;4
Concept7 B.V.;;;;2;2
Croon Elektrotechniek B.V.;;;;4;4
CSO Adviesbureau voor Milieu-Onderzoek;;;;5;5
D. Weissenbach Boomverzorging;;;;1;1
Dalhuisen Olie B.V.;;;;1;1
DAS Rechtsbijstand;;;;1;1
De Kabath Vastgoedbescherming B.V.;;;;1;1
De Schrijver B.V.;;;;1;1
Dé Vastgoedbeschermer B.V.;;;;2;2
De Vlieg Techniek B.V.;;;;2;2
De Werven Vastgoed;;;;1;1
Debuco Advies B.V.;;;;2;2
Deerns Nederland B.V.;;;;3;3
DEKRA Claims Services Netherlands B.V.;;;;1;1
DELTA Comfort B.V.;;;;1;1
Demton B.V.;;;;2;2
Dgi Dak & Gevel Ingenieurs B.V.;;;;2;2
DGMR Bouw B.V.;;;;1;1
Donker Inspecties B.V.;;;;2;2
Doornebal Interieurs B.V.;;;;1;1
Doornse Oranjerie;;;;1;1
DPI Animation House B.V.;;;;1;1
Duijvelaar Pompen;;;;1;1
E & L Notarissen Breda B.V.;;;;1;1
E. Witte Bouw- en Aannemersbedrijf B.V.;;;;4;4
EasyStaff Flex Services B.V.;;;;2;2
