FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
vassen2_index.1,02 pannerden_noord,,,"POLYGON ((196985.4759999998 433989.2479999997, 196985.4759999998 438001.98900000006, 202011.04199999943 438001.98900000006, 202011.04199999943 433989.2479999997, 196985.4759999998 433989.2479999997))"
vassen2_index.2,02 pannerden_zuid,,,"POLYGON ((197003.02100000158 429990.1640000008, 197003.02100000158 434008.4389999993, 202004.05299999937 434008.4389999993, 202004.05299999937 429990.1640000008, 197003.02100000158 429990.1640000008))"
vassen2_index.3,11 vianen_oost,,,"POLYGON ((134616.24300000072 441338.5069999993, 134616.24300000072 446857.881000001, 139197.54199999943 446857.881000001, 139197.54199999943 441338.5069999993, 134616.24300000072 441338.5069999993))"
vassen2_index.4,11 vianen_west,,,"POLYGON ((130180.46599999815 441343.1160000004, 130180.46599999815 446866.77699999884, 134924.62000000104 446866.77699999884, 134924.62000000104 441343.1160000004, 130180.46599999815 441343.1160000004))"
vassen2_index.5,12 ameide_oost,,,"POLYGON ((126085.56599999964 438665.0329999998, 126085.56599999964 444253.1229999997, 130213.71599999815 444253.1229999997, 130213.71599999815 438665.0329999998, 126085.56599999964 438665.0329999998))"
vassen2_index.6,12 ameide_west,,,"POLYGON ((122013.75200000033 438664.9279999994, 122013.75200000033 444255.33199999854, 126113.55200000107 444255.33199999854, 126113.55200000107 438664.9279999994, 122013.75200000033 438664.9279999994))"
vassen2_index.7,13 schoonhoven_oost,,,"POLYGON ((117640.42500000075 435608.8189999983, 117640.42500000075 440609.94000000134, 121988.55799999833 440609.94000000134, 121988.55799999833 435608.8189999983, 117640.42500000075 435608.8189999983))"
vassen2_index.8,13 schoonhoven_west,,,"POLYGON ((113268.35099999979 435591.1490000002, 113268.35099999979 440600.3370000012, 117668.10599999875 440600.3370000012, 117668.10599999875 435591.1490000002, 113268.35099999979 435591.1490000002))"
vassen2_index.9,14 lekkerkerk_oost,,,"POLYGON ((108941.02199999988 432751.59800000116, 108941.02199999988 437758.3269999996, 113306.98200000077 437758.3269999996, 113306.98200000077 432751.59800000116, 108941.02199999988 432751.59800000116))"
vassen2_index.10,14 lekkerkerk_west,,,"POLYGON ((104552.79800000042 432753.4780000001, 104552.79800000042 437728.81700000167, 108965.90700000152 437728.81700000167, 108965.90700000152 432753.4780000001, 104552.79800000042 432753.4780000001))"
vassen2_index.11,02 pannerden_noord,,,"POLYGON ((196985.4759999998 433989.2479999997, 196985.4759999998 438001.98900000006, 202011.04199999943 438001.98900000006, 202011.04199999943 433989.2479999997, 196985.4759999998 433989.2479999997))"
vassen2_index.12,02 pannerden_zuid,,,"POLYGON ((197003.02100000158 429990.1640000008, 197003.02100000158 434008.4389999993, 202004.05299999937 434008.4389999993, 202004.05299999937 429990.1640000008, 197003.02100000158 429990.1640000008))"
vassen2_index.13,11 vianen_oost,,,"POLYGON ((134616.24300000072 441338.5069999993, 134616.24300000072 446857.881000001, 139197.54199999943 446857.881000001, 139197.54199999943 441338.5069999993, 134616.24300000072 441338.5069999993))"
vassen2_index.14,11 vianen_west,,,"POLYGON ((130180.46599999815 441343.1160000004, 130180.46599999815 446866.77699999884, 134924.62000000104 446866.77699999884, 134924.62000000104 441343.1160000004, 130180.46599999815 441343.1160000004))"
vassen2_index.15,12 ameide_oost,,,"POLYGON ((126085.56599999964 438665.0329999998, 126085.56599999964 444253.1229999997, 130213.71599999815 444253.1229999997, 130213.71599999815 438665.0329999998, 126085.56599999964 438665.0329999998))"
vassen2_index.16,12 ameide_west,,,"POLYGON ((122013.75200000033 438664.9279999994, 122013.75200000033 444255.33199999854, 126113.55200000107 444255.33199999854, 126113.55200000107 438664.9279999994, 122013.75200000033 438664.9279999994))"
vassen2_index.17,13 schoonhoven_oost,,,"POLYGON ((117640.42500000075 435608.8189999983, 117640.42500000075 440609.94000000134, 121988.55799999833 440609.94000000134, 121988.55799999833 435608.8189999983, 117640.42500000075 435608.8189999983))"
vassen2_index.18,13 schoonhoven_west,,,"POLYGON ((113268.35099999979 435591.1490000002, 113268.35099999979 440600.3370000012, 117668.10599999875 440600.3370000012, 117668.10599999875 435591.1490000002, 113268.35099999979 435591.1490000002))"
vassen2_index.19,14 lekkerkerk_oost,,,"POLYGON ((108941.02199999988 432751.59800000116, 108941.02199999988 437758.3269999996, 113306.98200000077 437758.3269999996, 113306.98200000077 432751.59800000116, 108941.02199999988 432751.59800000116))"
vassen2_index.20,14 lekkerkerk_west,,,"POLYGON ((104552.79800000042 432753.4780000001, 104552.79800000042 437728.81700000167, 108965.90700000152 437728.81700000167, 108965.90700000152 432753.4780000001, 104552.79800000042 432753.4780000001))"
