FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
A1.1,EHAM,KA1,301.75, ,24.6724863,A1,,,"LINESTRING (620215.5433 5796865.454600001, 580296.4435 5819163.9044)"
A1.2,KA1,KV01,4.58, ,18.26632683,A1,,,"LINESTRING (580296.4435 5819163.9044, 582437.6985999998 5852948.551999999)"
A1.3,KV01,KV02,22.24, ,11.02551999,A1,,,"LINESTRING (582437.6985999998 5852948.551999999, 589834.5553000001 5871995.989)"
A1.4,KV02,KW13,45.30, ,22.18891027,A1,,,"LINESTRING (589834.5553000001 5871995.989, 618426.3300000001 5901551.576300001)"
A1.5,KW13,KW11,54.43, ,7.7406061,A1,,,"LINESTRING (618426.3300000001 5901551.576300001, 629873.2562999995 5910197.923900001)"
A1.6,KW11,KW10,47.83, ,9.68852235,A1,,,"LINESTRING (629873.2562999995 5910197.923900001, 642828.8157000002 5922629.801999999)"
A1.7,KW10,KW07,71.08, ,13.88716113,A1,,,"LINESTRING (642828.8157000002 5922629.801999999, 666888.4040000001 5931768.283)"
A1.8,KW07,KW04,87.54, ,11.64428535,A1,,,"LINESTRING (666888.4040000001 5931768.283, 688398.3592999997 5933505.643999999)"
A1.9,KW04,KW01,74.11, ,18.28113816,A1,,,"LINESTRING (688398.3592999997 5933505.643999999, 720550.9868999999 5944185.3046)"
A1.10,KW01,NL5,5.89, ,11.57412946,A1,,,"LINESTRING (720550.9868999999 5944185.3046, 721745.3496000003 5965602.013800001)"
A1.11,NL5,NL4,251.49, ,64.00104623,A1,,,"LINESTRING (721745.3496000003 5965602.013800001, 610671.0177999996 5923995.354499999)"
A1.12,NL4,NL3,208.92, ,24.80595295,A1,,,"LINESTRING (610671.0177999996 5923995.354499999, 589288.6248000003 5883298.5502)"
A1.13,NL3,KV12,238.00, ,14.72437744,A1,,,"LINESTRING (589288.6248000003 5883298.5502, 566385.2473999998 5868463.3313)"
A1.14,KV12,KD1,246.20, ,33.95902971,A1,,,"LINESTRING (566385.2473999998 5868463.3313, 509003.08100000024 5842615.066)"
A1.15,KD1,KD2,27.77, ,12.8258894,A1,,,"LINESTRING (509003.08100000024 5842615.066, 520169.50600000005 5863598.7754)"
A1.16,KD2,KD3,17.21, ,18.51942246,A1,,,"LINESTRING (520169.50600000005 5863598.7754, 530048.1809 5896467.856000001)"
A1.17,KD3,KD4,9.45, ,9.10918804,A1,,,"LINESTRING (530048.1809 5896467.856000001, 532493.8025000002 5913171.5561999995)"
A1.18,KD4,KD5,16.97, ,21.47921168,A1,,,"LINESTRING (532493.8025000002 5913171.5561999995, 544004.2976000002 5951277.830399999)"
A1.19,KD5,KD6,51.56, ,30.48732507,A1,,,"LINESTRING (544004.2976000002 5951277.830399999, 587672.1029000003 5987131.8882)"
A1.20,KD6,KD7,86.21, ,22.84556691,A1,,,"LINESTRING (587672.1029000003 5987131.8882, 629842.7131000003 5990904.271299999)"
A1.21,KD7,KD8,82.06, ,36.23887072,A1,,,"LINESTRING (629842.7131000003 5990904.271299999, 695991.6528000003 6002516.2796)"
A1.22,KD8,ZS7,180.00, ,8.00850075,A1,,,"LINESTRING (695991.6528000003 6002516.2796, 696620.8984000003 5987687.7103)"
A1.23,ZS7,ZS5,254.23, ,36.83758347,A1,,,"LINESTRING (696620.8984000003 5987687.7103, 631614.0968000004 5966833.2848000005)"
A1.24,ZS5,KD9,306.43, ,14.32304967,A1,,,"LINESTRING (631614.0968000004 5966833.2848000005, 609856.4480999997 5982039.009099999)"
A1.25,KD9,KD10,222.76, ,15.67486034,A1,,,"LINESTRING (609856.4480999997 5982039.009099999, 590595.3783 5960292.7662)"
A1.26,KD10,KD11,231.91, ,27.57381782,A1,,,"LINESTRING (590595.3783 5960292.7662, 550854.4819999998 5928167.263800001)"
A1.27,KD11,ZS3,90.00, ,17.30047222,A1,,,"LINESTRING (550854.4819999998 5928167.263800001, 582913.7196000004 5928620.850500001)"
A1.28,ZS3,VB19,228.39, ,25.6156693,A1,,,"LINESTRING (582913.7196000004 5928620.850500001, 547854.2971000001 5896613.054)"
A1.29,VB19,KD13,177.35, ,13.01986663,A1,,,"LINESTRING (547854.2971000001 5896613.054, 549213.9033000004 5872522.060900001)"
A1.30,KD13,KA2,178.42, ,33.02557802,A1,,,"LINESTRING (549213.9033000004 5872522.060900001, 551535.9879000001 5811360.8127999995)"
A1.31,KA2,KW21,100.16, ,22.68179042,A1,,,"LINESTRING (551535.9879000001 5811360.8127999995, 593016.6679999996 5804553.8377)"
A1.32,KW21,EHAM,"109,14", ,15.2512279,A1,,,"LINESTRING (593016.6679999996 5804553.8377, 620215.5433 5796865.454600001)"
