Verkiezing;Gemeente;Stembureau_naam;Stembureau_nummer;Partij;Partij_lijstnummer;Naam kandidaat;Kandidaat_volgnummer_partij;Aantal_stemmen
TK2021;Stichtse Vecht;Gemeentekantoor;1;VVD;1;Rutte, M.;1;540
TK2021;Stichtse Vecht;De Vondel;2;VVD;1;Rutte, M.;1;113
TK2021;Stichtse Vecht;Basisschool De Klaroen;3;VVD;1;Rutte, M.;1;210
TK2021;Stichtse Vecht;Gymzaal Huis ten Bosch;4;VVD;1;Rutte, M.;1;285
TK2021;Stichtse Vecht;Basisschool Het Kompas;5;VVD;1;Rutte, M.;1;768
TK2021;Stichtse Vecht;OVVO hal;6;VVD;1;Rutte, M.;1;269
TK2021;Stichtse Vecht;Dorpshuis De Veenkluit;7;VVD;1;Rutte, M.;1;216
TK2021;Stichtse Vecht;Het Trefpunt;9;VVD;1;Rutte, M.;1;147
TK2021;Stichtse Vecht;Sportzaal Bloemstede;10;VVD;1;Rutte, M.;1;139
TK2021;Stichtse Vecht;De Shelter Scouting, naast ambulancepost;11;VVD;1;Rutte, M.;1;216
TK2021;Stichtse Vecht;Sportzaal Fazantenkamp;12;VVD;1;Rutte, M.;1;239
TK2021;Stichtse Vecht;Kerkcentrum De Ark;13;VVD;1;Rutte, M.;1;376
TK2021;Stichtse Vecht;RK Verrijzenisgemeenschap;14;VVD;1;Rutte, M.;1;462
TK2021;Stichtse Vecht;Jenaplan Basisschool 't Bontenest;15;VVD;1;Rutte, M.;1;143
TK2021;Stichtse Vecht;Gymzaal Rientjes Mavo;16;VVD;1;Rutte, M.;1;233
TK2021;Stichtse Vecht;Wijkcentrum 't Schuurtje;17;VVD;1;Rutte, M.;1;302
TK2021;Stichtse Vecht;Willem van Hoornhof;18;VVD;1;Rutte, M.;1;145
TK2021;Stichtse Vecht;Zwembad Safari;19;VVD;1;Rutte, M.;1;267
TK2021;Stichtse Vecht;Gemeentelijke Sporthal;22;VVD;1;Rutte, M.;1;323
TK2021;Stichtse Vecht;Gemeentehuis Boom en Bosch;23;VVD;1;Rutte, M.;1;525
TK2021;Stichtse Vecht;Zwembad 't Kikkerfort;24;VVD;1;Rutte, M.;1;312
TK2021;Stichtse Vecht;OBS De Regenboog;25;VVD;1;Rutte, M.;1;173
TK2021;Stichtse Vecht;Dorpshuis Ons Genoegen;27;VVD;1;Rutte, M.;1;91
TK2021;Stichtse Vecht;Sporthal 1 Kockengen;28;VVD;1;Rutte, M.;1;215
TK2021;Stichtse Vecht;Sporthal 2 Kockengen;29;VVD;1;Rutte, M.;1;215
TK2021;Stichtse Vecht;Studio Idee;31;VVD;1;Rutte, M.;1;420
TK2021;Stichtse Vecht;Dorpshuis Nigtevecht;32;VVD;1;Rutte, M.;1;223
TK2021;Stichtse Vecht;Dorpshuis Vreeland;33;VVD;1;Rutte, M.;1;277
TK2021;Stichtse Vecht;Montessorischool Loenersloot;34;VVD;1;Rutte, M.;1;72
TK2021;Stichtse Vecht;Gymzaal Loenen;35;VVD;1;Rutte, M.;1;286
TK2021;Stichtse Vecht;Drive Thru - Van der Valk;46;VVD;1;Rutte, M.;1;219
TK2021;Stichtse Vecht;Briefstembureau;47;VVD;1;Rutte, M.;1;1074
TK2021;Stichtse Vecht;Gemeentekantoor;1;VVD;1;van Ark, T.;2;22
TK2021;Stichtse Vecht;De Vondel;2;VVD;1;van Ark, T.;2;7
TK2021;Stichtse Vecht;Basisschool De Klaroen;3;VVD;1;van Ark, T.;2;7
TK2021;Stichtse Vecht;Gymzaal Huis ten Bosch;4;VVD;1;van Ark, T.;2;17
TK2021;Stichtse Vecht;Basisschool Het Kompas;5;VVD;1;van Ark, T.;2;36
TK2021;Stichtse Vecht;OVVO hal;6;VVD;1;van Ark, T.;2;16
TK2021;Stichtse Vecht;Dorpshuis De Veenkluit;7;VVD;1;van Ark, T.;2;6
TK2021;Stichtse Vecht;Het Trefpunt;9;VVD;1;van Ark, T.;2;5
TK2021;Stichtse Vecht;Sportzaal Bloemstede;10;VVD;1;van Ark, T.;2;7
TK2021;Stichtse Vecht;De Shelter Scouting, naast ambulancepost;11;VVD;1;van Ark, T.;2;11
TK2021;Stichtse Vecht;Sportzaal Fazantenkamp;12;VVD;1;van Ark, T.;2;19
TK2021;Stichtse Vecht;Kerkcentrum De Ark;13;VVD;1;van Ark, T.;2;16
TK2021;Stichtse Vecht;RK Verrijzenisgemeenschap;14;VVD;1;van Ark, T.;2;19
TK2021;Stichtse Vecht;Jenaplan Basisschool 't Bontenest;15;VVD;1;van Ark, T.;2;5
TK2021;Stichtse Vecht;Gymzaal Rientjes Mavo;16;VVD;1;van Ark, T.;2;11
TK2021;Stichtse Vecht;Wijkcentrum 't Schuurtje;17;VVD;1;van Ark, T.;2;13
TK2021;Stichtse Vecht;Willem van Hoornhof;18;VVD;1;van Ark, T.;2;11
