Nummer;Totaal van;Jaar;Maand;Land van herkomst;Aantal uitgestroomd uit opvang
1;Jaar;2022;*Alle*;*Alle*;40340
2;Jaar, Maand;2022;01;*Alle*;2670
2;Jaar, Maand;2022;02;*Alle*;2700
2;Jaar, Maand;2022;03;*Alle*;3740
2;Jaar, Maand;2022;04;*Alle*;2630
2;Jaar, Maand;2022;05;*Alle*;3530
2;Jaar, Maand;2022;06;*Alle*;3080
2;Jaar, Maand;2022;07;*Alle*;3260
2;Jaar, Maand;2022;08;*Alle*;3290
2;Jaar, Maand;2022;09;*Alle*;3540
2;Jaar, Maand;2022;10;*Alle*;4570
2;Jaar, Maand;2022;11;*Alle*;3990
2;Jaar, Maand;2022;12;*Alle*;3350
3;Jaar, Land van herkomst;2022;*Alle*;Afghanistan;3480
3;Jaar, Land van herkomst;2022;*Alle*;Albanië;50
3;Jaar, Land van herkomst;2022;*Alle*;Algerije;1690
3;Jaar, Land van herkomst;2022;*Alle*;Angola;40
3;Jaar, Land van herkomst;2022;*Alle*;Armenië;60
3;Jaar, Land van herkomst;2022;*Alle*;Azerbeidzjan;150
3;Jaar, Land van herkomst;2022;*Alle*;Bahrein;10
3;Jaar, Land van herkomst;2022;*Alle*;Bangladesh;30
3;Jaar, Land van herkomst;2022;*Alle*;Belarus;120
3;Jaar, Land van herkomst;2022;*Alle*;België;10
3;Jaar, Land van herkomst;2022;*Alle*;Benin;10
3;Jaar, Land van herkomst;2022;*Alle*;Bolivia;10
3;Jaar, Land van herkomst;2022;*Alle*;Bosnië-Herzegovina;10
3;Jaar, Land van herkomst;2022;*Alle*;Brazilië;10
3;Jaar, Land van herkomst;2022;*Alle*;Bulgarije;10
3;Jaar, Land van herkomst;2022;*Alle*;Burkina Faso;10
3;Jaar, Land van herkomst;2022;*Alle*;Burundi;10
3;Jaar, Land van herkomst;2022;*Alle*;China;170
3;Jaar, Land van herkomst;2022;*Alle*;Colombia;210
3;Jaar, Land van herkomst;2022;*Alle*;Congo;60
3;Jaar, Land van herkomst;2022;*Alle*;Cuba;30
3;Jaar, Land van herkomst;2022;*Alle*;Democratische Republiek Congo;10
3;Jaar, Land van herkomst;2022;*Alle*;Duitsland;10
3;Jaar, Land van herkomst;2022;*Alle*;Egypte;200
3;Jaar, Land van herkomst;2022;*Alle*;El Salvador;30
3;Jaar, Land van herkomst;2022;*Alle*;Eritrea;1830
3;Jaar, Land van herkomst;2022;*Alle*;Ethiopië;380
3;Jaar, Land van herkomst;2022;*Alle*;Filipijnen;10
3;Jaar, Land van herkomst;2022;*Alle*;Gambia;320
3;Jaar, Land van herkomst;2022;*Alle*;Gazastrook en Westelijke Jordaanoever met inbegrip van Oost-Jeruzalem;20
3;Jaar, Land van herkomst;2022;*Alle*;Georgië;170
3;Jaar, Land van herkomst;2022;*Alle*;Ghana;60
3;Jaar, Land van herkomst;2022;*Alle*;Guinee;200
3;Jaar, Land van herkomst;2022;*Alle*;Guinee-Bissau;10
3;Jaar, Land van herkomst;2022;*Alle*;Haïti;10
3;Jaar, Land van herkomst;2022;*Alle*;Honduras;10
3;Jaar, Land van herkomst;2022;*Alle*;India;100
3;Jaar, Land van herkomst;2022;*Alle*;Indonesië;10
3;Jaar, Land van herkomst;2022;*Alle*;Irak;1050
3;Jaar, Land van herkomst;2022;*Alle*;Iran;1420
3;Jaar, Land van herkomst;2022;*Alle*;Israël;50
3;Jaar, Land van herkomst;2022;*Alle*;Ivoorkust;40
3;Jaar, Land van herkomst;2022;*Alle*;Jamaica;10
3;Jaar, Land van herkomst;2022;*Alle*;Jemen;1210
3;Jaar, Land van herkomst;2022;*Alle*;Joegoslavië;10
3;Jaar, Land van herkomst;2022;*Alle*;Jordanië;70
3;Jaar, Land van herkomst;2022;*Alle*;Kameroen;40
3;Jaar, Land van herkomst;2022;*Alle*;Kazachstan;20
3;Jaar, Land van herkomst;2022;*Alle*;Kenya;10
3;Jaar, Land van herkomst;2022;*Alle*;Kirgizië;10
3;Jaar, Land van herkomst;2022;*Alle*;Koeweit;40
3;Jaar, Land van herkomst;2022;*Alle*;Kosovo;20
3;Jaar, Land van herkomst;2022;*Alle*;Libanon;150
3;Jaar, Land van herkomst;2022;*Alle*;Liberia;30
3;Jaar, Land van herkomst;2022;*Alle*;Libië;270
3;Jaar, Land van herkomst;2022;*Alle*;Macedonië;10
3;Jaar, Land van herkomst;2022;*Alle*;Malawi;10
3;Jaar, Land van herkomst;2022;*Alle*;Maleisië;10
3;Jaar, Land van herkomst;2022;*Alle*;Mali;30
3;Jaar, Land van herkomst;2022;*Alle*;Marokko;1260
3;Jaar, Land van herkomst;2022;*Alle*;Mauritanië;10
3;Jaar, Land van herkomst;2022;*Alle*;Mexico;20
3;Jaar, Land van herkomst;2022;*Alle*;Moldavië;120
3;Jaar, Land van herkomst;2022;*Alle*;Mongolië;20
3;Jaar, Land van herkomst;2022;*Alle*;Myanmar;40
3;Jaar, Land van herkomst;2022;*Alle*;Nederland;20
3;Jaar, Land van herkomst;2022;*Alle*;Nepal;10
3;Jaar, Land van herkomst;2022;*Alle*;Nicaragua;10
3;Jaar, Land van herkomst;2022;*Alle*;Niger;10
3;Jaar, Land van herkomst;2022;*Alle*;Nigeria;1100
3;Jaar, Land van herkomst;2022;*Alle*;Oekraïne;150
3;Jaar, Land van herkomst;2022;*Alle*;Oezbekistan;30
3;Jaar, Land van herkomst;2022;*Alle*;Onbekend;1010
3;Jaar, Land van herkomst;2022;*Alle*;Pakistan;830
3;Jaar, Land van herkomst;2022;*Alle*;Palestijnse autoriteit;10
3;Jaar, Land van herkomst;2022;*Alle*;Peru;10
3;Jaar, Land van herkomst;2022;*Alle*;Rusland;350
3;Jaar, Land van herkomst;2022;*Alle*;Rwanda;20
3;Jaar, Land van herkomst;2022;*Alle*;Saoedi-Arabië;140
3;Jaar, Land van herkomst;2022;*Alle*;Senegal;60
3;Jaar, Land van herkomst;2022;*Alle*;Servië;50
3;Jaar, Land van herkomst;2022;*Alle*;Sierra Leone;120
3;Jaar, Land van herkomst;2022;*Alle*;Soedan;220
3;Jaar, Land van herkomst;2022;*Alle*;Somalië;830
3;Jaar, Land van herkomst;2022;*Alle*;Sovjet-Unie;10
3;Jaar, Land van herkomst;2022;*Alle*;Sri Lanka;60
3;Jaar, Land van herkomst;2022;*Alle*;Suriname;10
3;Jaar, Land van herkomst;2022;*Alle*;Syrië;15700
3;Jaar, Land van herkomst;2022;*Alle*;Tadzjikistan;30
3;Jaar, Land van herkomst;2022;*Alle*;Tanzania;10
3;Jaar, Land van herkomst;2022;*Alle*;Togo;10
3;Jaar, Land van herkomst;2022;*Alle*;Trinidad en Tobago;10
3;Jaar, Land van herkomst;2022;*Alle*;Tsjaad;10
3;Jaar, Land van herkomst;2022;*Alle*;Tunesië;340
3;Jaar, Land van herkomst;2022;*Alle*;Turkije;3170
3;Jaar, Land van herkomst;2022;*Alle*;Turkmenistan;10
3;Jaar, Land van herkomst;2022;*Alle*;Uganda;210
3;Jaar, Land van herkomst;2022;*Alle*;Venezuela;130
3;Jaar, Land van herkomst;2022;*Alle*;Verenigde Arabische Emiraten;60
3;Jaar, Land van herkomst;2022;*Alle*;Verenigde Staten van Amerika;10
3;Jaar, Land van herkomst;2022;*Alle*;Vietnam;10
3;Jaar, Land van herkomst;2022;*Alle*;Westelijke Sahara;10
3;Jaar, Land van herkomst;2022;*Alle*;Zimbabwe;20
3;Jaar, Land van herkomst;2022;*Alle*;Zuid-Korea;10
