Ministerie;handelsnaam na kvk;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
AZ;A.C.S. B.V.;;;;;1;;;;1
AZ;All IT Rooms B.V.;;;;;1;;;;1
AZ;Axiell ALM Netherlands B.V.;;;;1;;;;;1
AZ;Axway B.V.;;;;;1;;;;1
AZ;B.V. Technisch Bureau Jacot;;1;1;;;;;;1
AZ;BCT B.V.;;;;;1;;;;1
AZ;Bumicom Telecommunicatie B.V.;;;1;;;;;;1
AZ;Cimon B.V.;;;;;;;;1;1
AZ;CM Telecom B.V.;;;;;;;1;;1
AZ;Coolblue B.V.;;1;;;;;;;1
AZ;Dataplus Netherlands B.V.;;;;;1;;;;1
AZ;Digital Revolution B.V.;;1;;;;;;;1
AZ;Digital Zoo;;;;;1;;;;1
AZ;DTG B.V.;;;;;;;1;;1
AZ;Entopic B.V.;;;;;1;;;;1
AZ;GW Cross Media B.V.;;;;;;;;1;1
AZ;Hewlett-Packard Nederland B.V.;;;;;1;;;;1
AZ;ICreative;;;;;1;;;;1
AZ;ING Bank N.V.;;;;1;1;;;;1
AZ;Intermax outsourcing;;;;;;;;1;1
AZ;KPN Contact lokatie Eindhoven;;;;;1;;1;;1
AZ;KPN Ventures B.V.;;;;;;;1;;1
AZ;LocalFocus;;;;1;;;;;1
AZ;Mangrove B.V.;;;;;1;;;;1
AZ;Multi-Post Nederland B.V.;;;1;;;;;;1
AZ;Netlink B.V.;;;1;;;;;;1
AZ;NetwerkShop;;1;;;;;;;1
AZ;NMS;;;;;1;;;;1
AZ;Notificare B.V.;;;;1;;;;;1
AZ;Pardon Consult;;;;;1;;;;1
AZ;Preware IT B.V.;;;;;1;;;;1
AZ;Scan Sys B.V.;;;;;1;;;;1
AZ;Servitect B.V.;;;;1;;;;;1
AZ;Softcrow B.V.;;;;;1;;;;1
AZ;Solvinity B.V.;;;;;;;;1;1
AZ;Telegrootgebruik B.V.;;1;;;;;;;1
AZ;That's Yours;;;;;;;;1;1
AZ;VANWAARDE Documentenwacht B.V.;;;1;;;;;;1
AZ;Virtual Security;;1;;;;;;;1
AZ;Went Werkt Journalistiek;;;;;1;;;;1
AZ;Wortell System Integrations & Services B.V.;;;1;;;;;;1
BZ;Barendsen Import-Export Aalsmeer;;;;;;;;1;1
BZ;Cm.Telecom Breda;;;;;;;1;;1
BZ;Digicel Paramaribo;;;;;;;1;;1
BZ;Entopic Expert Services B.V.;;;;;;;;1;1
BZ;NFGD Zoetermeer B.V.;;;;;;;;1;1
BZ;Oclc Pica, B.V. Leiden;;;;;;;;1;1
BZ;Orange Rosh Ha'Ayin;;;;;;;1;;1
BZ;P & A Software B.V.;;;;;1;;;;1
BZ;Pardon Consult;;;;;;;;1;1
BZ;Ripe Ncc Network Coordination Centr;;;;;;;;1;1
BZ;Schut-Copex B.V.;;;;;;;;1;1
BZ;Telefonica Brasil S.A. Sao Paulo;;;;;;;1;;1
BZ;Telenor Magyarorszag Zrt. Torokbali;;;;;;;1;;1
BZ;Transip B.V.;;;;;1;;;1;1
BZ;Van Slobbe B.V.;;;;;;;;1;1
BZ;Visuall;;;;;1;;;;1
BZK;1Password;;;;;;;;1;1
BZK;2CoolMonkeys B.V.;;;;1;;;;;1
BZK;7AM B.V.;;;;;;;;1;1
BZK;Akasia Group Limited;;;;;1;;;;1
BZK;ALTERNATE COMPUTERVERSAND NEDERLAND;;;;;;1;;;1
BZK;Anoniem 356;;;;1;;;;1;1
BZK;Anoniem 358;;;;;;;;1;1
BZK;Anoniem 387;;;1;;;;;;1
BZK;Anoniem 392;;;;;;;;1;1
BZK;Anoniem 490;;;;;;;;1;1
BZK;Anoniem 646;;;1;;;;;;1
BZK;Anoniem 671;;;;;;;1;;1
BZK;Anoniem 673;;;;;;;;1;1
BZK;Anoniem 695;;;;;;;1;;1
BZK;Anoniem 698;;;;;;;;1;1
BZK;Anoniem 752;;;;;;;;1;1
BZK;Anoniem 758;;;;;;;1;;1
BZK;Anoniem 759;;;;;;;;1;1
BZK;Archidat B.V.;;;;;1;;;;1
BZK;Avontuurfabriek BV;;;;;;;;1;1
BZK;Azerty;;;;;;;;1;1
BZK;B.I.T. NETHERLANDS B.V.;;;;;;;;1;1
BZK;Banketbakkerij Boheemen;;;;;;;;1;1
BZK;BCC (Elektro-Speciaalzaken) B.V.;;1;;;;;;;1
BZK;BCM Music Systems B.V.;;;;1;;;;;1
BZK;BCN B.V.;;;;;;;;1;1
BZK;Big Data Value Center;;;;;;;;1;1
BZK;Bleyenberg;;;;;;;;1;1
BZK;Blinker B.V.;;;;;;;1;1;1
BZK;bol.com B.V.;;;;1;;;;;1
BZK;Bouwregelgev. Informatiesystemen (Bris) B.V.;;;;1;;;;;1
BZK;BPI Services B.V.;;;;;;;;1;1
BZK;BRIS;;;;;;;;1;1
BZK;BroekHuizenWirtz;;;;;;;;1;1
BZK;BT Professional Services Nederland B.V.;;;;1;;;;;1
BZK;BTC;;;1;;;;;;1
BZK;Bumicom Telecommunicatie B.V.;;;;;;;1;;1
BZK;Cafe Luden;;;;;;;;1;1
BZK;Cafe restaurant Polder;;;;;;;;1;1
BZK;Cambrium B.V.;;;;;;;1;;1
BZK;Cascadis;;;;;;;;1;1
BZK;CENDRIS DATACONSULTING;;;;1;;;;;1
BZK;CENTER FOR INTERNATIONAL LEGAL COOPERATION STICHTING;;;1;;;;;;1
BZK;CentralPoint.nl;;1;;;;;;;1
BZK;Claranet Benelux B.V.;;;1;;1;;;1;1
BZK;Cloud Seven B.V.;;;;;;;1;;1
BZK;CoCo Tech;;;;;;;;1;1
BZK;COMPUTEL STANDBY;;;;1;;;;;1
BZK;Coney Analytix;;;;;1;;;;1
BZK;Connected Information Systems B.V.;;;;;;;;1;1
BZK;Contracto B.V.;;;;1;1;;;;1
BZK;Cool Blue;;1;;;;;;;1
BZK;COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;;1;;;1
BZK;CTMabc;;;1;;;;;;1
BZK;CUSTOMER REVOLUTION;;;;1;;;;1;1
BZK;DALOSY PROJECTEN;;;;1;;;;;1
BZK;Damme Kunststoffen;;;;;;;;1;1
BZK;De Horeca Academie Zakelijk BV;;;;;;;;1;1
BZK;De Resolutie;;;;;;;;1;1
BZK;De Stroopwafelwinkel;;;;;;;;1;1
BZK;Diergaande Blijdorp;;;;;;;;1;1
BZK;DIGITAL ANTS;;;;;;;;1;1
BZK;Digital River GmbH;;;;1;;;;1;1
BZK;Domstad Cursus -en Vergadercentrum;;;;;;;;1;1
BZK;Dong IT;;;;;;;;1;1
BZK;DPI Animation House B.V.;;;;;;;;1;1
BZK;DRIEBIT HOSTING;;;;1;;;;;1
BZK;Drukwerkdeal.nl;;;;;;;;1;1
BZK;DUTCH GIRAFFE;;;;;;;;1;1
BZK;Dutch Punch;;;;;;;;1;1
BZK;E J Consultants LTD;;;;;;;;1;1
BZK;Easydus B.V.;;;;1;;;;;1
BZK;Eenhoorn Meeting Center;;;;;;;;1;1
BZK;Eleqtron;;;1;;;;;;1
BZK;Elgersma Mediaproducties;;;;;;;;1;1
BZK;EMMA Communicatie B.V.;;;;;;;;1;1
BZK;Entopic B.V.;;;1;;;;;;1
BZK;Ericsson Telecommunicatie B.V.;;;;;;;1;;1
BZK;EUROPEAN DATAWAREHOUSE;;;;1;;;;;1
BZK;Evention Inc.;;;;;1;;;;1
BZK;Experis Nederland B.V.;;;;;;;;1;1
BZK;Explore-IT B.V.;;;;;1;;;;1
BZK;Expo Display Service;;;;;;;;1;1
BZK;Fast Moving Targets;;;;;;;;1;1
BZK;FastSpring;;1;;;;;;;1
BZK;FINALIST;;;;1;;;;;1
BZK;Firm Ground;;;;;;;;1;1
BZK;Flashbay Limited;;;;;;;;1;1
BZK;Fletcher Hotel Restaur. Loosdrecht-Amsterdam;;;;;;;;1;1
BZK;FLORIJN BUSINESS SOLUTIONS;;;;1;;;;;1
BZK;FOR CONFERENCE;;;;1;;;1;;1
BZK;For Conference B.V.;;;;;;;;1;1
BZK;FORSITE MEDIA;;;;1;;;;;1
BZK;FORTES SOLUTIONS;;;;;;;;1;1
BZK;Frozen Rockets;;;;;;;;1;1
BZK;G.E.T. Nederland B.V.;;;;1;;;;;1
BZK;GAZMEDIA;;;;;;;;1;1
BZK;GBL ICT B.V.;;;;;;1;;;1
BZK;gefeliciTAART B.V.;;;;;;;;1;1
BZK;Golden Tulip Zoetermeer-Den Haag;;;;;;;;1;1
BZK;Grand Hotel Karel V Utrecht;;;;;;;;1;1
BZK;Greenonline B.V.;;;;;;;1;;1
BZK;GT-ADVIES;;;;;;1;;;1
BZK;GTS-Online B.V.;;;1;;;;;;1
BZK;GW Cross Media B.V.;;;;1;;;;;1
BZK;HAFO speciaalzaak voor foto en video;;1;;;;;;;1
BZK;Hampshire Hotel Groningen Centre;;;;;;;;1;1
BZK;Hodac B.V.;;;1;;;;;;1
BZK;Hollandse Hoogte;;;;;;;;1;1
BZK;Hollandse Telecommunicatie Maatschappij;;;;;;;1;;1
BZK;HTA software;;;;;1;;;;1
BZK;i2a2 Interim proffessional en advies;;;;;;;;1;1
BZK;IBABS;;;;1;;;;;1
BZK;Icrow B.V.;;;;;1;;;;1
BZK;ICTRecht BV;;;;;;;;1;1
BZK;ILC;;;;;;;;1;1
BZK;IN2CONTENT;;;;1;;;;;1
BZK;Informed Consulting B.V.;;;;;1;;;;1
BZK;Infotheek ICT Services B.V.;;;;;;1;;;1
BZK;ING Corparate Card;;;;;1;;;;1
BZK;Inkesta B.V.;;;;1;;;;;1
BZK;INKOOP 3.0;;;;;;;;1;1
BZK;INNOVERO SOFTWARE SOLUTIONS;;;;1;;;;;1
BZK;Innovero Software Solutions B.V.;;;;;1;;;;1
BZK;Inntel Hotels Art Eindhoven;;;;;;;;1;1
BZK;InsightsWorld B.V.;;;;;1;;;;1
BZK;Intelec Systems B.V.;;;;1;;;;;1
BZK;INTERMAX HOSTING;;;;;;;;1;1
BZK;Internedservices;;;;1;;;;;1
BZK;Interpulse Automatisering B.V.;;;;;;1;;;1
BZK;Interval B.V.;;;;;;1;;;1
BZK;InVisionApp;;1;;;;;;;1
BZK;Involon B.V.;;;;1;;;;;1
BZK;IRIS INTERNATIONAL;;;;1;;;;;1
BZK;Jakajima;;;;;;;;1;1
BZK;JetBraines;;;;;;;;1;1
BZK;Klantenservice Federatie;;;;;;;;1;1
BZK;KPN (vaste telefonie);;;;;;;1;;1
BZK;KPN ADM 160 VASTE VERBINDINGEN;;;;;;;1;;1
BZK;KPN B.V. t.n.v.Trusted Autorisatie Service;;;;;1;;;;1
BZK;KPN Insurance Company;;;;;;;1;;1
BZK;KPN Internedservices B.V.;;;;1;;;;1;1
BZK;KPN Lokale Overheid (Gemnet B.V.);;;;;;;1;;1
BZK;KPN Mobile International B.V.;;;;;;1;;;1
BZK;KPN TELECOM;;;;;;;1;;1
BZK;KPN Ventures B.V.;;;;;;;1;;1
BZK;KPN/GETRONICS;;;;;;;1;;1
BZK;LDC Uitgeverij B.V.;;;;;1;;;;1
BZK;Lean Six Sigma Groep B.V.;;;;;;;;1;1
BZK;Leoprinting;;;;;;;;1;1
BZK;LimoenGroen B.V.;;;;;;;;1;1
BZK;LINKIT B.V.;;;;;;;;1;1
BZK;LOYALS ONLINE B.V.;;;;;;;;1;1
BZK;Luna.nl B.V.;;;;;;1;;;1
BZK;Madame Moustache;;;;;;;;1;1
BZK;Madurodam B.V.;;;;;;;;1;1
BZK;MAHIEU WEB DEVELOPMENT;;;1;;;;;;1
BZK;Management Producties;;;;;;;;1;1
BZK;Maslow;;;;;;;;1;1
BZK;MathAlex;;;;;;;;1;1
BZK;Maxd'Oro B.V.;;;;;1;;;;1
BZK;MENTIMETER AB;;;;1;;;;;1
BZK;Messagebird;;;;;;;1;;1
BZK;MessageBird B.V.;;;;;;;1;;1
BZK;METRI;;;;;;;;1;1
BZK;mijndomein.nl B.V.;;;;1;;;;;1
BZK;Mil�;;;;;;;;1;1
BZK;MINTLAB B.V.;;;;;;;;1;1
BZK;MK2 Audiovisueel Verhuur B.V.;;1;;;;;;;1
BZK;MMM Interactieve Communicatie;;;;;1;;;;1
BZK;Mobile Mindz B.V.;;;;1;;;;;1
BZK;MOBILEE CONSULTANCY;;;;;;;;1;1
BZK;Moduli Print B.V.;;;;;;;;1;1
BZK;Motivacation;;;;;;;;1;1
BZK;Motus BV;;;;;;;;1;1
BZK;Multi Vlaai Utrecht BV;;;;;;;;1;1
BZK;Muntgebouw Utrecht;;;;;;;;1;1
BZK;Nationale Beeldbank B.V.;;;;;;;;1;1
BZK;NCC Group Escrow Europe B.V.;;;;1;;;;;1
BZK;Ncoi Nederlands Commerc. Opleidings Instituut;;;1;;;;;;1
BZK;Nederlandweb.nl;;;1;;;;;;1
BZK;Network Operations;;;;;1;;;;1
BZK;Networking4all B.V.;;;;;1;;;;1
BZK;Notificare BV;;;;1;;;;;1
BZK;NRC Media;;;;;;;;1;1
BZK;O. s.P.L. Nederland B.V.;;;1;;;;;;1
BZK;OBI WEBHOSTING;;;;1;;;;;1
BZK;OCLC;;;1;;;;;;1
BZK;Odyssee B.V.;;;;1;;;;;1
BZK;Office Athletes B.V.;;1;;;;;;;1
BZK;OFFICE DEPOT;;;;1;;;;;1
BZK;onelevel tekstbureau;;;;;;;;1;1
BZK;ONESTO AUTOMATISERING;;;;1;;1;;;1
BZK;Oostduinhaghe Hotel B.V.;;;;;;;;1;1
BZK;Open Ateliers B.V.;;;1;;;;;;1
BZK;Open Netlabs BV;;;;;;;;1;1
BZK;Openindex;;;;;;;;1;1
BZK;Oracle Benelux Usergroups;;;;1;;;;;1
BZK;Orcavoice B.V.;;;;;;;1;;1
BZK;Ordina Beheer & Outsourcing;;;1;;;;;;1
BZK;Oscity.nl;;;;;;;;1;1
BZK;Othersight;;;;;;;;1;1
BZK;PANKRA;;;;1;;;;;1
BZK;PANTEIA B.V.;;;;;;;;1;1
BZK;PBLQ HEC;;;;;;;;1;1
BZK;PeP;;;;;;;;1;1
BZK;Plein 10a BV;;;;;;;;1;1
BZK;POSTCODE NL;;;;1;;;;;1
BZK;Pouw Vervoer;;;;;;;;1;1
BZK;PREVIDER;;;;1;;;;1;1
BZK;Prolan;;;1;;;1;;;1
BZK;Promio;;;;;;;;1;1
BZK;PT Business Services B.V.;;;;;;;1;;1
