Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
!Pet (Automatiseerders, Boek- en Kantoorhandel, Competsoft);;1;;1;;1
A.J. van Deudekom Verhuizingen Transport Opslag;;;;2;;2
Achmea (incl. Interpolis, Agis Zorg., Fbto, Centraal Beheer, Avero, Arbo Dienst, Rechtsbijstand, Schadeservice);;;;;2;2
Agrifirm;;1;;;;1
Agterberg Bedrijven;;1;;;;1
Ajax Chubb Varel;;1;;;;1
Albyco;;1;;;;1
Alfatech Technische Aanneming;;1;;;;1
Alltech / Applied Science;;1;;;;1
Andriessen Installatiebedrijf;;1;;;;1
APF International;;;;;2;2
Artprotech International;;1;;;;1
ARUP;;2;;;;2
Ascom;;1;;;;1
Asito;;1;;;;1
Assa Abloy (incl. Crawford, Cardo, Albany, Besam, Lips);;1;;;;1
Atlas Copco;;1;;;;1
ATPS - Tijdregistratie- en Toegangscontrolesystemen;;1;;;;1
Avex;;2;;;;2
AView bv;;1;;;;1
Bavak Beveiligingsgroep;;1;;;;1
Belga Fietsen;;1;;;;1
Berdi;;1;;;;1
Bijou Moderne;;1;;;;1
Bloembinderij All Seasons;;1;;;;1
Bloemsierkunst De Klerk;;1;;;;1
BlueSense Consultancy;2;;;;;2
Boels Verhuur (incl. HuurMax);;1;;;;1
Bos en Zn.J. Rywielgigant;;1;;;;1
Bosman;;1;;;;1
Bouter;;1;1;;;1
Bouwconsulting;;1;;;;1
BPI Services;;2;;;;2
Breur Beveiligingen, Ijzerhandel;;1;;;;1
Bristol Coatings Holland;;1;;;;1
Bruker (incl. Chemical Analysis, Axs, Optics);;2;;;;2
BSH Huishoudapparaten (incl. Willem van Rijn);;1;;;;1
BTL (incl. Advies, Bomendienst, Realisatie);;1;;;;1
Buy It Direct;;1;;;;1
Card Vision;;1;;;;1
Carl Zeiss;;1;;;;1
Catec;;1;;;;1
CCV Services;;1;;;;1
Central Point;;1;;;;1
Cofely (incl. Kalibra, GTI, Fabricom Oil, en Axima Services);;3;;;;3
Compad NL;;1;;;;1
Coneco Building Automation;;1;;;;1
ContainerPLUS B.V.;;1;;;;1
Copex Air Cargo, Air, Movers&Packers;;;;2;;2
Crown Worldwide (incl. Gerlach art packers & shippers, John Nurminen Prima);;;;1;;1
Cyclus Projecten en (Interim)Management;;;;1;;1
DB Audio Video Systemen;;1;;;;1
De Alliantie Amsterdam;;;;;2;2
De Bouwhof;;1;;;;1
De Eilanden;;2;;;;2
De Koningh Coding & Labeling;;1;;;;1
De Sleutelspecialist;;1;;;;1
De Witte Dame;;1;;;1;1
DEN Digitaal Erfgoed Nederland;;2;;;;2
Detron (incl. Kender Thijssen, Finntax, Issue Information Technology, KT);;1;;;;1
DFS Dutch Flooring Solutions;;1;;;;1
Digiformat;;1;;;;1
Donker Holding (incl. Donkergroen);;1;;;;1
Douwe Egberts;3;;;;;3
Drentea Kantoormeubelen;;1;;;;1
DSL-Reclame;;1;;;;1
Dunea (Duinwaterbedrijf Zuid-Holland);;;1;;;1
Duo2;;3;;;;3
Dupa Veiligheidstechniek;;1;;;;1
EC Electro Centraal;;1;;;;1
Ecg Development And Financing;;3;;;;3
ElektRik van Dam;;1;;;;1
Eneco (incl. Utiliq, Vaney, Joulz);;1;7;;;7
Enexis (vh Essent Netwerk, At Home);;;2;;;2
Engelsman Hoveniers;;1;;;;1
Ervaren Jaren Uitzendbureau;;1;;;;1
Escape Mobility Company (vh H. van Leeuwen, van Leeuwen Companies, CURA Safety Solutions);;1;;;;1
Euro Air Nederland;;2;;;;2
Expert;;1;;;;1
Felix Trading;;1;;;;1
Fonq NL;;1;;;;1
Frigo Breda;;;;1;;1
G.B. van Hoek Aannemingsbedrijf;;1;;;;1
GasCare (incl. Bron);;1;;;;1
Geert Jonkers Deurenservice;;1;;;;1
Glashandel Wybenga;;1;;;;1
Goorhuis Installatietechniek B.V.;;1;;;;1
Gorman-Rupp/Wavo Pompen;;1;;;;1
GST Security Technique Consulting;;1;;;;1
H.J.M. Schreuder & zn.;;1;;;;1
HAGELE kantoormeubilair;;1;;;;1
HE Adviseurs;;;1;;;1
Heijmans (incl. NMM, Burgers Ergon, Breijn, Utiliteitsbouw, Civiel, ...);;2;;;;2
High Security International;3;;;;;3
Holtrop & Jansma;;1;;;;1
Hoogvliet en Zn Aannemersbedrijf;;2;;;;2
Hotel Contact/Worldmeetings;;;;;1;1
HTO Aannemingsbedrijf;;1;;;;1
Hulskamp Audiovisueel;;1;;;;1
IBK Service & Onderhoud;;1;;;;1
Ijzerleeuw;;1;;;;1
Immolab;;1;;;;1
Imtech (incl. Radio Holland, Bostec);;2;;;;2
Indoor Plant Services Ips;;2;;;;2
Informatiebord.nl;;1;;;;1
ING Bank;;;;;4;4
Interscience;;1;;;;1
Jansen-Wijsmuller & Beuns;;2;;;;2
Jaski Automaten;;1;;;;1
