Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Doornebal Interieurs B.V.;;5;;;;5
Dordtse Bazar Verhuur;;1;;;;1
Dorigo-Wierper B.V.;;1;;;;1
DORMA Nederland B.V.;;1;;;;1
Double U Building B.V.;;;;;5;5
Douma Bouwkundig Adviesburo V.O.F.;;2;;;;2
DPA Cauberg-Huygen B.V.;;1;;;;1
DPCP B.V.;;8;;;;8
DPM Advies & Management B.V.;;2;;;;2
Draaijer Installatietechniek B.V.;;1;;;;1
Dräger Nederland B.V.;;2;;;2;2
DRES Master Fund II B.V.;;;;;4;4
Drieborgh C.V.;;;;;7;7
Droge Bureau voor Bouwhistorie;;1;;;;1
DROOMvilla LUX B.V.;;1;;;;1
DRS Installatietechniek B.V.;;2;;;;2
Dryair Benelux B.V.;;2;;;;2
DSS-de Swart Services B.V.;;2;;;;2
DTZ Zadelhoff;;2;;;;2
Duijndam;;2;;;;2
Duijts Adviseurs B.V.;;1;;;;1
Duijvelaar Pompen;;2;;;;2
Duikbedrijf C.O.W. B.V.;;3;;;;3
Duin Vastgoed B.V.;;;;;2;2
Duitman Hengelo B.V.;;1;;;;1
Duits schilderwerk;;4;;;;4
Dunea N.V.;;2;4;;;4
Dunlop Service B.V.;;1;;;;1
Duo2 B.V.;;;;;9;9
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;1;;;;1
Dura Vermeer Groep;;3;;;8;8
Dura Vermeer Infrastructuur Midden West;;2;;;;2
Dura Vermeer Milieu B.V.;;;;;5;5
Duratherm Nederland B.V.;;1;;;;1
Dusseldorp Infra, Sloop en Mil.techn. B.V.;;4;;;;4
Dusseldorp Rioolservice B.V.;;1;;;;1
Dutch Active Fund PropCo B.V.;;;;;6;6
Dutch Property Company Rembrandt 2 B.V.;;;;;4;4
Dutch Property Company Rembrandt 4 B.V.;;;;;5;5
Dutch Property Company Rembrandt 8 B.V.;;;;;7;7
Dutch Property Company Vermeer 5 B.V.;;;;;3;3
DutchView B.V.;;1;;;;1
DuurzaamNL B.V.;;7;;;;7
DVD - FireSafety - First;;7;;;1;7
DVP B.V.;;3;;;;3
DVT Diensten B.V.;;1;;;;1
DWA Installatie- en energieadvies;;2;;;;2
Dynamic;;2;;;;2
Dynatherm;;2;;;;2
E.F.P.C.;;1;;;;1
E.ON Benelux Levering B.V.;;;2;;;2
Eaton Industries (Netherlands) B.V.;;2;;;;2
EBW Installatietechnieken B.V.;;2;;;;2
Eco Heating Systems Groningen B.V.;;1;;;;1
Eco Toilet B.V.;;1;;;;1
Ecodorp Steunstichting;;4;;;;4
Ecologica B.V.;;1;;;1;1
Econosto N.V.;;1;;;;1
Econsultancy B.V.;;2;;;1;2
Edelstaalverwerking Berlikum B.V.;;1;;;;1
Eemshaven Properties;;;;;2;2
Eetsalon van Dobben B.V.;;1;;;;1
Efaflex;;1;;;;1
Efcon Water B.V.;;1;;;;1
Efectis Nederland B.V.;;2;;;;2
EGM Architecten B.V.;;1;;;;1
Egro Service B.V.;;1;;;;1
Eijkelboom B.V.;;7;;;;7
Eijkerbouw B.V.;;5;;;;5
EIK Bouwadvies;;1;;;;1
Eindhoven Airport N.V.;;;;;2;2
EKB Groep B.V.;;1;;;;1
Electro Eindhoven;;1;;;;1
Electrolux Home Products (Nederland) B.V.;;1;;;;1
Elegast Beheer B.V.;;;;;5;5
Elektra 21 B.V.;;5;;;;5
elektronicatekoop.nl;;1;;;;1
Elektropartners B.V.;;2;;;;2
Elektrospekt B.V.;;1;;;;1
Elektrotech. Install.bur. Valkenaars B.V.;;1;;;;1
Elektrotechniek Schuurmans B.V.;;4;;;2;4
Elektrotechnisch Installatiebedr. HJ Kooiman;;4;;;;4
Elektrotechnisch Servicebureau 'Nunu' B.V.;;2;;;;2
Element Offices B.V.;;;;;1;1
Elinex Power Solutions B.V.;;1;;;;1
Elma B.V.;;1;;;;1
Elro Dakbedekking Zuid B.V.;;3;;;;3
Elseco B.V.;;1;;;;1
Elsenga Installatietechniek;;4;;;4;4
Embregts Wegenbouw;;1;;;;1
EM-Cultuur B.V.;;1;;;;1
Emerson Network Power B.V.;;1;;;;1
Endenburg B.V.;;2;;;;2
Endenburg Elektrotechniek B.V.;;3;;;;3
Endevoets Dakbedekkingen;;2;;;;2
Endress + Hauser B.V.;;1;;;;1
Eneco B.V.;;;5;;;5
Eneco Energy Sales B.V.;;;1;;;1
Eneco Services B.V.;;3;7;;;7
ENECO Warmtenetten B.V.;;2;;;;2
Eneco Zakelijk;;6;7;;;7
Enerdeco B.V.;;2;;;;2
Energiewacht N.V.;;1;;;;1
Energy Circle B.V.;;;3;;;3
Enexis B.V.;;1;3;;2;3
Engberink Technische Installaties;;3;;;;3
Engelen-Groen Uden B.V.;;7;;;2;7
Engelsman Hoveniers B.V.;;1;;;;1
Enkhuizer Aannemersbedrijf (E.A.B.) B.V.;;6;;;;6
Enviro-Chemie B.V.;;1;;;;1
Envita Almelo B.V.;;3;;;;3
EP Techniek;;1;;;;1
EPI Orange 21 B.V.;;;;;3;3
EPOC Nederland B.V.;;1;;;6;6
e-Power B.V.;;4;;;;4
ERCO Lighting B.V.;;1;;;;1
Erdi Las- en Constructiebedrijf B.V.;;1;;;;1
Erdo B.V.;;1;;;;1
Eric Dil Interim Management;;1;;;;1
Eriks B.V.;;4;;;;4
Erkon Engineering B.V.;;1;;;;1
Espero B.V.;;1;;;;1
Essent Energie Verkoop Nederland B.V.;;;1;;;1
Essent Energiediensten B.V.;;;1;;;1
Essent Retail Energie B.V.;;;2;;;2
Esveld @ Work B.V.;;1;;;;1
Eurocarbo Benelux B.V.;;2;;;;2
Euro-Index B.V.;;1;1;;;1
Euromate B.V.;;2;;;;2
Eurorail B.V.;;;;;1;1
Eurorouting Nederland B.V.;;2;;;1;2
Eurosafe Solutions B.V.;;7;;;;7
EusebiusBS (Arnhem) B.V.;;;;;7;7
EV-Box;;1;;;;1
Evides Drinkwater;;1;;;;1
EWZ adviseurs;;1;;;;1
Exploitatie Dwarstocht 6 Zaandam B.V.;;;;;3;3
Exploitatiemij. Havencompl. Lauwersoog B.V.;;;;;2;2
Explosive Clearance Group B.V.;;6;;;3;6
F.B.S. Elektrotechniek;;2;;;1;2
FAB Riool- en Wegenbeheer B.V.;;4;;;;4
Facilicom PPS B30 B.V.;;2;;;;2
Facilicom PPS Doetinchem Exploitatie B.V.;;;;;7;7
Facility Service;;2;;;;2
Facint B.V.;;1;;;;1
Facta;;1;;;;1
Factor4 B.V.;;1;;;;1
Falck AVD;;;;;1;1
Falck Emergency & Care Center;;1;;;;1
Falco B.V.;;1;;;;1
Fauna Futura Ecologica;;1;;;;1
Feddes/Olthof Landschapsarchitecten B.V.;;2;;;;2
Ferretto Group Holland B.V.;;1;;;2;2
Fewiro Wijchen B.V.;;7;;;;7
Fiction Factory B.V.;;2;;;;2
Fides B.V.;;2;;;;2
Fieten & Roos B.V.;;3;;;2;3
Filcom B.V.;;;;;2;2
File2share B.V.;;2;;;;2
Fire Safety 4 You B.V.;;2;;;;2
Firejob B.V.;;1;;;;1
Firesol B.V.;;1;;;;1
Firma Boelot;;1;;;;1
Firma Hof der Muzen;;1;;;;1
Firma Schuurmans;;4;;;3;4
Firma Van Es Boomverzorging;;1;;;;1
First Service B.V.;;1;;;;1
Flamco B.V.;;1;;;;1
Flier Boomverzorging V.O.F.;;2;;;;2
Floor Installatietechniek;;3;;;;3
Florie Makelaardij;;;;;2;2
Florisse Heerlen Veste B.V.;;1;;;2;2
Flowers4u;;1;;;;1
FN2 B.V.;;;;;7;7
Folkers, Vos & Creman Meubelrestauratoren;;3;;;;3
Formabouw B.V.;;6;;;;6
Fotex Netherlands B.V.;;;;;7;7
Fox-IT B.V.;;2;;;;2
Fri-Jado Super Service;;7;;;;7
Frisia Bergum B.V.;;2;;;;2
Frisia Makelaars o.g.;;1;;;;1
Friso Heerenveen;;4;;;2;5
Fudura B.V.;;2;;;;2
Fugro GeoServices B.V.;;2;;;;2
Gaasbeek's Automatenservice B.V.;;1;;;;1
Gacom B.V.;;1;;;;1
Gademann Vervoer B.V.;;1;;;;1
Gako Allround Schoonmaakbedrijf V.O.F.;;1;;;;1
Galektron B.V.;;1;;;;1
Galjema B.V. Technisch Adviesbureau;;4;;;;4
Gas Servicebedrijf Nuvelstijn GSN;;1;;;;1
gAvilar B.V.;;1;;;;1
GEA Westfalia Separator Nederland B.V.;;1;;;;1
Gebr. Griekspoor B.V.;;5;;;2;5
Gebr. Reijrink Loonbedrijf B.V.;;;;;4;4
Gebr. Reimert B.V.;;;;;7;7
Gebr. Sluyter B.V.;;3;;;;3
Gebr. Swinkels B.V.;;1;;;;1
Gebr. van der Geest B.V.;;5;;;;5
Gebr. Van der Veekens B.V.;;;;;2;2
Gebr. Van Kessel B.V.;;7;;;1;7
Gebroeders Snellen B.V.;;4;;;;4
Gebroeders van der Plas B.V.;;5;;;;5
Gebroeders van Driel B.V.;;2;;;;2
Generatoren Nederland B.V.;;1;;;;1
Geofox-Lexmond B.V.;;1;;;3;3
Geomaat B.V.;;;;;2;2
Geomet B.V.;;1;;;;1
Geonius Milieu B.V.;;1;;;;1
Gerco Brandpreventie B.V.;;5;;;;5
Gerrits Glas- en Schilderwerken;;2;;;;2
Gerritse IJzerwaren;;;;;2;2
Gerritse IJzerwaren B.V.;;1;;;;1
Get Bannered;;1;;;;1
GET LOST, art route Stichting;;2;;;;2
Gevelbeheer Nederland B.V.;;1;;;;1
Gevotec B.V.;;1;;;;1
GGB inBalans B.V.;;6;;;;6
Gielissen Exhibitions B.V.;;1;;;;1
Giesbers-Rotterdam Bouw B.V.;;;;;6;6
Gilkens Betonboringen & Bestratingen;;1;;;;1
Gisola B.V.;;2;;;;2
GL events World Forum Convention Center B.V.;;;;;4;4
Glashandel Ariba B.V.;;1;;;;1
GMB Civiel B.V.;;2;;;;2
GMB Rioleringstechnieken B.V.;;3;;;1;3
GMM Luchttechniek B.V.;;1;;;;1
Goede Speelprojecten B.V.;;2;;;;2
Goorbergh Geotechniek B.V.;;1;;;1;1
Goudappel Coffeng B.V.;;2;;;;2
Gouweloos Elektrotechniek B.V.;;7;;;;7
Gouwenberg vloeren.gordijnen.zonwering;;2;;;;2
GP Installaties;;2;;;;2
Gppc Fons Bergmans;;2;;;;2
Graafstra Mechanisatie;;4;;;;4
GrausBouw B.V.;;5;;;6;7
Gravure '85;;1;;;;1
Green Point Solutions B.V.;;1;;;;1
Grimbergen & Van Putten Elektrotechniek B.V.;;;;;3;3
Grimbergen/Noordermeer B.V.;;2;;;;2
Groeneveld Sign Systems B.V.;;1;;;;1
Groenselekt B.V.;;1;;;;1
Groen-Totaal;;2;;;;2
Groenvoorziening Vogels B.V.;;1;;;;1
Grondslag Milieukundig Adviesbureau;;1;;;1;1
Groningen Airport Eelde N.V.;;1;;;2;2
Grontmij N.V.;;2;;;4;4
Grontmij Nederland B.V.;;7;;;;7
Groothandelsgebouwen N.V.;;;;;6;6
Grottendieck Maatwerk;;;;;1;1
Groundwater Technology B.V.;;;;;3;3
Grundfos Nederland B.V.;;1;;;;1
GSAudits;;;;;1;1
GSNED B.V.;;;;;1;1
Gubbels Wegenbouw en Sloopwerken B.V.;;;;;6;6
Gunnebo Nederland B.V.;;2;;;;2
Gunters en Meuser B.V.;;1;;;;1
GVR 500 Parking B.V.;;;;;4;4
GVR500 Building B.V.;;;;;8;8
H&D Civiel B.V.;;3;;;;3
H.O.D. Nederland B.V.;;1;;;;1
Haarlems Beleggingsconsortium Habelco B.V.;;;;;3;3
Habeco B.V.;;1;;;;1
HABO B.V.;;2;;;;2
HABO GWW B.V.;;1;;;;1
Hafkamp Installatietechniek B.V.;;4;;;;4
Hagisto;;2;;;;2
Hago Electronics;;1;;;;1
Haket Handelsonderneming B.V.;;2;;;;2
Hakvoort Professional Zuid B.V.;;1;;;;1
Halvermuhlen Onroerend Goed & Exploitatie Maatschappij B.V.;;;;;2;2
Hamabest Asbest B.V.;;;;;1;1
Hamag Magazijninrichting B.V.;;;;;2;2
Hamaland Advies;;1;;;;1
Hamer B.V.;;4;;;1;4
Handelsonderneming Michel van der Avert;;1;;;;1
Handicare Stairlifts B.V.;;1;;;;1
Hannover Milieu- en Veiligheidstechniek B.V.;;;;;2;2
Harskamp B.V.;;1;;;;1
Hartkamp Bouwmarkt;;1;;;;1
Hartman Den Haag B.V.;;5;;;;5
HaskoningDHV Nederland B.V.;;7;;;4;7
Havenbedrijf Rotterdam N.V.;;7;;;4;7
Haver Zonwering;;2;;;;2
Hazenberg Bouw B.V.;;7;;;;7
HBK 2000 Besturingstechniek B.V.;;4;;;;4
HDW Nederland B.V.;;1;;;;1
He Adviseurs;;6;;;;6
Hectas Facility Services C.V.;;5;;;;5
Heembouw Holding B.V.;;2;;;;2
Heembouw Roelofarendsveen B.V.;;5;;;;5
Heerkens van Bavel Bouw B.V.;;;;;3;3
Heezen Limburg B.V.;;1;;;;1
Hefas Branddetectie B.V.;;4;;;;4
Hegeman Plus B.V.;;9;;;;9
Heibrink Telecom Support;;2;;;;2
Heijltjes Advocaten;;3;;;;3
Heijmans Civiel Metaal B.V.;;1;;;7;7
Heijmans Facilitair Bedrijf B.V.;;6;;;;6
Heijmans Kabelwerken B.V.;;2;;;1;2
Heijmans Technische Infra;;1;;;;1
Heijmans Utiliteit;;11;;;8;11
Heijmans Wegen;;6;;;6;7
Heijmans Woningbouw B.V.;;3;;;;3
Heilijgers Bouw B.V.;;4;;;;4
Heko-Becewe B.V.;;1;;;;1
Hekwerk & Montagebedrijf Mulder;;1;;;;1
Hekwerken Lisse B.V.;;1;;;;1
Helder Vastgoed Schilderwerken B.V.;;4;;;;4
Helders Schildersbedrijf B.V.;;2;;;2;2
Helix Advies B.V.;;2;;;;2
Hellebrekers Technieken;;5;;;;5
Hemmes & Langeland Afdeling Werktuigbouw;;1;;;;1
Henssen B.V.;;2;;;;2
Heras B.V.;;7;;;1;7
Heras Ridderkerk;;7;;;;7
Heringa Van Kalsbeek;;;;;1;1
Hermans Asbest B.V.;;4;;;;4
Hermans Bouw en Timmerbedrijf B.V.;;4;;;;4
Herruer Grond- Weg- en Waterbouw;;3;;;2;4
Hertek B.V.;;2;;;;2
Het GeluidBuro B.V.;;1;;;;1
Het NIC B.V.;;4;;;;4
Het Onderdeel B.V.;;2;;;;2
Het Rubberhuis B.V.;;1;;;;1
Heuvelman Ibis B.V.;;;;;3;3
Hexta Hekwerk B.V.;;3;;;1;3
Hilhorst Bouwbedrijf Amsterdam B.V.;;2;;;;2
Hiltra Barneveld B.V.;;1;;;;1
Hinke Fongers Beheer B.V.;;;;;6;6
Hitec Power Protection B.V.;;2;;;1;2
Hodgkiss language & communication services;;1;;;;1
Hoefnagels Branddeuren B.V.;;3;;;;3
HOEK architectuur & restauratie BNA-VAWR;;1;;;;1
Hoeksche Waard Infra;;2;;;;2
Hoffmann Bedrijfsuitrusting B.V.;;1;;;;1
Hofland-Electronica B.V.;;1;;;;1
Hofstra Vastgoed B.V.;;;;;5;5
Holding Jansma en Van Dijk B.V.;;4;;;5;5
Holding van Landschoot B.V.;;;;;3;3
Holland Heating;;1;;;;1
Holland Mast B.V.;;2;;;;2
hollander techniek;;1;;;;1
Hollander Techniek B.V.;;6;;;;6
Homij Technische Installaties B.V.;;9;;;;9
Homma Elektrotechniek B.V.;;1;;;;1
Honeywell B.V.;;1;;;;1
Honeywell Building Solutions;;7;;;6;7
Hoofdkantoor Wetterskip Fryslân;;1;;;;1
Hoog Catharijne B.V.;;;;;3;3
Hoogwout Berging B.V.;;1;;;;1
Hoornstra Materieel N.V.;;5;;;;5
Hoornveste B.V.;;;;;6;6
Hootsmans Architectuurbureau B.V.;;3;;;;3
Hopmann Liftservice;;5;;;;5
Horeca Adviescentrum HTC;;1;;;;1
Horesca Meppel B.V.;;1;;;;1
Hörmann Nederland B.V.;;1;;;;1
Hotel Boschhuis;;1;;;;1
Hotel Derlon;;1;;;;1
Hotel Kruller B.V.;;1;;;;1
Hotel Pillows Zwolle B.V.;;1;;;;1
Hotel-Café-Restaurant de Fabriek;;1;;;;1
Houthandel van der Heijden Heesch B.V.;;3;;;;3
HR Groep Leek;;2;;;1;2
HR Groep Zuid;;1;;;;1
HRGroep B.V.;;1;;;;1
HSH Nordbank AG;;;;;7;7
Hulkenberg B.V.;;1;;;;1
Hulsman & De Veluwe B.V.;;2;;;;2
HulstFlier Installateurs Elburg B.V.;;3;;;;3
Hummingbird;;;;;3;3
Hummingbird B.V.;;;;;3;3
HuneBouw B.V.;;2;;;;2
Hunneman Milieu-Advies Raalte B.V.;;3;;;3;4
Hurks bouw B.V.;;;;;1;1
Hurks bouw 'S-Hertogenbosch B.V.;;2;;;;2
Huurwel;;;;;4;4
Huys te Voorn Vastgoed B.V.;;;;;4;4
HV Advies;;1;;;1;2
HVB Constructie B.V.;;2;;;;2
Hydroscope B.V.;;2;;;;2
Hydrozorg Interieurbeplanting;;4;;;;4
I Love Architecture;;2;;;;2
I.A.A. Architecten B.V.;;1;;;;1
Ibis B.V.;;3;;;;3
IBK AIRCONDITIONING B.V.;;6;;;;6
IBK Groep B.V.;;1;;;;1
IBK Service & Onderhoud B.V.;1;;;;;1
IBS Consultants B.V.;;4;;;;4
Icat Textielrestauratie B.V.;;2;;;;2
ICOP B.V.;;3;;;;3
ID bouwen van architectuur B.V.;;3;;;;3
ID Ware International B.V.;;3;;;;3
If Technology B.V.;;5;;;;5
IJbouw B.V.;;4;;;;4
Ilex Installatie Management B.V.;;4;;;;4
Imbema-Controls B.V.;;1;;;;1
IMD Raadgevende Ingenieurs;;2;;;;2
IMI Aero-Dynamiek B.V.;;5;;;;5
Imming Logistics;;1;;;;1
Imtech Building Services;;7;;;;7
Imtech Industrial Services;;2;;;;2
Imtech Maintenance B.V.;;5;;;2;5
Imtech Marine Netherlands B.V.;;2;;;;2
Imtech Nederland B.V.;;3;;;;3
Imtech Traffic & Infra;;1;;;;1
Imtech Traffic & Infra B.V.;;6;;;;6
IMV Nederland B.V.;;2;;;;2
in60seconds;;2;;;;2
Inbo;;3;;;;3
Incendio B.V.;;2;;;;2
Inclusief Gresbo B.V.;;2;;;;2
Independent Solar Systems B.V.;;1;;;;1
Indurfloor B.V.;;2;;;;2
Industrial Solutions Zuid-Oost B.V.;;3;;;;3
Industrielicht B.V.;;2;;;;2
Info Service Hoogbruin V.O.F.;;;;;2;2
Infrasoil B.V.;;;;;2;2
Infrasoil Gebiedsontwikkeling B.V.;;5;;;;5
Ing.bur. Bouwtechn. Goudstikker-de Vries B.V.;;3;;;;3
Ingenieurs- en Adviesburo Technion B.V.;;1;;;;1
Ingenieursbureau E.P.G.;;1;;;;1
Ingenieursbureau Ebatech B.V.;;3;1;;;3
Ingenieursbureau Inpijn-Blokpoel Son B.V.;;;;;1;1
Ingenieursbureau Leon van Nierop;;2;;;;2
Ingenieursbureau 'Oranjewoud' III B.V.;;2;;;4;5
Ingersoll-Rand Netherlands B.V.;;2;;;;2
InRIO advies- en ingenieursbureau B.V.;;1;;;1;1
Installatie Buro IBS Oele Schoo B.V.;;2;;;;2
Installatiebedrijf Andriessen Utiliteit B.V.;;4;;;;4
Installatiebedrijf Bakker B.V.;;2;;;;2
Installatiebedrijf De Eilanden B.V.;;1;;;;1
Installatiebedrijf Embrechts B.V.;;2;;;3;3
Installatiebedrijf Engeltjes B.V.;;4;;;;4
Installatiebedrijf Haerkens B.V.;;3;;;1;3
Installatiebedrijf Rosmalen B.V.;;5;;;;5
Installatiebedrijf Spiek en de Vries B.V.;;2;;;;2
Installatiebedrijf van Bentem;;2;;;;2
Installatiebedrijf Van de Blaak B.V.;;3;;;1;3
Installatiebedrijf Van den Hoever B.V.;1;;;;;1
Installatiebedrijf Vlieland;;1;;;;1
Installatiebureau Able B.V.;;1;;;;1
Installatiebureau Geka B.V.;;1;;;;1
Installatietechniek Louwer B.V.;;3;;;;3
Installerende Partners Commun.techn. B.V.;;1;;;;1
Institute 4 Safety;;2;;;;2
Int. Engin. Cons. for Restorat. Technol. B.V.;;1;;;;1
Inteco B.V.;;1;;;;1
Integron B.V.;;4;;;;4
InterBouwconsult B.V.;;3;;;;3
Interclean Benelux B.V.;;1;;;;1
Interflon B.V.;;1;;;;1
Intergarde B.V.;;2;;;;2
Interland Techniek B.V.;;1;;;;1
Interno Schilderwerken B.V.;;1;;;;1
Interoffice Kantoorinrichting B.V.;;;;;1;1
Interparking Nederland B.V.;;;;;3;3
Intersafe Groeneveld B.V.;;5;;;;5
Interswitch;;1;;;;1
inTrust Nederland B.V.;;1;;;;1
Investment in den Eng B.V.;;2;;;6;6
IOB;;1;;;;1
IOB Dordrecht B.V.;;1;;;;1
Iolan B.V.;;5;;;;5
IPR Vastgoedmanagement B.V.;;2;;;;2
Issos B.V.;;;;;4;4
Itannex B.V.;;;;;1;1
ITBB Klimaattechniek;;4;;;;4
ITN Installatietechniek B.V.;;5;;;;5
ITS Hendrion B.V.;;1;;;;1
Ivast B.V.;;;;;5;5
Iv-Bouw B.V.;;1;;;;1
Iv-Industrie B.V.;;;;;2;2
Jaarbeurs B.V.;;1;;;;1
Jabor Advies B.V.;;1;;;1;1
Jacobs Architekten B.V.;;4;;;;4
Jacot Audiovisueel Rental B.V.;;1;;;;1
JagerJanssen;;2;;;;2
Jansen Bartels B.V.;;1;;;;1
Jansma Drachten B.V.;;1;;;;1
Janssen Lastechnieken B.V.;;2;;;;2
JHA Adviesbureau BCDP B.V.;;4;;;;4
Jobse Leidekkers- en Restauratiebedrijf B.V.;;1;;;;1
Jodocus R.V.S. en Metaalbewerking;;1;;;;1
Johnson Controls Systems & Service B.V.;;3;;;;3
Josefien & co;;3;;;;3
Joss B.V.;;;;;3;3
JOVI Investments Events & Business Company II;;;;;5;5
JuBi-Techniek V.O.F.;;5;;;;5
Julia B.V.;;3;;;;3
Julo Systeemwanden en Kantoorinrichtingen B.V.;;1;;;;1
Jungheinrich Nederland B.V.;;1;;;;1
Jurriëns;;7;;;;7
Jv2 Bouwadvies B.V.;;1;;;;1
JWP Waterservice;;2;;;;2
K.A.T./Kunst, Advies en Techniek V.O.F.;;1;;;;1
K.K. Brandertechniek B.V.;;1;;;;1
K.T.D. Klimaatbeheersing B.V.;;3;;;;3
Kaal Masten B.V.;;2;;;;2
Kaba Nederland B.V.;;1;;;;1
Kalsbeek B.V.;;1;;;;1
Kalshoven Specialistische Reinigingen B.V.;;1;;;;1
Kaptein Bouwgroep B.V.;;3;;;;3
Karcher B.V.;;1;;;;1
Karres en Brands Landschapsarchitecten B.V.;;2;;;;2
KASTEEL ENGELENBURG;;1;;;;1
Kayseri Holding B.V.;;1;;;;1
Keijsers Lundiform B.V.;;1;;;;1
Keizer Karelplein 32 B.V.;;;;;3;3
Kemkens Gasservice B.V.;;3;;;;3
Kemkens Utiliteit B.V.;;6;;;;6
Kemp Schalkwijk B.V.;;1;;;2;2
Kemper en van Twist Diesel B.V.;;3;;;;3
Kemper Keerwanden B.V.;;;;;4;4
Kennelbouw Exclusief V.O.F.;;2;;;;2
Kent Nederland B.V.;;1;;;;1
Keper Infra Advies B.V.;;1;;;;1
Kerkhof Technische Installaties Leersum B.V.;;4;;;3;5
Kieback & Peter Nederland B.V.;;1;;;;1
Killgerm Benelux N.V.;;1;;;;1
Kimsma Bouwbedrijf B.V.;;3;;;;3
KIN Installatietechniek;;1;;;;1
Kin Machinebouw B.V.;;2;;;;2
Kit- en afdichtingsbedrijf Marcel Winder;;5;;;;5
Klaassen Gilze;;1;;;;1
Klaver Klimaattechniek B.V.;;2;;;;2
Klein Architecten B.V.;;2;;;;2
Klein Poelhuis Emmeloord B.V.;;7;;;;7
Klein Poelhuis Konstruktie B.V.;;2;;;;2
Klimaatgroep Holland B.V.;;2;;;;2
Klimarent;;1;;;;1
Klip B.V.;;1;;;;1
KlokBouwOntwikkeling B.V.;;;;;1;1
Klunder Drachten;;2;;;2;2
Klussenbedrijf J.W.K.;;4;;;;4
Koek & Reinders Schilderwerken B.V.;;5;;;;5
Köhler Peutz Geveltechniek B.V.;;2;;;;2
Komfort B.V.;;;;;10;10
Kon. Aannemingmaatschappij Van Waning B.V.;;6;;;;6
Kondor Wessels Amsterdam B.V.;;1;;;;1
Kone B.V.;;2;;;;2
KONE Deursystemen B.V.;;2;;;;2
Kone Gevelliftinstallaties;;7;;;;7
Koning & Hartman B.V.;;1;;;;1
Koninkl. Boomkweker. Alph. Van der Bom B.V.;;1;;;;1
Koninklijk Instituut van Ingenieurs;;1;;;;1
Koninklijke Bammens;;2;;;3;3
Koninklijke Fabrieken Posthumus B.V.;;1;;;;1
Koninklijke Saint-Gobain Glass Nederland N.V.;;1;;;;1
Koninklijke Talens B.V.;;1;;;2;2
Koninklijke Wegener N.V.;;1;;;;1
Koninklijke Woudenberg;;7;;;;7
Kontek B.V.;;4;;;;4
Kooiker Installatie B.V.;;1;;;;1
Koopmans Service & Onderhoud;;4;;;6;7
Kooy Insulation B.V.;;1;;;;1
Koppers Meubel en Interieurbouw B.V.;;1;;;;1
Korporaal Installatietechniek B.V.;;6;;;;6
Kors Hoogwerksystemen B.V.;;1;;;;1
Korte Poten 1-3 B.V.;;1;;;;1
Korte Projectstoffering B.V.;;1;;;;1
Koster Elektromotoren;;1;;;;1
Kosterbeemden Kerkrade B.V.;;;;;4;4
KPN B.V.;;4;;;4;5
KPN BV;;;;2;;2
KPN Telecommerce B.V.;;1;;;;1
Kraft Adviseurs;;1;;;;1
Kragten B.V.;;1;;;2;2
Krämer Bouw B.V.;;7;;;;7
Kreuze Telecom;;3;;;;3
Krinkels B.V.;;7;;;;7
Kroep Elektro;;3;;;;3
Kroon;;1;;;;1
Kropman Installatietechniek;;7;;;;7
KTB Klimaat Techniek Brabant B.V.;;3;;;;3
Kubik B.V.;;1;;;;1
Kubus architectural solutions;;1;;;;1
Kuijpers;;4;;;;4
Kuijpers Centrale Projecten B.V.;;7;;;;7
KUIJPERS ELEKTRONISCHE BEVEILIGINGSSYSTEMEN B.V.;;3;;;;3
Kuijpers Installaties;;7;;;;7
Kuijpers Installaties Helmond B.V.;;4;;;;4
Kuijpers Maintenance;;7;;;;7
Kuiper & Zonen B.V.;;1;;;;1
Kuiper Bouw B.V.;;7;;;;7
Kumpulan Congres- en Reuniecentrum;;1;;;;1
Kunstwacht B.V.;;2;;;;2
Kvadrat B.V.;;2;;;;2
Kwerreveld Dakbedekkingen B.V.;;7;;;;7
KWS Infra B.V.;;5;;;;5
KYBYS B.V.;;2;;;;2
La Señorita;;1;;;;1
Laarhoven Design;;2;;;;2
Laco Rotterdam B.V.;;1;;;;1
Lagemaat Sloopwerken B.V.;;6;;;5;6
LAgroup B.V.;;1;;;;1
Lamit B.V.;;1;;;;1
Lammertink Groep;;6;;;1;6
Landgoed Den Treek-Henschoten N.V.;;;;;4;4
Landustrie Sneek B.V.;;3;;;;3
Lankelma Geotechniek Zuid B.V.;;2;;;3;4
Lareco Nederland B.V.;;2;;;5;5
LBA V.O.F.;;1;;;;1
LBP Sight B.V.;;1;;;;1
Le Gardinier B.V.;;1;;;;1
Leemans;;2;;;;2
Leenhouts' Aannemings-Bedrijf B.V.;;4;;;;4
Leijdsman Elektro B.V.;;3;;;;3
Lemtech Lucht- en Milieutechniek B.V.;;1;;;;1
Lenferink;;4;;;;4
Lennox Benelux B.V.;;1;;;;1
Leonidas;;1;;;;1
let C communicatieadvies;;2;;;;2
Letterop;;1;;;;1
Leys B.V.;;2;;;;2
Liander N.V.;;7;2;;;7
Lichtdruk- en Reproductiebureau Cito B.V.;;1;;;;1
Lichtpunt Theatertechniek B.V.;;2;;;;2
