OBJECTID,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,SUBTYPE,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,Shape__Area,Shape__Length
1,2016/01/14 10:27:10+00,G0173,Oldenzaal,bestaand,0,muur,4.004,283,,4.004013,26.427683348459
2,2016/01/14 10:27:10+00,G0173,Oldenzaal,bestaand,0,muur,4.2,283,,4.200444,40.0220262844866
3,2016/01/14 10:27:10+00,G0173,Oldenzaal,bestaand,0,muur,3.84,283,,3.83954,40.0718009950918
4,2016/01/14 10:27:10+00,G0173,Oldenzaal,bestaand,0,muur,3.094,283,,3.094046,20.8506619396181
5,2016/01/14 10:27:10+00,G0173,Oldenzaal,bestaand,0,muur,4.18,283,,4.1799025,41.1783220180259
6,2005/12/23 16:43:11+00,G0363,Amsterdam,bestaand,0,muur,0.976,283,,0.976212,7.63601765332005
7,2005/12/23 15:46:21+00,G0363,Amsterdam,bestaand,0,muur,0.972,283,,0.9716455,4.88143947123691
8,2016/03/02 10:34:54+00,G0363,Amsterdam,bestaand,0,muur,2.916,283,,2.9158015,13.6041344481041
9,2011/03/17 10:37:22+00,G0363,Amsterdam,bestaand,0,muur,0.864,283,,0.8638245,3.71805475391785
10,2012/12/04 16:42:26+00,G0363,Amsterdam,bestaand,0,muur,0.728,283,,0.727864,3.68362668634222
11,2005/12/23 22:23:33+00,G0363,Amsterdam,bestaand,1,muur,42.821,283,,42.8210085,41.5619799996458
12,2005/12/23 16:46:37+00,G0363,Amsterdam,bestaand,0,kademuur,0.826,283,,0.826179,4.92717249429948
13,2008/09/23 13:29:34+00,G0363,Amsterdam,bestaand,0,muur,3.604,283,,3.604024,28.2689318307308
14,2016/03/02 10:34:54+00,G0363,Amsterdam,bestaand,0,muur,3.08,283,,3.080192,16.1667605214567
15,2005/12/23 15:51:50+00,G0363,Amsterdam,bestaand,0,muur,15.899,283,,15.898923,80.2777638913318
16,2007/07/23 12:16:13+00,G0363,Amsterdam,bestaand,0,muur,5.855,283,,5.85494,17.3190387931794
17,2005/12/23 15:49:12+00,G0363,Amsterdam,bestaand,0,muur,3.896,283,,3.895569,13.3939152046435
18,2012/12/04 16:42:27+00,G0363,Amsterdam,bestaand,1,muur,7.848,283,,7.8475285,28.0284676728382
19,2005/12/23 16:48:02+00,G0363,Amsterdam,bestaand,0,kademuur,148.605,283,,148.6049505,299.110922067312
20,2011/09/28 16:17:32+00,G0363,Amsterdam,bestaand,0,muur,0.196,283,,0.1956435,1.78669228136505
21,2015/05/12 10:37:27+00,G0363,Amsterdam,bestaand,0,kademuur,4.996,283,,4.9964035,21.8619040957279
22,2021/11/25 13:53:47+00,G0363,Amsterdam,bestaand,0,muur,5.508,283,,5.508272,28.3687904303973
23,2005/12/23 17:28:12+00,G0363,Amsterdam,bestaand,0,muur,2.005,283,,2.0049735,13.1695947488643
24,2020/02/18 06:59:05+00,G0453,Velsen,bestaand,0,muur,0.44,283,,0.439631,4.79809598563856
25,2007/06/28 11:39:36+00,G0363,Amsterdam,bestaand,0,muur,24.515,283,,24.514744,149.125228584837
26,2007/05/24 08:33:59+00,G0363,Amsterdam,bestaand,1,muur,1.848,283,,1.8482565,8.39935868570152
27,2013/03/20 14:54:53+00,G0363,Amsterdam,bestaand,0,muur,9.152,283,,9.152132,25.8348061014834
28,2014/02/20 16:23:21+00,G0363,Amsterdam,bestaand,0,muur,2.44,283,,2.44042,9.25447872229197
29,2008/01/28 13:29:41+00,G0363,Amsterdam,bestaand,0,muur,0.284,283,,0.28431,2.13367457865152
30,2005/12/23 16:02:30+00,G0363,Amsterdam,bestaand,0,muur,0.663,283,,0.662849,3.85528709724193
31,2007/05/24 08:33:58+00,G0363,Amsterdam,bestaand,0,muur,6.975,283,,6.9751465,28.7443396433652
32,2013/10/30 10:32:37+00,G0363,Amsterdam,bestaand,0,muur,3.938,283,,3.9381425,16.0661640579973
33,2005/12/23 22:21:50+00,G0363,Amsterdam,bestaand,1,muur,2.784,283,,2.7836775,9.37649257415118
34,2013/03/20 14:54:52+00,G0363,Amsterdam,bestaand,0,muur,0.444,283,,0.4438545,3.30110668076989
35,2005/12/23 17:17:05+00,G0363,Amsterdam,bestaand,0,muur,0.898,283,,0.897776,6.5833592906311
36,2020/02/18 06:59:05+00,G0453,Velsen,bestaand,0,muur,0.439,283,,0.438943,4.79944453692274
37,2005/12/23 16:17:12+00,G0363,Amsterdam,bestaand,0,muur,1.148,283,,1.148411,7.26033796207216
38,2020/07/20 10:04:53+00,G0453,Velsen,bestaand,0,muur,0.836,283,,0.835636,7.47344138888304
